,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
5192,3.58,11.82,347.76,536.66,668.26,11.75,128.76,0.41,621.99,0.0,2116.7699999999995,0.0,214.22,2.5579538487363607e-13
5193,3.58,11.51,380.53,540.86,668.25,11.86,147.56,0.54,708.5,0.0,2258.74,0.0,214.45,-1.7053025658242404e-13
5194,3.58,11.08,275.67,539.98,668.17,10.37,157.29,0.41,639.7,0.0,2088.48,0.0,217.77000000000004,-5.684341886080802e-14
5195,3.58,11.2,280.99,539.27,667.98,11.91,158.45,0.38,651.95,0.0,1953.4000000000003,0.0,372.31,-2.8421709430404007e-13
5196,3.58,9.77,253.22,525.99,667.72,13.26,151.62,0.29,604.65,0.0,1761.77,0.0,468.33,-5.684341886080802e-14
5197,3.58,12.18,329.79,537.2,667.72,12.06,123.79,0.25,620.22,0.0,1703.8299999999997,0.0,602.96,2.2737367544323206e-13
5198,3.58,12.37,292.35,535.47,667.28,8.63,76.62,0.28,688.51,0.0,1562.66,0.0,722.43,1.1368683772161603e-13
5199,3.58,12.29,326.53,550.96,666.65,10.02,27.49,0.23,679.78,0.0,1514.3199999999997,0.0,763.21,0.0
5200,3.58,15.57,403.3,542.38,667.38,11.86,13.14,0.41,573.79,0.0,1510.27,0.0,721.14,-1.1368683772161603e-13
5201,3.58,12.92,494.43,542.06,667.44,12.2,6.72,0.19,622.87,0.0,1717.8200000000002,0.0,644.59,1.1368683772161603e-13
5202,3.58,12.82,505.28,542.46,667.5,5.75,0.34,0.43,701.53,0.0,1732.5799999999995,0.0,707.11,1.1368683772161603e-13
5203,3.58,12.77,511.04,532.42,668.01,11.3,0.03,0.32,702.94,0.0,1613.9899999999998,0.0,828.42,1.1368683772161603e-13
5204,3.58,17.92,357.32,519.52,668.5,15.78,0.02,0.43,633.31,0.0,1403.0700000000002,0.0,813.31,0.0
5205,4.031658608963574,14.347299072121768,239.66971652503565,561.875818371563,753.0417538105481,12.905812195173898,0.022523232452310468,0.40541818414158837,663.35,0.0,1275.0,0.0,974.65,1.1368683772161603e-13
5206,4.33293067193676,15.018968695652177,129.06839146245062,675.0594528853757,924.976206561265,13.48642086956522,0.027864505928853762,0.4597643478260871,524.49,0.0,1199.0,0.0,1087.92,0.0
5207,4.142353788303064,13.212909832786622,90.77215777262181,660.3258244659572,883.0938859108728,12.546936554924393,0.02663893111448916,0.6792927434194735,447.24,0.0,1152.0,0.0,960.04,0.0
5208,4.319468080825965,13.722297311434255,83.59767967360605,690.6148901961102,921.074484617799,11.972287735279682,0.027777929780231286,0.6111144551650883,413.07,0.0,1151.0,0.0,988.01,6.821210263296962e-13
5209,4.521965772848748,14.38014195931644,88.54910468375846,695.015961228843,964.0074943404246,12.155509280069305,0.029080165741792598,0.45074256899778525,335.89,0.0,1130.0,0.0,985.0,4.547473508864641e-13
5210,4.2298855386774035,12.839266715470961,168.63778390373352,681.3923974347242,901.822477580527,14.17215669228892,0.02720183626159102,0.4488302983162518,357.95,0.0,1164.0,0.0,977.52,0.0
5211,3.556410017428203,15.300567856330986,159.82117814654845,559.8544103963021,757.8698311737515,12.007172084564674,0.2172726377206941,0.5031576873531863,261.08,0.0,1217.0,0.0,553.21,-2.2737367544323206e-13
5212,3.319768843737542,10.855964353958457,301.7787298434214,510.01683467825086,707.1748107034355,11.005407324416096,8.037896911042989,0.8005873417373494,0.0,0.0,1392.0,55.38,105.61,2.2737367544323206e-13
5213,3.07,10.96,384.79,521.05,662.13,10.63,27.2,0.8,132.76,0.0,1600.16,0.0,153.23000000000002,0.0
5214,3.07,11.31,496.13,530.71,661.58,11.01,59.64,0.81,345.93,0.0,1783.0500000000002,0.0,337.14,-1.1368683772161603e-13
5215,3.1525930863889347,11.696428421488589,456.9206168693018,549.9580545327667,679.1527568775849,10.874905793113621,97.5455430866726,0.7291013326827829,334.79,0.0,1698.0,0.0,446.82,-2.8421709430404007e-13
5216,3.07,11.42,588.79,533.79,660.98,11.77,123.37,0.72,429.16,0.0,1968.39,0.0,394.68,5.684341886080802e-14
