,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
7786,189.67709260571118,2574.737689132081,1478.4101570706205,1504.582968463737,97.21329946014608,287.29460536922585,2141.724187898478,0.0,7061.0,1212.64,-6.821210263296962e-13
7787,190.4,2660.7,1463.4,1442.2,99.3,264.6,2198.0,0.0,7091.090000000001,1227.51,-6.821210263296962e-13
7788,191.2,2615.5,1462.5,1148.3,98.5,255.6,2371.6,0.0,6910.170000000001,1233.03,-2.2737367544323206e-13
7789,196.50377188214918,2643.9061086744946,1494.5328498299984,836.0100638295182,101.62578004727176,249.0547285665533,2567.2266971700137,0.0,6985.0,1103.86,-2.2737367544323206e-13
7790,195.3,2685.6,1461.8,896.3,94.0,258.6,2588.7,0.0,7013.78,1166.52,4.547473508864641e-13
7791,194.5,2680.8,1461.8,1297.4,94.3,167.1,2381.8,0.0,6920.840000000001,1356.86,-2.2737367544323206e-13
7792,197.8826289455225,2684.338859948561,1511.3104858545703,1875.5427229366371,101.93953612345098,45.59364648117838,2427.112119710076,0.0,7137.0,1706.72,-4.320099833421409e-12
7793,197.41798684802043,2920.406955599001,1503.6910166124767,2771.0568518886366,108.69311476095388,0.411716343791492,2343.5923579471205,0.0,7443.0,2402.27,4.547473508864641e-13
7794,199.1078799748199,2682.011356928027,1463.1809337623276,3308.254005735469,111.44398545149332,0.0,2320.271838147863,0.0,7545.0,2539.27,-1.3642420526593924e-12
7795,198.6,2545.3,1389.8,3457.8,110.6,0.0,2379.2,0.0,7568.62,2512.68,-4.547473508864641e-13
7796,196.6,2629.2,1388.1,3363.5,109.6,0.0,2301.2,0.0,7390.130000000001,2598.07,-4.547473508864641e-13
7797,195.1,2479.8,1389.0,1502.9,112.8,0.0,2324.8,0.0,6988.400000000001,1016.0,0.0
7798,196.1,2086.6,1452.8,518.6,113.3,0.0,2477.2,0.0,6645.0599999999995,199.54,8.810729923425242e-13
7799,196.6,1784.9,1540.2,572.0,113.3,0.0,2564.9,0.0,6069.18,702.72,-6.821210263296962e-13
7800,192.9,1257.2,1406.8,328.9,111.7,0.0,2583.5,0.0,5419.930000000001,461.07,-1.1937117960769683e-12
7801,194.2,1239.3,1247.6,267.9,114.0,0.0,2489.5,0.0,5082.15,470.35,3.410605131648481e-13
7802,191.5,1322.7,1292.8,270.9,115.3,0.0,2329.2,0.0,4984.37,538.03,-2.2737367544323206e-13
