,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
46,74.2,1.0,2.7,1172.1,48.0,4.6,0.7,17.2,157.9,1478.4,0.0
47,73.6,1.0,2.7,1019.6,48.7,4.6,0.7,17.3,156.4,1324.6000000000001,0.0
48,73.6,1.0,2.7,970.0,50.1,4.6,0.7,16.7,153.6,1272.9999999999998,0.0
49,73.5,1.0,2.7,886.7,30.9,4.6,0.7,16.4,162.6,1179.1000000000001,0.0
50,70.6,1.0,2.7,859.3,28.5,4.6,0.7,16.8,142.9,1127.1,2.2737367544323206e-13
51,71.2,1.0,2.7,960.1,27.1,4.6,0.7,16.7,127.4,1211.5,0.0
52,70.9,1.0,2.7,998.6,28.0,4.6,0.7,16.1,104.3,1226.8999999999999,2.2737367544323206e-13
53,70.7,1.0,2.7,1149.0,28.9,4.6,0.7,15.4,84.5,1357.5000000000002,-2.2737367544323206e-13
54,70.7,1.0,2.7,1167.0,30.3,4.6,0.7,16.3,72.6,1365.8999999999999,2.2737367544323206e-13
55,71.0,1.0,2.7,1149.7,32.9,5.2,0.7,16.9,57.6,1337.7000000000003,-2.2737367544323206e-13
56,71.0,1.0,2.7,1118.3,28.3,5.8,0.7,17.2,52.5,1297.5,0.0
57,70.9,1.0,2.7,1145.5,28.1,5.8,0.7,17.0,47.0,1318.6999999999998,2.2737367544323206e-13
58,71.0,1.0,2.7,1145.2,30.2,5.8,0.7,17.0,42.8,1316.4,0.0
59,70.7,1.0,2.7,1144.8,31.3,5.8,0.7,16.9,43.5,1317.4,0.0
60,70.4,1.0,2.7,1155.2,31.7,5.8,0.7,16.0,44.7,1328.1999999999998,4.547473508864641e-13
61,70.9,1.0,2.7,1157.2,32.5,5.8,0.7,16.3,52.0,1339.1,2.2737367544323206e-13
62,71.1,1.0,2.7,1178.0,30.1,4.8,0.7,16.6,58.1,1363.0999999999997,2.2737367544323206e-13
63,71.4,1.0,2.7,1229.7,30.3,4.6,0.7,16.5,59.3,1416.1999999999998,2.2737367544323206e-13
64,73.6,1.0,2.7,1232.1,33.3,4.6,0.7,16.6,56.7,1421.2999999999997,2.2737367544323206e-13
65,74.3,1.0,2.7,1230.4,33.3,4.6,0.7,16.3,49.2,1412.5,2.2737367544323206e-13
66,75.5,1.0,2.7,1237.6,41.9,4.6,0.7,15.6,49.4,1429.0,0.0
67,76.0,1.0,2.7,1231.2,49.4,4.6,0.7,15.4,44.0,1425.0000000000002,-2.2737367544323206e-13
68,75.5,1.0,2.7,1204.7,54.4,4.6,0.7,15.1,42.4,1401.1000000000001,0.0
69,75.8,1.0,2.7,1181.2,58.3,4.6,0.7,14.2,44.9,1383.4,0.0
70,72.6,1.0,2.7,1008.0,58.0,4.6,0.7,12.7,48.3,1208.6,0.0
71,71.4,1.0,2.7,980.5,60.3,4.6,0.7,15.1,49.4,1185.6999999999998,4.547473508864641e-13
72,71.6,1.0,2.7,1031.4,60.4,4.6,0.7,15.8,54.3,1242.5,0.0
73,71.6,1.0,2.7,972.2,60.3,4.6,0.7,15.9,58.5,1187.5,0.0
74,69.8,1.0,2.7,963.2,59.5,4.6,0.7,15.6,62.5,1179.6,2.2737367544323206e-13
75,70.9,1.0,2.7,966.6,62.0,4.6,0.7,15.6,65.1,1189.1999999999998,2.2737367544323206e-13
76,70.7,1.0,2.7,970.9,63.4,4.6,0.7,15.6,68.3,1197.8999999999999,0.0
77,70.6,1.0,2.7,1102.3,62.1,4.6,0.7,15.5,75.8,1335.2999999999997,2.2737367544323206e-13
78,71.0,1.0,2.7,1155.4,60.4,4.6,0.7,16.2,83.9,1395.9000000000003,0.0
79,70.5,1.0,2.7,1182.8,61.5,4.6,0.7,16.4,83.5,1423.7,0.0
80,70.9,1.0,2.7,1175.0,62.5,4.6,0.7,16.0,80.5,1413.8999999999999,2.2737367544323206e-13
81,70.8,1.0,2.7,1217.5,61.9,4.6,0.7,16.1,80.0,1455.3,0.0
82,70.8,1.0,2.7,1236.9,57.5,4.6,0.7,16.7,81.2,1472.1000000000001,0.0
83,70.1,1.0,2.7,1225.0,54.3,4.6,0.7,16.1,82.6,1457.0999999999997,2.2737367544323206e-13
84,68.4,1.0,2.7,1235.2,55.5,4.6,0.7,16.0,81.4,1465.4999999999998,4.547473508864641e-13
85,68.4,1.0,2.7,1236.5,57.5,4.6,0.7,15.5,86.8,1473.6999999999998,2.2737367544323206e-13
86,68.6,1.0,2.7,1238.7,58.3,4.6,0.7,16.0,99.5,1490.1,0.0
87,70.1,1.0,2.7,1189.8,59.0,4.6,0.7,16.0,106.3,1450.1999999999998,0.0
88,72.6,1.0,2.7,1182.5,61.0,4.6,0.7,16.0,112.0,1453.1,0.0
89,73.5,1.0,2.7,1182.6,63.5,4.6,0.7,15.6,120.7,1464.8999999999999,2.2737367544323206e-13
