,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,AT -> CZ,DE -> CZ,PL -> CZ,SK -> CZ,demand,CZ -> AT,CZ -> DE,CZ -> PL,CZ -> SK,mismatch
0,261.78,230.08,354.46,107.57,1827.36,2247.16,319.75,265.18,0.0,123.19,0.0,1757.94,719.23,0.0,5708.370000000001,1351.4,0.0,0.0,1153.93,0.0
1,262.45,229.08,352.04,107.54,1807.24,2249.56,317.49,265.95,0.0,125.48,0.0,1886.98,735.26,0.0,5985.42,1226.1,0.0,0.0,1127.55,0.0
2,261.55,226.27,353.35,107.49,1788.46,2250.69,313.76,265.53,0.0,139.5,0.0,2049.46,819.34,0.0,6360.469999999999,1147.9,0.0,0.0,1067.03,0.0
3,261.64,230.36,353.83,107.5,1813.09,2250.3,317.84,264.92,0.0,142.27,0.0,2083.23,832.71,0.0,6364.660000000001,1204.6,0.0,0.0,1088.43,0.0
4,261.75,235.08,353.23,107.42,1855.45,2251.0,319.32,264.2,0.0,128.59,0.0,2090.73,806.28,0.0,6347.849999999999,1205.6,0.0,0.0,1119.6,0.0
5,261.5,238.92,349.88,112.89,1712.25,2250.92,305.56,265.81,0.0,124.22,0.0,2345.72,768.35,0.0,6358.820000000001,1169.9,0.0,0.0,1207.3,0.0
6,261.74,248.58,354.39,126.03,1755.76,2251.08,316.2,267.13,1.52,140.99,0.0,2217.9300000000003,670.45,0.0,6092.22,1279.7,0.0,0.0,1239.88,-9.094947017729282e-13
7,261.23,229.61,354.89,123.82,1660.84,2253.4,302.93,266.87,9.92,148.14,0.0,2111.32,610.94,0.0,5626.329999999999,1321.5,0.0,0.0,1386.08,9.094947017729282e-13
8,261.19,230.64,360.48,118.3,1682.79,2254.18,310.1,267.25,49.9,175.56,0.0,2276.05,625.6,0.0,5966.84,1331.9,0.0,0.0,1313.3,9.094947017729282e-13
9,261.9,249.72,362.76,116.81,1819.24,2253.55,331.8,268.86,111.56,166.94,0.0,2404.21,665.67,0.0,6377.22,1381.4,0.0,0.0,1254.4,0.0
10,262.13615893489356,247.12408817711884,370.53111088210363,115.79597284045012,1843.3442700164553,2251.590583315327,334.27610988481297,271.0173840067816,146.79024817578912,174.52407376626832,0.0,2430.81,653.71,0.0,6406.0,1398.9,0.0,0.0,1296.75,-4.547473508864641e-13
11,262.34,248.63,373.3,115.12,1846.39,2251.95,340.21,272.25,189.59,163.51,0.0,2365.86,597.0,0.0,6599.72,1269.2,0.0,0.0,1157.23,-9.094947017729282e-13
12,262.17,245.31,360.03,113.14,1810.62,2301.71,339.95,271.49,165.97,142.64,0.0,2231.8700000000003,532.48,0.0,6580.63,1141.7,0.0,0.0,1055.05,9.094947017729282e-13
13,265.6609783733914,246.49891030514434,354.684543161291,110.82381563800729,1819.2586242913003,2398.561271708182,345.3703482253327,274.34080111371145,116.1303894015208,148.0403177821173,0.0,1784.14,612.77,0.0,6517.0,1030.1,0.0,0.0,929.18,-9.094947017729282e-13
14,262.31,243.65,357.49,116.5,1815.14,2446.11,340.65,271.84,31.1,100.28,0.0,1629.73,721.8,0.0,6643.820000000001,871.7,0.0,0.0,821.08,-4.547473508864641e-13
15,265.4773921647034,249.62934898158846,360.99887812726706,434.20414307864223,1907.4172812908469,2465.5243074374785,345.48331137456717,274.22252978895244,1.7933577155718103,69.73945004038242,0.0,1614.88,642.53,0.0,6852.0,893.7,0.0,0.0,886.2,1.3642420526593924e-12
16,267.0484191845233,258.80083151960827,360.6051012661208,1116.8423448104834,2123.3807665718587,2467.7730060223516,354.95883098207145,277.1209620662472,0.0,51.21973757673406,0.0,983.52,350.46,0.0,6855.0,969.1,0.0,0.0,787.63,-2.2737367544323206e-12
17,267.313871785284,260.0330276842966,361.94467655490473,909.0668326478044,2333.5307029096907,2468.5691840126306,351.8402364036728,278.13429522068503,0.0,51.117172781032316,0.0,1070.19,338.04,0.0,6848.0,1026.4,0.0,0.0,815.38,2.2737367544323206e-12
18,267.648519556929,261.4464155807605,365.2182040600672,1016.4290368358446,2516.8137935291675,2469.5265324816,361.5977888934908,279.6493386327672,0.0,58.37037042937096,0.0,876.98,295.12,0.0,6894.0,1057.4,0.0,0.0,817.4,-9.094947017729282e-13
19,267.8942662869282,260.5595345582875,361.5003749228684,840.3463684644714,2660.782391739223,2470.5838187703994,364.1537923157604,277.3073401560091,0.0,67.09211278605328,0.0,777.1,430.53,0.0,6774.0,1157.2,0.0,0.0,846.65,-1.3642420526593924e-12
20,267.8450583531651,246.6598583531651,359.9366488338885,619.4931615421227,2728.1919407900996,2472.285614850071,355.3688736792003,277.1822764397905,0.0,87.85656715849593,0.0,549.6800000000001,370.55,0.0,6459.0,1140.7,0.0,0.0,735.35,-2.7284841053187847e-12
21,267.7475932747816,240.9486180057953,366.54863462791167,377.8292273804443,2760.839311389519,2476.5845179867024,343.2811508288596,273.70067889552774,0.0,79.65026761045846,0.0,338.35,404.95,0.0,6322.0,1000.0,0.0,0.0,608.43,4.547473508864641e-13
22,267.21039903614746,233.48863643209185,364.8733068352622,355.7085775792064,2445.115448247555,2479.4226230728123,330.12202618702406,272.47910902696367,0.0,87.59987358293888,0.0,238.66,393.82,0.0,5985.0,972.3,0.0,0.0,511.2,1.8189894035458565e-12
23,262.77,224.46,359.17,115.73,2178.91,2459.48,308.9,268.8,0.0,95.11,0.0,674.22,626.17,0.0,6535.57,826.6,0.0,0.0,211.55,-4.547473508864641e-13
