,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,CZ -> PL,DE -> PL,LT -> PL,SE -> PL,SK -> PL,demand,PL -> CZ,PL -> DE,PL -> LT,PL -> SE,PL -> SK,mismatch
0,0.0,463.51574640704945,6114.475189489648,305.2811309012984,2637.036215856494,253.05299902859775,3904.8203183169117,0.0,1132.82,0.0,0.0,0.0,13654.0816,719.23,0.0,2.35,3.74,431.6,0.0
1,0.0,460.2362627746874,5930.4992973982635,293.42224849165683,2445.2866016306775,253.39862397761985,4030.495365727094,0.0,1205.49,0.0,0.0,0.0,13045.9184,735.26,0.0,232.46,173.49,431.7,-2.2737367544323206e-13
2,0.0,459.39693277510725,5846.296428991766,293.135913455957,2355.7958844302243,253.62844462735225,4128.828795719593,0.0,1239.79,0.0,0.0,0.0,12706.1224,819.34,0.0,377.81,249.4,424.2,-2.2737367544323206e-13
3,0.0,457.03226548966575,5912.4962844883485,291.4526624769839,2368.2526213126685,255.19318155505164,4109.53178467728,0.0,1259.27,0.0,0.0,0.0,12546.9388,832.71,0.0,466.6,371.58,435.4,-9.094947017729282e-13
4,0.0,453.8,5878.13,290.11,2286.76,255.78,4218.48,0.0,1238.68,0.0,0.0,0.0,12590.0,806.28,0.0,427.99,358.27,439.2,-2.2737367544323206e-13
5,0.0,453.54,5788.85,290.11,2184.86,254.73,4243.45,0.0,1285.97,0.0,0.0,0.0,12857.28,768.35,0.0,232.84,199.24,443.8,-4.547473508864641e-13
6,0.0,452.95,5782.75,289.73,2162.58,252.72,4236.39,0.0,1148.08,0.0,0.0,0.0,12861.789999999999,670.45,0.0,89.9,241.36,461.7,-2.2737367544323206e-13
7,0.0,453.72,5865.01,306.96,2185.57,253.28,4209.57,0.0,1097.56,0.0,0.0,0.0,12948.58,610.94,0.0,141.2,191.95,479.0,0.0
8,0.0,453.49,6210.05,323.04,2633.8,254.19,4093.78,0.0,1130.8,0.0,0.0,0.0,13551.71,625.6,0.0,272.93,185.41,463.5,2.2737367544323206e-12
9,0.0,454.25,6165.61,336.08,2743.14,254.72,4003.52,0.0,1117.68,0.0,0.0,0.0,13940.91,665.67,0.0,2.41,0.21,465.8,2.2737367544323206e-13
10,0.0,461.2213445314752,6193.874235074772,452.3437036580499,2692.8066132284985,258.40529760602175,4052.465505901182,0.0,1121.03,0.0,0.0,0.0,14091.8367,653.71,0.0,0.0,0.0,486.6,-4.547473508864641e-13
11,0.0,463.75605982489594,6269.509844884947,497.5580879377252,2941.8187090771817,260.31035857748645,4102.205139697765,0.0,1072.91,0.04,0.0,0.0,14570.4082,597.0,0.0,0.0,0.0,440.7,-1.1368683772161603e-12
12,0.0,464.4231520222624,6424.626007957904,562.1048910872718,3403.1638436292233,261.3646531739441,3927.581552129398,0.0,885.31,0.11,0.0,0.0,15060.2041,532.48,0.0,0.0,0.0,336.0,3.183231456205249e-12
13,0.0,468.16236389216044,6489.006104727228,604.9097938171694,3666.7394652968596,264.27257443197254,3607.861097834611,0.0,979.39,0.0,1.1,0.0,15178.5714,612.77,0.0,0.0,0.0,290.1,7.958078640513122e-13
14,0.0,468.3639803618814,6724.415570201764,556.3929699105818,3723.4833637193547,265.4747899224149,3308.771525884002,0.0,1057.61,0.0,182.4,0.0,15280.6122,721.8,0.0,0.0,0.0,284.5,-6.821210263296962e-13
15,0.0,527.1796123013913,7399.16860421008,626.6849313202011,3975.469512684179,266.763975411093,2998.967464073055,0.0,1116.12,12.48,499.1,0.0,16510.2041,642.53,0.0,0.0,0.0,269.2,3.183231456205249e-12
16,0.0,562.4866160093443,7104.905922081316,599.2158649861915,3847.88968371988,264.6766187808495,3044.459194422418,0.0,950.85,481.07,597.4,0.0,16884.6939,350.46,0.0,0.0,0.0,217.8,2.0463630789890885e-12
17,0.0,565.1052890381804,6956.771843540479,587.9078012016525,3899.774700903054,265.1344873928656,3025.904677923768,0.0,1065.6,486.48,597.4,0.0,16896.9388,338.04,0.0,0.0,0.0,215.1,-5.684341886080801e-13
18,0.0,566.87062891282,7132.359114725166,535.8761147377527,4047.6497475186675,269.4432982942676,2899.042295811328,0.0,998.41,486.53,597.4,0.0,17053.0612,295.12,0.0,0.0,0.0,185.4,4.092726157978177e-12
19,0.0,568.642528147333,7196.165542431175,525.9520836027102,4106.764770924912,273.0342713880163,2754.5032035058543,0.0,889.48,486.81,597.5,0.0,16706.1224,430.53,0.0,0.0,0.0,262.2,-4.547473508864641e-13
20,0.0,563.3561903669993,6720.900862454937,475.83809026656496,3672.3622379881735,272.81984285781544,2643.044576065511,0.0,923.62,486.7,597.5,0.0,15779.5918,370.55,0.0,0.0,0.0,206.0,1.1368683772161603e-12
21,0.0,568.1338520906064,6573.875678217346,340.25729187009273,3440.304788033113,281.0704503643301,2526.230139424509,0.0,881.51,478.28,597.5,0.0,15130.6122,404.95,0.0,0.0,0.0,151.6,-6.821210263296962e-13
22,0.0,565.5336065782144,6650.2406473835445,326.2646310833708,3088.273620597794,285.07569272652785,2443.86670163055,0.0,741.51,62.0,483.7,0.0,14112.2449,393.82,0.0,0.0,0.0,140.4,2.9558577807620168e-12
23,0.0,563.1745648099547,6739.1954072011395,322.8385957431402,2987.834523228386,287.20476631310925,2349.329242704268,0.0,823.67,0.38,26.7,0.0,13292.8571,626.17,0.0,0.0,0.0,181.3,-6.821210263296962e-13
24,0.0,556.5172675428955,6831.194795358601,318.32512360218806,2726.039745447041,284.44373364173134,2011.6050344075436,0.0,738.0,0.11,0.0,0.0,12764.2857,565.75,0.0,0.0,0.0,136.2,-1.1368683772161603e-12
