,biomass,gas,hydro,other_fossil,wind_onshore,LT -> LV,demand,LV -> LT,mismatch
0,172.40816326530611,0.0,349.29446064139944,199.27696793002917,47.02040816326531,0.0,640.0,128.0,0.0
1,190.92857142857144,0.0,386.8163265306123,220.68367346938777,52.07142857142858,0.0,615.0,235.5,1.1368683772161603e-13
2,181.8558823529412,0.0,366.0735294117647,210.1970588235294,44.87352941176471,0.0,595.0,208.0,1.1368683772161603e-13
3,158.2125340599455,0.0,387.20435967302456,183.19346049046322,35.38964577656676,0.0,599.0,165.0,0.0
4,106.28523489932886,0.0,588.7642617449665,123.06711409395973,15.383389261744966,0.0,613.0,220.5,0.0
5,100.22707423580786,1.3187772925764192,675.2139737991266,116.05240174672488,13.187772925764191,0.0,628.0,278.0,0.0
6,102.27763496143959,1.345758354755784,807.4550128534704,118.426735218509,17.494858611825194,0.0,640.0,407.0,0.0
7,90.53206650831355,1.1912114014251782,794.5380047505939,104.82660332541569,11.912114014251783,0.0,640.0,363.0,1.1368683772161603e-13
8,77.66120218579235,1.0218579234972678,757.1967213114755,89.92349726775956,9.196721311475411,0.0,684.0,251.0,0.0
9,82.08000000000001,1.08,806.7600000000001,95.04,14.040000000000001,0.0,720.0,279.0,0.0
10,79.94159113796576,1.051863041289023,838.3348439073513,92.56394763343403,32.607754279959714,0.0,738.0,306.5,-2.2737367544323206e-13
11,78.73797841020608,1.0225711481844946,832.3729146221785,89.98626104023552,39.88027477919529,0.0,747.0,295.0,0.0
12,77.0,1.0,939.0,89.0,49.0,0.0,764.0000000000001,391.0,-1.1368683772161603e-13
13,77.0,1.0,1011.0,89.0,49.0,0.0,796.5,430.5,0.0
14,77.0,1.0,1012.0,89.0,46.0,0.0,827.5000000000001,397.5,-1.1368683772161603e-13
15,78.38060309698452,1.0179299103504482,1031.162999185004,90.5957620211899,47.842705786471065,0.0,840.0,409.0,0.0
16,79.5979674796748,1.033739837398374,1046.1447154471543,93.03658536585365,51.6869918699187,0.0,843.0,428.5,-2.2737367544323206e-13
17,78.12774613506916,1.0146460537021968,1026.8218063466231,91.31814483319772,49.71765663140764,0.0,833.0,414.0,-2.2737367544323206e-13
18,80.59577922077922,1.0332792207792207,1045.6785714285713,92.99512987012987,52.697240259740255,0.0,817.0,456.0,0.0
19,82.73286052009456,1.0606776989755713,1112.6509062253742,95.46099290780141,54.09456264775414,0.0,795.0,551.0,0.0
20,93.05822267620022,1.1930541368743617,905.5280898876405,107.37487231869255,60.845760980592445,0.0,735.0,433.0,0.0
21,103.4305381727159,1.3260325406758449,766.4468085106383,120.66896120150189,67.62765957446808,0.0,669.0,390.5,0.0
22,92.56960227272727,1.1867897727272727,573.2194602272727,107.99786931818181,60.52627840909091,0.0,614.0,221.5,-1.1368683772161603e-13
23,78.0,1.0,636.0,90.0,51.0,0.0,651.5,204.5,0.0
24,78.0,1.0,546.0,90.0,51.0,0.0,590.0,176.0,0.0
25,78.24936061381075,1.0031969309462916,565.8030690537084,90.28772378516624,49.156649616368284,0.0,550.0,234.5,0.0
26,77.0,1.0,612.0,89.0,46.0,0.0,580.0,245.0,0.0
27,77.0,1.0,787.0,89.0,48.0,0.0,745.0,257.0,0.0
28,80.7700296735905,1.0489614243323442,839.1691394658753,93.35756676557864,46.154302670623146,0.0,700.0,360.5,0.0
29,97.77777777777777,1.2698412698412698,1024.7619047619048,113.01587301587301,43.17460317460317,0.0,827.0,453.0,0.0
30,96.52069917203312,31.750229990800367,1102.3679852805888,111.76080956761729,38.10027598896044,0.0,917.0,463.5,0.0
31,100.37408759124087,33.01779197080292,1156.9434306569342,116.22262773722628,40.942062043795616,0.0,961.0,486.5,0.0
32,106.27068832173241,33.559164733178655,1503.170920340294,123.05027068832175,41.948955916473324,0.0,992.0,816.0,2.2737367544323206e-13
33,102.30131004366812,32.3056768558952,1553.3646288209607,118.45414847161572,43.07423580786026,0.0,997.0,852.5,0.0
34,99.78794480755266,48.58097312999274,1506.010167029775,115.5439360929557,38.07697893972404,0.0,973.0,835.0,0.0
35,102.82520630157539,87.94261065266316,1447.6706676669169,119.06076519129783,46.000750187546885,0.0,992.0,811.5,0.0
36,100.25168539325843,139.8247191011236,1367.9078651685395,116.0808988764045,36.93483146067416,0.0,993.0,768.0,2.2737367544323206e-13
37,101.03094339622642,294.9011320754717,1262.8867924528302,116.0490566037736,34.132075471698116,0.0,1001.0,808.0,-2.2737367544323206e-13
38,89.84734239802225,443.1659456118665,1305.2147713226204,104.41718170580964,21.854758961681085,0.0,1055.0,909.5,0.0
39,87.90875912408758,451.42335766423355,1296.060218978102,102.16423357664233,15.443430656934305,0.0,1055.0,898.0,-2.2737367544323206e-13
40,86.50516403402186,437.1394289185905,1258.361786148238,99.19258809234508,17.301032806804372,0.0,1042.0,856.5,-2.2737367544323206e-13
41,90.0226586102719,451.31359516616317,1322.7329305135952,103.22598187311179,19.204833836858008,0.0,1005.0,981.5,0.0
42,103.39253393665157,283.32239819004525,1255.480769230769,119.50565610859728,18.79864253393665,0.0,969.0,811.5,-2.2737367544323206e-13
43,99.66680997420464,81.06233877901978,1231.8817712811694,115.6134995700774,17.275580395528806,0.0,915.0,630.5,2.2737367544323206e-13
44,99.20454545454545,1.3227272727272728,1226.168181818182,115.07727272727273,13.227272727272727,0.0,828.0,627.0,0.0
45,102.54333941605839,1.3672445255474452,1259.2322080291972,118.95027372262774,16.406934306569344,0.0,751.0,747.5,2.2737367544323206e-13
46,102.65113974231913,1.3686818632309217,1144.2180376610504,119.07532210109018,13.686818632309217,0.0,681.0,700.0,0.0
