,hydro,nuclear,solar,wind_onshore,AT -> CH,DE -> CH,FR -> CH,IT -> CH,demand,CH -> AT,CH -> DE,CH -> FR,CH -> IT,mismatch
583,4347.721508824002,3466.908835524605,10.695652390570084,33.27400326082387,658.13,3143.91,730.36,0.0,8702.0,0.0,0.0,0.0,3689.0,0.0
584,3789.20341994603,3416.100564707052,43.48948130059766,33.97653404632221,752.8,3290.83,1219.6,0.0,8666.0,0.0,0.0,0.0,3880.0,0.0
585,3595.357902985645,3445.2152333251274,96.00322553205939,29.11363815716869,783.16,3338.92,1371.23,0.0,8637.0,0.0,0.0,0.0,4022.0,0.0
586,3217.3710164750105,3546.3842640926614,137.16933688942967,26.415382542898577,803.17,3286.84,1280.65,0.0,8599.0,0.0,0.0,0.0,3699.0,0.0
587,2521.7958964576987,3646.530354719196,143.99298754019784,27.480761282907206,941.83,3227.65,1279.72,0.0,8252.0,0.0,0.0,0.0,3537.0,0.0
588,3087.729257464245,3538.047982774463,124.45382282569354,20.88893693559914,985.26,3046.92,1227.7,0.0,8237.0,0.0,0.0,0.0,3794.0,0.0
589,3675.5057088493777,3666.153078150809,107.2556562284376,26.885556771374205,1083.76,2834.17,768.27,0.0,8034.0,0.0,0.0,0.0,4128.0,0.0
590,3526.6501614406657,3546.2979045487778,58.81720146604053,20.504732544514237,1081.31,2742.19,1215.23,0.0,8034.0,0.0,0.0,0.0,4157.0,-3.637978807091713e-12
591,4180.254147526475,3330.0297576377693,14.523641647887416,11.732453187869964,971.8,2499.81,1183.85,0.0,8109.0,0.0,0.0,0.0,4083.0,0.0
592,6137.750971492255,3409.727127316017,0.26635655576803735,12.155544635959522,718.06,1847.57,470.47,0.0,8368.0,0.0,0.0,0.0,4228.0,0.0
593,6701.914734175645,3609.224453261584,0.1663885878662385,11.314423974904217,820.39,2212.67,0.0,0.0,8518.0,0.0,0.0,373.68,4464.0,-1.8189894035458565e-12
594,4472.742250922111,3464.760527198192,0.1843284550734984,14.94289342462494,1196.78,3064.74,368.85,0.0,8182.0,0.0,0.0,0.0,4401.0,1.8189894035458565e-12
595,1898.6006280944978,3635.1606167774803,0.20606026312066777,19.472694864903104,1268.1,3495.9,1592.56,0.0,7691.0,0.0,0.0,0.0,4219.0,1.8189894035458565e-12
596,1318.0246971328368,3515.338010674951,0.21150502984064473,19.495787162370018,1019.77,3293.88,2141.28,0.0,7249.0,0.0,0.0,0.0,4059.0,0.0
597,1217.1353080717763,3434.4251754395073,0.20649794150976739,21.743018547204915,1100.22,3563.8,2005.47,0.0,7126.0,0.0,0.0,0.0,4217.0,0.0
598,935.2086507497528,3452.0002428191365,0.20749594840508212,25.97361048270675,1149.97,3518.39,1932.25,0.0,6816.0,0.0,0.0,0.0,4198.0,0.0
599,882.6390682344803,3377.2084934096597,0.2029357194442198,21.06950263641458,1063.24,3323.27,2072.37,0.0,6485.0,0.0,0.0,0.0,4255.0,0.0
600,737.4823386497553,3330.7135024450927,0.2001276978106478,19.224031207340456,1007.84,3376.51,2324.03,0.0,6548.0,0.0,0.0,0.0,4248.0,0.0
601,784.5383093867822,3323.5684259158925,0.18790492867369005,9.665359768652932,1019.4,3202.2,2485.44,0.0,6815.0,0.0,0.0,0.0,4010.0,0.0
602,804.5034036769398,3373.6085671788087,0.19076775781891125,5.997261386432023,897.88,2663.06,2817.76,0.0,6687.0,0.0,0.0,0.0,3876.0,0.0
603,740.0865449275528,3313.359151322026,0.1872747860009623,8.837028964420409,752.05,2479.4,3105.08,0.0,6645.0,0.0,0.0,0.0,3754.0,0.0
604,848.7728407063586,3224.6826037551477,0.1823528721993439,8.502202666294409,751.04,2947.85,2962.97,0.0,6790.0,0.0,0.0,0.0,3954.0,0.0
605,1820.737245736652,3348.9204885331433,0.16575297617006296,8.66651275403472,541.14,2476.01,2762.36,0.0,7452.0,0.0,0.0,0.0,3506.0,0.0
606,4805.54236481192,3382.2770331653824,0.15541354952336342,4.985188473172503,354.31,1519.94,1189.79,0.0,8226.0,0.0,0.0,0.0,3031.0,0.0
607,6608.468727911742,3636.8403928916764,7.581569612769731,6.489309583811379,234.71,1203.69,555.22,0.0,8645.0,0.0,0.0,0.0,3608.0,0.0
608,5905.967482098705,3691.955501662578,38.87161744346087,4.945398795257359,380.26,1694.31,612.69,0.0,8755.0,0.0,0.0,0.0,3574.0,1.8189894035458565e-12
609,4524.063906299457,3631.0007071121295,69.91232321027347,5.13306337814049,527.25,1717.52,1073.12,0.0,8842.0,0.0,0.0,0.0,2706.0,0.0
610,4392.560741311549,3598.2061417193786,79.72820400329037,6.414912965781984,618.62,1770.39,1130.08,0.0,8935.0,0.0,0.0,0.0,2661.0,0.0
611,3115.954662857143,3613.9358313817334,90.23965789227168,7.96984786885246,728.72,1885.37,1294.81,0.0,8432.0,0.0,0.0,0.0,2305.0,0.0
612,2726.1609368204636,3559.4712141699283,79.2057293322263,7.142119677381093,722.09,2087.42,1831.51,0.0,8510.0,0.0,0.0,0.0,2503.0,0.0
613,2112.1435523627315,3421.5100179623464,49.34241349797735,6.734016176945361,754.96,2446.35,2705.96,0.0,8396.0,0.0,0.0,0.0,3101.0,0.0
614,2145.885842884873,3284.123179254288,25.71112815540998,8.829849705427739,781.69,2833.6,2759.16,0.0,8321.0,0.0,0.0,0.0,3518.0,-1.8189894035458565e-12
615,2690.234501211329,3317.924181549214,7.867109748515319,8.454207490941835,722.92,2269.98,2632.62,0.0,8109.0,0.0,0.0,0.0,3541.0,1.8189894035458565e-12
616,5281.660195381317,3411.389325119504,0.3983434688402521,8.522136030339938,466.16,1395.44,1459.43,0.0,8320.0,0.0,0.0,0.0,3703.0,1.8189894035458565e-12
617,6372.440095986218,3625.7774114486124,0.33352277621674836,8.56896978895338,377.09,1574.43,344.36,0.0,8367.0,0.0,0.0,0.0,3936.0,0.0
618,3965.8943543170944,3519.6548456324117,0.3360705903457762,7.704729460149461,936.38,2302.58,1046.45,0.0,8053.0,0.0,0.0,0.0,3726.0,1.8189894035458565e-12
619,1679.9308647969644,3491.43856392361,0.2714960003051019,5.689075279120544,983.94,3227.35,2090.38,0.0,7588.0,0.0,0.0,0.0,3891.0,0.0
620,1105.0654406526025,3318.315524479228,0.23452650536993624,3.834508362798457,882.08,3237.72,2541.75,0.0,7134.0,0.0,0.0,0.0,3955.0,0.0
