,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_onshore,BE -> FR,CH -> FR,DE -> FR,ES -> FR,GB -> FR,IT -> FR,demand,FR -> BE,FR -> CH,FR -> DE,FR -> ES,FR -> GB,FR -> IT,mismatch
7495,336.2202016225245,7603.906876938679,980.983941929134,8311.199374254355,47690.99048929253,468.4531467728466,246.0147816750179,3098.761187514913,0.0,0.0,0.0,2351.05,0.0,0.0,64632.0,811.72,717.75,1099.11,0.0,2018.0,1809.0,1.6370904631912708e-11
7496,343.05757155661786,7777.366164923813,1008.2545700627428,7528.4402440991935,48677.5684079773,474.8418825814162,943.4083217806992,3260.0928370182255,0.0,0.0,0.0,0.0,0.0,0.0,64281.0,612.16,593.33,963.54,0.0,2018.0,1545.0,1.3642420526593924e-11
7497,345.11103006348065,7488.27805171278,1039.541761288777,7062.150103006348,48992.08808794466,475.5798341118697,1696.0944526290575,3177.5466792430234,0.0,0.0,0.0,0.0,0.0,0.0,63806.0,1173.93,591.0,1221.46,0.0,2018.0,1466.0,-9.094947017729282e-13
7498,334.30592538709345,7099.682372886388,985.6436098038926,7122.037176407714,47376.94155371803,462.33798191832074,1991.6097682635354,3074.8016116150297,0.0,0.0,0.0,2455.58,0.0,0.0,63323.0,1370.02,859.0,1657.92,0.0,2017.0,1676.0,1.8189894035458565e-12
7499,330.7532336056359,7406.0402949861345,951.8005896724874,5883.766238177322,47077.21024986885,461.23386704639137,2207.044512928127,3162.8910137150565,0.0,0.0,0.0,2386.59,0.0,0.0,62352.0,1545.98,734.0,2115.35,0.0,1764.0,1356.0,1.8189894035458565e-12
7500,341.25593668177805,7567.97464458309,987.3533046067298,6018.79754178075,48379.27151128866,477.55022846626866,2275.3863826922216,3490.590449900504,0.0,0.0,0.0,0.0,0.0,0.0,59988.0,1817.27,1153.0,2814.91,0.0,1863.0,1902.0,-7.275957614183426e-12
7501,328.76309136589987,7101.48323880305,874.0287063142216,5730.300589447712,46542.0286112323,463.07484210684675,1935.4924677669287,3648.468452963035,0.0,0.0,0.0,2436.3,0.0,0.0,58314.0,1796.83,1472.0,3098.11,0.0,1857.0,2522.0,1.8189894035458565e-12
7502,346.91696044224926,7773.901400154062,663.1613847478363,6310.081054873352,49207.209352485384,487.5875572069418,1240.651203044995,3995.8910870451764,0.0,0.0,0.0,0.0,0.0,0.0,57208.0,2290.8,2332.66,4066.94,0.0,1451.0,2676.0,-5.4569682106375694e-12
7503,339.60532995772894,7491.961959979321,615.2120870966761,6188.249097558009,48037.122310768485,473.7958858680778,580.1160955508926,4159.907233220813,0.0,0.0,0.0,2442.95,0.0,0.0,57104.0,2397.77,2317.7,4146.45,0.0,1811.0,2552.0,0.0
7504,348.9880526213272,7622.57795178376,596.1437251464616,6925.662600500442,49453.41033817293,487.94682129425684,169.72063349365456,5191.329876987159,0.0,0.0,0.0,2426.07,0.0,0.0,62130.0,2438.38,1245.51,3136.96,0.0,1864.0,2407.0,5.4569682106375694e-12
7505,340.9480128317294,7386.513960921551,559.2378990959463,7722.264595508895,48514.40748439778,479.1982741324001,0.0,6284.669773111695,0.0,0.0,0.0,2326.17,0.0,0.0,64510.0,1686.46,1005.05,2157.9,0.0,2017.0,2237.0,-1.0913936421275139e-11
7506,331.59501953756205,7232.410883450362,539.8528671739577,5948.491143167729,47228.02723389253,466.0527561183418,0.0,7073.690096659517,0.0,0.0,0.0,113.19,0.0,0.0,62252.0,394.23,974.65,1478.43,0.0,2018.0,1816.0,-2.7284841053187847e-12
7507,328.12679503031563,6741.149263038717,509.7504950318054,4872.733078493005,46580.96009817212,461.58509392643793,0.0,7864.005176307596,161.87,0.0,0.0,0.0,0.0,0.0,58530.0,0.0,1272.64,1557.7,2300.84,2017.0,1842.0,-7.275957614183426e-12
7508,327.0,4729.0,394.0,4097.0,46570.0,459.0,0.0,8415.0,77.54,0.0,0.0,0.0,0.0,0.0,56786.62,0.0,808.71,1284.43,2619.78,2020.0,1549.0,-1.8189894035458565e-12
7509,333.97509505762724,3949.662785757732,414.4142185623606,4355.931270294296,46944.88340741434,468.3797064832577,0.0,8819.793516430387,97.06,0.0,0.0,0.0,0.0,0.0,58347.0,0.0,571.82,1581.28,1307.0,2019.0,1558.0,-9.094947017729282e-12
7510,328.0,3802.0,374.0,4254.0,44946.0,461.0,0.0,8883.0,0.0,0.0,0.0,0.0,0.0,0.0,57360.43,253.19,544.38,1573.95,243.05,1720.0,1353.0,0.0
7511,328.0,2996.0,331.0,4060.0,43812.0,455.0,0.0,9091.0,0.0,0.0,0.0,540.32,0.0,0.0,54342.02,692.42,869.64,2255.24,0.0,1520.0,1934.0,3.637978807091713e-12
7512,328.0,2535.0,43.0,4057.0,43934.0,456.0,0.0,9301.0,0.0,0.0,0.0,0.0,0.0,0.0,51578.240000000005,1184.45,1294.29,2721.75,199.27,1520.0,2156.0,-5.4569682106375694e-12
7513,328.0,2512.0,42.0,3895.0,43841.0,456.0,0.0,9315.0,0.0,0.0,0.0,0.0,0.0,0.0,49367.25000000001,1885.74,1950.99,3295.2,5.82,1413.0,2471.0,-7.275957614183426e-12
7514,327.0,2295.0,43.0,3645.0,43872.0,462.0,0.0,9317.0,0.0,0.0,0.0,0.0,0.0,0.0,47104.42,2111.53,2440.97,3654.73,981.35,1412.0,2256.0,1.8189894035458565e-12
7515,327.0,2285.0,43.0,3435.0,43971.0,464.0,0.0,9233.0,0.0,0.0,0.0,0.0,0.0,0.0,45932.630000000005,2128.76,2778.36,4147.74,942.51,1412.0,2416.0,-5.4569682106375694e-12
7516,327.0,2289.0,42.0,3372.0,43538.0,467.0,0.0,9122.0,0.0,0.0,0.0,0.0,0.0,0.0,46541.54,2023.91,2327.85,3710.84,846.86,1412.0,2294.0,-1.8189894035458565e-12
7517,327.0,2290.0,42.0,3555.0,43756.0,465.0,0.0,8877.0,0.0,0.0,0.0,0.0,0.0,0.0,48404.25,1568.57,2052.0,3016.97,707.21,1412.0,2151.0,0.0
7518,327.0,2272.0,42.0,3690.0,44005.0,466.0,115.0,8503.0,0.0,0.0,0.0,0.0,0.0,0.0,50278.61,1231.18,1674.61,2500.57,222.03,1516.0,1997.0,0.0
7519,331.6028944845334,2297.896510403525,43.60527358665119,3985.319190593934,44861.71391162469,480.67208558308516,251.4908802206859,8035.539253502883,0.0,0.0,0.0,565.61,0.0,0.0,52475.0,1009.07,1426.56,2038.82,0.0,1915.0,1989.0,-1.8189894035458565e-11
7520,337.84765750570494,2527.1418050732545,43.393277110824485,4881.7436749677545,45779.907351919835,481.4587412772431,627.1361715778681,7801.491320567517,0.0,0.0,0.0,0.0,0.0,0.0,54360.0,893.84,1098.61,1682.13,266.54,2018.0,2161.0,2.7284841053187847e-12
7521,335.77117686159437,3175.9640673789336,42.099750004053114,5108.445274882055,45476.971412914834,476.44595126538155,1048.3864574180056,7671.395909275142,0.0,0.0,0.0,0.0,0.0,0.0,54996.0,978.46,728.35,1542.89,1090.78,2019.0,1980.0,3.637978807091713e-12
7522,338.27852248186946,3232.7840451248994,43.448617566478646,5054.522510233683,45588.97922707494,483.10724770346496,1392.4247439161966,8056.615085898469,0.0,0.0,0.0,0.0,0.0,0.0,56094.0,1154.16,811.09,1572.96,494.95,2020.0,2043.0,-3.637978807091713e-12
7523,335.9998783925009,3206.8979219051844,43.15594768344048,5732.548383950344,45204.82767584001,487.0456952845426,1554.6416391677487,8327.04285777623,0.0,0.0,0.0,0.0,0.0,0.0,57472.0,899.73,991.81,1345.42,40.2,2019.0,2124.0,-3.637978807091713e-12
7524,327.0,3350.0,42.0,4814.0,44102.0,479.0,1712.0,7608.0,0.0,0.0,0.0,0.0,0.0,0.0,54488.22000000001,1351.92,993.0,1587.5,156.36,2020.0,1837.0,-9.094947017729282e-12
