,gas,hard_coal,hydro,other_fossil,wind_onshore,demand,mismatch
0,686.0,259.0,178.0,174.0,1988.0,3285.0,0.0
1,637.0,269.0,176.0,194.0,1884.0,3160.0,0.0
2,670.0,291.0,180.0,198.0,1700.0,3039.0000000000005,-4.547473508864641e-13
3,702.0,318.0,178.0,205.0,1387.0,2789.9999999999995,4.547473508864641e-13
4,664.0,358.0,179.0,213.0,1311.0,2725.0,0.0
5,583.0,325.0,172.0,210.0,1413.0,2703.0,0.0
6,558.0,239.0,175.0,200.0,1566.0,2738.0,0.0
7,539.0,220.0,177.0,149.0,1732.0,2817.0,0.0
8,538.0,219.0,177.0,148.0,1688.0,2770.0,0.0
9,546.0,223.0,187.0,148.0,1847.0,2951.0,0.0
10,542.0,221.0,196.0,148.0,2115.0,3222.0,0.0
11,546.0,223.0,198.0,149.0,2357.0,3473.0,0.0
12,537.0,221.0,198.0,148.0,2443.0,3547.0000000000005,-4.547473508864641e-13
13,553.0,223.0,201.0,147.0,2443.0,3567.0,0.0
14,565.0,217.0,197.0,148.0,2359.0,3486.0,0.0
15,574.0,215.0,197.0,159.0,2153.0,3297.9999999999995,4.547473508864641e-13
16,671.2266687268233,259.6559023485785,266.12036464771325,200.39833127317678,2089.0987330037083,3486.5,0.0
17,863.3270197183098,377.8401295774648,336.93436056338027,264.81103098591547,1978.5474591549294,3821.46,0.0
18,1017.3455701629038,444.6176936267505,364.9525378679623,280.9811574735639,1658.9730408688197,3766.87,4.547473508864641e-13
19,1036.7621815806663,412.3619072501633,390.1037361201829,315.12884389288047,1432.7233311561072,3587.08,4.547473508864641e-13
20,1124.818834688347,454.5659620596206,404.70285907859073,328.16879403794036,1110.9035501355013,3423.16,0.0
21,1139.4689173372346,595.6041331382589,352.549517190929,352.549517190929,849.487915142648,3289.66,-4.547473508864641e-13
22,1186.5380864197532,472.0771851851852,270.3022592592593,376.9003333333334,777.9121358024692,3083.73,0.0
23,1177.7553507340947,444.738160685155,319.0780709624796,378.2122308319739,700.9861867862969,3020.77,0.0
24,1031.6607602792863,536.4202482544608,199.39661753297128,342.44201706749413,683.8003568657874,2793.72,0.0
25,914.9370205894228,381.7424303593056,182.57246669358096,322.61384739604364,767.6342349616472,2569.5,0.0
26,846.0,348.0,176.0,302.0,1007.0,2679.0,0.0
27,808.0,242.0,179.0,307.0,1368.0,2904.0000000000005,-4.547473508864641e-13
28,564.0,229.0,180.0,214.0,1626.0,2813.0,0.0
29,578.0,234.0,182.0,192.0,1685.0,2871.0,0.0
30,569.0,231.0,179.0,191.0,1738.0,2908.0000000000005,-4.547473508864641e-13
31,570.0,230.0,178.0,190.0,2002.0,3170.0,0.0
32,566.0,228.0,204.0,190.0,2164.0,3352.0,0.0
33,660.4687525682418,235.13523627825066,217.36946287056062,256.03614616965075,2191.4604021132964,3560.47,4.547473508864641e-13
34,703.0529443127962,252.34972452606632,225.90259182464453,310.7538092417061,2228.1709300947864,3720.23,-4.547473508864641e-13
35,645.9492924528302,258.1522700471698,246.7799233490566,249.05439268867923,2457.564121462264,3857.5,0.0
36,736.424025411493,307.9798007507941,231.8371931850996,236.3830205024545,2422.9259601501585,3935.55,-9.094947017729282e-13
37,869.0349698299507,393.34126439934175,236.22147558968734,291.48429786066924,2160.667992320351,3950.75,0.0
38,976.8650401658462,517.7693521637731,244.988281938326,285.1334205752786,1947.5539051567764,3972.31,4.547473508864641e-13
39,920.7948523647766,540.3974392474523,225.69540109746538,290.3311732427489,2077.8811340475568,4055.1,4.547473508864641e-13
40,948.5336323311975,549.766690487925,256.27422129127643,300.936118777723,2259.6793371118774,4315.19,-9.094947017729282e-13
41,967.8702720739219,588.381568275154,362.08096509240244,364.40199691991785,2238.6351976386036,4521.37,0.0
42,775.3339933993399,417.11766776677666,304.12325632563255,391.87423542354236,2482.2708470847083,4370.72,-9.094947017729282e-13
43,772.8119912112057,382.96617962098327,277.4784894259819,330.2223345234826,2411.3110052183465,4174.79,0.0
44,727.277120336311,272.98940620073563,253.19246452968994,283.40884918549654,2428.7721597477666,3965.64,0.0
45,598.6372429771213,231.9719316536345,224.4889661164205,238.38590211410366,2397.7559571387196,3691.24,0.0
46,574.8304156553398,232.64461468446603,212.82287621359225,194.04438713592234,2224.20770631068,3438.55,0.0
47,596.0,238.0,242.0,192.0,2186.0,3453.9999999999995,4.547473508864641e-13
48,571.0,236.0,175.0,192.0,2131.0,3305.0,0.0
49,569.0,233.0,170.0,189.0,2074.0,3235.0,0.0
50,565.0,230.0,170.0,188.0,1935.0,3087.9999999999995,4.547473508864641e-13
51,568.0,231.0,170.0,189.0,1823.0,2981.0,0.0
52,571.0,234.0,171.0,190.0,1772.0,2937.9999999999995,4.547473508864641e-13
53,575.0,237.0,171.0,191.0,1817.0,2991.0,0.0
54,566.0,229.0,170.0,188.0,2075.0,3228.0,0.0
55,653.0,229.0,170.0,261.0,2222.0,3535.0,0.0
56,656.0,217.0,197.0,276.0,2292.0,3638.0,0.0
57,623.0,239.0,240.0,365.0,2444.0,3910.9999999999995,4.547473508864641e-13
58,661.0,220.0,227.0,452.0,2400.0,3960.0,0.0
59,618.4218061897515,229.58133942161342,216.13738711314056,458.12852866565197,2554.350938609843,4076.62,4.547473508864641e-13
60,636.0594674556213,235.95754437869823,222.62081360946746,456.5265532544379,2609.895621301775,4161.06,-9.094947017729282e-13
61,612.133014449427,242.99199053313407,213.00574489287496,427.0454982561037,2655.3337518684607,4150.51,0.0
62,564.9500302190885,227.21939058171748,204.49745152354572,419.3230571644422,2685.3200705112063,4101.31,0.0
