,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,DE -> DK,NO -> DK,SE -> DK,demand,DK -> DE,DK -> NO,DK -> SE,mismatch
0,587.0,236.0,254.0,175.0,0.0,917.03,1551.51,1998.59,0.0,0.0,3381.79,0.0,1213.44,1123.9,0.0
1,502.0,256.0,280.0,186.0,0.0,815.06,1465.03,2159.49,0.0,0.0,3283.7200000000003,0.0,1039.86,1340.0,0.0
2,488.0,259.0,259.0,179.0,0.0,854.22,1494.61,2088.28,0.0,0.0,3122.640000000001,0.0,1186.87,1312.6,0.0
3,482.0,251.0,266.0,182.0,0.0,936.6,1406.38,2090.77,0.0,0.0,3021.82,0.0,1330.53,1262.4,-4.547473508864641e-13
4,390.0,204.0,254.0,184.0,0.0,917.27,1423.11,2126.08,0.0,0.0,2963.8200000000006,0.0,1327.34,1207.3,-4.547473508864641e-13
5,386.7843917098804,211.9779393526877,231.06600024226623,180.83426105916487,0.0,964.3288361415066,1508.3385714944943,1981.71,0.0,0.0,2998.2,0.0,1475.04,991.8,0.0
6,417.0,222.0,283.0,185.0,0.0,965.99,1470.82,2213.19,0.0,0.0,3141.920000000001,0.0,1330.28,1284.8,-9.094947017729282e-13
7,441.2539842909018,231.54649094648278,247.68569403874685,176.57105357777047,0.9295363806304011,1041.693627436135,1570.5896133293318,2092.98,0.0,0.0,3218.5,0.0,1340.45,1244.3,0.0
8,487.14750209950216,252.48131851331854,245.08772642772647,166.39211585611588,11.614057694057696,1127.8286990366992,1697.7885803725806,2064.97,0.0,0.0,3511.1,0.0,1479.51,1062.7,-4.547473508864641e-13
9,604.216835444175,261.9919396389114,282.7765505030091,173.25005640887454,37.22136753345909,1182.6889781505436,2078.824272321028,1977.28,0.0,0.0,3774.3,0.0,1528.55,1295.4,0.0
10,598.9601395173122,291.950427776948,339.3018917862257,174.13857091397895,56.28511381906677,1166.5225039755405,2107.8213522109277,2102.44,0.0,0.0,4097.0,0.0,1438.32,1302.1,0.0
11,595.3637406815126,289.35904319017385,315.2244709263197,176.13521919678692,61.065354594812135,1185.731699151084,2196.840472259309,2076.1,0.0,0.0,4121.9,0.0,1454.72,1319.2,-1.8189894035458565e-12
12,698.2321923641734,273.46018671889846,265.4825035282969,169.69747290206757,63.261442731300036,1202.0096777659091,2501.336523989355,1798.54,0.0,0.0,4014.3,0.0,1618.12,1339.6,1.3642420526593924e-12
13,667.2493390732893,267.13289401561366,264.7804924395722,169.95580944073174,50.19150619323913,1176.0862905989002,2368.493668238654,2077.15,0.0,0.0,4140.7,0.0,1569.34,1331.0,9.094947017729282e-13
14,624.7600132672994,284.07592819236294,307.75230503120196,177.9432453888572,19.47491091030096,1140.413842482152,2142.209754727826,2080.13,0.0,0.0,4005.2,0.0,1471.46,1300.1,4.547473508864641e-13
15,633.98,346.68,486.49,184.86,0.9,1096.24,1845.83,2068.87,0.0,0.0,4206.27,0.0,1472.08,985.5,0.0
16,639.0597582007947,361.0337601103081,716.0669591107496,194.01814255235394,0.0,1099.6228252534238,1588.6585547723698,1978.05,0.0,0.0,4493.3,0.0,1393.01,690.2,0.0
17,707.1751682614962,359.1045535285328,739.2738993031527,190.58621555983584,0.0,1065.2966981518782,1490.1434651951038,1702.82,0.0,0.0,4384.9,0.0,1504.5,365.0,0.0
18,712.0,377.0,603.0,199.0,0.0,1038.52,1473.49,1936.96,0.0,0.0,4183.01,0.0,1455.76,701.2,0.0
19,702.9328362278818,340.81592059533665,374.28891279666436,183.5942905587974,0.0,979.7747683948021,1510.4332714265172,2022.05,0.0,0.0,3897.0,0.0,1536.49,680.4,-4.547473508864641e-13
20,667.9345877634531,324.80355715936213,310.54885559123966,182.25654147813736,0.0,1021.3493673559753,1494.1370906518318,1701.8,0.0,0.0,3652.6,0.0,1509.03,541.2,-9.094947017729282e-13
21,599.0,348.0,306.0,183.0,0.0,904.29,1368.64,1881.67,0.0,0.0,3441.420000000001,0.0,1436.58,712.6,-4.547473508864641e-13
22,560.0,334.0,368.0,184.0,0.0,830.32,1293.31,2094.98,0.0,0.0,3187.650000000001,0.0,1447.86,1029.1,-4.547473508864641e-13
23,532.8522719678767,261.8761640221633,469.15266450302613,179.9766687102126,0.0,798.8031886580296,1237.2890421386921,2007.95,0.0,0.0,3003.5,0.0,1512.0,972.4,4.547473508864641e-13
24,532.6858404696503,241.0251521516669,512.4316260031237,179.24979802876067,0.0,779.4631895298107,1139.684393816987,2085.36,0.0,0.0,2907.1,0.0,1556.42,1006.38,-4.547473508864641e-13
25,531.2153513031071,232.28047680554116,500.91789780673224,178.7549756286121,0.0,694.5085264974026,1075.8827719586047,2071.4,0.0,0.0,2853.0,0.0,1600.06,831.9,0.0
26,526.8157209890513,242.37529368697798,506.78470498186306,178.27604246397553,0.0,590.2038711437986,965.1043667343341,2090.58,0.0,0.0,2857.3,0.0,1539.23,703.61,0.0
27,528.0,244.0,497.0,172.0,0.0,577.9,900.85,1757.22,0.0,0.0,2953.870000000001,0.0,1125.48,597.62,-4.547473508864641e-13
28,549.0,262.0,537.0,178.0,0.0,487.93,874.46,1418.52,0.0,0.0,3142.109999999999,0.0,510.13,654.6700000000001,4.547473508864641e-13
29,642.0,277.0,592.0,191.0,0.0,459.05,903.62,1283.74,124.88,0.0,3778.2000000000003,0.0,0.0,695.09,-3.410605131648481e-13
30,684.0,383.0,815.0,195.0,0.0,539.86,904.41,0.0,715.61,432.32,4379.53,289.67,0.0,0.0,5.684341886080802e-14
