,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
5262,689.4524985640436,340.6298678920161,529.6936243538196,1558.5380733568556,2500.255641257077,755.2196767046853,38.229141708377774,308.33147616312465,80.19,2257.4,9057.94,0.0,0.0,-1.8189894035458565e-12
5263,680.1165364184262,333.71337605854234,525.7931067167357,1623.3979564359536,2481.831118248299,746.6400752668692,41.143970245759704,418.20386060941354,70.54,2255.9,9177.28,0.0,0.0,-1.8189894035458565e-12
5264,683.032074359703,331.1317852011203,521.8516293379877,1501.8078889475182,2459.9533384746524,734.2159581117832,40.71646905061493,556.8908565166214,73.16,2315.6,9218.36,0.0,0.0,0.0
5265,679.2565917145263,337.2852622787472,525.1853979729708,1486.375872999494,2475.8054812985115,741.6259141140697,38.90551470611946,635.519964915562,74.62,2301.6,9296.18,0.0,0.0,0.0
5266,684.4749829148715,361.82275067339305,526.5775415501282,1392.878213069962,2473.551895512651,741.753364123168,41.25559869003249,682.4456534657942,72.97,2267.4,9245.13,0.0,0.0,1.8189894035458565e-12
5267,703.6451753282971,351.7253817288938,540.0418682983337,1277.743428942948,2536.503110530259,764.2559349577398,42.4847117025244,713.880388511005,71.84,2140.22,9142.34,0.0,0.0,0.0
5268,699.2513023490368,344.4206660268089,526.517127147319,1297.9026133849554,2471.977849915408,745.6726366963819,41.57300771082768,724.0947967692606,72.54,2177.46,9101.41,0.0,0.0,0.0
5269,695.7805071938927,342.4753591808525,526.2586583443687,1167.2105741357962,2471.241937221455,742.6538833430841,41.55875755561779,735.300323024932,71.57,2250.3,9044.35,0.0,0.0,-1.8189894035458565e-12
5270,705.4824111864049,340.05034226608035,526.7713718871345,1140.0551078633825,2476.729225020205,737.9245477198224,41.669824128666505,680.0671699283039,77.6,2310.4,9036.75,0.0,0.0,0.0
5271,719.734472335483,342.42411627955073,532.9228302491582,1103.0997446034116,2499.203311711364,721.6738495951913,42.05742545762864,581.734249768213,91.45,2319.4,8953.7,0.0,0.0,0.0
5272,718.7537571171594,343.241726815124,504.381159930673,1100.271122346887,2474.8007561684926,696.4960659539282,41.63550052098903,580.139911146746,94.61,2338.0,8892.33,0.0,0.0,0.0
5273,816.9395664561916,410.95720252570055,513.4997939779784,1184.7222768877525,2812.9412618066067,778.1815127067787,47.337112143192606,731.3012734957993,90.7,1470.04,8856.62,0.0,0.0,0.0
5274,792.2796217490819,410.0399883827871,475.39948911923545,913.7765660072054,2703.7949492784187,753.8299863774348,45.50036165489962,961.6190374309361,54.41,1408.99,8519.64,0.0,0.0,0.0
5275,857.0530405295641,428.65891638436824,492.67244020431514,880.4077160245768,2936.0163479444514,808.6357795968761,49.383752605667404,1289.4720067101816,50.49,917.8,8710.59,0.0,0.0,0.0
5276,905.2217357267571,461.037672495736,522.4479239839014,804.2676388055575,3095.3671100264933,799.059356903537,52.08281902020398,1645.5657430378121,34.31,124.33,8443.69,0.0,0.0,-3.637978807091713e-12
5277,921.7451472215847,472.189006431454,461.7047688590748,693.5102657951921,3153.3798407995782,776.3883771882464,53.061338052882334,1899.681255651986,0.0,0.0,8001.65,3.31,426.7,-1.5916157281026244e-12
5278,942.6355975624671,489.8831773529532,427.9070439815759,681.1015179554071,3204.7500122284277,799.6915772632781,53.91114213508336,1910.1599315208089,0.0,0.0,7698.68,20.76,790.6,5.684341886080801e-13
5279,888.1739444278487,460.8731555524051,400.78121113468245,645.0232481051495,3024.7870228698434,752.9431964113027,50.883757702180645,1859.6444637965863,0.0,0.0,7517.49,22.42,543.2,-1.9326762412674725e-12
