,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,AT -> DE,CH -> DE,CZ -> DE,DK -> DE,FR -> DE,NL -> DE,PL -> DE,SE -> DE,demand,DE -> AT,DE -> CH,DE -> CZ,DE -> DK,DE -> FR,DE -> NL,DE -> PL,DE -> SE,mismatch
332,5337.060747363298,5707.128980817207,4117.691376366202,2261.8919755648913,18410.621702655353,9887.04421944557,1052.3474249249784,228.15416162792582,0.0,2749.858053305001,17547.12915792957,0.0,0.0,0.0,1162.3,0.0,0.0,0.0,324.2,58766.3878,2072.8,3499.02,751.6199999999999,0.0,563.0,1865.09,1267.51,0.0,-5.4569682106375694e-12
333,5293.29733196364,5518.567181411928,4376.982292178815,2385.4662318388773,18363.301640533402,9862.901669322877,1052.3475575676068,227.44636973281266,0.0,2789.2107446181762,17294.63018083186,0.0,0.0,0.0,1175.76,0.0,0.0,0.0,578.0,58848.5612,2113.4,3739.91,588.6099999999999,0.0,530.0,1808.03,1289.4,0.0,-7.275957614183426e-12
334,5211.490402575792,5184.632587678989,4128.583305936667,2144.3279413608084,17959.283665194707,9728.974868218176,1036.7116550166234,224.531332537279,0.0,2827.590752335495,16826.95818914546,0.0,0.0,0.0,1075.65,0.0,0.0,0.0,425.9,55908.2347,2218.9,3745.68,511.8299999999999,0.0,788.0,2376.64,1225.35,0.0,-5.4569682106375694e-12
335,5095.096018412138,4590.110247435919,3916.795886134294,2132.512828684989,17257.888723112264,9526.346158728455,1023.6482399163762,219.87922111256177,0.0,3190.87884035598,16705.560536107027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53126.3367,2597.8,3838.86,461.0,250.35,163.0,2092.72,1126.05,2.6,1.2732925824820995e-11
336,5011.878346585558,4445.219095741759,3666.1921183477243,2404.4170406004714,16761.511295525903,9378.365992484303,1004.8619256279436,216.5114870682889,0.0,3473.507254258242,16987.346243759814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51570.0408,2710.8,4056.29,641.14,933.22,212.0,2004.19,1146.93,75.2,1.8189894035458565e-12
337,4990.379849617373,4393.266823593719,3589.8971391853843,1755.244162853641,16401.529474749885,9292.893743521832,1012.7201926687869,215.53820801199234,0.0,3569.271473346916,17039.893832450474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51080.7449,2615.3,4074.59,558.44,778.39,196.0,1846.63,1106.34,4.2,3.637978807091713e-12
338,4917.443484572543,4401.641991373184,3514.7896216430613,1705.4069132856268,15883.831753028475,9247.729538151349,980.6344594027335,213.0484428432134,0.0,3952.0995832686044,16864.46621243121,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,51308.602,2514.3,3689.36,454.19000000000005,1198.97,0.0,1761.34,1055.83,72.5,-9.094947017729282e-12
339,5011.853038694141,4533.741799001212,3641.9603997478785,1757.578492001616,16534.333915293737,9405.27958256808,1026.8997930795958,217.2288023822222,0.0,4167.882763410101,18014.400013821414,0.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,52924.4286,2744.5,3967.19,807.77,1139.64,0.0,1934.3,1257.03,75.3,1.0913936421275139e-11
340,5103.758813308602,4802.852128031533,4020.918558543937,2293.8837099466728,17499.207091676326,9591.930358497566,1058.4710513795503,221.44189162995596,0.0,4254.01528657547,19699.85211041039,0.0,0.0,0.0,0.0,595.0,0.0,0.0,0.0,57469.051,2660.6,4210.16,1178.01,341.04,0.0,1966.12,1312.05,4.3,7.275957614183426e-12
341,5302.228199762519,5787.736073366238,5294.556517786838,4866.038281716738,18437.24369669385,9923.868612825467,1094.8586133862661,229.05450470243207,0.0,3688.983075733906,21982.656724025754,0.0,0.0,0.0,705.42,215.0,0.0,0.0,457.6,66905.2143,2198.1,4401.4,1470.45,0.0,0.0,1808.58,1201.5,0.0,0.0
342,5261.081529032258,6477.17824835121,5982.935731408748,7905.712540741922,17961.813576251046,9838.244136593697,1119.6327193016732,226.527820265295,0.0,3539.9036410835092,23233.73375697064,0.0,0.0,0.0,171.79999999999995,0.0,0.0,0.0,597.0,73577.1837,1069.5,3656.61,1166.66,0.0,41.0,1829.08,975.53,0.0,3.637978807091713e-12
343,5297.270346307921,7051.037421865419,6270.6165231089435,7257.042379777394,17647.75806112583,9918.75723279878,1124.8524685987188,227.8044243576863,292.11285037253555,3939.1635867400873,24505.870204946703,0.0,0.0,0.0,127.05,358.0,0.0,0.0,610.9,76220.7755,1228.0,3305.47,1308.5,0.0,0.0,1502.38,1063.11,0.0,2.1827872842550278e-11
344,5262.908361339152,6994.07112817701,6302.039896822026,6593.821089979535,16883.175730470713,9859.818014132912,1108.5515963084529,226.69988613352902,2359.197379619261,3907.0477983395767,24773.199518677844,0.0,0.0,0.0,0.0,631.0,0.0,0.0,610.9,76374.5204,1477.1,3355.74,1545.0,3.7000000000000455,0.0,1740.4,1015.97,0.0,1.8189894035458565e-11
345,5281.53051897257,6918.968832920839,5918.372771829035,4460.080477552224,16821.155834882855,9925.126431310191,1105.4620238263167,228.30193970326104,5053.228579269309,3858.193545607263,25612.41904412613,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,397.6,77225.0,2056.7,3228.5,1729.84,21.620000000000005,0.0,1384.27,1194.51,0.0,1.8189894035458565e-12
346,5254.305668275836,6783.088507884089,5691.25642998853,3260.2410948737665,16629.19095884644,9897.316131262842,1113.6251333425766,227.73742942132927,6871.350382444509,3832.308800357967,26889.361463302117,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,42.7,78065.102,2363.6,3173.05,1781.48,34.35000000000002,0.0,1231.03,1222.87,0.0,3.637978807091713e-12
347,5222.8031583535285,6653.693317496564,5180.622722823235,3358.2115979887567,16092.376929621485,9816.1444326396,1106.4252704484695,226.04387245721423,7262.605758613366,3840.582732514678,27818.538007043095,0.0,0.0,0.0,0.0,1340.0,0.0,0.0,0.0,77759.8878,2545.7,2983.62,1954.61,363.3,0.0,1255.57,1053.36,2.0,-1.0913936421275139e-11
348,5195.613260605759,6557.036403374447,5225.795246352017,4030.3730251877455,15941.478114335803,9787.586806286368,1104.8762639254985,225.28696503456507,5883.331364395484,3895.632017391953,28848.58873311036,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,77333.9082,2492.8,2898.57,1902.75,1007.67,0.0,1447.85,970.35,1.7,0.0
