,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
0,218.40000049996496,380.1000008398728,270.20000061148875,727.2000014952365,152.40000035408391,0.0,1602.6000028042604,1375.2700026434609,4726.170009248368,0.0,0.0
1,221.200000502862,381.0000008328906,270.60000060766527,665.8000013622874,152.6000003529605,0.0,1558.5000026559665,1524.7100027761448,4774.410009090777,0.0,9.094947017729282e-13
2,216.30000048853782,381.40000082288174,270.3000006012886,900.1000017026278,153.40000035276813,0.0,1542.8000025317858,1479.0400026106793,4943.34000911057,0.0,-9.094947017729282e-13
3,214.90000048412867,381.3000008185634,270.40000059928616,511.60000105924814,153.00000035113203,0.0,1796.9000027547786,1499.0500026044072,4827.150008671544,0.0,0.0
4,212.30000047728137,380.3000008126983,270.40000059715663,283.00000062259693,152.6000003495279,0.0,2013.8000029066193,1503.25000257163,4815.6500083375095,0.0,9.094947017729282e-13
5,212.6000004757411,380.4000008066287,270.20000059337116,224.9000005012335,153.3000003498813,0.0,2454.2000031589846,1501.0100025057463,5196.610008391587,0.0,-9.094947017729282e-13
6,214.7000004758607,381.0000007957994,270.300000587093,229.80000050651674,154.2000003495426,0.0,2868.9000032188696,1409.5200022905856,5528.420008224267,0.0,9.094947017729282e-13
7,212.20000046899168,380.0000007889901,270.5000005847455,228.20000050127257,155.20000035069364,0.1000000002406225,3116.200003255806,1305.2400021365288,5667.640008087269,0.0,9.094947017729282e-13
8,212.900000477078,379.0000008060435,270.40000059487954,261.7000005773322,155.200000354385,41.400000098211585,3057.7000035714686,1119.3100020322638,5497.610008511663,0.0,-9.094947017729282e-13
9,215.20000048679,377.8000008175587,270.4000006023896,331.30000072593003,156.70000036033434,146.7000003382974,3120.2000039014015,1116.59000210903,5734.890009341732,0.0,-9.094947017729282e-13
10,214.00000048632702,376.5000008209644,270.30000060541806,330.40000072881634,155.90000035972048,228.60000051754358,3304.800004166443,1510.9200027025583,6391.420010387791,0.0,0.0
11,217.40000049556522,374.10000082155784,270.5000006087712,330.4000007330697,148.90000034515015,258.70000058386364,3336.4000043316373,1517.5800027666257,6453.980010686241,0.0,-9.094947017729282e-13
12,217.40000049354327,373.4000008146313,270.20000060509756,305.90000067882585,151.9000003508235,255.90000057518458,3361.600004198254,1522.920002707794,6459.220010424155,0.0,-9.094947017729282e-13
13,216.40000048931498,371.3000008048169,270.5000006025565,260.70000058229346,148.50000034226065,223.10000050352429,3323.1000040273775,1482.470002595478,6296.0700099476235,0.0,-9.094947017729282e-13
14,221.8000005015446,371.00000080622726,270.0000006026413,265.5000005933136,154.40000035565225,202.2000004596731,3264.2000040408197,1243.4800023003027,5992.580009660174,0.0,0.0
15,218.70000049587338,370.90000080847796,270.200000604424,263.40000059025834,150.80000034816103,138.10000031993218,3015.2000039333966,1451.7400026129985,5879.040009713521,0.0,1.8189894035458565e-12
16,215.90000049542726,373.2000008283911,270.20000061288033,336.80000075329195,143.90000033539644,54.50000012955394,2839.2000041677557,1528.2100028896925,5761.910010212388,0.0,0.0
17,215.40000049741448,374.1000008389621,269.9000006169725,444.0000009832233,148.9000003481847,1.4000000033679356,2677.5000042327006,2004.1700036879593,6135.370011208785,0.0,-9.094947017729282e-13
18,218.50000050551338,375.6000008455406,270.2000006194745,682.9000014603063,151.00000035355828,0.0,2695.6000043408703,1651.500003209637,6045.3000113349,0.0,0.0
19,218.20000050471637,378.6000008514859,270.10000061906095,756.0000015962828,152.80000035759286,0.0,2616.600004245547,1769.9000033807652,6162.200011555452,0.0,-9.094947017729282e-13
20,217.60000050342614,379.10000085266404,270.3000006195644,629.3000013569364,152.70000035738738,0.0,2589.200004218878,1644.160003187904,5882.360011096761,0.0,0.0
21,214.90000049644505,379.3000008502277,270.00000061740434,664.4000014164193,150.000000350753,0.0,2612.7000041748183,1463.4600028704415,5754.760010776508,0.0,9.094947017729282e-13
22,216.10000049503142,382.9000008457764,270.4000006120333,519.4000011146835,152.0000003532263,0.0,2729.6000040125414,1647.9000030145417,5918.300010447832,0.0,1.8189894035458565e-12
23,214.10000048524208,386.40000083660743,270.2000006032001,393.5000008504137,152.7000003519513,0.0,2778.1000037124863,1979.030003228561,6174.030010068463,0.0,0.0
24,212.90000047956198,387.30000082899994,269.9000005977277,513.7000010612886,150.90000034635227,0.0,2856.3000035876885,1517.1700025995135,5908.170009501133,0.0,-9.094947017729282e-13
25,210.70000047480778,387.90000082979935,270.10000059795726,234.60000052488425,149.7000003436653,0.0,2825.200003560956,1348.8500023930824,5427.050008725151,0.0,9.094947017729282e-13
26,207.60000046731997,387.5000008260979,270.3000005968311,197.70000044640804,145.90000033485083,0.0,2718.400003437642,1417.9900024620242,5345.390008571175,0.0,-9.094947017729282e-13
27,208.70000046951316,385.90000082269864,289.40000063508137,170.70000038862997,148.00000033938068,0.0,2553.700003318802,1549.1500026210272,5305.550008595133,0.0,0.0
28,205.20000046465756,386.70000083223977,340.3000007417802,162.50000037253878,149.40000034381694,0.0,2394.9000033289826,1448.7800025646352,5087.780008648651,0.0,0.0
29,202.30000046287975,388.6000008506607,444.80000096113463,283.5000006361269,148.10000034338594,0.0,2259.8000034483753,1265.0000024074166,4992.1000091099795,0.0,0.0
30,202.3000005363087,399.6000011758975,846.2000033145462,496.4000015440358,149.70000038664227,0.0,2650.3299963162085,141.47000036607903,4886.000003639718,0.0,9.094947017729282e-13
