,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
0,232.46000058889067,1499.900005336733,15.880000038343717,5270.309995435636,766.4200022095362,0.0,814.3900023773195,1100.750003473764,0.0,1226.4700015854214,8379.000007199453,2547.580003846192,0.0,9.094947017729282e-13
1,153.58000038201706,1565.880005634828,15.38000003713054,4837.689995284821,766.4500022021128,0.0,807.1900023432823,1108.7600034869401,0.0,1264.44000161861,8010.000007173906,2509.370003815836,0.0,0.0
2,133.700000316173,1552.2300031022314,15.17000003643137,4577.330006875044,793.2600017286574,0.0,805.8000017533669,1026.030002175616,0.0,1373.4200014169226,7744.280008916862,2532.660008487581,0.0,-9.094947017729282e-13
3,131.38000031026297,1515.3300029924048,15.00000003601695,4522.490006588521,779.0200016852149,0.0,805.3300017362075,995.1300020940429,0.0,1677.9300014982762,8236.880009642924,2204.730007298023,0.0,4.547473508864641e-13
4,131.2600003100109,1529.6800030180896,14.740000035394322,4528.670006605793,746.830001623065,0.0,785.7500016990741,929.6900019736732,0.0,1753.2400015326073,8223.04000954957,2196.8200072481395,0.0,-1.8189894035458565e-12
5,131.45000031058805,1522.7200030196943,14.640000035156454,4527.470006667096,793.930001719133,0.0,776.3400016847825,867.620001861398,0.0,1803.2600015223481,8282.75000982868,2154.680006991517,0.0,0.0
6,137.32000032440715,1498.670002998132,14.320000034391928,4530.0600067596415,807.420001751498,0.0,795.4300017280168,798.940001734898,0.0,1316.4300012707463,7662.3000093549235,2236.2900072468105,0.0,-3.183231456205249e-12
7,156.1300003679909,1463.2400029431424,14.150000033984988,4530.440006780931,794.4300017275059,0.12000000028875443,786.4200017117507,786.2600017114356,0.0,825.9600009848635,7687.870011303958,1669.2800049579344,0.0,2.0463630789890885e-12
8,158.380000395102,1446.0400051354977,13.710000033092168,4545.279995872718,809.2900023769004,89.52000021981348,717.0100020542841,829.0000024479159,0.0,439.4900007625673,7676.000006823756,1371.7200024741355,0.0,-4.547473508864641e-13
9,161.39000040294894,1399.9400049051837,12.890000031107538,4553.739995888917,822.1800024251794,292.5400007533854,781.4900022797253,729.8700020997479,0.0,1138.050001414029,7810.000006878794,2082.090003321433,0.0,-1.8189894035458565e-12
10,157.7900003934272,1450.760005137928,12.710000030670646,4718.129995927901,803.3200023505437,435.62000116000723,780.5700022701014,680.3000019268911,0.0,1634.4000015731933,8167.000007001939,2506.6000037687227,0.0,2.7284841053187847e-12
11,159.56000039793724,1435.7900050544138,80.56000019735497,5193.389996828785,807.0000023618351,241.5500006139083,746.9000021512804,621.6700017333211,0.0,1751.7400015009962,8655.000007176322,2383.16000366351,0.0,-1.8189894035458565e-12
12,158.19000039382382,1567.8600056447515,54.470000132598926,5158.959997149334,856.0000025151166,138.7600003439899,585.5500016081232,539.6600014658534,0.0,1681.8900014086707,8831.00000746493,1910.3400031973301,0.0,2.2737367544323206e-12
13,159.87000037766757,1492.7900030600917,50.95000012187911,4946.240007552813,924.4300020082553,62.790000149996324,409.75000094108196,416.8900009567212,220.92000052039515,177.27000031991665,8861.900016008818,0.0,0.0,0.0
14,166.82000041757541,1562.6500058948138,137.88000034274182,5659.973490130177,929.8900028525185,25.82000006250555,168.66000042236865,378.49000099838656,1588.0100063450786,0.0,8791.000006999438,0.0,1827.1935004667266,1.8189894035458565e-12
15,165.1100004171147,1713.3100081265031,397.4900010799432,7027.363169104684,953.8000031626661,2.4400000058755573,54.46000013313365,263.8200006869577,2216.200012690376,0.0,8901.000006023869,0.0,3892.9931893833877,-4.092726157978177e-12
16,163.570000415558,1807.4200104477338,1105.4500041372444,7897.01244660713,961.5700033562061,0.0,231.39000060177588,184.21000047131236,2067.8700129820204,0.0,9272.000005593332,0.0,5146.4924734256465,2.7284841053187847e-12
17,162.09000040908506,1602.5600071441722,839.2800026609833,7021.262509015949,946.9900031300548,0.0,136.27000034126596,262.6900006836988,2255.9400134122398,0.0,9291.000006101429,0.0,3936.0825306960205,9.094947017729282e-13
18,158.0100003962164,1503.5200058742025,377.58000100557695,6233.928235933105,857.3400026416432,0.0,323.08000084737347,549.080001536846,2406.6900132047717,0.0,9217.00000662672,0.0,3192.2282548130147,2.2737367544323206e-12
19,153.38000038363262,1370.8500049904878,139.62000034798547,6025.934056330761,723.6800021210034,0.0,774.1700023040235,610.5300017303986,1943.6000083300291,0.0,9020.000006736382,0.0,2721.764069801941,-4.547473508864641e-13
20,128.83000031910973,1449.7000051366333,204.7200005160132,5395.330086979927,688.6500019552132,0.0,675.5300019114133,642.6800018030476,1510.7200056899374,0.0,8818.00000721673,0.0,1878.1600970945644,-6.821210263296962e-13
21,137.54000034211273,1422.8700051645228,369.71000097504066,5774.863487884958,715.5800020734071,0.0,808.3900024060218,618.0000017421733,1774.570006902315,0.0,9119.000006967492,0.0,2502.523500523061,-4.547473508864641e-13
22,134.2300003337178,1436.8500052682334,154.75000038669532,5834.488680960284,785.0700023260175,0.0,810.3100024187809,688.6900019841335,1956.9900082014778,0.0,9188.00000693911,0.0,2613.3786949402333,-2.2737367544323206e-12
23,132.98000033152607,1392.6700052719173,26.480000064163963,6383.483377274599,854.3600026476626,0.0,812.4100024825708,693.1600020374437,1798.8800087181073,0.0,8662.00000639409,0.0,3432.4233924339,2.2737367544323206e-12
24,135.74000033815932,1404.9000052228155,19.55000004727571,6126.527009293091,845.0000025809426,0.0,812.4300024559694,698.530002038416,2085.520011459879,0.0,8215.000006472319,0.0,3913.197026964232,-2.2737367544323206e-12
