,hydro,lignite,wind_onshore,RS -> ME,demand,ME -> RS,mismatch
0,0.0,530.9600001782577,0.0,0.0,405.00000009745764,125.96000008080003,2.842170943040401e-14
1,0.0,516.3600001835796,0.0,0.0,380.00000009931784,136.36000008426177,-2.842170943040401e-14
2,0.0,508.44000018762927,0.0,0.0,354.00000009982926,154.44000008780003,-2.842170943040401e-14
3,0.0,496.6900001902214,0.0,0.0,337.00000010173244,159.6900000884889,5.684341886080802e-14
4,0.0,508.89000018899446,0.0,0.0,330.00000009970466,178.89000008928983,-2.842170943040401e-14
5,0.0,556.1700001774524,0.0,0.0,336.0000000917107,220.17000008574163,2.842170943040401e-14
6,0.0,545.8700001778504,0.0,0.0,342.0000000926071,203.87000008524345,-8.526512829121202e-14
7,0.0,566.5200001755903,0.0,0.0,371.00000009206263,195.52000008352772,-2.842170943040401e-14
8,0.0,592.0600001683848,0.0,0.0,407.0000000888615,185.06000007952335,-2.842170943040401e-14
9,0.0,618.520000161295,0.0,0.0,439.0000000853789,179.52000007591602,1.1368683772161603e-13
10,0.0,608.7400001628379,0.0,0.0,453.0000000874901,155.74000007534775,2.842170943040401e-14
11,0.0,606.5600001622469,0.0,0.0,454.00000008733736,152.5600000749095,0.0
12,0.0,603.4800001641484,0.0,0.0,448.00000008822605,155.48000007592233,-2.842170943040401e-14
13,0.0,628.460000158294,0.0,0.0,444.0000000835501,184.4600000747437,1.4210854715202004e-13
14,0.0,673.5500001528168,0.0,0.0,446.00000007928287,227.55000007353394,-2.842170943040401e-14
15,0.0,664.580000158646,0.0,0.0,465.0000000825947,199.5800000760512,1.7053025658242404e-13
16,0.0,683.900000196589,0.0,0.0,476.0000001030228,207.9000000935663,-1.1368683772161603e-13
17,0.0,672.2500002482875,0.0,0.0,477.00000013268135,195.2500001156063,-1.4210854715202004e-13
18,0.0,646.7600002526257,0.0,0.0,475.0000001374043,171.76000011522166,-2.8421709430404007e-13
19,0.0,556.3200002529913,0.0,0.0,472.000000157556,84.32000009543546,-8.526512829121202e-14
20,0.0,541.5000002559057,0.0,0.0,462.000000161577,79.5000000943287,-5.684341886080802e-14
21,0.0,542.6600002669229,0.0,0.0,445.000000160604,97.66000010631898,-4.263256414560601e-14
22,0.0,569.5500002668743,0.0,0.0,435.00000015276794,134.55000011410644,-2.842170943040401e-14
23,0.0,435.84000020346485,0.0,0.0,404.0000001501843,31.840000053280534,2.842170943040401e-14
24,0.0,382.26000018881774,0.0,0.0,370.0000001631751,12.260000025642674,-4.796163466380676e-14
25,0.0,340.52000016775554,0.0,3.4800000087069405,344.0000001764624,0.0,1.1368683772161603e-13
26,0.0,307.6700001412459,0.0,16.33000004694263,324.00000018818855,0.0,0.0
27,0.0,309.4600001749167,0.0,4.540000011445059,314.0000001863618,0.0,-5.684341886080802e-14
28,0.0,284.0700000891261,0.0,31.93000010911032,316.0000001982364,0.0,0.0
29,0.0,327.9900002145177,0.0,1.0100000024510072,329.0000002169687,0.0,0.0
30,0.7300000017677621,365.1900002493823,0.0,0.0,345.0000002087034,20.920000042446677,-3.197442310920451e-14
31,235.49404019678371,272.8959602359039,0.0,0.0,382.00000026715855,126.39000016552907,-2.842170943040401e-14
32,272.58831450334173,261.09168593822244,0.0,0.0,417.00000028066745,116.68000016089678,-5.684341886080802e-14
33,280.32791349081083,270.2820869473907,0.0,0.0,441.00000027916246,109.61000015903909,-5.684341886080802e-14
34,286.9534967706397,273.63650366236703,0.0,0.0,454.000000277731,106.59000015527575,-1.4210854715202004e-14
35,375.6999983203559,206.0900022948601,0.0,0.0,453.0000004008925,128.79000021432364,-5.684341886080802e-14
36,340.14999884081595,205.9800017647923,0.0,0.0,444.0000004193192,102.13000018628911,1.4210854715202004e-14
37,344.44999885255726,206.25000176802436,0.0,0.0,435.00000041620336,115.70000020437826,-2.842170943040401e-14
38,359.75999863760956,206.91000198919747,0.0,0.0,437.00000040753844,129.67000021926856,0.0
39,451.87999143173573,207.020009185278,0.0,0.0,462.0000003573916,196.90000025962217,0.0
40,476.8380660305469,207.62193457020453,0.0,0.0,478.00000034380446,206.460000256947,-5.684341886080802e-14
41,468.009977996997,206.69002260948258,0.0,0.0,480.00000035295966,194.70000025351993,-5.684341886080802e-14
42,483.0318392522668,210.95816134888594,0.0,0.0,482.0000003422373,211.99000025891553,0.0
43,290.4220146573086,286.66798576175506,0.0,0.0,474.0000002699275,103.09000014913609,9.947598300641403e-14
44,71.35000077846156,457.79999949870387,0.0,0.0,464.00000018414215,65.15000009302331,-4.263256414560601e-14
45,0.0,470.61000018368134,0.0,0.0,447.00000014125067,23.610000042430773,-1.0302869668521453e-13
46,0.0,457.7600001484277,0.0,0.0,438.0000001135791,19.76000003484865,-6.394884621840902e-14
47,0.0,456.16000017197103,0.0,0.0,409.00000011159153,47.160000060379566,-6.394884621840902e-14
48,0.0,410.1800001796694,0.0,0.0,369.0000001209765,41.18000005869292,-3.552713678800501e-14
49,0.0,383.73000019094627,0.0,0.0,338.0000001266718,45.73000006427442,4.263256414560601e-14
50,0.0,376.77000020042266,0.0,0.0,321.0000001278751,55.7700000725475,3.552713678800501e-14
51,0.0,353.89000019792684,0.0,0.0,311.0000001339478,42.89000006397901,7.105427357601002e-15
52,0.0,346.47000018637505,0.0,0.0,318.0000001373209,28.470000049054224,-8.881784197001252e-14
53,0.0,384.1600001862037,0.0,0.0,344.0000001268133,40.16000005939035,7.815970093361102e-14
54,1.0600000026031482,454.5200001843149,0.0,0.0,380.00000011126207,75.58000007565593,2.842170943040401e-14
