,gas,lignite,solar,wind_onshore,BG -> GR,IT -> GR,demand,GR -> BG,GR -> IT,mismatch
0,1242.0000180888787,3035.589982402915,0.0,149.0000003984652,294.0000010411476,301.00000083267605,5021.590002764083,0.0,0.0,0.0
1,1060.0000105913807,2902.659989703571,0.0,147.0000003953637,274.00000096795236,355.00000093896193,4738.660002597229,0.0,0.0,0.0
2,1114.0000196971814,2624.189980414954,0.0,144.0000003901011,260.00000092851855,338.00000098057006,4480.190002411325,0.0,0.0,0.0
3,1182.0000150316487,2456.059985253874,0.0,179.0000004910686,264.0000009228599,337.0000009437368,4418.060002643188,0.0,0.0,-9.094947017729282e-13
4,1073.0000084683784,2585.769991847571,0.0,244.00000069741628,245.0000008207856,338.00000093503695,4485.770002769189,0.0,0.0,-9.094947017729282e-13
5,902.000005322369,2758.7599947874605,1.0000000024079065,284.0000008400429,239.00000079056426,358.0000010056298,4542.760002748474,0.0,0.0,0.0
6,896.0000058027204,2705.569993468487,188.00000052111346,367.0000011893039,244.0000008116856,302.0000008425576,4702.570002635869,0.0,0.0,-9.094947017729282e-13
7,796.0000056623119,2730.559989153708,738.0000045950642,439.0000016636035,271.0000009723285,115.0000002963616,5089.560002343378,0.0,0.0,-1.8189894035458565e-12
8,774.000005324027,2401.706724631145,1234.933268502315,439.0000016737334,263.0000009281378,409.0000013034945,5521.640002362852,0.0,0.0,9.094947017729282e-13
9,775.0000049744805,2169.5794619074695,1659.3505308786248,466.0000017969262,307.00000115863435,508.00000175606993,5884.930002472205,0.0,0.0,0.0
10,781.0000051186018,2090.363892020031,1746.966100382018,473.0000018458587,333.0000013318576,508.00000176783317,5932.3300024662,0.0,0.0,0.0
11,785.0000051246185,2028.5505231059306,1479.7594690742435,501.00000201965656,338.0000013777001,508.0000017664508,5640.310002468601,0.0,0.0,-1.8189894035458565e-12
12,775.0000043267086,1867.6599810103035,1072.000012082984,584.0000024612632,301.000001110059,495.00000161649507,5094.660002607814,0.0,0.0,0.0
13,985.0000120949957,2132.5099814517343,587.0000027132877,654.0000033780125,356.000001499001,392.0000012546871,5106.510002391718,0.0,0.0,0.0
14,1082.0003318423753,2556.809662734426,158.00000044477616,685.0000044467829,326.00000133942683,398.0000013612482,5205.810002169036,0.0,0.0,0.0
15,1711.7678812625416,2504.372113252805,2.0000000048215933,728.0000053884589,348.00000145807815,268.000000809538,5562.140002176243,0.0,0.0,-9.094947017729282e-13
16,2168.380004861127,2789.449988857644,0.0,711.0000063718054,359.00000162587094,115.00000030632971,6142.830002022777,0.0,0.0,0.0
17,2443.1945048140824,2689.5254890644437,0.0,732.000006558306,362.0000016246867,7.000000016941139,6233.720002078459,0.0,0.0,9.094947017729282e-13
18,2501.4612967984986,2516.598698151448,0.0,742.0000055570407,359.0000015291521,80.00000020446662,6199.060002240606,0.0,0.0,0.0
19,2453.7109941699714,2445.1590019299065,0.0,740.0000046219465,374.0000015739499,50.00000012415347,6062.870002419927,0.0,0.0,9.094947017729282e-13
20,2145.2537704262068,2249.916225448348,0.0,816.0000049869981,352.00000135105694,162.00000041404968,5725.170002626659,0.0,0.0,0.0
21,1629.8220461426329,2383.4079487936438,0.0,814.0000054195949,368.0000015181846,223.00000061415707,5418.230002488213,0.0,0.0,0.0
22,1122.0000537458181,2691.579940481648,0.0,819.0000064427323,366.0000016273195,1.0000000024078592,4999.580002299926,0.0,0.0,0.0
23,739.0000053812865,2564.5399879189818,0.0,791.0000067169227,371.0000018212354,116.00000030373101,4581.540002142158,0.0,0.0,-9.094947017729282e-13
24,699.0000050092417,2473.579981947372,0.0,882.0000130871608,345.00000166143144,132.00000035187065,4531.580002057077,0.0,0.0,0.0
25,705.0000049333377,2359.489964576802,0.0,993.0000311323311,333.0000015402987,0.0,4344.490002075696,0.0,46.00000010707331,-3.197442310920451e-13
26,700.0000041618075,2136.3499733405665,0.0,1050.0000233939418,314.0000013183671,1.0000000024084927,4201.350002217091,0.0,0.0,0.0
27,735.0000047659032,2168.7899807815393,0.0,986.0000151265594,329.0000014134181,50.00000012601685,4268.790002213437,0.0,0.0,0.0
28,782.0000080887284,2494.8599746240047,0.0,895.0000176376051,332.00000147332236,72.00000018361494,4575.860002007276,0.0,0.0,-9.094947017729282e-13
29,953.000040510991,2579.4099457337115,0.0,857.0000136520936,320.0000013306606,262.0000007932435,4971.4100020207,0.0,0.0,0.0
30,1522.1870194762766,2491.7029725636103,118.00000031682772,862.0000085672008,278.0000009842704,134.00000035539486,5405.890002263581,0.0,0.0,0.0
31,1100.0000776023282,3201.049913808253,554.0000025993264,830.0000073893494,286.00000101798264,0.0,5920.050002298848,0.0,51.00000011839163,9.308109838457312e-13
32,949.0000103345302,3163.819972922475,983.0000122484442,823.0000061069436,279.00000095759873,0.0,6145.8200024490525,0.0,52.00000012093907,9.876544027065393e-13
33,898.0000095665117,2922.559087899835,1353.0308976553715,799.0000061798589,275.00000095373935,42.000000104170184,6289.590002359486,0.0,0.0,9.094947017729282e-13
34,891.0000095596224,2646.137446959397,1562.7125357348316,873.0000087558053,292.000001050801,109.00000028446742,6373.850002344925,0.0,0.0,0.0
35,882.000009980794,2747.2739270386533,1285.1060526348867,897.0000108307304,300.00000110813716,240.0000007012841,6351.380002294485,0.0,0.0,9.094947017729282e-13
36,1084.000035711539,2687.8499454866533,939.0000115068559,859.000007809793,287.00000102106566,279.00000083018773,6135.8500023660945,0.0,0.0,0.0
