,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,CH -> AT,CZ -> AT,DE -> AT,HU -> AT,IT -> AT,SI -> AT,demand,AT -> CH,AT -> CZ,AT -> DE,AT -> HU,AT -> IT,AT -> SI,mismatch
1969,312.0000007178742,888.0000018902987,152.0000003577732,2110.0000038766434,122.00000028840319,0.0,0.0,499.0000011187594,0.0,1414.8000033856083,2003.8000033433145,748.0400010644116,0.0,480.4400003611219,7218.230007270666,1340.850008695592,0.0,0.0,0.0,171.00000043795052,0.0,2.2737367544323206e-13
1970,312.00000071813355,897.000001908937,152.0000003578388,2114.000003888322,122.00000028844596,0.0,0.0,354.00000081006345,0.0,1424.8000034145582,1978.7000033170048,760.1100010748179,0.0,469.44000036770115,6981.090005392842,1426.9600103005803,0.0,0.0,0.0,176.00000045240114,0.0,-9.094947017729282e-13
1971,312.00000089353733,901.0000040272779,152.00000039663303,2486.809913521845,122.00000031313377,0.0,0.0,248.00000068358048,0.0,1454.0000666696526,1759.100018385054,723.6500014543549,0.0,425.5100003979239,7038.0000037020245,1359.0700026145169,0.0,0.0,0.0,187.00000042645172,0.0,4.547473508864641e-13
1972,312.0000009013007,908.0000042495429,152.00000039816675,2496.0000594595795,122.00000031409027,0.0,1.0000000024076152,196.00000052693466,0.0,1554.2999144122512,1789.9000241721442,773.4500015473171,0.0,511.9200004604177,7353.000003594224,1277.5700024279536,0.0,0.0,0.0,186.00000042197524,0.0,-1.1368683772161603e-12
1973,308.0000009111375,898.0000047374838,151.00000039993208,2896.8873171041796,122.00000031699486,0.0,33.000000081028105,140.00000036809828,0.0,1511.6099789284365,1951.4427012212466,643.9000013818087,0.0,460.3800004795976,7692.000003295147,1240.220002222849,0.0,0.0,0.0,184.0000004119482,0.0,-6.821210263296962e-13
1974,312.0000008980319,701.0000026710082,150.00000039183615,3488.716963839198,122.00000031368228,0.0,140.000000363639,88.00000022202366,0.0,1578.3298015663217,2338.0732347892153,398.8700008739303,0.0,298.99000043692354,8305.000003742656,1149.9800022556228,0.0,0.0,0.0,161.0000003675313,0.0,-9.094947017729282e-13
1975,312.0000008809046,590.0000019701387,151.0000003913306,3746.891083117746,122.00000031156699,0.0,268.0000007386173,42.00000010311587,0.0,1596.6000801102705,2703.6888383555797,288.10000063589587,0.0,229.4100003838268,8722.000004110047,1169.690002524655,0.0,0.0,0.0,158.00000036429057,0.0,1.1368683772161603e-12
1976,312.0000008773501,586.0000019342149,153.0000003961969,3314.1959100311324,122.00000031112232,0.0,353.0000010151342,41.000000100565764,0.0,1553.40003872146,3179.8540527966766,152.41000034876373,0.0,224.73000038594546,8809.000004201562,1029.590002363409,0.0,0.0,0.0,153.00000035359088,0.0,1.1368683772161603e-12
1977,312.0000008623836,592.0000018879822,152.0000003903804,2260.0000832879305,122.0000003092243,0.0,413.0000011992312,76.00000018883563,0.0,1456.0000162964495,3952.5099019253703,184.39000041326224,0.0,322.94000046215245,8737.000004600743,954.8400022709778,0.0,0.0,0.0,151.00000035148253,0.0,-1.3642420526593924e-12
1978,312.00000084342474,630.0000019482684,152.00000038643697,2125.000020156981,122.00000030674347,0.0,479.00000138651046,107.00000026755283,0.0,1488.1000123805654,3820.4699694147344,134.5700003053713,0.0,278.57000041910504,8637.000005266436,858.7100021896981,0.0,0.0,0.0,153.00000035955745,0.0,2.6147972675971687e-12
1979,312.0000007220463,850.0000018453784,152.00000035880657,2021.0000038669964,122.00000028907434,0.0,499.00000112892377,143.00000033794188,0.0,1410.1000033997564,3947.9000054141075,33.6100000785259,0.0,115.88000021416694,8574.56001337239,890.930003927451,0.0,0.0,0.0,141.00000035588417,0.0,1.3642420526593924e-12
1980,312.00000072209826,863.0000018710879,152.0000003588201,1978.0000038019662,122.00000028908322,0.0,481.00000109066565,188.00000044181778,0.0,1316.7000031859443,3820.300005321374,34.41000008039871,0.0,38.36000008365055,8040.360011105489,1079.4100056632326,0.0,0.0,0.0,186.00000047818395,0.0,9.094947017729282e-13
1981,312.0000007214095,857.0000018548434,152.0000003586495,1997.0000038123667,122.00000028897239,0.0,429.0000009775997,253.00000058934802,0.0,1336.9000032273864,3743.1000051518236,109.28000024051441,0.0,0.0,7969.480010817896,1138.1100058786799,0.0,0.0,0.0,189.00000048942795,14.690000036910728,-2.2737367544323206e-13
1982,309.0000008495101,857.0000031546023,152.00000038965857,2046.0000281491539,122.00000030876933,0.0,358.0000010069974,375.0000010633538,0.0,1199.4000080818118,3528.7399640788335,182.14000041202755,0.0,143.02000025405727,7855.000004597935,1228.300002711513,0.0,0.0,0.0,189.00000043932877,0.0,-2.5011104298755527e-12
1983,311.00000089920945,867.0000039174657,152.00000039842735,2490.8630250755996,122.00000031425097,0.0,235.00000064757086,594.0000021030696,0.0,1258.5000186888165,3038.2869537704546,173.5700004037493,0.0,151.77000027475017,7940.000003644774,1273.9900024419308,0.0,0.0,0.0,180.00000040666038,0.0,-2.2737367544323206e-13
1984,312.0000008973939,883.0000039531014,152.00000039738828,3704.4999328940667,122.00000031360373,0.0,104.0000002646695,851.0000036946284,0.0,1374.6000318029592,1911.8000316383109,28.48000006812004,0.0,134.03000026177247,8394.000003758752,1015.4100020469248,0.0,0.0,0.0,168.00000038033772,0.0,4.547473508864641e-13
1985,312.0000008459675,882.0000031127687,157.00000040046677,4481.58997775118,122.00000030708179,0.0,29.000000070520883,1170.0000048714483,0.0,1519.700014002751,1622.1000072443705,0.0,0.0,0.0,8841.000005100968,991.1100023482348,0.0,0.0,243.2800006463311,198.0000004564279,22.000000054592867,0.0
1986,312.0000008385076,862.0000029177493,152.00000038540583,4345.259981551645,122.00000030609401,0.0,1.0000000024071327,1302.0000055608537,0.0,1526.200012243443,1478.90000575625,0.0,0.0,0.0,8471.000005340504,931.4200023570066,0.0,0.0,333.67000091958494,216.00000049824422,149.2700004470143,1.1368683772161603e-12
