,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,GR -> BG,RO -> BG,RS -> BG,demand,BG -> GR,BG -> RO,BG -> RS,mismatch
0,28.00000006659839,322.0000006830004,69.00000016138623,105.00000024205083,1696.0000023893292,2105.0000026960683,4.000000009609251,0.0,225.0000004949219,0.0,653.0000009050387,0.0,4890.7500065523445,294.0000010411476,0.0,22.250000054510895,-2.2737367544323206e-13
1,27.000000064195714,320.0000006736357,69.0000001610668,103.00000023693858,1687.0000023141693,2104.0000026089924,4.000000009608116,0.0,216.0000004739861,0.0,551.000000792713,0.7900000018997632,4807.790006369253,274.00000096795236,0.0,0.0,1.1368683772161603e-13
2,28.00000006648638,320.0000006677843,69.00000016073002,105.00000024057776,1694.0000022517029,2105.0000025239674,4.000000009606915,0.0,214.0000004671248,0.0,495.0000007355878,36.61000008550354,4810.610006280553,260.00000092851855,0.0,0.0,5.684341886080802e-14
3,28.00000006645813,321.00000066673965,68.00000015831364,108.00000024672393,1694.0000022197582,2107.000002485057,4.0000000096063255,0.0,213.00000046376493,0.0,487.00000072693234,42.900000102138364,4808.900006222632,264.0000009228599,0.0,0.0,-1.7053025658242404e-13
4,28.000000066443615,333.00000068659205,68.0000001582313,127.00000028729596,1701.000002208598,2106.0000024643587,4.000000009606023,0.0,193.00000042341802,0.0,460.0000006972849,77.6700001833809,4852.670006364424,245.0000008207856,0.0,0.0,-2.8421709430404007e-13
5,28.000000066476964,330.00000068480745,68.00000015842056,141.00000031763378,1729.0000022661839,2107.000002511659,3.0000000072085182,0.0,116.00000026430709,0.0,463.00000070393804,107.38000025234972,4853.380006442421,239.00000079056426,0.0,0.0,3.694822225952521e-13
6,29.000000068919654,327.0000006894406,68.00000015895867,165.00000037061594,1701.0000023592493,2109.0000026553907,3.000000007209629,77.00000017931976,93.00000021514128,0.0,403.00000065220576,103.15000024395866,4834.150006788724,244.0000008116856,0.0,0.0,2.2737367544323206e-13
7,29.000000069015602,327.00000069916325,68.00000015946998,171.00000038614996,1741.0000025120476,2107.0000028041723,4.000000009610554,298.0000006435187,45.00000010644697,0.0,362.00000061459775,47.91000011455949,4928.910007146424,271.0000009723285,0.0,0.0,-4.547473508864641e-13
8,30.000000071398606,326.0000007001594,68.00000015962102,171.00000038703675,1750.0000025580498,2108.0000028523577,4.000000009611102,508.0000010292978,13.000000031132743,0.0,391.0000008854245,0.0,5088.810007714489,263.0000009281378,0.0,17.190000041462373,1.7053025658242404e-12
9,29.00000006903552,322.00000069164133,67.00000015728695,173.00000039102324,1713.0000025137751,2107.000002837392,4.0000000096109405,615.000001203428,3.000000007210895,0.0,522.0000011578928,0.0,5216.1700078026915,307.00000115863435,0.0,31.83000007697051,0.0
10,30.00000007136417,321.0000006873506,68.00000015944899,167.00000037754333,1711.0000024807998,2107.000002797669,4.000000009610478,635.0000012274744,1.000000002405398,0.0,529.0000011653641,0.0,5183.070007508856,333.0000013318576,0.0,56.930000138315854,-4.547473508864641e-13
11,29.000000068968845,321.00000068312636,69.00000016149805,141.00000032086623,1714.0000024291576,2109.0000027303918,4.000000009609647,574.0000011195358,1.000000002405346,0.0,507.0000011086973,0.0,5057.050007076076,338.0000013777001,0.0,73.95000018048096,5.684341886080801e-13
12,29.00000006894582,322.00000068274267,69.00000016137183,131.00000029882918,1710.0000023976518,2110.0000026954435,4.0000000096092,431.0000008785142,1.000000002405318,0.0,486.0000010611666,0.0,4940.31000702094,301.000001110059,0.0,51.690000125680726,3.410605131648481e-13
13,29.000000069009072,323.0000006908991,69.0000001617188,128.0000002934747,1697.0000024652563,2108.000002794212,4.000000009610428,219.00000048581884,4.000000009610428,0.0,504.00000111158676,0.0,4671.530006452592,356.000001499001,0.0,57.470000139602966,1.0800249583553523e-12
14,30.000000071435466,318.00000068818923,70.0000001643925,137.0000003145016,1698.0000025577845,2107.000002911664,4.00000000961177,33.000000078496996,16.000000038285602,0.0,694.0000015080429,7.500000018029578,4788.500007021007,326.00000133942683,0.0,0.0,-3.410605131648481e-13
15,30.00000007155451,322.0000007074299,70.00000016502432,737.0000014559607,1701.0000027229357,2106.0000031224654,4.000000009613922,0.0,33.00000007864076,0.0,714.0000015840227,0.0,5317.570008331526,348.00000145807815,0.0,51.43000012804365,-5.684341886080802e-14
16,30.000000071595696,326.0000007195831,68.00000016060945,1070.0000019868762,1705.0000027882973,2105.0000032018606,4.0000000096146655,0.0,46.00000010930035,0.0,740.0000016550719,0.0,5609.410008748911,359.00000162587094,0.0,125.59000032802585,8.526512829121202e-13
17,30.000000071584086,326.00000071841185,67.00000015823376,999.0000018755661,1699.0000027642022,2107.0000031806985,4.000000009614456,0.0,62.00000014662821,0.0,783.000001738369,0.0,5564.980008639943,362.0000016246867,0.0,150.0200003986798,-1.3642420526593924e-12
18,30.00000007155212,328.0000007192035,68.0000001603903,847.0000016284837,1699.0000027173273,2110.0000031215204,4.000000009613879,0.0,86.00000020178896,0.0,824.0000018037849,0.0,5479.210008481897,359.0000015291521,0.0,157.79000042261603,2.2737367544323206e-13
19,30.00000007151598,328.00000071556974,68.00000016020886,644.0000012890071,1702.0000026692574,2108.000003052486,4.000000009613227,0.0,92.00000021516537,0.0,849.0000018394499,0.0,5280.340008029343,374.0000015739499,0.0,170.66000041898133,-1.1368683772161603e-12
