,biomass,gas,hydro,lignite,nuclear,other_fossil,other_renewable,wind_onshore,demand,s_l,s_r
0,1.5824990888328716,839.4974074819305,12.392476160455544,551.301303386673,2526.017462691259,63.14795246925175,14.43654410713897,434.12864647750524,3866.53,0.0,429.6376688931268
1,88.0,634.0,5.0,299.0,1901.0,96.0,5.170716864640813,143.0,3822.258754416483,0.0,515.5000208329083
2,143.4127629069984,1478.5325087649283,13.948419894008756,153.62017227010696,877.7439048345161,63.58283226678542,16.73810387281051,440.7700686506767,3418.24,0.0,622.2600000000007
3,77.0,513.0,5.0,266.0,1719.0,100.0,2.2469120108266853,154.0,3683.1386162069384,0.0,562.4800000000004
4,7.626956915987364,370.6357085146527,5.0,265.0,1583.5090091212294,112.0,1.967069469447866,43.20585750321543,2999.572202678049,0.0,543.5700000000006
5,97.84867100954123,661.0,5.0,267.0,1636.0,117.0,2.9144380745499925,37.65684816609453,3393.729957250187,0.0,562.0999999999997
6,85.27683035001549,640.0,5.0,264.0,1638.0,115.0,13.0,46.99450933084625,3534.90262132421,0.0,94.04560601505432
7,40.86469289799723,691.5120763200388,1.575590572110507,287.3113148955713,1704.3432978775093,117.50505958520961,13.518281191218804,19.369686660344247,3642.76,0.0,497.6200000000001
8,138.59048453515365,807.6479960841713,5.973727781687658,161.4557674888632,1996.4198246400151,135.00624786614105,5.405843905177479,25.08965668308816,3870.5,0.0,373.5699999999997
9,0.6448663838259572,735.5464874174726,5.710764653862364,300.38622079316036,1862.3578683701749,80.78444777337147,15.990141030814621,55.96549360785117,4071.76,0.0,356.5099999999999
10,146.2917020550573,725.5714597242998,6.251782139105013,111.38224652986526,2231.8862236604896,137.5392070603103,4.527022501095187,30.211619745327038,4239.99,0.0,332.3900000000003
11,281.7481263656771,1759.5337120987629,12.321664650551561,133.6856397318377,635.7465398074405,226.2841758313814,34.50066102154437,61.6083232527578,4304.36,0.0,295.98
12,135.6080287514569,706.8094761622752,5.845173653080039,308.62516888262604,2084.388924688342,130.93188982899287,16.366486228624108,14.028416767392095,4215.11,0.0,98.07765975732448
13,81.60423770686876,79.02463456098981,5.0,260.0,1782.0,114.0,13.0,2.0,3540.061951801958,0.0,188.16999999999967
14,114.0,649.8010802085215,5.0,265.0,1410.75007479309,49.57870567435305,14.0,2.0,3607.5798606759645,0.0,186.75000000000037
15,212.5894136903915,1257.0504461692715,8.972674514171052,532.3978360246326,806.357719522779,199.64918850923723,24.03184676500078,0.9176647067423225,4503.36,92.04197310995207,0.0
16,357.5408473086568,2084.1269902949057,14.19557449851994,204.50237399781867,767.0587776087742,323.92589585228734,42.782665489924746,3.0559046778517676,4607.63,484.78871809440506,0.0
17,2.3822013309526704,750.1140863672955,5.62304412569187,83.60338308071279,2173.8688589924773,68.51697219307157,14.619914726798864,0.9398851009378514,4587.77,177.08090560628946,0.0
18,131.68905410273643,733.6961585723888,5.533153533728422,298.7902908213348,1981.7983793542253,120.6227470352796,14.386199187693897,2.697810324235053,4585.65,127.15186820507883,0.0
19,160.3302905872728,937.5245805526969,6.793656380816644,368.2161758402621,1828.0609626755618,21.218076996140322,12.728796756131231,20.38096914244993,4486.96,0.0,41.859999999999744
20,120.13681459837201,679.111069785465,5.134051905913334,309.0699247359827,1984.8244668260947,112.94914193009335,12.321724574192,7.164921920012345,4334.94,0.0,24.23908771864361
21,289.46622273146727,348.0188855148192,12.47699235911497,260.2327899860691,1978.878613396021,184.0645418578183,29.944781661875925,44.91717249281389,4113.54,0.0,35.969999999999715
22,118.51530891172953,688.6148121250492,5.108418487574548,219.96360038447656,1979.0013220863802,80.83096876617257,10.05318845356908,17.368622857753465,3868.68,0.0,117.5360277623052
23,36.92981945784576,386.86309616524585,1.553876710248781,268.0,1938.0,98.0,8.575940748741237,15.0,3435.7203292835857,0.0,126.0800000000002
24,23.071547623294887,474.11755980088026,5.7923118120170445,311.626375486517,2115.611831680617,116.15824140721165,10.42616126163068,7.837934638115431,3492.14,0.0,44.06349968394554
25,114.37835252696007,854.5509096841844,6.573468536032188,352.3379135313253,1945.1277314900638,124.89590218461157,3.7780847224512244,3.9440811216193126,3352.25,0.0,98.38622538113562
26,79.0,321.3404069989271,5.0,266.0,1797.3392170563698,96.0,6.0,2.0,3194.035283529966,0.0,1.3370626866616526
27,223.08586517849096,1291.0078595736768,9.827452457105084,735.3571111439147,355.186717367764,275.41464836850736,16.524878902110444,8.262439451055222,3424.58,0.0,41.05099180011617
28,22.648161849374077,861.6359204962284,6.0764169287463226,399.828233911508,1748.1147901981678,91.71457474503501,5.13285108125916,1.2152833857492644,3781.91,0.0,151.88000000000048
29,123.24297594313748,751.246314227299,5.358390258397282,504.76036234102395,1861.4011408974716,124.31465399481694,4.25978562352924,0.0,4423.24,0.0,31.3100000000004
30,155.93468103857106,1119.7723215959456,6.721322458559097,684.2306262813161,1378.5650740479095,154.59041654685922,16.13117390054183,0.681871691866278,4824.36,32.69251243843106,0.0
31,134.41589589659446,1118.5322765680896,0.9108887177601759,625.2739443046939,2317.4740622886065,136.8161797518908,14.401703131777978,1.2001419276481649,5033.3,17.530099040073353,0.0
32,114.0,969.0,5.0,521.0,1933.0,72.57114224866365,13.0,0.3541797943971669,5190.505322043061,160.5,0.0
33,115.0,988.0,5.0,422.3118341930464,1934.0,110.0,13.0,66.0,4905.759858955076,146.9793807309034,0.0
34,114.0,997.0,1.0011019284852667,533.0,1934.0,110.0,12.0,86.0,5494.431101928484,187.80000000000015,0.0
