,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,238.51456162556536,1538.9658047930204,16.29360422702391,5078.453769888156,786.3818735312132,0.0,582.9560357587607,1129.4197010640157,8379.0,329.124649112246,0.0
1,153.58,1565.88,15.38,3406.5698812722985,766.45,0.0,400.3999123360087,1108.76,6663.660025250567,4.764411776739779,0.0
2,322.75883861267243,1917.5575439750558,36.621178621946456,990.0304397816075,1914.9714010313278,0.0,1213.9956853008482,2476.890435166494,7713.0,0.0,0.5855224899538537
3,131.38,170.33262259342254,4.123745692444703,4522.49,1.6005936899687214,0.0,805.33,995.13,5538.649185089053,0.0,564.9377768867823
4,131.26,688.3107705417499,14.74,4528.67,202.90625759844684,0.0,785.75,929.69,7352.195395577469,0.0,644.0400000000004
5,148.631104643253,456.67427107498816,19.070205598512565,5897.526211823612,1034.180896914418,0.0,734.5264788904643,926.9130064996234,7699.0,0.0,583.7500000000023
6,137.32,1365.934193595668,14.32,4530.06,702.8883267977961,0.0,682.452778587607,105.04796847875971,8646.515933556733,0.0,110.300000000002
7,156.13,1463.24,8.723537968894822,4530.44,794.43,0.12,540.3010661505684,786.26,8489.35178161574,0.0,88.86999999999784
8,293.69992634802776,2866.962104164442,27.18185558359001,789.4496876537397,1604.5225313817327,92.27094558612835,1421.565446534637,1643.6001662141587,7676.0,28.54987019720316,0.0
9,161.39,1399.94,12.89,4529.6,307.2399139834298,292.54,675.0090954755198,729.87,7823.499910393019,1.3795373050991393,0.0
10,157.79,593.3513949264332,12.71,4636.49,803.32,435.62,780.57,680.3,7309.591394926433,81.64000000000078,0.0
11,159.56,1138.020492675349,47.52891578066901,4861.5,208.0286552217035,241.55,746.9,621.67,9551.25934046011,331.8899999999994,0.0
12,184.80550396454865,1831.6528064091108,63.634590055938844,5781.576930780922,1000.0221973174895,145.15275586748194,684.0689224757663,630.4579193976125,8831.0,245.37927841654923,0.0
13,159.87,1492.79,50.95,4946.24,924.43,0.4991651557389783,409.75,416.89,8707.166709906469,0.0,92.44245524927172
14,173.27654546750782,1372.7226742970392,143.21646138988118,5139.931605064563,965.8801514493517,26.819328641476154,124.19672775599263,372.57650593418936,8791.0,0.0,126.160000000001
15,165.11,1713.31,285.68491036278766,4948.79,953.8,2.44,21.912428755062724,258.0855775543445,8750.912916672198,0.0,193.76999999999816
16,245.95711429078017,2717.783258002335,1662.2442501237572,3110.836703643362,1445.894616302412,0.0,347.9367651509667,276.9930917864194,9272.0,0.0,228.3599999999974
17,162.09,1602.56,839.28,4949.84,946.99,0.0,136.27,262.69,9297.054512411454,0.0,5.665487588545924
18,32.75203503824117,1841.0700939343656,462.3491846252379,6056.789012669265,1049.8184489289727,0.0,395.61357743715735,672.3520586207576,9217.0,0.0,122.29000000000065
19,158.20403544107955,1413.9653278419867,144.01126240894203,5098.423647306289,713.7436012645392,0.0,185.7560523549703,629.7321016941081,8648.646028311912,0.0,5.030000000000882
20,167.48809725159728,782.636811331475,266.1504561774974,6428.381162727144,107.06971467463579,0.0,878.2367021374796,835.529382454836,8818.0,19.228044386798352,0.0
21,137.54,22.213499524841367,369.71,4944.35,715.58,0.0,808.39,618.0,7718.343499524843,0.9099999999998544,0.0
22,22.799551041504618,1485.4199528910017,159.981026349224,4925.840872926852,811.6077825911813,0.0,837.7009722845861,711.9698419156516,9188.0,0.0,65.94999999999959
23,169.49364400813192,1775.0692826049415,27.872746306292427,4303.921815009075,1088.9501405834533,0.0,563.392224350648,883.4878499073299,8662.0,0.0,138.45770276987184
24,135.74,1404.9,19.55,4946.91,597.2103140928791,0.0,664.1941503236669,698.53,7818.974464416545,0.0,745.5000000000018
25,134.77,1368.69,19.46,638.7595704951469,833.59,0.0,568.0124768415637,412.7603083123199,3020.3623556490297,0.0,864.7200000000009
26,40.126379548236166,1515.442597939366,1.4958726534405515,5464.373562506129,929.5393699751216,0.0,305.2005785212397,890.8667821150308,7738.0,0.0,143.23929048716334
27,158.01,670.0809345256317,2.897781010180701,4843.71,732.4121307273635,0.0,803.13,754.54,7012.82075656328,0.0,978.0199999999996
28,334.56758493659606,2897.8890608729876,9.242886869232422,1744.6710363731017,1524.298200359016,0.0,1495.7321243847916,1019.7928541202112,8193.0,0.0,649.0078064088603
29,210.95,1509.91,19.08,2649.539728707793,818.93,0.0,743.28,79.65170477512459,5039.560489136013,63.72999999999979,0.0
30,124.41750850020442,1779.0073576988761,19.166845534934314,5110.818203013903,957.5475287089182,0.0,784.0240999887698,476.68368022908254,9578.0,8.185522291435554,0.0
31,567.3854525051808,3959.167174737602,42.58299874259974,2048.0500455202496,144.49043974337994,0.012197788097281304,1597.2540463724483,837.3164634520965,10182.0,187.94251520708698,0.0
32,338.480054424949,489.95095948356453,853.5467250717401,6054.956150976446,1193.8085103860042,41.24639650118298,550.2009393477367,378.21509398392055,10522.0,41.54516982445756,0.0
33,57.09555318672128,1214.4216875522625,681.6480254831171,6122.865386832817,1277.4379242934128,311.7483627641853,492.67805398203933,328.9550059054445,10600.0,0.0,50.61000000000058
34,373.0024075246108,2375.6662530299895,1086.8208871922468,4991.010256400698,1045.7684318481374,327.8447066460904,62.99563246236602,169.42459273095963,10827.0,0.0,57.11887704152968
35,1086.872140714371,1464.6643673488877,359.5358933815238,2901.969481927661,3110.9537045431193,461.58505659963225,698.4554476628233,157.50369175511614,10982.0,0.0,45.469999999997526
