,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,8.07927336247133,64.52807918225818,190.88982197182625,73.33988045067039,0.0,153.0121380670546,1054.0,228.39152612732204,0.0
1,34.89001018130011,53.15275796144554,120.66173894014058,47.08609597673688,0.0,333.74745235342857,1022.0,102.00194458694817,0.0
2,64.56080965294595,85.57912962494643,24.99398728063821,74.83510637647886,0.0,515.5452405631853,1000.0,23.97149407663923,0.0
3,69.2080871577037,24.58681056938597,19.727736142293153,34.6734894902539,0.0,344.95255396050095,994.0,65.7832739954264,0.0
4,51.76,0.1651865764099915,105.38,39.92,0.0,269.47,933.8927704832649,0.0,20.620000000000037
5,52.82651547981311,63.45151290729865,116.61306223262844,41.619437768861346,0.0,402.8488345825046,1027.0,4.239841018726864,0.0
6,51.61,45.64,105.39,39.79,0.95,306.19,1037.0000000000002,106.8300000000002,0.0
7,51.4,45.42,105.41,23.79038694626216,0.5421259873028035,292.84557983960656,1092.866138610677,89.39000000000006,0.0
8,88.54598207747868,24.561673092603947,186.4727653387302,70.29867623496325,1.0275879569551962,153.67655994332736,1119.0,195.68675535594141,0.0
9,53.232818386135996,21.945243363136957,9.526467594581172,57.69989427619657,3.9625915535530254,547.8924249477382,1184.0,143.83055987865822,0.0
10,62.7145698996628,54.79298606080138,87.76692331295257,49.442870206554986,4.228907064746014,350.7263011414257,1217.0,231.12744231385648,0.0
11,73.90109938451468,66.00162989630256,48.404159298712266,9.635074985628867,4.710209692466235,534.2052774577127,1222.0,325.79684050413636,0.0
12,75.1621523602808,66.3108684709445,25.07051999810886,57.04652466677249,2.050547434362911,488.930169907122,1225.0,106.794735586622,0.0
13,57.43196644128068,50.907911395272926,18.013490088509993,42.94157820437918,0.022535596013843705,296.15153501592704,1236.0,329.83098325861647,0.0
14,64.40590367881944,57.13039857605419,133.03058983042288,49.48859200110111,0.0,270.67152577631333,1312.0,149.27299013728907,0.0
15,50.95,45.26,105.46,39.52,0.0,196.5157172614984,1282.7757172614984,237.04999999999995,0.0
16,74.91942674942264,57.371957661586826,154.98441852284407,58.05667508506083,0.0,307.4745221674196,1397.0,251.06299981366595,0.0
17,61.71696573668108,15.428048858312055,145.67391444072157,56.60337893243894,0.0,387.00068032023427,1381.0,250.65701171161237,0.0
18,52.28739603326674,46.427601650228226,84.91588724966539,41.100515847465935,0.0,344.2629200035127,1345.0,376.2356792158609,0.0
19,91.60000330060909,81.97399627530447,35.53960859008319,58.77415843361036,0.0,489.0966549189528,1279.0,714.6455570805134,0.0
20,45.833130988740045,80.74129878449112,213.87975322613832,80.51943650866383,0.0,325.8145130070369,1192.0,174.01186748492992,0.0
21,75.33398794318268,6.387972630925189,154.84485036745926,59.708270459953724,0.0,53.41764653966672,1097.0,793.5761019511415,0.0
22,56.5290466441275,51.99220501939816,86.6763592404539,44.92607418888222,0.0,338.4597273088701,1007.0,250.12740458337223,0.0
23,49.610087593449464,85.26660706592128,102.72436973977503,60.729053117103476,0.0,276.2516605473088,963.0,232.4717406483852,0.0
24,53.6516153717985,49.48241313581656,59.497094795443275,43.34680881430706,0.0,369.01737935075187,941.0,293.0261468433697,0.0
25,50.04,45.99,37.44047078772155,30.373584551029552,0.0,311.23,740.8061170376662,229.26999999999995,0.0
26,50.23,46.02,55.4,40.17,0.0,320.29,946.0,265.19,0.0
27,51.08,46.08,55.39,27.51167053736636,0.0,304.91,932.7405392998812,199.1688687625148,0.0
28,73.21500998734741,69.00734720601903,83.26605800621651,58.02228756757631,0.0,434.0935151946197,1191.0,467.3036770583709,0.0
29,57.410747959606944,12.81034865953599,6.682295787062341,43.46356644491481,0.0,299.0478745341663,1380.0,516.4593639125771,0.0
30,73.94627979873641,52.18845235009312,149.72101849991424,55.36403467392456,1.3323654017790343,326.9681392365826,1511.0,287.6797100389701,0.0
31,24.082383384240014,123.91386352663673,284.11486713157274,63.459823371415325,3.354022681470608,453.4959222038912,1581.0,372.3737285433337,0.0
32,48.37852953994927,45.94,105.68,40.44,1.568269187093997,147.56,2091.8724260453355,670.6199999999999,0.0
33,49.85096666843972,45.9,105.68,21.05702556546544,6.52,125.82,499.6853986366745,296.6547803284026,0.0
34,97.98467117214311,24.716826472511197,190.50674857967405,76.08686706507116,9.527333515200693,170.5317384331476,1642.0,673.980603267878,0.0
35,51.92,46.11,147.1,39.92,3.14,78.42,1450.9346309312248,701.1199999999999,0.0
36,25.47406719826334,21.599799858489693,161.880896039768,12.331772702715975,1.9390862781765958,44.547461289096375,1610.3918479624533,647.0650975982841,0.0
37,51.69,46.12,105.64,29.619330678669183,0.03,81.97,1167.667233220135,719.8399999999999,0.0
38,124.51108519745715,111.49489533682305,338.6891381180931,1.2074941368338548,0.0,172.85697820535108,1704.0,1348.6763658524374,0.0
39,50.48412315004936,45.43552609327712,61.688864479836006,32.69656987211761,0.0,139.02,1268.5150835952802,599.08,0.0
40,33.62970259912356,9.246835571733987,555.6915631908281,40.40312052710966,0.0,141.59348177497014,1686.0,584.0352963362341,0.0
41,50.880376781471604,49.146719077263555,125.62916753712835,41.424882138908785,0.0,121.44828344895836,777.4652610989635,759.5450518852698,0.0
42,51.63,46.06,105.37,39.3,0.0,88.57,1727.5763342655184,735.3299999999999,0.0
43,53.771785391891555,6.9417271061915224,110.02855814752489,32.388326391202675,0.0,73.53683194467811,1487.0,685.6581310485681,0.0
44,18.70187872320528,46.0,105.4,39.92,0.0,72.25,1358.2262657570247,572.28,0.0
