,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
1687,10.06,53.73,811.42,658.37,692.85,11.94,45.75,0.51,0.0,0.0,1185.33,274.03000000000003,825.27,2.2737367544323206e-13
1688,10.1,53.7,864.11,619.64,692.76,11.39,68.44,0.3,0.0,0.0,1082.7000000000003,165.64999999999998,1072.09,0.0
1689,10.17,52.83,873.89,689.84,692.99,12.29,76.76,0.27,0.0,0.0,1030.6800000000007,402.18,976.18,-2.2737367544323206e-13
1690,10.14,52.06,863.42,673.32,693.1,11.82,85.94,0.35,0.0,0.0,1033.5700000000002,405.29,951.29,0.0
1691,10.14,55.49,868.02,748.05,693.78,10.19,90.99,0.36,0.0,0.0,1178.0299999999997,405.71,893.28,-2.2737367544323206e-13
1692,10.21,53.03,839.67,789.65,693.68,11.1,76.34,0.56,0.0,0.0,1142.2299999999996,373.2,958.81,2.2737367544323206e-13
1693,10.21,60.69,861.61,806.41,693.86,12.29,59.75,0.63,0.0,0.0,1093.5500000000002,493.19,918.71,0.0
1694,10.21,58.93,855.25,819.54,694.09,12.51,43.14,0.54,0.0,0.0,935.77,479.52,1078.92,0.0
1695,10.21,59.08,877.32,761.64,693.87,11.93,24.55,0.78,0.0,0.0,1118.5300000000002,429.35,891.5,0.0
1696,10.09,59.67,861.1,753.8,693.9,12.31,5.56,0.82,0.0,0.0,1307.5900000000001,414.71,674.95,-2.2737367544323206e-13
1697,10.29,64.24,858.69,772.03,694.08,12.5,0.08,1.23,0.0,0.0,1522.9299999999998,213.59,676.62,0.0
1698,10.22,59.5,855.56,758.82,693.99,12.29,0.08,1.4,0.0,0.0,1660.2600000000002,111.07,620.53,0.0
1699,10.19,57.1,859.74,751.27,694.05,12.17,0.08,1.28,0.0,0.0,1455.4700000000003,249.63,680.78,-1.1368683772161603e-13
