,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
3698,331.39,7885.08,199.31,352.72,0.0,0.0,0.0,1602.01,9545.88,80.4,38.23,706.0,0.0,-7.958078640513122e-13
3699,331.39,8797.67,197.77,342.27,0.0,0.0,0.0,0.0,8154.65,602.63,35.96,706.0,169.86,4.547473508864641e-13
3700,329.37,12165.36,196.25,318.7,0.0,0.0,0.0,0.0,10511.770000000002,1159.36,32.69,706.0,599.86,0.0
3701,331.99,14328.4,191.96,290.15,0.0,0.0,0.0,0.0,12715.419999999998,1095.11,32.26,706.0,593.7099999999999,0.0
3702,330.43,14765.6,195.81,295.89,0.0,0.0,0.0,0.0,13149.529999999999,1156.78,32.26,706.0,543.16,9.094947017729282e-13
3703,331.99,14990.32,117.68,303.27,0.0,0.0,0.0,0.0,13067.89,1188.43,32.26,706.36,748.32,4.547473508864641e-13
3704,330.61,15114.89,113.68,315.12,0.0,0.0,0.0,0.0,13328.160000000002,1170.16,32.26,706.0,637.72,-9.094947017729282e-13
3705,332.02,14993.2,191.07,324.42,0.0,0.0,0.0,0.0,13391.270000000002,1173.55,32.26,706.0,537.63,-1.3642420526593924e-12
3706,331.3,14809.17,190.78,335.22,0.0,0.0,0.0,0.0,13782.189999999999,1108.23,32.26,706.0,37.78999999999997,6.821210263296962e-13
3707,335.13,14264.53,191.08,338.12,0.0,0.0,0.0,0.0,13277.28,1066.19,32.26,706.0,47.13,-2.2737367544323206e-13
3708,337.65,14011.36,190.75,330.87,0.0,0.0,0.0,160.83999999999992,13287.65,1005.56,32.26,706.0,0.0,1.5916157281026244e-12
3709,335.93,13740.18,190.43,337.95,0.0,0.0,0.0,176.67000000000007,13123.390000000001,919.51,32.26,706.0,0.0,4.547473508864641e-13
3710,332.37,13533.05,189.71,331.12,0.0,0.0,0.0,0.0,11989.0,1440.34,32.26,706.0,218.65,0.0
3711,334.44,14606.71,188.51,317.86,0.0,0.0,0.0,0.0,12464.78,1532.23,32.26,706.0,712.25,0.0
3712,332.88,15095.43,186.67,309.34,0.0,0.0,0.0,0.0,13154.82,1532.71,32.26,706.0,498.53,0.0
3713,336.93,14710.86,185.01,287.87,0.0,0.0,0.0,0.0,13149.300000000003,1530.95,32.26,706.0,102.15999999999995,-9.094947017729282e-13
3714,331.05,14308.88,183.55,265.38,0.0,0.0,0.0,137.10999999999996,12954.429999999995,1530.99,34.55,706.0,0.0,2.7284841053187847e-12
3715,333.0,14003.97,182.33,239.73,0.0,0.0,0.0,629.14,13118.419999999998,1531.14,34.61,704.0,0.0,0.0
3716,333.1,13346.05,180.25,234.39,0.0,0.0,0.0,1669.37,13660.769999999999,1483.78,34.61,584.0,0.0,1.3642420526593924e-12
3717,334.2,11729.33,179.23,228.57,0.0,0.0,0.0,1638.62,12438.7,1488.64,34.61,148.0,0.0,0.0
3718,334.35,10661.13,178.25,248.27,0.0,0.0,60.0,1885.85,12029.76,1301.44,36.65,0.0,0.0,0.0
3719,333.53,9776.36,179.9,266.19,0.0,0.0,60.0,2113.58,11319.53,1373.23,36.8,0.0,0.0,6.821210263296962e-13
3720,334.56,9444.04,181.11,271.92,0.0,0.0,0.0,1961.96,10839.41,1104.38,36.8,213.0,0.0,2.2737367544323206e-13
3721,335.52,9400.2,183.82,269.72,0.0,0.0,0.0,2347.36,10830.390000000003,1299.43,36.8,370.0,0.0,-2.2737367544323206e-12
3722,335.31,9177.5,187.09,343.54,0.0,0.0,0.0,1293.17,10016.810000000001,850.11,36.69,433.0,0.0,-6.821210263296962e-13
