,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> GB,NL -> GB,demand,GB -> FR,GB -> NL,mismatch
38,679.0,18989.0,2819.0,722.0,7259.0,91.0,228.0,3525.0,5575.0,2011.0,997.13,42895.13,0.0,0.0,0.0
39,680.0,18976.0,2888.0,817.0,7257.0,91.0,28.0,3582.0,5450.0,2013.0,1035.26,42817.26,0.0,0.0,0.0
40,680.0,21700.0,3498.0,1085.0,7260.0,91.0,10.0,3050.0,4452.0,2012.0,1029.18,44867.18,0.0,0.0,0.0
41,680.0,22799.0,3696.0,1911.0,7258.0,91.0,4.0,3257.0,4375.0,2013.0,1045.78,47129.78,0.0,0.0,0.0
42,680.0,22407.0,4036.0,1550.0,7270.0,91.0,0.0,3227.0,4123.0,2013.0,992.16,46389.16,0.0,0.0,0.0
43,680.0,20510.0,3714.0,968.0,7262.0,91.0,0.0,3341.0,4142.0,2013.0,986.99,43707.99,0.0,0.0,0.0
44,680.0,18156.0,2334.0,958.0,7264.0,91.0,0.0,3498.0,4544.0,2013.0,1017.45,40555.45,0.0,0.0,0.0
45,682.0,14534.0,1972.0,811.0,7268.0,92.0,0.0,3534.0,5057.0,2012.0,1038.51,37000.51,0.0,0.0,0.0
46,678.0,10821.0,1566.0,824.0,7260.0,91.0,0.0,3240.0,5449.0,2013.0,1034.1,32976.1,0.0,0.0,0.0
47,681.0,8476.0,1175.0,503.0,7265.0,92.0,0.0,3150.0,5461.0,1615.0,735.48,29153.48,0.0,0.0,0.0
48,682.0,7420.0,1245.0,442.0,7269.0,92.0,0.0,3142.0,5532.0,1508.0,710.86,28042.86,0.0,0.0,0.0
49,681.0,7107.0,944.0,407.0,7260.0,92.0,0.0,3095.0,5726.0,1510.0,710.88,27532.88,0.0,0.0,0.0
50,681.0,6804.0,945.0,349.0,7260.0,92.0,0.0,3160.0,5904.0,1509.0,708.03,27412.03,0.0,0.0,0.0
51,682.0,6711.0,946.0,332.0,7256.0,92.0,0.0,3126.0,5841.0,1508.0,742.92,27236.92,0.0,0.0,0.0
52,682.0,6907.0,1060.0,317.0,6865.0,92.0,0.0,3320.0,5732.0,1510.0,692.74,27177.739999999998,0.0,0.0,0.0
53,680.0,7228.0,896.0,322.0,6850.0,92.0,0.0,3511.0,5515.0,1511.0,719.95,27324.95,0.0,0.0,0.0
