,biomass,gas,hydro,other_fossil,wind_onshore,LT -> LV,demand,LV -> LT,mismatch
1819,96.0,509.0,467.0,95.0,3.0,0.0,613.5,556.5,0.0
1820,96.0,509.0,217.0,95.0,4.0,0.0,515.0,406.0,0.0
1821,96.0,509.0,143.0,95.0,3.0,0.0,399.5,446.5,0.0
1822,97.0,510.0,10.0,95.0,1.0,0.0,471.50000000000006,241.5,-5.684341886080802e-14
1823,98.0,538.0,0.0,95.0,0.0,0.0,445.0,286.0,0.0
1824,98.0,540.0,0.0,95.0,0.0,0.0,381.0,352.0,0.0
1825,97.0,539.0,0.0,96.0,1.0,0.0,421.99999999999994,311.0,5.684341886080802e-14
1826,96.0,540.0,0.0,95.0,4.0,0.0,375.0,360.0,0.0
1827,97.0,539.0,0.0,95.0,3.0,0.0,314.0,420.0,0.0
1828,98.0,518.0,298.0,95.0,3.0,0.0,426.0,586.0,0.0
1829,97.0,489.0,278.0,95.0,6.0,0.0,225.0,740.0,0.0
1830,96.0,458.0,418.0,94.0,11.0,0.0,378.5,698.5,0.0
1831,95.0,397.0,538.0,94.0,14.0,0.0,427.5,710.5,0.0
1832,94.0,350.0,312.0,94.0,15.0,0.0,403.5,461.5,0.0
1833,91.0,348.0,291.0,94.0,20.0,0.0,412.5,431.5,0.0
1834,90.0,347.0,253.0,94.0,19.0,0.0,402.0,401.0,0.0
1835,89.0,321.0,214.0,94.0,18.0,0.0,376.5,359.5,0.0
1836,89.0,318.0,199.0,94.0,19.0,0.0,357.0,362.0,0.0
1837,89.0,319.0,199.0,94.0,21.0,0.0,382.0,340.0,0.0
1838,89.0,319.0,199.0,94.0,19.0,0.0,370.5,349.5,0.0
1839,90.0,348.0,161.0,95.0,18.0,0.0,419.5,292.5,0.0
1840,91.0,409.0,413.0,95.0,16.0,0.0,491.0,533.0,0.0
1841,92.0,478.0,414.0,95.0,16.0,0.0,430.0,665.0,0.0
1842,95.0,521.0,401.0,96.0,20.0,0.0,364.5,768.5,0.0
1843,95.0,528.0,405.0,96.0,24.0,0.0,388.5,759.5,0.0
1844,95.0,528.0,96.0,96.0,25.0,0.0,331.0,509.0,0.0
1845,95.0,509.0,12.0,96.0,24.0,0.0,290.0,446.0,0.0
1846,95.0,363.0,121.0,96.0,22.0,0.0,332.0,365.0,0.0
1847,94.0,234.0,3.0,95.0,26.0,0.0,83.5,368.5,0.0
1848,94.0,233.0,0.0,96.0,23.0,0.0,-9.0,455.0,0.0
1849,94.0,234.0,0.0,95.0,20.0,0.0,-15.5,458.5,0.0
1850,94.0,251.0,1.0,95.0,24.0,0.0,156.0,309.0,0.0
1851,94.0,367.0,180.0,95.0,27.0,0.0,450.50000000000006,312.5,-5.684341886080802e-14
1852,94.0,532.0,617.0,95.0,33.0,0.0,557.0,814.0,0.0
1853,94.0,526.0,647.0,94.0,32.0,0.0,355.0,1038.0,0.0
1854,95.0,505.0,740.0,94.0,38.0,0.0,402.0,1070.0,0.0
1855,95.0,425.0,918.0,94.0,40.0,0.0,548.0,1024.0,0.0
1856,92.0,374.0,780.0,93.0,47.0,0.0,394.5,991.5,0.0
1857,89.0,327.0,792.0,93.0,49.0,0.0,390.5,959.5,0.0
1858,87.0,305.0,799.0,93.0,49.0,0.0,429.0,904.0,0.0
1859,86.0,305.0,843.0,93.0,49.0,0.0,481.0,895.0,0.0
1860,86.0,299.0,754.0,93.0,50.0,0.0,516.0,766.0,0.0
1861,86.0,299.0,745.0,94.0,50.0,0.0,572.5,701.5,0.0
1862,87.0,304.0,739.0,95.0,49.0,0.0,657.0,617.0,0.0
1863,88.0,338.0,698.0,95.0,45.0,0.0,544.5,719.5,0.0
1864,89.0,397.0,721.0,95.0,44.0,0.0,480.0,866.0,0.0
1865,92.0,435.0,730.0,96.0,38.0,0.0,399.0,992.0,0.0
1866,92.0,465.0,664.0,96.0,36.0,0.0,388.0,965.0,0.0
1867,94.0,488.0,554.0,96.0,32.0,0.0,371.5,892.5,0.0
1868,94.0,488.0,187.0,96.0,27.0,0.0,309.0,583.0,0.0
1869,95.0,472.0,129.0,95.0,20.0,0.0,269.5,541.5,0.0
1870,95.0,463.0,126.0,95.0,12.0,0.0,109.0,682.0,0.0
1871,94.0,352.0,143.0,95.0,6.0,0.0,110.0,580.0,0.0
1872,92.0,350.0,143.0,95.0,6.0,0.0,79.5,606.5,0.0
1873,92.0,350.0,142.0,95.0,5.0,0.0,31.500000000000004,652.5,0.0
1874,92.0,350.0,141.0,95.0,2.0,0.0,21.999999999999996,658.0,0.0
1875,94.0,350.0,319.0,94.0,1.0,0.0,341.0,517.0,0.0
1876,94.0,350.0,553.0,94.0,4.0,0.0,449.0,646.0,0.0
