,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
47,50.37,46.14,105.5,40.8,0.0,51.02,636.5,0.0,3.6,561.53,0.0,372.4,0.0,1.1368683772161603e-13
48,50.4,46.01,105.44,41.6,0.0,49.57,612.0,0.0,2.7,752.8700000000001,0.0,154.85,0.0,-8.526512829121202e-14
49,50.51,46.12,105.46,40.7,0.0,39.75,565.0,0.0,2.8,803.8,0.0,46.54,0.0,-3.552713678800501e-14
50,50.62,46.13,105.46,22.63,0.0,40.21,556.5,0.0,4.0,825.55,0.0,0.0,0.0,0.0
51,51.3,45.96,105.48,20.95,0.0,40.55,545.5,0.0,4.9,812.8100000000001,0.0,1.83,0.0,-7.283063041541027e-14
52,51.98,45.88,105.5,20.47,0.0,50.72,602.5,0.0,122.5,873.64,0.0,125.91,0.0,-2.842170943040401e-14
53,52.07,45.89,105.46,20.44,0.0,60.67,587.0,0.0,642.3,1028.76,0.0,485.07,0.0,-5.684341886080802e-14
54,52.0,45.93,176.81,19.97,0.0,68.01,517.5,0.0,730.0,1123.66,0.0,486.56,0.0,-5.684341886080802e-14
55,52.0,45.89,105.5,19.8,1.14,81.68,599.5,0.0,730.6,1149.5999999999997,0.0,486.51,0.0,2.2737367544323206e-13
56,52.0,45.72,105.46,19.41,2.24,101.5,561.0,0.0,730.4,1131.0500000000002,0.0,486.68,0.0,-1.7053025658242404e-13
57,51.9,45.72,105.47,19.8,2.74,110.59,613.0,0.0,656.3,1118.5499999999997,0.0,486.97,0.0,2.2737367544323206e-13
58,51.9,45.73,201.65,20.23,2.39,124.48,493.0,0.0,728.4,1180.8400000000001,0.0,486.94,0.0,5.684341886080802e-14
59,51.85,45.69,194.63,20.14,1.96,150.37,535.0,0.0,647.6,1160.2799999999997,0.0,486.96,0.0,5.684341886080802e-14
60,51.81,45.62,201.65,20.23,1.24,192.6,489.0,0.0,682.3,1197.49,0.0,486.96,0.0,5.684341886080802e-14
61,51.89,45.56,233.53,20.24,0.02,198.12,449.0,0.0,663.0,1175.2000000000003,0.0,486.16,0.0,-1.7053025658242404e-13
62,51.81,45.54,217.02,20.28,0.0,240.57,506.5,0.0,570.1,1164.9799999999998,0.0,486.84,0.0,1.7053025658242404e-13
63,51.47,45.55,105.9,20.34,0.0,302.93,573.0,0.0,523.9,1135.9500000000003,0.0,487.14,0.0,-1.1368683772161603e-13
64,51.67,45.56,105.45,20.17,0.0,351.6,515.5,0.0,589.3,1192.12,0.0,487.13,0.0,1.1368683772161603e-13
65,51.97,45.56,105.36,20.53,0.0,379.92,445.5,0.0,624.4,1186.0400000000004,0.0,487.2,0.0,-1.7053025658242404e-13
66,51.95,45.53,105.43,25.97,0.0,380.47,481.5,0.0,512.6,1115.74,0.0,487.71,0.0,5.684341886080802e-14
67,51.95,45.9,105.44,30.9,0.0,390.6,586.5,0.0,260.5,985.8799999999999,0.0,485.91,0.0,5.684341886080802e-14
68,51.93,46.1,105.4,38.83,0.0,385.37,577.0,0.0,139.6,860.9900000000001,0.0,483.24,0.0,-1.1368683772161603e-13
69,51.66,45.87,105.37,38.42,0.0,380.48,473.5,0.0,0.0,821.74,0.0,190.66,82.9,-5.684341886080802e-14
70,51.23,45.85,105.46,39.24,0.0,370.15,455.0,0.0,0.0,758.06,0.0,0.37,308.5,-1.1368683772161603e-13
71,51.01,45.78,105.46,39.82,0.0,349.01,532.5,0.0,0.0,748.3799999999999,0.0,0.0,375.2,5.684341886080802e-14
72,50.83,45.93,105.46,39.86,0.0,340.96,638.0,0.12,0.0,883.06,0.0,0.0,338.1,-1.1368683772161603e-13
73,50.92,45.89,105.49,40.73,0.0,339.6,613.0,50.24,0.0,911.1699999999998,0.0,0.0,334.7,5.684341886080802e-14
74,51.11,45.86,105.46,40.45,0.0,326.6,637.5,50.18,0.0,951.6599999999999,0.0,0.0,305.5,0.0
75,51.45,45.82,105.46,40.01,0.0,319.48,597.0,0.25,0.0,795.47,0.0,0.0,364.0,0.0
76,52.03,45.77,105.46,39.55,0.0,329.7,505.0,0.0,0.0,1023.4100000000001,0.0,0.0,54.1,-9.237055564881302e-14
77,52.17,45.75,105.47,39.48,0.0,360.71,621.0,0.06,0.0,1204.7399999999998,0.0,0.0,19.9,9.237055564881302e-14
78,52.26,45.67,105.45,39.37,0.0,365.41,550.5,0.0,107.6,1265.4000000000003,0.0,0.86,0.0,-1.000310945187266e-13
79,52.25,45.43,105.48,38.67,1.24,351.67,828.0,0.0,0.0,948.3599999999999,0.0,419.08,55.3,1.1368683772161603e-13
80,52.11,45.33,105.49,39.12,2.35,325.48,961.5,0.0,36.2,1081.5699999999997,0.0,486.01,0.0,2.2737367544323206e-13
81,51.99,45.28,105.47,40.45,2.79,295.56,891.0,0.0,133.8,1080.4399999999998,0.0,485.9,0.0,1.1368683772161603e-13
82,51.62,45.33,106.02,37.93,2.23,286.17,602.2156862745098,0.0,259.1,904.6256862745099,0.0,485.99,0.0,-2.2737367544323206e-13
83,51.83,45.53,303.41,37.63,2.21,288.43,585.1470588235294,0.0,207.5,1035.6070588235293,0.0,486.08,0.0,-5.684341886080802e-14
84,51.79,45.37,266.46,37.27,1.83,295.48,572.0882352941177,0.0,163.7,948.3982352941175,0.0,485.59,0.0,1.7053025658242404e-13
85,51.65,45.35,234.17,38.17,0.0,300.99,550.2843137254902,0.0,112.1,847.1143137254903,0.0,485.6,0.0,-1.1368683772161603e-13
86,51.56,45.19,392.61,38.49,0.0,330.57,529.1862745098039,0.0,0.0,809.8362745098038,0.0,485.37,92.4,0.0
87,51.59,45.22,541.05,39.39,0.0,332.56,843.0,0.0,0.0,1246.13,0.0,485.28,121.4,-1.1368683772161603e-13
88,51.62,45.25,536.58,38.47,0.0,336.9,994.5,0.0,0.0,1156.6399999999999,0.0,486.08,360.6,2.2737367544323206e-13
89,51.47,45.33,352.96,39.03,0.0,316.96,921.5,0.0,0.0,1093.06,0.0,485.99,148.2,0.0
90,51.3,45.35,119.45,39.64,0.0,313.01,802.0,0.0,162.3,1047.51,0.0,485.54,0.0,-5.684341886080802e-14
91,51.16,45.34,105.43,39.47,0.0,304.12,887.0,0.0,31.7,978.79,0.0,485.43,0.0,5.684341886080802e-14
92,51.07,45.36,105.44,39.56,0.0,292.77,727.0,0.0,242.8,1017.9699999999999,0.0,486.03,0.0,1.1368683772161603e-13
93,50.57,45.39,105.41,39.13,0.0,304.97,706.5,0.0,567.8,1333.7500000000002,0.0,486.02,0.0,-2.2737367544323206e-13
94,50.27,45.32,105.45,39.35,0.0,263.53,677.0,0.0,486.9,1229.96,0.0,437.86,0.0,1.1368683772161603e-13
95,49.88,45.3,76.36,39.55,0.0,239.61,689.0,0.0,0.0,1069.56,0.0,5.54,64.6,9.947598300641403e-14
96,50.0,45.36,76.4,38.99,0.0,230.13,755.5,0.0,0.0,996.44,0.0,0.24,199.7,5.684341886080802e-14
