,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,AT -> DE,CH -> DE,CZ -> DE,DK -> DE,FR -> DE,NL -> DE,PL -> DE,SE -> DE,demand,DE -> AT,DE -> CH,DE -> CZ,DE -> DK,DE -> FR,DE -> NL,DE -> PL,DE -> SE,mismatch
8319,4974.0,11332.0,15702.0,4537.0,16484.0,9331.0,1473.0,120.0,14.0,2407.0,8325.0,0.0,0.0,0.0,1190.01,1026.37,0.0,0.0,610.1,71073.15999999999,1152.89,739.53,1767.62,0.0,0.0,1731.64,1060.64,0.0,6.366462912410498e-12
8320,5011.0,11576.0,15896.0,7227.0,16441.0,9464.0,1440.0,120.0,0.0,2842.0,8750.0,0.0,0.0,0.0,1196.78,231.48,0.0,0.0,610.3,73093.3,1556.64,923.37,1716.02,0.0,0.0,2470.28,1045.95,0.0,-6.366462912410498e-12
8321,5030.0,11138.0,16169.0,5726.0,16390.0,9476.0,1441.0,120.0,0.0,3202.0,8750.0,0.0,0.0,0.0,1670.06,0.0,0.0,0.0,610.0,71932.52,1181.15,858.31,1379.1799999999998,0.0,494.98,2896.06,979.86,0.0,-6.366462912410498e-12
8322,5040.0,10898.0,16163.0,3617.0,16344.0,9476.0,1446.0,120.0,0.0,3037.0,8774.0,0.0,0.0,0.0,1852.1,0.0,0.0,0.0,610.1,70326.19,930.44,496.0899999999999,1377.79,0.0,530.71,2867.79,848.19,0.0,-5.4569682106375694e-12
8323,5022.0,10611.0,16133.0,2258.0,16124.0,9473.0,1448.0,120.0,0.0,2969.0,8615.0,0.0,0.0,0.0,1825.55,0.0,0.0,0.0,610.1,67379.58,1507.93,989.67,1576.4299999999998,0.0,81.29000000000002,2672.34,1001.41,0.0,-7.275957614183426e-12
8324,5017.0,9815.0,15905.0,1799.0,15972.0,9473.0,1441.0,120.0,0.0,3212.0,8247.0,0.0,0.0,0.0,1709.08,581.83,0.0,0.0,610.4,64712.979999999996,2453.42,1961.28,1454.49,0.0,0.0,2326.73,993.41,0.0,1.8189894035458565e-12
8325,4978.0,8888.0,15692.0,1756.0,15954.0,9478.0,1449.0,120.0,0.0,3089.0,7956.0,0.0,0.0,0.0,1831.35,360.86,0.0,0.0,610.4,62760.53999999999,2582.28,2670.67,872.2099999999998,0.0,0.0,2247.55,1029.36,0.0,5.4569682106375694e-12
8326,4983.0,8131.0,14739.0,1663.0,16074.0,9469.0,1459.0,120.0,0.0,3165.0,7609.0,0.0,0.0,0.0,1788.68,19.489999999999952,0.0,0.0,610.4,60406.4,2309.42,2752.05,454.0300000000001,0.0,0.0,2843.72,1064.95,0.0,5.4569682106375694e-12
8327,4928.0,7526.0,14775.0,1642.0,15956.0,9464.0,1420.0,120.0,0.0,3185.0,7478.0,0.0,0.0,0.0,1319.11,0.0,0.0,0.0,110.2,57960.859999999986,2625.83,3510.04,13.450000000000044,0.0,51.08999999999992,2744.93,1017.11,0.0,1.0913936421275139e-11
8328,4953.0,7348.0,14689.0,1701.0,16199.0,9478.0,1426.0,120.0,0.0,2300.0,7469.0,0.0,0.0,109.26999999999998,690.02,0.0,0.0,0.0,0.0,56555.649999999994,2794.77,3308.35,0.0,0.0,394.11,2507.76,919.05,2.6,0.0
8329,4947.0,7446.0,14490.0,1657.0,16167.0,9446.0,1418.0,120.0,0.0,2544.0,7330.0,0.0,0.0,168.0,752.26,0.0,0.0,0.0,0.0,56006.65999999999,2854.27,3749.31,0.0,0.0,365.11,2586.16,921.75,2.0,7.275957614183426e-12
8330,4943.0,7530.0,14559.0,1741.0,16249.0,9479.0,1418.0,120.0,0.0,2445.0,7442.0,0.0,0.0,264.86,1772.5,0.0,0.0,0.0,0.0,56732.409999999996,3059.45,4096.68,0.0,0.0,62.01999999999998,3117.1,893.8,1.9,5.4569682106375694e-12
8331,4958.0,7679.0,14726.0,1655.0,16238.0,9464.0,1417.0,120.0,0.0,2541.0,7327.0,0.0,0.0,81.13999999999999,1233.7,69.63999999999999,0.0,0.0,0.0,56458.00000000001,3022.63,4185.06,0.0,0.0,0.0,2868.84,973.05,1.9,-1.0913936421275139e-11
8332,4957.0,9029.0,15481.0,1676.0,16283.0,9439.0,1419.0,120.0,0.0,2508.0,7316.0,0.0,0.0,0.0,1423.6,0.0,0.0,0.0,0.0,58854.810000000005,2984.57,3507.99,544.3700000000001,0.0,149.29999999999995,2488.84,1119.82,1.9,1.8189894035458565e-12
8333,4950.0,10259.0,16357.0,2286.0,16306.0,9448.0,1400.0,120.0,0.0,2683.0,7080.0,0.0,0.0,0.0,1512.35,0.0,0.0,0.0,463.7,62244.479999999996,2806.52,2690.3,1527.27,0.0,430.55,2198.21,967.72,0.0,7.275957614183426e-12
