,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
0,855.71,572.87,663.78,1277.0,2790.8,540.03,43.1,923.07,0.0,966.1,8617.179999999998,15.28,0.0,6.554756737386924e-13
1,858.29,583.34,657.35,1198.8,2790.6,535.25,43.1,911.07,0.0,937.8,8502.309999999998,13.29,0.0,8.739675649849232e-13
2,874.48,597.69,655.23,1174.5,2791.8,540.4,43.1,924.44,0.0,782.1999999999999,8373.410000000002,10.43,0.0,2.913225216616411e-13
3,869.99,606.35,652.8,1195.1,2792.1,548.65,43.1,866.73,0.0,789.0,8356.949999999999,6.87,0.0,8.002487561498128e-13
4,860.69,596.94,652.93,1231.0,2792.1,554.5,43.1,862.91,0.0,805.77,8390.02,9.92,0.0,7.283063041541027e-14
5,850.47,590.92,646.92,1321.2,2792.1,552.59,43.1,828.94,0.0,543.3499999999999,8157.260000000002,12.33,0.0,-7.283063041541027e-14
6,862.66,594.66,643.3,1399.2,2791.5,541.43,43.1,798.37,0.0,769.12,8435.42,7.92,0.0,7.283063041541027e-14
7,885.05,589.06,644.55,1389.2,2792.1,543.81,43.1,791.77,0.0,701.5,8366.67,13.47,0.0,-6.554756737386924e-13
8,882.71,578.76,642.56,1300.3,2792.1,544.28,43.1,760.04,0.0,775.2,8306.500000000002,12.55,0.0,-7.283063041541027e-13
9,873.7,567.16,630.54,1354.8,2792.1,542.58,43.1,728.38,0.0,1151.3,8678.08,5.58,0.0,-7.283063041541027e-14
10,867.07,571.49,626.39,1409.7,2791.8,542.2,43.1,669.58,0.88,1223.59,8745.8,0.0,0.0,0.0
11,887.97,574.72,629.18,1431.6,2791.7,547.52,43.1,646.29,0.0,1168.0,8719.800000000001,0.28,0.0,6.548095399239173e-13
12,867.37,584.99,631.28,1546.7,2792.3,552.56,43.1,592.83,0.0,1196.4,8804.95,2.58,0.0,-7.283063041541027e-14
13,868.3,606.75,638.02,1702.1,2792.7,559.68,43.1,581.88,0.0,1339.62,9129.789999999999,2.36,0.0,5.822009541134321e-13
14,875.34,599.92,637.41,1774.2,2792.3,559.33,43.1,600.15,5.26,1414.63,9301.64,0.0,0.0,0.0
15,883.5,587.05,641.99,1894.7,2792.1,563.53,43.1,554.64,9.81,1394.96,9365.380000000001,0.0,0.0,0.0
16,879.17,583.29,646.82,1946.6,2792.5,552.09,43.1,520.52,18.26,1569.39,9551.74,0.0,0.0,0.0
17,872.65,595.79,658.24,1968.4,2791.9,549.12,43.1,498.6,17.73,1485.14,9480.670000000002,0.0,0.0,0.0
18,872.74,609.0,660.83,1875.2,2790.8,546.02,43.1,473.56,16.16,1444.62,9332.03,0.0,0.0,0.0
