,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
0,218.4,380.1,270.2,727.2,152.4,0.0,1602.6,1375.27,4726.17,0.0,0.0
1,221.2,381.0,270.6,665.8,152.6,0.0,1558.5,1524.71,4774.41,0.0,0.0
2,216.3,381.4,270.3,900.1,153.4,0.0,1542.8,1479.04,4943.34,0.0,0.0
3,214.9,381.3,270.4,511.6,153.0,0.0,1796.9,1499.05,4827.150000000001,0.0,0.0
4,212.3,380.3,270.4,283.0,152.6,0.0,2013.8,1503.25,4815.65,0.0,0.0
5,212.6,380.4,270.2,224.9,153.3,0.0,2454.2,1501.01,5196.61,0.0,0.0
6,214.7,381.0,270.3,229.8,154.2,0.0,2868.9,1409.52,5528.42,0.0,0.0
7,212.2,380.0,270.5,228.2,155.2,0.1,3116.2,1305.24,5667.639999999999,0.0,0.0
8,212.9,379.0,270.4,261.7,155.2,41.4,3057.7,1119.31,5497.610000000001,0.0,0.0
9,215.2,377.8,270.4,331.3,156.7,146.7,3120.2,1116.59,5734.89,0.0,0.0
10,214.0,376.5,270.3,330.4,155.9,228.6,3304.8,1510.92,6391.419999999999,0.0,9.094947017729282e-13
11,217.4,374.1,270.5,330.4,148.9,258.7,3336.4,1517.58,6453.9800000000005,0.0,0.0
12,217.4,373.4,270.2,305.9,151.9,255.9,3361.6,1522.92,6459.22,0.0,0.0
13,216.4,371.3,270.5,260.7,148.5,223.1,3323.1,1482.47,6296.070000000001,0.0,0.0
14,221.8,371.0,270.0,265.5,154.4,202.2,3264.2,1243.48,5992.580000000001,0.0,-9.094947017729282e-13
15,218.7,370.9,270.2,263.4,150.8,138.1,3015.2,1451.74,5879.039999999999,0.0,0.0
16,215.9,373.2,270.2,336.8,143.9,54.5,2839.2,1528.21,5761.91,0.0,0.0
17,215.4,374.1,269.9,444.0,148.9,1.4,2677.5,2004.17,6135.370000000001,0.0,0.0
18,218.5,375.6,270.2,682.9,151.0,0.0,2695.6,1651.5,6045.299999999999,0.0,0.0
19,218.2,378.6,270.1,756.0,152.8,0.0,2616.6,1769.9,6162.200000000001,0.0,0.0
20,217.6,379.1,270.3,629.3,152.7,0.0,2589.2,1644.16,5882.359999999999,0.0,9.094947017729282e-13
21,214.9,379.3,270.0,664.4,150.0,0.0,2612.7,1463.46,5754.76,0.0,-9.094947017729282e-13
22,216.1,382.9,270.4,519.4,152.0,0.0,2729.6,1647.9,5918.299999999999,0.0,0.0
23,214.1,386.4,270.2,393.5,152.7,0.0,2778.1,1979.03,6174.03,0.0,0.0
24,212.9,387.3,269.9,513.7,150.9,0.0,2856.3,1517.17,5908.17,0.0,0.0
25,210.7,387.9,270.1,234.6,149.7,0.0,2825.2,1348.85,5427.049999999999,0.0,0.0
26,207.6,387.5,270.3,197.7,145.9,0.0,2718.4,1417.99,5345.39,0.0,0.0
27,208.7,385.9,289.4,170.7,148.0,0.0,2553.7,1549.15,5305.549999999999,0.0,0.0
28,205.2,386.7,340.3,162.5,149.4,0.0,2394.9,1448.78,5087.78,0.0,0.0
29,202.3,388.6,444.8,283.5,148.1,0.0,2259.8,1265.0,4992.1,0.0,0.0
30,202.3,399.6,846.2,496.4,149.7,0.0,2414.0,141.47,4649.67,0.0,0.0
31,201.3,582.4,1329.9,1547.0,150.8,0.2,2587.9,0.0,5099.14,1300.36,-2.2737367544323206e-13
32,202.9,736.3,1256.5,1819.0,148.7,42.2,2723.8,0.0,5628.2,1301.2,-2.2737367544323206e-13
33,204.1,860.5,1081.7,2070.2,148.2,145.4,2945.0,0.0,6212.4,1242.7,-2.2737367544323206e-13
34,201.6,910.8,1080.7,1833.1,146.8,207.7,2883.2,0.0,6535.2699999999995,728.63,1.1368683772161603e-13
35,201.7,912.0,1081.8,1668.2,147.9,245.4,2785.2,0.0,6767.45,274.75,0.0
