,biomass,gas,hydro,lignite,other_fossil,BG -> RS,HU -> RS,ME -> RS,RO -> RS,demand,RS -> BG,RS -> HU,RS -> ME,RS -> RO,mismatch
5770,10.0,2.0,962.0,1967.0,15.0,528.05,0.0,0.0,325.94,3612.96,0.0,45.17,151.86,0.0,-2.8421709430404007e-13
5771,10.0,2.0,889.0,2009.0,15.0,526.75,0.0,0.0,305.59,3558.51,0.0,41.3,157.53,0.0,-5.684341886080802e-14
5772,10.0,2.0,933.0,1989.0,15.0,544.59,0.0,0.0,309.47,3543.5399999999995,0.0,81.82,177.7,0.0,4.547473508864641e-13
5773,10.0,2.0,925.0,1986.0,15.0,545.83,0.0,0.0,268.95,3453.66,0.0,109.37,189.75,0.0,-1.1368683772161603e-13
5774,10.0,2.0,974.0,1991.0,15.0,526.78,0.0,0.0,79.47,3210.3900000000003,0.0,195.61,192.25,0.0,-3.410605131648481e-13
5775,10.0,2.0,1275.0,1972.0,15.0,488.54,0.0,0.0,0.0,3264.12,0.0,253.84,213.66,30.92,5.684341886080802e-14
5776,10.0,2.0,1492.0,1999.0,15.0,436.65,0.0,0.0,72.96,3577.78,0.0,234.03,215.8,0.0,-1.1368683772161603e-13
5777,10.0,2.0,1627.0,2079.0,15.0,479.74,0.0,0.0,109.53,3872.9400000000005,0.0,192.6,256.73,0.0,-1.1368683772161603e-13
5778,10.0,2.0,1832.0,2157.0,15.0,498.45,0.0,0.0,252.42,4249.57,0.0,219.74,297.56,0.0,2.2737367544323206e-13
5779,10.0,2.0,1636.0,2148.0,15.0,487.96,0.0,0.0,349.45,4207.7699999999995,0.0,149.47,291.17,0.0,3.410605131648481e-13
5780,10.0,2.0,1376.0,1951.0,15.0,380.87,45.99,0.0,474.9,4032.63,0.0,0.0,223.13,0.0,1.1368683772161603e-13
5781,10.0,2.0,956.0,1942.0,15.0,434.22,175.58,0.0,553.97,3793.4500000000003,0.0,0.0,295.32,0.0,-2.8421709430404007e-13
5782,10.0,2.0,551.0,1880.0,15.0,443.24,168.4,0.0,593.92,3353.2599999999998,0.0,0.0,310.3,0.0,1.7053025658242404e-13
5783,10.0,2.0,331.0,1929.0,15.0,435.48,145.72,0.0,637.3,3187.01,0.0,0.0,318.49,0.0,-2.2737367544323206e-13
5784,10.0,2.0,225.0,1913.0,15.0,410.28,110.68,0.0,660.77,3040.1699999999996,0.0,0.0,306.56,0.0,3.979039320256561e-13
5785,10.0,2.0,191.0,1912.0,15.0,424.99,94.64,0.0,596.13,2944.92,0.0,0.0,300.84,0.0,1.7053025658242404e-13
5786,10.0,2.0,298.0,1844.0,15.0,467.83,27.4,0.0,542.15,2892.2200000000003,0.0,0.0,314.16,0.0,-1.7053025658242404e-13
5787,10.0,2.0,398.0,1872.0,15.0,415.08,0.0,0.0,438.05,2724.8500000000004,0.0,92.6,332.68,0.0,-2.2737367544323206e-13
5788,10.0,2.0,600.0,1955.0,15.0,485.87,0.0,0.0,237.58,2981.31,0.0,132.76,191.38,0.0,-1.1368683772161603e-13
5789,10.0,2.0,792.0,1995.0,15.0,473.04,0.0,0.0,147.0,3158.93,0.0,130.6,144.51,0.0,1.1368683772161603e-13
5790,10.0,2.0,974.0,2032.0,15.0,510.73,0.0,0.0,165.47,3442.8099999999995,0.0,130.22,136.17,0.0,3.410605131648481e-13
5791,10.0,2.0,1001.0,1969.0,15.0,524.04,0.0,0.0,139.46,3442.8900000000003,0.0,75.15,142.46,0.0,-3.410605131648481e-13
5792,10.0,2.0,1106.0,1872.0,15.0,536.93,0.0,0.0,181.52,3537.13,0.0,41.39,144.93,0.0,-2.8421709430404007e-13
5793,10.0,2.0,1141.0,1845.0,15.0,506.46,18.04,0.0,134.08,3549.2299999999996,0.0,0.0,122.35,0.0,3.694822225952521e-13
5794,10.0,2.0,1217.0,1789.0,15.0,498.97,35.099999999999994,0.0,153.25,3619.18,0.0,0.0,101.14,0.0,3.268496584496461e-13
5795,10.0,2.0,1129.0,1864.0,15.0,489.88,28.69,0.0,135.37,3577.9900000000002,0.0,0.0,95.95,0.0,-1.8474111129762605e-13
5796,10.0,2.0,1070.0,1973.0,15.0,451.83,40.64,0.0,199.3,3664.1299999999997,0.0,0.0,97.64,0.0,3.268496584496461e-13
5797,10.0,2.0,950.0,2034.0,15.0,454.57,36.5,0.0,178.04,3563.7,0.0,0.0,116.41,0.0,3.126388037344441e-13
5798,10.0,2.0,932.0,2097.0,15.0,451.22,16.42,0.0,20.37,3408.16,0.0,0.0,135.85,0.0,3.694822225952521e-13
5799,10.0,2.0,1150.0,2024.0,15.0,446.23,0.0,0.0,0.0,3366.3799999999997,0.0,19.27,167.51,94.07,3.410605131648481e-13
5800,10.0,2.0,1418.0,2025.0,15.0,410.81,0.0,0.0,0.0,3629.57,0.0,8.139999999999999,144.94,98.16,-1.9895196601282805e-13
5801,10.0,2.0,1647.0,1988.0,15.0,367.8,23.91,0.0,0.0,3868.2300000000005,0.0,0.0,183.8,1.68,-4.547473508864641e-13
5802,10.0,2.0,1933.0,1960.0,15.0,416.71,0.0,0.0,170.58,4224.92,0.0,44.46,237.91,0.0,-1.1368683772161603e-13
5803,10.0,2.0,1745.0,1968.0,15.0,356.5,94.48,0.0,364.52,4330.58,0.0,0.0,224.92,0.0,8.526512829121202e-14
5804,10.0,2.0,1245.0,1975.0,15.0,381.39,192.58,0.0,429.36,3990.7799999999997,0.0,0.0,259.55,0.0,1.7053025658242404e-13
5805,10.0,2.0,850.0,1935.0,15.0,440.58,178.42,0.0,506.0,3648.1499999999996,0.0,0.0,288.85,0.0,3.410605131648481e-13
