,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,AT -> CZ,DE -> CZ,PL -> CZ,SK -> CZ,demand,CZ -> AT,CZ -> DE,CZ -> PL,CZ -> SK,mismatch
0,261.78,230.08,354.46,107.57,1827.36,2247.16,319.75,265.18,0.0,123.19,0.0,1757.94,719.23,0.0,5708.370000000001,1351.4,0.0,0.0,1153.93,0.0
1,262.45,229.08,352.04,107.54,1807.24,2249.56,317.49,265.95,0.0,125.48,0.0,1886.98,735.26,0.0,5985.42,1226.1,0.0,0.0,1127.55,0.0
2,261.55,226.27,353.35,107.49,1788.46,2250.69,313.76,265.53,0.0,139.5,0.0,2049.46,819.34,0.0,6360.469999999999,1147.9,0.0,0.0,1067.03,0.0
3,261.64,230.36,353.83,107.5,1813.09,2250.3,317.84,264.92,0.0,142.27,0.0,2083.23,832.71,0.0,6364.660000000001,1204.6,0.0,0.0,1088.43,0.0
4,261.75,235.08,353.23,107.42,1855.45,2251.0,319.32,264.2,0.0,128.59,0.0,2090.73,806.28,0.0,6347.849999999999,1205.6,0.0,0.0,1119.6,0.0
5,261.5,238.92,349.88,112.89,1712.25,2250.92,305.56,265.81,0.0,124.22,0.0,2345.72,768.35,0.0,6358.820000000001,1169.9,0.0,0.0,1207.3,0.0
6,261.74,248.58,354.39,126.03,1755.76,2251.08,316.2,267.13,1.52,140.99,0.0,2217.9300000000003,670.45,0.0,6092.22,1279.7,0.0,0.0,1239.88,-9.094947017729282e-13
7,261.23,229.61,354.89,123.82,1660.84,2253.4,302.93,266.87,9.92,148.14,0.0,2111.32,610.94,0.0,5626.329999999999,1321.5,0.0,0.0,1386.08,9.094947017729282e-13
8,261.19,230.64,360.48,118.3,1682.79,2254.18,310.1,267.25,49.9,175.56,0.0,2276.05,625.6,0.0,5966.84,1331.9,0.0,0.0,1313.3,9.094947017729282e-13
9,261.9,249.72,362.76,116.81,1819.24,2253.55,331.8,268.86,111.56,166.94,0.0,2404.21,665.67,0.0,6377.22,1381.4,0.0,0.0,1254.4,0.0
10,262.1,247.09,370.48,115.78,1843.09,2251.28,334.23,270.98,146.77,174.5,0.0,2430.81,653.71,0.0,6405.17,1398.9,0.0,0.0,1296.75,-4.547473508864641e-13
11,262.34,248.63,373.3,115.12,1846.39,2251.95,340.21,272.25,189.59,163.51,0.0,2365.86,597.0,0.0,6599.72,1269.2,0.0,0.0,1157.23,-9.094947017729282e-13
