,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
6423,68.34940979003727,67.48940979003727,796.3694097900373,755.3994097900372,749.0394097900372,66.28940979003727,92.87940979003727,57.45940979003726,224.73000000000107,4.413463114947302e-13,1718.0000000000023,124.14068614930353,1035.8645921709938,-4.547473508864641e-13
6424,32.471210853226864,35.221210853226864,835.2612108532269,762.2012108532269,713.051210853227,33.53121085322687,27.061210853226868,22.481210853226866,206.44000000000105,4.80163968766239e-13,1791.0000000000064,127.92819677531622,748.7914900504938,5.684341886080801e-13
6425,51.571880035838824,53.97188003583882,925.5418800358389,837.5318800358389,731.9718800358388,51.781880035838824,40.41188003583883,40.76188003583883,303.8100000000012,4.804044992590082e-13,1953.0000000000034,110.48269587756752,973.8723444091413,0.0
6426,48.38385636939735,44.85385636939735,875.3138563693974,813.4438563693974,729.7238563693974,53.28385636939735,37.613856369397354,38.10385636939735,315.01000000001005,6.881538605708402e-13,1896.0000000000036,13.236245851298708,1046.4946051038878,-1.1368683772161603e-12
6427,33.949002104368034,34.619002104368036,685.689002104368,799.8890021043679,714.589002104368,28.959002104368032,22.609002104368034,23.049002104368032,359.45689386372,6.748448425029967e-13,1741.000000000006,1.6928623922234884e-12,961.8089106986575,-6.821210263296962e-13
6428,56.969622771223534,57.94962277122354,383.29962277122354,800.9596227712235,737.4596227712235,56.679622771223535,45.61962277122354,46.09962277122354,263.27114882366783,7.399194175605088e-13,1598.000000000003,1.0936928298507253e-11,850.3081309934428,2.2737367544323206e-13
6429,95.71199416235073,95.45199416235073,358.63199416235074,725.7219941623507,776.1819941623507,95.17199416235073,84.36199416235073,84.91199416235072,182.8802709211552,1.3133357242395614e-12,1493.0000000000016,8.550740254053926e-13,1006.0262242199597,-2.2737367544323206e-13
6430,76.22371114173369,78.97371114173369,282.3037111417337,603.7737111417338,763.3537111417337,79.5137111417337,71.58371114173369,72.22371114173369,252.15838820267024,1.688766528006156e-12,1369.0000000000018,7.213202522228925e-13,911.1080773365389,1.1368683772161603e-13
6431,73.45558778006733,75.68558778006734,193.33558778006733,516.6455877800673,760.7755877800673,77.06558778006733,68.82558778006734,69.32558778006734,386.4180528831713,3.564874769682572e-12,1308.000000000002,4.833877607433123e-13,913.5327551237111,-3.410605131648481e-13
6432,68.9773052438025,72.17730524380251,183.39730524380252,457.59730524380245,756.2473052438024,73.07730524380251,64.3373052438025,64.5373052438025,439.2237283019323,7.2045059331776506e-12,1315.000000000002,3.612000252950641e-13,864.5721702523566,6.821210263296962e-13
6433,49.748242456209525,51.94824245620952,163.82824245620952,441.6182424562095,736.9582424562095,53.23824245620952,45.11824245620952,45.13824245620952,444.0464293993896,9.310609165958927e-12,1305.000000000003,3.7191865100481636e-13,726.6423690490717,1.1368683772161603e-13
6434,54.005795622101644,56.41579562210164,168.46579562210164,464.40579562210166,741.1157956221016,57.13579562210164,49.38579562210164,49.62579562210164,297.21626089658884,3.840903817626012e-12,1331.0000000000027,5.062596341808179e-13,606.7726258734021,2.2737367544323206e-13
6435,63.44884164938772,66.42884164938772,255.34884164938774,612.9588416493876,750.2088416493876,68.64884164938772,58.81884164938772,58.78884164938772,240.6300000000037,1.6741691846591038e-12,1429.0000000000023,35.983684861720846,710.2970483333837,3.410605131648481e-13
6436,79.84967554292489,82.40967554292489,512.1896755429249,643.1396755429249,766.6996755429249,82.96967554292489,75.29967554292489,75.25967554292488,223.96000000000188,8.053127351647729e-13,1686.0000000000018,70.86397235651161,784.9134319868884,1.1368683772161603e-13
6437,57.95587454028482,59.72587454028482,667.9858745402848,737.2258745402848,744.6958745402849,61.64587454028482,63.95587454028482,53.98587454028482,310.5900000000012,5.62995984385932e-13,1818.0000000000025,105.23384211125048,834.5331542110272,0.0
6438,45.927709294322845,49.40770929432284,641.0777092943229,716.1677092943229,733.2077092943229,51.067709294322846,90.39770929432285,41.43770929432284,361.71000000000174,4.267726630341015e-13,1866.0000000000032,74.77212484656599,789.6295495080158,0.0
6439,42.17991448588624,44.17991448588624,525.4999144858863,691.5699144858862,729.0399144858862,47.319914485886244,132.27991448588625,38.249914485886244,496.5600000000014,4.613093872121163e-13,1868.0000000000036,94.8990609947204,783.9802548923681,-4.547473508864641e-13
6440,78.44805522580566,80.78805522580566,389.20805522580565,708.3180552258057,765.0980552258056,83.93805522580566,205.13805522580566,74.41805522580566,473.19000000000136,4.526099716244157e-13,1869.0000000000018,97.73425161395701,891.8101901924881,2.2737367544323206e-13
6441,61.82988802902061,64.19988802902061,302.1898880290206,783.5798880290206,748.4098880290206,67.63988802902061,210.95988802902062,57.73988802902061,597.8000000000009,3.985096798507841e-13,1882.0000000000023,139.60379013983726,872.7453140923269,2.2737367544323206e-13
6442,47.583997725308066,57.233997725308065,240.39399772530805,802.783997725308,734.4339977253081,53.95399772530807,205.86399772530805,43.64399772530807,588.2700000000027,4.05647885947405e-13,1882.0000000000032,48.93913338056568,843.2228484218986,0.0
6443,49.00964089234671,51.52964089234671,244.3696408923467,825.4996408923467,735.7796408923467,53.95964089234671,205.8596408923467,45.19964089234671,575.0500000000028,4.25608705630748e-13,1877.000000000003,47.48245960911227,861.7746675296618,3.410605131648481e-13
6444,28.08466886030214,34.04466886030214,289.27466886030214,771.1446688603021,714.7246688603021,32.52466886030214,171.29466886030212,23.974668860302142,411.4643137309391,4.4604185425367153e-13,1781.0000000000057,4.532243213264623e-11,695.5316646133057,2.2737367544323206e-13
6445,41.50644589731691,52.86644589731691,275.95644589731694,765.3764458973169,728.1664458973169,44.48644589731691,160.0164458973169,37.516445897316906,396.0300000000019,4.562097205139552e-13,1760.0000000000036,68.59775145319547,673.3238157253386,-3.410605131648481e-13
6446,36.32615487001442,41.556154870014424,291.7061548700144,827.6461548700144,723.2961548700144,41.39615487001442,116.31615487001442,32.17615487001442,308.1000000000041,4.658418286221664e-13,1771.0000000000043,32.53345971236617,614.9857792477497,-4.547473508864641e-13
6447,60.50364200736959,66.61364200736959,366.0036420073696,827.5936420073697,747.3336420073697,64.0936420073696,93.69364200736959,56.55364200736959,302.58000000000135,5.359253360285388e-13,1739.0000000000025,96.10347369293223,749.8656623660243,-3.410605131648481e-13
