,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> GB,NL -> GB,demand,GB -> FR,GB -> NL,mismatch
0,1375.08924937452,6171.08924937452,1943.08924937452,997.08924937452,7911.08924937452,734.08924937452,645.08924937452,4446.08924937452,6120.08924937452,2086.2792460317987,806.7675095975195,33235.85,1.9702816052249446e-13,1.6103185041406798e-12,-9.083304278846601e-12
1,1298.2830201300083,6376.2830201300085,2139.2830201300085,997.2830201300083,7801.2830201300085,630.2830201300083,542.2830201300083,4363.2830201300085,5921.2830201300085,2144.6110919006364,739.3317269293597,32953.49,1.8165133289576095e-13,6.98083090097485e-11,2.7696157991900077e-12
2,1192.7815564074233,5617.7815564074235,2057.7815564074235,778.7815564074233,7700.7815564074235,531.7815564074233,442.7815564074233,4242.7815564074235,5654.7815564074235,1983.9400313787353,688.4100000000019,30823.71,1.9978303101424274e-13,68.67403904554692,-1.9042545318370685e-12
3,1067.718261172656,4872.718261172656,1969.718261172656,592.718261172656,7564.718261172656,399.718261172656,310.718261172656,4083.718261172656,5508.718261172656,1908.9201574035924,689.2300000000008,28804.03,2.2582252836363402e-13,164.5845079574964,4.405364961712621e-12
4,1058.07960929911,3996.07960929911,1815.07960929911,577.07960929911,7564.0796092991095,391.0796092991099,302.0796092991099,4035.07960929911,5348.0796092991095,1962.6285733306331,466.0000000000009,27372.23,2.070077088184956e-13,143.1150570226232,3.893774191965349e-12
5,1091.9152599185986,4019.9152599185986,1970.9152599185986,600.9152599185987,7591.915259918599,422.91525991859874,333.91525991859874,4008.9152599185986,5201.915259918599,2050.8587646579417,225.8200000000012,27408.88,1.8208567658379805e-13,111.03610392532896,2.2737367544323206e-13
6,1157.6257131428843,5122.625713142885,2163.6257131428843,706.6257131428843,7660.625713142885,488.62571314288425,403.62571314288425,4024.6257131428843,4891.625713142885,2055.857226496587,369.58000000000175,28970.07,1.8109761186527009e-13,74.99864478254842,-1.8474111129762605e-12
7,1272.930145343187,6354.930145343187,2247.930145343187,963.930145343187,7782.930145343187,607.930145343187,518.930145343187,4147.930145343187,4775.930145343187,1659.6475212110327,10.961170700296547,30192.84,1.5911700759596495e-13,151.14000000001215,1.6484591469634324e-12
8,1438.0515918216297,7324.05159182163,2331.0515918216297,1358.0515918216297,7946.05159182163,768.0515918216296,686.0515918216296,4095.0515918216297,4450.05159182163,1500.9990076940371,146.06666591129567,31925.35,1.6870196132494652e-13,118.18000000000092,-7.958078640513122e-13
9,1464.2171092754747,9153.217109275474,2372.2171092754747,1650.2171092754747,7975.217109275474,800.2171092754746,1038.2171092754747,3800.2171092754747,4365.217109275474,2115.672674757979,392.9133417627534,35127.54,1.6666371691069882e-13,9.273105294763375e-13,6.18198336779639e-12
10,1438.0421564081557,10836.042156408155,2373.0421564081557,1802.0421564081557,7952.042156408155,781.0421564081556,1468.0421564081557,3708.0421564081557,4368.042156408155,2602.8834634801165,692.3271288464828,38021.59,1.7001642946126623e-13,2.7686936422360643e-12,-2.9387100716973305e-12
11,1421.3569105894653,12753.356910589466,2432.3569105894653,1777.3569105894653,7924.356910589466,754.3569105894654,1950.3569105894653,3582.3569105894653,4394.356910589466,2520.1409912547383,918.4200000000037,40392.8,1.900516928480233e-13,35.9731865599274,-3.375077994860476e-12
12,1321.1225361790189,14419.122536179018,2297.122536179019,1596.1225361790189,7827.122536179019,652.122536179019,2418.122536179019,3280.122536179019,4326.122536179019,2730.581738058462,923.820000000001,41652.27,1.4622589784234535e-13,139.23456366963657,4.206412995699793e-12
13,1362.6953025361777,15599.695302536178,2237.6953025361777,1903.6953025361777,7863.695302536177,696.6953025361776,2109.6953025361777,2677.6953025361777,4229.695302536177,2656.7232925995736,925.4500000000019,42188.82,1.591026327522526e-13,74.61101542516948,3.169020601490047e-12
14,1437.2299631071287,15680.22996310713,2596.2299631071287,1537.2299631071287,7948.229963107129,780.2299631071288,1742.2299631071287,2705.2299631071287,4471.229963107129,2504.106889621379,918.1934424145181,42320.37,1.928070447095529e-13,5.483744965936827e-11,3.1774042093895886e-12
15,1567.4166365067392,15592.41663650674,3020.4166365067395,1835.4166365067392,8076.416636506739,913.4166365067392,1077.4166365067392,2772.4166365067395,4847.416636506739,2709.015427167941,1120.764844271407,43532.53,1.9227682668117093e-13,1.2834170130838026e-12,-1.4756938397649735e-12
16,1731.1838584256325,17193.183858425633,3175.1838584256325,2474.1838584256325,8240.183858425633,1065.1838584256325,978.1838584256325,3270.1838584256325,5483.183858425633,2697.779404905593,1192.9758692637213,47501.41,1.9572765478519286e-13,7.641656106985859e-13,6.316064348699647e-12
17,1661.9625555267744,18165.962555526774,3256.9625555267744,2799.9625555267744,8199.962555526774,1030.9625555267744,941.9625555267745,3998.9625555267744,5632.962555526775,2685.061926936869,1169.8450733221619,49544.57,1.9944803108764258e-13,8.201531845847927e-13,6.256356398510991e-12
18,1605.6010710648497,17601.601071064848,3041.6010710648497,2052.6010710648497,8124.60107106485,961.6010710648497,872.6010710648497,3747.6010710648497,5783.60107106485,2730.512170910264,1164.3081895060923,47686.23,1.8676110699893928e-13,9.45746253087454e-13,-1.5684422588453245e-11
19,1502.7825906311818,16102.782590631181,2802.782590631182,1680.7825906311818,8021.782590631182,848.7825906311818,759.7825906311818,3939.782590631182,5668.782590631182,2649.1987692420566,1069.4579150773102,45046.7,2.1041208289309685e-13,1.7866757155742387e-12,-1.9970877984673356e-12
