,biomass,gas,hard_coal,nuclear,other_fossil,solar,wind_offshore,wind_onshore,BE -> NL,DE -> NL,GB -> NL,NO -> NL,demand,NL -> BE,NL -> DE,NL -> GB,NL -> NO,mismatch
0,609.2217397770022,2001.2217397770023,562.2217397770022,1108.2217397770023,562.2217397770022,562.2217397770022,1422.2217397770023,3371.2217397770023,477.14156546503096,2081.7861464600514,1.6103185041406798e-12,530.5358794564193,11255.0,1226.4700000000003,3.5143777696500904e-13,806.7675095975195,2.928914880713625e-13,-2.2737367544323206e-13
1,587.3712932007184,1982.3712932007184,540.3712932007184,1086.3712932007184,540.3712932007184,540.3712932007184,1401.3712932007184,3381.3712932007184,501.8149710577119,2124.169374266443,6.98083090097485e-11,442.9370359993915,10956.0,1264.4400000000003,3.025169987198448e-13,739.3317269293597,169.12000000000032,2.7284841053187847e-12
2,558.4555954529683,1917.4555954529683,511.4555954529683,1056.4555954529683,511.4555954529683,511.4555954529683,1366.4555954529683,3346.4555954529683,485.95388340480645,2581.216533267204,68.67403904554692,422.3007806587005,10647.0,1373.4200000000003,2.6967104293731564e-13,688.4100000000019,628.9600000000004,-4.547473508864641e-13
3,522.3027691301515,1870.3027691301515,475.3027691301515,1020.3027691301515,475.3027691301515,475.3027691301515,1329.3027691301515,3344.3027691301513,633.2291448304148,2348.484089969287,164.5845079574964,386.7801042015924,10431.0,1677.9300000000003,2.5901014105046457e-13,689.2300000000008,247.34000000000034,4.547473508864641e-13
4,490.194666321732,1821.194666321732,445.194666321732,990.194666321732,445.194666321732,445.194666321732,1302.194666321732,3273.194666321732,625.6594322249978,2611.117159713442,143.1150570226232,369.43102046508267,10431.0,1753.2400000000002,1.944930644074325e-13,466.0000000000009,311.6400000000003,9.094947017729282e-13
5,489.9513638439264,1908.9513638439264,444.9513638439264,989.9513638439264,444.9513638439264,444.9513638439264,1300.9513638439264,3178.9513638439266,624.1987441424011,2578.641114346824,111.03610392532896,362.7131268340386,10700.0,1803.2600000000002,1.8288615117567491e-13,225.8200000000012,151.12000000000037,4.092726157978177e-12
6,519.6243579254308,2044.6243579254308,474.62435792543084,1019.6243579254308,474.62435792543084,474.62435792543084,1327.6243579254308,3045.624357925431,471.9150734682927,2094.363177898997,74.99864478254842,665.7382404467173,11002.0,1316.4300000000003,1.839140255850789e-13,369.58000000000175,3.3954271253476374e-13,-4.547473508864641e-13
7,554.9689746429026,1833.9689746429026,507.96897464290254,1052.9689746429026,507.96897464290254,507.96897464290254,1275.9689746429026,3013.9689746429026,498.03081476540603,2026.0519881342266,151.14000000001215,413.17657065743134,11254.0,825.9600000000003,2.0368263612560317e-13,10.961170700296547,253.2300000000003,0.0
8,581.9849259103348,1700.9849259103348,533.9849259103348,1078.9849259103348,533.9849259103348,590.9849259103348,1209.9849259103348,2980.984925910335,490.24117490654453,2163.628470011491,118.18000000000092,428.5376137105814,11573.0,439.4900000000003,2.347372698345712e-13,146.06666591129567,253.9100000000003,-1.1368683772161603e-12
9,615.313767512722,1907.313767512722,568.313767512722,1113.313767512722,568.313767512722,806.313767512722,1420.313767512722,3063.313767512722,517.9139473097023,2286.313465855747,9.273105294763375e-13,675.225788495525,12011.0,1138.0500000000002,2.4968606136098367e-13,392.9133417627534,2.927630306053355e-13,-3.865352482534945e-12
10,690.8450275616757,2090.8450275616756,643.8450275616757,1188.8450275616756,643.8450275616757,1070.8450275616756,1499.8450275616756,3094.8450275616756,580.5806555127057,2215.840971969938,2.7686936422360643e-12,930.545280870429,12324.0,1634.4000000000003,2.4688777805790487e-13,692.3271288464828,2.578534179344495e-13,-2.2737367544323206e-12
11,749.3300971493892,2143.330097149389,701.3300971493892,1247.330097149389,701.3300971493892,1174.330097149389,1557.330097149389,3013.330097149389,601.6864955009786,2208.9062571168333,35.9731865599274,1144.9532836271485,12609.0,1751.7400000000002,2.519761081691752e-13,918.4200000000037,2.361016803816168e-13,-5.002220859751105e-12
12,750.3570998486545,2367.3570998486543,702.3570998486545,1248.3570998486543,702.3570998486545,1084.3570998486543,1563.3570998486543,2653.3570998486543,646.063310051735,2303.8689452869603,139.23456366963657,1215.686382202435,12771.0,1681.8900000000003,2.540423239968841e-13,923.820000000001,2.3697247713267373e-13,9.094947017729282e-13
13,729.3063179613453,2147.3063179613455,682.3063179613453,1227.3063179613453,682.3063179613453,929.3063179613453,1524.3063179613453,2152.3063179613455,647.8684851715531,2020.1901559893192,74.61101542516948,1154.5997997232012,12869.0,177.2700000000002,2.391666756872685e-13,925.4500000000019,2.431411050785783e-13,4.092726157978177e-12
14,735.7965206926656,2115.7965206926656,688.7965206926656,1233.7965206926656,688.7965206926656,814.7965206926656,1468.7965206926656,1486.7965206926656,1622.090561274826,1771.2560077195005,5.483744965936827e-11,1258.4747078788132,12967.0,2.1093700106336874e-13,2.7454825651972255e-13,918.1934424145181,2.4014604608193956e-13,1.3642420526593924e-12
15,768.4417922353337,2177.4417922353337,721.4417922353337,1267.4417922353337,721.4417922353337,761.4417922353337,1362.4417922353337,1240.4417922353337,2276.1844920779217,1969.0309513734555,1.2834170130838026e-12,1287.01506293736,13432.0,2.0356378743995525e-13,3.1757724332599256e-13,1120.764844271407,2.292501431511446e-13,-2.2737367544323206e-12
16,849.5579891619121,2461.5579891619122,802.5579891619121,1347.5579891619122,802.5579891619121,808.5579891619121,1258.5579891619122,1155.5579891619122,2686.367744893718,1956.6541532558367,7.641656106985859e-13,1359.4900578188672,14296.0,1.8647778721485065e-13,2.7881140392126434e-13,1192.9758692637213,2.038668299564721e-13,-1.3642420526593924e-12
