,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
8231,344.00000000000057,4656.000000000001,3646.0000000000005,1962.0000000000005,5.428466897332127e-13,6047.000000000001,557.0000000000006,81.00000000000054,42.00000000000054,6217.000000000001,2820.016411333972,140.87452955534303,24920.82094088932,8.081268341633892e-13,1592.0700000000008,-2.0463630789890885e-12
8232,346.00000000000034,4489.0,3095.0000000000005,1843.0000000000002,3.307652648663399e-13,6047.0,561.0000000000003,81.00000000000033,40.000000000000334,6174.0,2440.7400000000034,315.79629162059047,23417.43741675882,38.86887486177267,1976.2300000000005,-2.0463630789890885e-12
8233,350.00000000000017,4533.0,2859.0,1847.0000000000002,1.9058290327723651e-13,6048.0,561.0000000000002,81.00000000000018,26.000000000000192,5906.0,2450.2800000000016,290.44804078081785,22839.183918438368,92.46412234245138,2020.0800000000004,1.3642420526593924e-12
8234,347.00000000000017,4687.0,2549.0,1747.0000000000002,2.0000000000001648,6045.0,561.0000000000001,81.00000000000017,23.000000000000163,5689.0,2484.7300000000005,198.41542445781843,22554.019151084365,241.4762733734519,1618.6500000000008,2.0463630789890885e-12
8235,343.0000000000002,4594.0,2596.0,1757.0000000000002,34.00000000000021,6044.0,559.0000000000002,81.00000000000021,25.000000000000217,5480.0,2452.1200000000003,401.2519205585618,22352.62615888288,312.3157616756847,1701.4300000000003,-1.3642420526593924e-12
8236,344.00000000000034,4792.0,3053.0000000000005,1765.0000000000002,99.00000000000033,6045.0,562.0000000000003,82.00000000000033,24.000000000000327,5253.0,2452.8200000000006,346.51421145632725,22984.74157708735,420.9226343689848,1412.6700000000005,-6.366462912410498e-12
8237,368.0906841822913,5839.090684182292,3714.090684182291,1891.0906841822914,175.0906841822913,6069.090684182292,586.0906841822913,105.09068418229131,47.09068418229131,5390.090684182292,2297.1200000000003,97.45534209115006,25704.000000000007,269.8621839140568,605.6200000000014,-5.002220859751105e-12
8238,390.08121644694654,7114.081216446946,4650.081216446946,2532.0812164469467,314.08121644694654,6094.081216446946,613.0812164469465,129.08121644694654,69.08121644694653,5435.081216446946,2345.8100000000004,1234.720000000003,30529.000000000004,348.1982288605421,44.14393560892633,-7.560174708487466e-12
8239,371.8699548325515,8114.869954832551,5110.869954832551,2835.8699548325517,441.8699548325515,6079.869954832551,620.8699548325515,113.86995483255151,130.8699548325515,5329.869954832551,2263.6800000000007,2138.1800000000017,33300.00000000001,184.02325880399172,68.53628952152228,2.5011104298755527e-12
8240,362.4960617563138,8917.496061756314,5148.496061756314,2730.496061756314,567.4960617563138,6072.496061756314,614.4960617563138,107.4960617563138,935.4960617563138,5193.496061756314,2516.960000000001,1328.8700000000051,34297.00000000001,172.87842159990666,25.91219596323334,-1.1226575225009583e-11
8241,351.4150053878467,8787.415005387847,5082.415005387847,2695.4150053878466,599.4150053878467,6063.415005387847,592.4150053878467,96.4150053878467,2038.4150053878468,4721.415005387847,2739.870000000001,885.6068797143923,34498.00000000001,155.626933592832,2.0991924609261324e-11,6.139089236967266e-12
8242,331.2459968834349,8755.245996883436,5017.245996883435,2391.245996883435,646.2459968834348,6053.245996883435,592.2459968834348,86.24599688343486,3112.245996883435,4300.245996883435,2916.2200000000007,261.6500000000204,34262.000000000044,194.7889661072906,6.5410027270406665,-1.3585577107733116e-11
8243,349.00000000000097,8832.000000000002,4978.000000000001,2375.000000000001,661.000000000001,6051.000000000001,592.000000000001,85.000000000001,3498.000000000001,3804.000000000001,3419.8100000000004,39.09447724200948,34027.17104551599,301.27343172602,355.4600000000034,1.3642420526593924e-12
8244,354.8284910263382,8936.828491026337,5003.828491026338,2457.8284910263383,668.8284910263383,6052.828491026338,595.8284910263383,91.82849102633821,3508.8284910263383,3409.8284910263383,3008.9500000000007,50.26924551314401,33758.00000000007,164.29415577644926,218.21000000000265,1.1539214028744027e-11
8245,362.23028903367435,8737.230289033674,4879.230289033674,2202.2302890336746,669.2302890336744,6061.230289033674,595.2302890336744,103.23028903367437,3345.2302890336746,3085.2302890336746,2876.420000000001,6.314142295976676e-11,32712.00000000001,123.62939324119135,81.0934970956007,1.2960299500264227e-11
8246,358.9601412073144,9097.960141207315,4820.960141207314,2331.9601412073143,647.9601412073145,6051.960141207314,585.9601412073145,94.9601412073144,2917.9601412073143,2899.9601412073143,2792.560000000001,70.86507060365425,32259.000000000022,186.4564826767763,226.57000000000187,-7.503331289626658e-12
8247,386.40970211112295,9224.409702111123,5041.409702111123,2825.409702111123,680.409702111123,6070.409702111123,616.409702111123,119.40970211112297,1958.409702111123,2780.409702111123,3074.3900000000003,23.757239347294135,32114.000000000004,258.75426045851134,428.49000000000564,2.5011104298755527e-12
8248,388.80089263691815,9573.800892636918,5089.800892636918,4541.800892636918,688.8008926369182,6072.800892636918,626.8008926369182,119.80089263691818,683.8008926369182,2932.800892636918,987.6400000000004,1531.8600000000042,32892.00000000001,315.76470742647723,30.74421894270379,3.296918293926865e-12
8249,377.8469981973337,10032.846998197334,5216.846998197334,6152.846998197334,715.8469981973337,6061.846998197334,630.8469981973337,110.8469981973337,149.8469981973337,3041.8469981973335,377.40000000000043,2368.320000000007,34924.00000000001,293.24110539599167,19.948876577344745,-6.536993168992922e-12
8250,366.00000000000165,10191.000000000002,5118.000000000002,5663.000000000002,698.0000000000017,6050.000000000002,622.0000000000017,98.00000000000166,91.00000000000166,2978.000000000002,2070.2000000000007,1829.3000000000015,35534.288852938516,155.2459007403265,84.96524632117855,-1.4154011296341196e-11
8251,359.0000000000009,10224.000000000002,5172.000000000001,5159.000000000001,683.0000000000009,6051.000000000001,633.0000000000009,98.00000000000091,75.00000000000091,2684.000000000001,3351.7900000000004,1617.82445888368,35901.26108223268,206.35337665099257,1.824374436072811e-11,-9.947598300641403e-12
8252,362.00000000000074,9963.0,5175.000000000001,4908.000000000001,681.0000000000008,6051.000000000001,626.0000000000008,100.00000000000074,42.000000000000746,2381.000000000001,3350.5000000000005,1644.590667160981,35077.94866567804,206.1420014829457,1.4622190284135204e-12,-5.286437954055145e-12
