,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
0,994.6382869813805,711.7982869813804,802.7082869813804,1415.9282869813806,2929.7282869813807,678.9582869813804,182.02828698138046,1061.9982869813805,32.31242666080062,983.8712774881701,9778.690000000002,15.28000000000413,7.508919157339638e-12,1.7497114868092467e-12
1,991.334985809819,716.3849858098191,790.3949858098191,1331.844985809819,2923.644985809819,668.2949858098191,176.14498580981908,1044.1149858098192,35.61072860849498,969.6993849129638,9634.180000000002,13.290000000003747,4.183249458894614e-12,2.0374812947920873e-12
2,1017.8167016407386,741.0267016407387,798.5667016407386,1317.8367016407387,2935.136701640739,683.7367016407386,186.43670164073862,1067.7767016407388,54.181886846472324,841.8145000276221,9633.900000000001,10.430000000002462,2.2384333372713178e-12,-2.589928271845565e-12
3,1022.2632626249444,758.6232626249445,805.0732626249444,1347.3732626249443,2944.3732626249443,700.9232626249444,195.3732626249444,1019.0032626249445,63.750597696386535,857.5933013040636,9707.48,6.8700000000020935,1.9454244320370142e-12,2.218669692410913e-12
4,1026.2087977582264,762.4587977582263,818.4487977582262,1396.5187977582264,2957.6187977582263,720.0187977582262,208.61879775822626,1028.4287977582262,89.75515190157753,921.2544660326154,9919.41,9.920000000001487,1.155506785202789e-12,1.0693668173189508e-12
5,1044.4159412496888,784.8659412496887,840.8659412496887,1515.1459412496888,2986.045941249689,746.5359412496888,237.04594124968878,1022.8859412496888,111.70770423980143,687.1147657626883,9964.3,12.330000000001194,9.282043716061734e-13,-2.1955770534987096e-12
6,1045.7528077315849,777.7528077315848,826.3928077315848,1582.2928077315848,2974.592807731585,724.5228077315847,226.19280773158482,981.4628077315848,101.47669025287182,917.9408478944514,10150.46,7.920000000001315,8.96669290325914e-13,1.4983569940341113e-12
7,1081.157080214624,785.1670802146242,840.6570802146242,1585.3070802146242,2988.207080214624,739.9170802146242,239.20708021462423,987.8770802146242,101.31467622915355,848.7486820538555,10184.09,13.470000000001317,9.062429775668385e-13,7.602807272633072e-13
8,1092.1962698581306,788.2462698581306,852.0462698581306,1509.7862698581307,3001.5862698581304,753.7662698581306,252.58626985813063,969.5262698581306,104.03895765837784,915.0108834765779,10226.24,12.550000000001283,9.544541938587072e-13,-1.1457501614131615e-12
9,1065.8600844563637,759.3200844563636,822.7000844563636,1546.9600844563636,2984.2600844563635,734.7400844563637,235.26008445636361,920.5400844563636,79.6521054391674,1251.337218909927,10395.05,5.580000000001675,1.3339343651756896e-12,5.559996907322784e-13
10,1060.4150239250314,764.8350239250314,819.7350239250313,1603.0450239250315,2985.1450239250316,735.5450239250314,236.44502392503136,862.9250239250314,67.89527723378592,1296.0745313659681,10432.06,1.991233785120448e-12,1.840987057988739e-12,-1.94242036017474e-13
11,1085.5202367122943,772.2702367122944,826.7302367122943,1629.1502367122944,2989.2502367122943,745.0702367122943,240.65023671229434,843.8402367122943,61.41342319005503,1231.5746831115944,10425.19,0.2800000000021729,2.098997236668271e-12,-1.7980616995316723e-12
12,1069.537795292601,787.1577952926011,833.4477952926011,1748.8677952926012,2994.4677952926013,754.7277952926011,245.26779529260108,794.9977952926012,62.927077646382855,1258.9005600128123,10547.72,2.5800000000021206,2.135070216172075e-12,1.1284306822290091e-12
13,1066.702394165401,805.152394165401,836.422394165401,1900.5023941654008,2991.1023941654007,758.082394165401,241.502394165401,780.282394165401,64.92587592725815,1404.9749707495403,10847.29,2.360000000002055,2.0418199662069617e-12,1.942002114674324e-12
14,1074.2353952778917,798.8153952778916,836.3053952778916,1973.0953952778916,2991.1953952778917,758.2253952778917,241.99539527789162,799.0453952778917,71.03358246404055,1478.3032553128317,11022.25,2.028824934749491e-12,2.095747790980079e-12,3.151384888453856e-12
15,1078.253640613354,781.803640613354,836.743640613354,2089.4536406133543,2986.853640613354,758.283640613354,237.85364061335406,749.393640613354,65.20691131538217,1437.263963777791,11021.11,2.408854230612467e-12,3.1543872572081305e-12,-1.9252626807288846e-12
16,1061.9358341112406,766.0558341112406,829.5858341112407,2129.3658341112405,2975.2658341112406,734.8558341112407,225.86583411124064,703.2858341112407,53.02790276819884,1595.6354243418853,11074.88,3.838111411321413e-12,5.084432351990214e-12,1.7240325441765561e-13
17,1060.9182141288102,784.0582141288103,846.5082141288103,2156.66821412881,2980.16821412881,737.3882141288103,231.36821412881028,686.8682141288103,60.1565225095554,1520.0177644599707,11064.12,3.1452750867365334e-12,3.82602171988903e-12,3.046608075578625e-13
18,1051.61045251191,787.8704525119099,839.7004525119099,2054.07045251191,2969.6704525119103,724.8904525119099,221.9704525119099,652.43045251191,60.23664540767513,1487.109734497051,10849.56,3.0275236016691665e-12,3.140595860312223e-12,-7.111512513438201e-13
19,1041.8655845404005,805.3055845404003,832.6355845404004,1854.2555845404004,2969.5555845404006,722.6155845404004,221.85558454040037,644.5955845404003,61.08508380735054,1311.7502398694535,10465.52,2.781508100327399e-12,3.4669330396313562e-12,1.0275164742246705e-12
20,1040.346588793388,808.4865887933879,827.5365887933879,1868.5465887933879,2970.4465887933875,719.8265887933879,221.8465887933879,608.4965887933879,73.6380361488498,1592.5192535040544,10731.69,2.385551824297463e-12,3.6105459844581094e-12,-5.391295981180031e-13
21,1027.710893140726,797.3908931407259,815.8508931407259,1701.200893140726,2962.700893140726,696.790893140726,213.60089314072596,572.170893140726,60.421111004230504,1693.9217438699698,10541.76,2.5514388057591e-12,3.4014058804350554e-12,1.3231129279892705e-12
