,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,AT -> IT,CH -> IT,FR -> IT,GR -> IT,SI -> IT,demand,IT -> AT,IT -> CH,IT -> FR,IT -> GR,IT -> SI,mismatch
49,443.75868766265495,4591.758687662655,1891.758687662655,1844.758687662655,5212.758687662655,701.758687662655,30.758687662654957,3509.758687662655,193.33106550230463,2867.582540563425,2193.3143871329157,4.604542843793928e-12,677.6832510549953,23908.000000000004,7.085558809519951e-13,2.0041753140876833e-12,1.9415144873721384e-13,250.98074555487543,1.9551168941383406e-12,3.183231456205249e-12
50,422.1354268527319,4614.135426852732,1804.1354268527318,1687.1354268527318,5187.135426852732,680.1354268527318,8.135426852731873,3333.135426852732,226.13020597053438,2872.452892741787,2030.3986968785193,2.4408643837743626e-12,745.6052109410904,23319.00000000002,30.00000000000059,2.406422415867519e-12,2.1613761848460383e-13,261.670421353766,1.985310798994147e-12,-7.389644451905042e-13
51,461.40353651361835,4808.403536513619,1875.4035365136183,1842.4035365136183,5259.403536513619,733.4035365136184,61.40353651361837,3123.4035365136183,241.39201492250388,2674.561019168558,1812.1929603384885,8.21720680957392e-12,848.8651838120464,23457.000000000004,53.000000000000554,2.538822237188047e-12,2.9974212507889125e-13,232.23947035054448,1.1199100183921459e-12,3.410605131648481e-12
52,592.0976290561397,5460.097629056139,2210.09762905614,2133.09762905614,5897.097629056139,855.0976290561397,184.0976290561397,3245.09762905614,220.97584284737817,2455.0289067427316,1515.9919763649089,49.1895540662195,1006.0326875296521,25453.0,75.0000000000006,2.9634982036806227e-12,9.532195167336226e-13,296.00000000000273,9.32042880277297e-13,-9.094947017729282e-13
53,651.6833968792389,6620.683396879239,2873.683396879239,2751.683396879239,6794.683396879239,908.6833968792389,237.68339687923884,3403.683396879239,199.7161030790956,2658.606655251578,1752.3230846006402,68.68765422348193,1043.1993278113023,29571.0,70.00000000000067,2.80303422958341e-12,3.4820548938964193e-12,324.00000000000193,7.936458755898702e-13,-2.3874235921539366e-12
54,703.7854526924805,7928.78545269248,3266.7854526924807,5137.78545269248,7170.78545269248,960.7854526924805,351.78545269248053,3064.7854526924807,220.80119230616899,2938.1881054980086,1608.0000000000023,61.72057900181833,1214.2094813846027,34466.0,30.000000000000604,2.1808664130080437e-12,58.20297973043955,74.00000000000216,6.498340445209287e-13,-2.9842794901924208e-12
55,718.2680147320552,8815.268014732055,3432.2680147320552,5656.268014732055,7993.268014732055,979.2680147320552,1540.2680147320552,3204.2680147320552,281.0935031637341,3165.186341175461,1817.279677632612,53.064598069784495,1197.231762102019,38853.0,6.00841907245693e-13,4.1879802217969217e-11,4.2661272276595906e-12,2.5147290107323154e-12,5.742160686668493e-13,8.371944481193746e-12
56,744.112725583071,8981.11272558307,3528.112725583071,6307.112725583071,8024.112725583071,1009.112725583071,3641.112725583071,3539.112725583071,254.80756074834696,2565.3617501287745,1891.3908728854117,96.36207503161035,1016.1759365412929,41598.0,5.731905080562103e-13,2.2479641161492696e-12,2.3663950802942092e-12,1.3848091590911269e-12,5.003566449159498e-13,2.032421056766601e-13
57,771.3790187777731,8984.379018777772,3710.379018777773,4660.379018777773,7361.379018777773,1020.3790187777731,5415.379018777773,4302.379018777773,259.8520152434913,2594.8203401051437,1982.7639306480303,137.68214723458755,1028.8494165465688,42058.0,12.000000000000513,1.3368325927862023e-12,1.2269056779549056e-12,160.00000000000097,4.68337336436512e-13,2.7853275241795927e-12
58,785.0553642546039,8018.055364254604,3640.055364254604,4307.055364254604,7028.055364254604,1042.0553642546038,5770.055364254604,5163.055364254604,293.1330865667307,2821.5549086507976,2099.105755027115,173.77373565817547,974.9896000603574,41747.0,4.97674814130578e-13,9.917370193643941e-13,1.1395091900545326e-12,369.0000000000008,4.586782643937864e-13,3.410605131648481e-12
59,786.8382992934924,7640.838299293492,3379.838299293492,3365.838299293492,7540.838299293492,1048.8382992934924,4905.838299293492,5929.838299293492,264.22263157237364,2446.2193332782977,2029.4777951682943,178.09294304106515,921.2809025920326,40031.0,5.128035298610064e-13,7.793692539011248e-13,6.757371577415713e-13,407.00000000000074,4.53686038564762e-13,-3.183231456205249e-12
60,800.6241312867251,7995.624131286725,3291.624131286725,3027.624131286725,7717.624131286725,1059.624131286725,4316.624131286725,6203.624131286725,265.68829582430135,2324.497181165057,1848.9977405453071,185.5265975597278,978.2971346118114,39603.0,5.000000000000502,7.272214383908051e-13,4.665878959768931e-13,408.00000000000074,4.4241074062242743e-13,4.376943252282217e-12
61,735.9341677732407,9379.934167773241,3613.9341677732405,2745.9341677732405,8222.934167773241,996.9341677732407,2939.9341677732405,6096.934167773241,239.84709845599107,2527.2140467871104,1763.715015452281,131.00445305450305,1014.7460440641928,39981.0,6.710838883986221e-13,1.3586965250358905e-12,4.543284374301748e-13,428.000000000001,5.702792308089565e-13,3.183231456205249e-12
62,672.9273357778604,9883.92733577786,3812.9273357778607,3390.9273357778607,8613.92733577786,920.9273357778604,1443.9273357778604,6151.92733577786,209.72604538735368,2869.235737999811,1440.4535041531667,48.727553075769535,1084.4384731610253,40203.0,9.415565338497193e-13,4.01504802986462e-12,6.758202879469595e-13,341.00000000000273,7.502346068650372e-13,-1.8189894035458565e-12
63,689.0742448137808,9990.07424481378,3963.0742448137808,5225.074244813781,8863.07424481378,934.0742448137808,443.0742448137807,6300.074244813781,174.78056810410064,2942.739130712729,1395.967389332543,5.726500678977417,1002.1924526614364,41573.0,8.457510683833107e-13,7.121092625546479e-12,1.0764369950316003e-12,356.0000000000233,6.251068105872993e-13,-3.865352482534945e-12
64,715.9178636235341,10394.917863623534,4296.917863623534,6845.917863623534,8901.917863623534,962.9178636235341,317.9178636235341,6224.917863623534,202.2433243910992,2904.000000000004,1484.0000000000036,4.225026189348136e-12,1106.5466233379389,44183.0,7.658433085202404e-13,31.917914930193138,35.630975590352335,107.58396619677393,5.857735041712435e-13,-2.1316282072803006e-12
65,698.2070243538196,9824.20702435382,4273.20702435382,6788.20702435382,9049.20702435382,942.2070243538196,298.2070243538197,6282.20702435382,227.29400521867598,2809.000000000002,1567.000000000005,3.3455273893961034e-12,1158.5120200049248,43768.0,7.612529810797318e-13,76.45951447718821,26.1156956341053,46.88700994287055,6.426902942373874e-13,-1.9895196601282805e-12
