,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
2273,382.451241434302,16364.001241434302,129.48124143430195,599.1612414343019,1276.320000000002,12.730000000002844,2.5059022421044295e-13,2.1014032940197073e-12,18000.000000000004,65.56375538392722,46.914196011309286,532.5151227545083,119.15189158746675,2.6147972675971687e-12
2274,344.25000000000523,15984.350000000006,90.26000000000523,562.8400000000053,1480.9400000000023,19.340000000000902,2.0144423915886106e-13,809.3300000000008,18245.538390153986,60.65200094291629,147.91044184925815,662.43186979313,174.7772972607361,-3.637978807091713e-12
2275,343.3100000000229,14924.990000000023,88.97000000002288,586.5700000000229,1485.7600000000018,28.880000000000777,1.9800980618293493e-13,1833.810000000001,18256.832395946676,69.82129276477754,171.48762599023365,673.9215929692856,120.2270923291253,-2.7284841053187847e-12
2276,450.91421356125016,13486.494213561251,186.27421356125018,676.4142135612501,1581.0910668664906,40.39000000000079,2.4200020271843547e-13,2101.730000000003,17760.0,2.553393801701221e-12,168.4624520028162,551.4172405905213,43.428228518153254,3.183231456205249e-12
2277,490.6396558892511,12549.609655889251,226.9796558892511,700.3696558892511,1583.5289027693354,37.8800000000019,3.420052767664367e-13,1952.4619863741946,17081.0,1.372039785539234e-12,70.29107665118202,390.17843604934956,3.066107394516934e-12,1.1368683772161603e-13
2278,493.50535637111574,12321.375356371114,223.61535637111575,658.5553563711157,1576.5181380065317,37.490000000002155,3.0563420871992656e-13,1775.9300000000082,16572.0,2.2079284465440097e-12,61.98784365278057,436.6104323415024,16.391287496716195,4.888534022029489e-12
2279,425.7605666214271,12075.210566621427,148.5305666214271,524.8305666214271,1627.126770524446,51.70000000000121,2.461696233091957e-13,2051.2200000000053,16227.000000000002,4.478441190307833e-12,110.56424723405368,542.0777844641656,24.73700531193579,-1.7053025658242404e-12
2280,470.58461982434915,11605.78461982435,191.14461982434918,565.8446198243491,1637.650860180916,54.340000000002455,3.125294865670067e-13,2033.1323137836032,16077.000000000002,1.3283091930239238e-12,54.504072762163375,426.9775804997507,2.0984152997185623e-12,-4.547473508864641e-13
2281,468.133258121944,11718.753258121944,188.61325812194394,525.773258121944,1651.5318069631949,54.60000000000384,3.058915848284592e-13,1874.6432944619444,16011.000000000002,1.34043859363237e-12,34.80506405625626,436.24306985664214,1.667352248292723e-11,3.694822225952521e-12
2282,501.79069699834304,11821.600696998343,221.69069699834307,526.310696998343,1517.6846071870323,43.597514052639475,3.032008533241039e-13,1767.3800000000456,15957.0,1.395051299870901e-12,4.0839386478847443e-11,440.11447377224425,2.940435460803104,1.5916157281026244e-12
2283,677.8858390371215,12706.935839037122,395.0458390371215,652.0158390371215,1169.8736663412792,217.9421492341575,3.8918991460436387e-13,899.1747800445947,16376.0,5.176954763055304e-13,7.331951000999884e-13,342.8739517685164,1.3946113898776623e-12,1.7053025658242404e-12
2284,634.0515814507069,15522.281581450707,349.26158145070696,565.561581450707,545.2450937400482,213.03893048243322,3.2505312185124844e-13,296.0866532186633,17715.0,5.555381109930676e-13,7.857500112181495e-13,410.52700324396955,9.21398658900728e-13,1.1937117960769683e-12
2285,491.150240518606,18001.450240518607,202.270240518606,352.12024051860595,100.78675584045068,113.62043944615374,2.864934178862668e-13,438.1124703126842,19011.0,222.73000000000133,2.009671701766356e-12,465.78062767368823,2.0553521215669463e-11,1.1368683772161603e-12
2286,403.68136287721876,18555.17136287722,112.27136287721876,244.60136287721878,65.97000000000844,61.02405418172931,2.1584878277343206e-13,649.9800000000022,19398.000000000004,15.80428220135151,1.0317189486685177e-11,618.2248622886887,60.670361200565885,-3.865352482534945e-12
2287,408.49407443784236,17591.21407443784,119.41407443784237,207.7740744378424,545.3237237191356,53.17836727050259,2.0863865199485776e-13,628.6900000000044,18884.000000000004,1.603165962160235e-11,1.5519586249600634e-11,639.5894659431062,30.498922797874457,-3.183231456205249e-12
2288,367.16658841994195,16695.556588419942,77.27658841994193,135.85658841994194,1032.7900000000193,38.440000000002314,2.2392320798246734e-13,841.9700000000016,18445.00000000001,6.935835487165916,57.62504170948583,595.9323520288344,83.56312445429415,1.3642420526593924e-12
2289,377.5183805720626,15548.958380572061,85.03838057206258,127.00838057206258,1526.7800000000104,36.39000000000255,2.607893957029997e-13,902.8100000000026,17977.000000000007,12.84563966149109,52.261978685208376,511.68907251303847,50.70683142852182,-1.8189894035458565e-12
2290,370.95887804540024,14592.6288780454,81.03887804540024,90.30887804540025,1510.6200000000047,37.210000000002125,2.9033683273182474e-13,1474.800000000002,17545.000000000007,27.32294849693,62.89152842714589,459.6147266317805,62.73630862574475,4.547473508864641e-13
2291,364.5013898735791,13743.73138987358,74.19138987357913,109.69138987357913,1356.558103550075,35.51000000000142,3.2663015010087916e-13,2118.7000000000044,17272.00000000001,9.99716161006072e-12,93.6761489020474,408.5449061333096,28.662608009019905,5.684341886080801e-13
2292,450.51533679262093,12979.005336792621,156.94533679262094,210.19533679262094,1149.0382013079675,16.300000000015007,4.596896003200214e-13,2272.1824773899707,16935.0,8.453351359255568e-13,8.89248282692133,290.28954304151455,1.2317920471031787e-12,3.979039320256561e-13
2293,441.5966330988458,13029.896633098846,152.20663309884577,242.3366330988458,898.4502816877462,14.37009987774907,4.467239741698635e-13,2217.857933986576,16698.0,8.215406800507698e-13,1.4926354276677306e-11,298.71484794743674,1.514541066193979e-12,2.2737367544323206e-12
2294,512.1721741099474,13238.902174109948,219.1221741099473,372.2321741099473,645.8465159099425,69.9741658353143,4.582151446920253e-13,1842.464265473541,16602.0,4.1779755686225996e-13,7.490000000001907,291.22364365858266,8.852282616370285e-13,3.808509063674137e-12
2295,486.04653024655795,13860.656530246559,197.76653024655798,305.09653024655796,272.3923260787617,62.136106225715885,2.630491367703044e-13,1682.0388202846693,16341.000000000002,9.190780785026546e-13,17.840000000002146,507.2933735753734,2.6274105882380922e-12,-1.2505552149377763e-12
2296,611.9158243780407,14192.305824378042,324.7558243780407,445.4358243780407,256.5366105546117,182.349366637517,2.9585882639825153e-13,757.7470713508291,16292.0,7.117093137708556e-13,28.010000000000733,451.03634605511746,6.566852380777862e-13,2.2168933355715126e-12
