,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,demand,s_l,s_r
0,25.67504862688607,175.6,26.77355234966813,455.93,137.6860941112971,59.01075006513377,478.8,41.4,0.0,2734.27,0.0,646.3900000000006
1,25.963829282827902,172.9,48.0,461.95,10.790045710726746,1816.7,198.40297010628166,41.0,0.0,2658.82,0.0,787.0500000000002
2,14.877210287325415,56.05110148514121,46.7,513.39,174.7,1808.7,262.92043812187086,30.323873377721522,0.0,2409.719001405491,0.0,819.55
3,29.7,91.40046012551474,45.3,587.83,15.005156164041129,1803.6,455.6,39.4,0.0,2567.72,0.0,862.9599999999996
4,13.993513810215031,114.72044064585023,46.4,215.379124976874,25.198382873678725,1809.1,461.5,40.4,0.0,2562.35,0.0,915.3399999999997
5,29.4,132.8,44.6,517.13,166.4,841.8808514316323,164.68588085614857,40.4,0.0,1868.3803450005785,0.0,797.8900000000001
6,29.0,58.968745306752126,44.6,599.47,166.0,1736.0,437.5,40.2,0.0,2607.92,0.0,18.531902929551833
7,29.0,103.4540751625751,44.7,628.86,166.4,894.9352971055735,436.8,38.4,0.0,2134.7058729286414,0.0,982.9099999999994
8,29.2,126.9,44.6,584.68,166.2,1734.0,434.3,38.8,0.19495148491433545,2827.21,0.0,706.6900000000005
9,28.9,151.3,28.460080330732648,578.18,173.1,1784.8,141.40377576743035,39.8,3.9,2918.55,0.0,555.8299999999999
10,28.6,21.775960029147374,47.7,593.48,178.0,1623.7287372529186,462.9,41.3,1.54847883829976,3047.91,0.0,571.9200000000008
11,6.456684861927457,169.9,48.686362910077044,277.8686354747211,180.2,1820.7,464.6,40.3,12.6,1353.6310967794207,0.0,525.9800000000002
12,1.7356182412456782,178.9,7.755266563898478,649.61,181.9,659.8686855214944,474.6,40.5,12.8,3030.66,0.0,495.3500000000006
13,27.9,181.6,31.224313376359113,534.3890232742959,114.22565351241337,1821.2,478.7,40.1,9.5,1326.7694627085384,0.0,468.5000000000002
14,15.380180564737316,181.0,31.74454990887288,715.83,178.1,1820.7,51.16129866767912,41.1,5.7,2961.26,0.0,472.1755132432817
15,28.8,19.47611495278345,45.66588228912417,707.11,178.3,1572.2962984946003,79.76374812994706,41.2,1.1266695485432243,2996.3354299899256,0.0,502.9099999999994
16,28.7,170.5,48.5,660.43,118.59933445573792,1024.6561140096796,474.4,40.4,0.0,3058.9425613703825,0.0,281.2700000000001
17,29.1,179.0,40.23250153841032,690.49,181.6,1821.9,85.7349021946552,40.5,0.0,3155.2,0.0,30.84943901682491
18,28.7,177.0,49.3,179.73943714252536,181.1,1820.6,486.7,40.8,0.0,3137.91,0.0,288.77000000000044
19,28.5,178.1,49.6,714.75,180.4,1765.1243749361076,491.8,2.8723861676381475,0.0,3107.53,0.0,136.71433670259535
20,28.9,176.2,49.1,727.86,179.2,1816.2,86.35964539958852,32.36067275946115,0.0,199.69073421937748,0.0,233.02338861129596
21,28.7,72.88824709333284,22.107319059467404,705.62,180.0,1819.5,489.7,16.812537987874194,0.0,2901.5,0.0,392.87999999999965
22,28.9,176.3,48.8,608.75,178.0,293.5996199434333,435.2879220105118,34.367982019081786,0.0,2595.91824050583,0.0,315.14000000000044
23,28.9,174.5,48.5,593.15,178.2,1817.5,485.0,39.27609765708027,0.0,2677.03,0.0,229.87041530036393
24,28.4,175.7,53.8,534.9025816977627,163.55198260427645,1815.8,483.7,8.758145385461312,0.0,71.07336749256896,0.0,217.3299999999997
25,27.9,168.3,54.5,571.81,185.9,1813.4,337.5143071889665,17.66958398444315,0.0,887.4833070699367,0.0,174.92000000000007
26,28.4,172.8,56.3,555.71,187.2,1816.5,34.671458812288996,36.8,0.0,2517.74,0.0,178.17000000000007
27,28.6,155.02790860273643,11.044062819324003,545.4,186.4,698.4124213535056,478.6,28.653137323469718,0.0,2602.72,0.0,155.40000000000043
28,28.4,175.6,58.5,565.43,73.50772221945512,1845.1,334.5832421875929,34.4,0.0,227.5941132146963,0.0,225.41999999999985
29,28.3,175.3,57.1,584.74,188.2,1880.5,130.39741923806437,9.547987466556764,0.0,3077.94,0.0,99.94914258545228
30,9.468981308401018,178.1,19.003454931136528,632.24,187.9,1902.5,488.5,33.7,0.0,3279.07,0.0,262.0199999999994
31,29.0,181.9,31.63240831481704,651.16,189.1,1912.7,492.2,4.001996273917373,0.0977265595801282,1905.4830538734104,0.0,143.31999999999903
32,28.9,194.7,67.0,123.67706052424055,128.3211691025127,1621.7985163285346,303.05557581111435,32.5,4.1,3606.58,20.866958187833497,0.0
33,29.5,194.5,66.1,890.57,71.2102799975485,1117.2586804524706,498.0,32.9,14.027386822183447,3151.841129253689,0.0,203.02000000000055
34,30.2,83.35821324366016,54.63214666714829,174.89125421134187,191.4,1909.5,492.7,34.2,32.5,3675.1,0.0,305.4200000000001
35,14.998521281954297,199.8,68.1,127.6437865270803,192.9,1909.0,201.78835948109665,34.2,42.2,1286.5446252739678,0.0,51.06481448865003
36,30.4,89.20082840956681,55.16547793333261,275.6390000333063,193.6,39.81518052913935,500.9,29.797707451852187,50.5,3675.68,0.0,194.4300000000004
37,30.9,191.6,63.72023784918991,712.15,192.0,1768.0377534807164,21.235926388114763,35.4,59.34646127629992,3661.71,0.0,221.65999999999997
38,6.926093714054221,194.4,12.87032493786299,714.06,192.7,1905.1,501.5,36.3,27.5,3617.28,0.0,0.005148577648175944
39,29.6,192.5,64.9,940.46,191.8,1903.4,499.1,37.0,3.883207945429515,3733.73,0.0,124.03768269335006
40,29.1,134.5095315211723,50.052264168389726,973.585886330223,192.6,249.75341133832717,502.3,0.4356439404271704,0.1,3527.0660363260477,0.0,342.9800000000005
41,23.374199799745647,186.1,32.514027136255145,984.63,190.4,1902.2,497.6,22.325923568485575,0.0,3705.83,0.0,298.15999999999997
42,28.6,187.1,62.8,113.28167339606935,191.4,1902.5,62.59611541105296,33.85055941072017,0.0,1231.737501935166,0.0,426.37
43,19.53614361924964,101.03343155427636,64.2,324.1541276018115,192.7,1901.1,501.7,32.61376771624843,0.0,3315.136460639886,0.0,239.99999999999943
44,22.89517659833213,196.5,66.8,84.38624416613875,194.1,307.3980507282645,506.4,38.4,0.0,3408.5,0.0,303.06999999999994
45,14.970043929948996,190.9,64.0,195.11166437063542,191.7,727.2496862083127,499.1,38.8,0.0,3264.19,0.0,229.88171065397646
46,28.8,131.6474546051136,63.1,682.59,191.6,1903.3,501.6,32.394617727519574,0.0,2781.5232889714903,0.0,327.57522330478935
47,2.8503527645426154,189.7,60.8,351.51452419384776,190.7,1904.7,497.2,39.1,0.0,955.2919202170928,0.0,540.1800000000003
48,18.550329134093147,31.663191281087265,57.1,597.79,158.31868373542576,1900.9,493.7,7.6250103694120055,0.0,2878.23,0.0,418.5
49,29.1,179.1,57.4,596.29,171.31055283466625,1230.732140153531,494.2,37.8,0.0,2863.61,0.0,625.8000000000004
50,16.186375068433232,180.7,57.3,396.57652570875047,185.7,1903.2,494.8,6.805824188122071,0.0,2850.54,0.0,671.0700000000011
51,29.1,25.26773141438815,47.18792772069839,524.7824728415866,184.78014766450113,1903.3,36.380419637940186,28.796073113014472,0.0,2907.09,0.0,639.5899999999999
52,29.2,49.92118437916106,57.5,488.84699863540084,186.1,88.79321414613734,219.49091600149953,38.4,0.0,2558.771686736499,0.0,632.6800000000007
53,29.70714131877778,106.57181037383803,58.6,613.1,168.07998167196888,900.3082175635652,502.9,37.9,0.0,3367.15,0.0,419.87999999999965
54,29.7,100.92529327377703,65.5,630.97,141.55544943547937,1906.4,57.782972071970825,31.426391884609682,0.0,3045.2736429026877,0.0,307.1099999999999
55,29.6,193.0,64.0,814.08,188.4,1908.0,506.6,36.4,0.8,3622.64,0.0,42.79883177579292
56,29.5,126.27445933131045,63.5,7.157324607299575,185.4,572.0055509563042,426.74861822079794,36.9,11.139834603287524,3715.11,0.0,466.3399999999999
57,29.7,109.80968739403195,42.83572028605379,199.55523342840218,184.5,1907.4,217.7673967836034,4.279908642523747,35.93782374127466,3732.19,0.0,495.3499999999998
58,13.51016475309637,182.9,19.308168488655273,699.27,185.6,1906.7,492.6,20.393573795681984,17.019599012924317,1322.2503400878727,0.0,306.84288551383287
59,33.6,187.2,5.414806783106017,697.71,14.404751444053444,1908.1,491.7,27.495662155756584,101.1,3383.189901571429,0.0,427.03
60,32.4,97.92744825450181,71.7,737.11,194.4,1907.2,67.44327213453707,7.022777073918209,39.6,2634.470200737647,0.0,405.05000000000007
61,32.3,222.5,76.0,769.37,81.43192380035963,1906.3,508.8,17.328406251271822,17.1,3892.99,0.0,469.9000000000003
62,30.0,80.28351608196594,73.9,798.12,191.2,1905.7,202.73795289374232,36.3,3.420061895886949,2899.4997636476937,0.0,465.0999999999999
63,2.098681120734976,132.62411758795636,53.61703135902504,830.62,193.6,174.67329651302558,505.91462850922477,37.6,3.6775700710422186,3964.72,0.0,592.5500000000002
64,20.806659350433435,204.2,68.6,341.9241548881906,187.4,1906.2,206.11283660486112,38.2,2.208631222226132,3960.52,0.0,214.54422492465244
65,29.6,145.7286098497958,50.2557616040381,990.6,187.8,1906.5,497.9,38.7,6.3,3898.52,0.0,615.0399999999995
66,29.4,193.9,65.1,932.24,190.1,265.32193301097243,493.2,40.1,0.5,3838.52,0.0,536.0199999999995
67,29.2,196.0,65.9,935.01,190.6,1905.3,462.4295357824054,38.6,0.0,3764.97,0.0,682.0700000000004
68,29.8,26.31709446380632,63.8,17.284775572960367,189.2,1902.7,211.407419994679,16.867449347030416,0.0,3542.33,0.0,518.8600000000004
69,13.190562261458206,185.56444470745885,63.7,458.68383568332786,189.4,1901.2,450.34726902907556,18.17081635267506,0.0,3357.77,0.0,550.7800000000007
70,22.3672761347537,192.3,61.1,378.0210846657573,90.01592664632389,1900.4,473.9,40.7,0.0,2883.4653727191903,0.0,490.81000000000085
71,16.881837361698878,61.19979400320074,60.7,313.84784626299967,44.27500507661156,1900.1,473.4,41.2,0.0,3097.56,0.0,753.4699999999997
