,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,218.4,301.1003290813753,270.2,727.2,152.4,0.0,1602.6,3911.2166262920937,0.0,84.08720515890178
1,221.2,232.44751909150804,138.1074648222775,665.8,117.62716617554692,0.0,1558.5,4254.0,0.0,356.4501147137081
2,216.3,25.99832794968607,182.07335951509668,900.1,82.54658086220348,0.0,1080.8439383210507,3359.316355801901,0.0,402.9638129879923
3,185.95142440750465,381.3,270.4,511.6,57.93838048491504,0.0,1664.6354372388414,3905.0,0.0,922.1500000000005
4,212.3,380.3,270.4,58.91227578402491,33.14752240368575,0.0,821.2991410280177,2824.6105786170106,0.0,1000.6499999999996
5,106.59388929840408,184.51492301005447,203.5439703337374,104.94257322429706,153.3,0.0,2454.2,3832.0,0.0,1297.9546784787735
6,214.7,185.51270427891689,270.3,229.8,154.2,0.0,2868.9,3724.0,0.0,1804.42
7,193.9484531381934,380.0,270.5,228.2,126.32018095191594,0.1,3116.2,3683.0,0.0,1416.837702172561
8,212.9,102.88865262802359,250.76716624365068,261.7,155.2,41.4,3057.7,2811.7941741624404,0.0,833.5627895246935
9,76.79561764985846,377.8,270.4,331.3,156.7,146.7,3120.2,4402.0,0.0,1332.8900000000003
10,214.0,376.5,270.3,330.4,155.9,108.61528269530031,3304.8,4824.0,0.0,1213.1463015139423
11,217.4,374.1,110.02922290675177,330.4,148.9,51.8338287057403,3336.4,5026.0,0.0,1427.9800000000005
12,105.6026536700703,70.09828320739831,270.2,184.8519987803453,151.9,255.9,3361.6,4843.0,0.0,1616.2200000000003
13,63.11527183363921,371.3,270.5,260.7,148.5,223.1,3323.1,4610.0,0.0,1686.0700000000006
14,221.8,371.0,209.71682219408865,265.5,154.4,202.2,1296.8576801152487,4555.0,0.0,432.6071143167668
15,218.7,370.9,270.2,185.62109332013404,35.06593629345314,61.62789600013442,3015.2,810.5293182043325,0.0,1295.039999999999
16,215.9,373.2,174.23619500880747,336.8,122.55244995114016,7.143465786665263,2839.2,5063.0,0.0,698.9099999999999
17,215.4,374.1,232.47103390243385,444.0,35.956294180611856,1.4,2677.5,1787.3841600508522,0.0,520.3700000000008
18,218.5,14.922046839874339,270.2,682.9,151.0,0.0,2695.6,5750.0,0.0,295.2999999999993
19,215.6118746610866,378.6,270.1,756.0,152.8,0.0,2616.6,43.049825956034276,0.0,377.2000000000007
20,217.6,379.1,270.3,629.3,152.7,0.0,2589.2,5661.0,0.0,221.35999999999967
21,214.9,379.3,270.0,664.4,150.0,0.0,2612.7,5459.0,0.0,295.7599999999993
22,120.11403494654331,139.36571760033624,270.4,519.4,92.07088052548538,0.0,2729.6,3827.7112485033113,0.0,850.1768851088274
23,214.1,386.4,268.98211782715737,388.01993510378594,152.7,0.0,2606.1827114314615,4631.0,0.0,317.7547059954368
24,212.9,358.2459055089664,269.9,77.27444466977998,107.80624843443492,0.0,938.9431434567942,10.486484151919708,0.0,1613.17
25,210.7,89.83689081411791,270.1,234.6,25.490218055232376,0.0,1973.5560025203552,4109.0,0.0,1318.0499999999993
26,207.6,387.5,270.3,197.7,77.66319489947868,0.0,2718.4,4014.0,0.0,1331.3900000000003
27,208.7,385.9,15.584906445303844,170.7,148.0,0.0,2553.7,188.30271765080585,0.0,1314.5499999999993
28,205.2,386.7,340.3,162.5,149.4,0.0,2394.9,4085.0,0.0,190.4884164253031
29,59.03696156219701,388.6,444.8,2.807960812112788,148.1,0.0,2259.8,32.382077251541496,0.0,566.1000000000004
30,202.3,399.6,846.2,496.4,149.7,0.0,2414.0,4886.0,236.32999999999993,0.0
31,19.438931610338884,582.4,137.2244799744969,1547.0,150.8,0.2,2587.9,5555.0,455.8599999999999,0.0
32,202.9,736.3,1256.5,648.2048472146702,148.7,42.2,2723.8,6191.0,562.8000000000004,0.0
33,204.1,860.5,1081.7,577.9450245905228,148.2,145.4,2945.0,6516.0,303.6000000000006,0.0
34,201.6,910.8,1080.7,312.8178884387312,87.63792773232512,207.7,2883.2,6747.0,211.73000000000036,0.0
