,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,demand,s_l,s_r
0,25.0,1115.0,84.24501480015326,787.0911674475257,1464.0,648.5001685547516,0.0,606.0,5332.0,3.725028383749575,0.0
1,25.0,625.02809325012,112.0,889.0,1276.0,1195.293075221322,0.0,492.0,5162.0,32.70325056564635,0.0
2,25.0,1116.0,113.0,790.0,1275.0,1078.0866320386708,0.0,376.0,5071.0,91.13000000000011,0.0
3,25.0,1116.0,114.0,601.3648141825104,1288.0,1394.0,0.0,303.0,5013.0,67.96000000000004,0.0
4,25.0,1073.6863499017293,112.0,465.4660516062495,1259.0,1394.0,0.0,261.0,4987.0,106.93000000000029,0.0
5,25.0,22.844687562625005,111.0,785.0,1227.0,1393.0,0.0,187.0,4964.0,103.61999999999989,0.0
6,3.4349685239580015,1116.0,1.3987369383289376,733.0,1213.0,1393.0,22.0,111.0,2484.559590860672,64.40300951318106,0.0
7,25.0,1109.0,113.0,707.0,1226.0,1205.5240324080137,129.0,6.428217673184037,446.8733913277853,50.46182204310885,0.0
8,17.791915512746527,1105.0,16.8578541339078,782.0,65.49589690539662,1086.1801544220266,11.081533361667834,1.0,4848.0,0.0,30.5600000000004
9,25.0,1108.0,115.0,913.0,1277.0,188.27154439994757,351.0,0.0,4832.0,0.0,64.38000000000011
10,25.0,1107.0,113.0,52.44927299211899,1284.0,1392.0,383.0,0.0,4866.0,0.0,105.62
11,25.0,1109.0,23.871068062061163,1401.0,1286.0,1392.0,345.0,0.0,3337.664486877346,0.0,91.0160940057249
12,7.482879337156987,1111.0,17.604308976746843,1531.0,1290.0,1392.0,29.838567827232332,0.0,4961.0,0.0,89.06122694792614
13,27.0,741.006186392015,116.0,881.0970285014024,1406.0,603.4036617127658,12.271674811848904,37.0,5035.0,0.0,11.834987246352739
14,32.0,1149.0,116.0,1658.0,1595.0,90.6072964330819,17.0,218.0,5271.0,0.0,185.38999999999987
15,1.9718118957542807,1179.0,49.001131183532415,2347.0,1622.0,1395.0,0.0,113.21740071837813,5945.0,0.0,301.1600000000002
16,0.4117502456781068,1175.0,127.0,2613.0,1061.4213272184402,1394.0,0.0,326.7044133351643,3949.583055216885,0.0,149.07440093033418
17,7.0924297326513885,1168.0,122.0,2463.0,1592.0,1395.0,0.0,750.0,5318.282369496345,0.0,410.1500000000001
18,32.0,1180.0,118.0,2225.0,1612.0,1118.7884785567949,0.0,239.5605933087036,5320.515686809504,0.0,390.1299999999999
19,34.0,1185.0,92.87719584532583,250.83330413649543,1633.0,103.41365795692523,0.0,1080.0,5397.949560367106,0.0,169.6162232066905
20,31.188494169591806,1165.0,118.0,1554.0,1622.0,1394.0,0.0,789.634258342852,5527.0,0.0,386.0400000000004
21,34.0,1131.0,115.0,1276.0,851.8165976530137,1394.0,0.0,1219.0,5266.0,0.0,392.4500000000003
22,28.479081862481685,1124.0,116.0,1145.0,1172.271946522836,1394.0,0.0,1208.0,5006.0,0.0,381.03999999999996
23,34.0,1122.0,90.00873507423059,558.6059084228598,975.8297964389695,1394.0,0.0,1440.0,4832.0,0.0,437.28
24,34.0,1123.0,116.0,1079.0,1072.5398364073042,1395.0,0.0,1475.0,4727.0,0.0,264.2397156723676
25,34.0,1122.0,117.0,1070.0,1240.2132604276728,1395.0,0.0,1469.0,4680.0,0.0,451.29999999999995
26,34.0,1118.0,118.0,1023.0,1234.0,1395.0,0.0,1580.0,4483.351376532266,0.0,458.40999999999985
27,32.0,77.3731498754311,118.0,194.6151340633852,1241.0,1395.0,0.0,1659.0,2768.441924707434,0.0,427.81999999999994
28,23.0,1114.0,66.04040569751432,353.93036884829246,1238.0,1395.0,0.0,1849.0,4968.0,0.0,394.52
29,26.0,1111.0,118.0,1198.0,1211.0,943.7194503817137,0.0,1939.0,5218.0,0.0,88.71786334437556
30,32.0,528.3962991419652,112.0,1111.1360176928881,1273.0,1395.0,2.0,1976.0,5511.0,0.0,198.04581257803147
31,32.48942650495512,551.3884549354882,100.10801867914769,1578.0,1305.0,944.767655745299,34.0,2049.0,5840.0,0.0,552.3800000000001
32,34.0,183.2084225991821,113.0,1279.1251602954987,1307.0,1395.0,78.0,1720.9665790857614,6085.0,0.0,561.79
33,34.119015322952364,207.06321745749767,113.0,1627.0,1391.0,1394.0,83.0,2231.0,6192.0,0.0,544.05
34,35.0,952.6402221442024,113.0,1562.0,1476.0,1394.0,79.0,2258.0,6212.0,0.0,20.176889813839452
35,34.0,934.4528507025656,112.0,1507.0,1447.0,375.04298306849836,67.0,2308.0,6182.0,0.0,571.98
36,10.90748822480169,1215.0,112.0,1409.0,1340.0,1394.0,42.0,1473.669277749381,6102.0,0.0,556.1002568447113
37,14.336772165903447,1319.0,114.0,1592.0,194.15931862401231,1394.0,18.0,2128.0,2177.428831052711,0.0,575.1399999999999
38,35.0,1357.0,90.03591495858126,1674.0,1495.0,1393.0,4.0,2104.0,6349.0,0.0,604.69
39,35.0,1390.0,21.912994506589502,1886.0,1736.0,1393.0,2.0,1255.1385233553085,6778.0,0.0,583.3700000000001
40,27.195545437689237,1450.240050172837,184.0,2073.0,1703.0,1392.0,0.06437056009489217,1521.3296099227027,6807.0,0.0,655.77
41,34.0,1564.0,216.0,2250.0,1732.0,923.9623764605547,0.0,1188.0,5246.934823476065,0.0,215.93687715663881
42,5.232863279798591,1049.6375963942517,234.0,1829.2198258290798,1751.0,389.9880985209889,0.0,171.11780601907552,6581.0,0.0,553.9721787143288
43,33.62658942508689,1199.5120398634126,138.29153138242881,2148.0,1676.0,168.6918627687806,0.0,197.52416953041674,609.9545015844975,0.0,594.37
44,35.0,1561.0,236.0,1893.0,1609.0,1394.0,0.0,738.0,5840.0,0.0,549.8199999999999
45,36.0,368.31826495848475,230.0,1039.1041662132175,1583.0,1394.0,0.0,811.0,5479.0,0.0,188.60413246924767
46,32.0,1424.0,173.89624811852428,1271.0,653.9075508332816,95.90584560869007,0.0,502.9484275105687,5171.0,0.0,446.25
47,32.0,1040.4815436934257,231.0,410.15912541147617,1603.0,1393.0,0.0,485.16742624770677,4997.0,0.0,386.3399999999999
48,32.0,1329.0,233.0,1012.0,1468.0,1394.0,0.0,305.8266518259573,4913.0,0.0,252.9647726343109
49,30.0,1331.0,232.0,891.0,1431.0,1394.0,0.0,338.707042738655,2111.8269010885533,0.0,365.50000000000034
50,31.0,1330.0,40.02308092494237,608.312111299944,1421.0,1393.0,0.0,677.0,4956.0,0.0,303.73000000000025
51,10.308524806258845,1336.0,236.0,697.8885036909152,1516.039498582438,1394.0,0.0,713.0,5149.0,0.0,347.0499999999996
52,3.9680537753179372,1343.0,234.0,1123.0,1715.0,1394.0,0.0,466.52960890878336,5599.0,0.0,310.8299999999998
53,34.0,310.928726751882,240.0,1798.0,1969.0,1394.0,0.0,727.0,6282.0,0.0,377.76000000000045
54,35.0,1562.0,249.0,915.6881870688429,2055.0,1387.8967414952417,3.0,344.9853667812892,5251.633777493857,0.0,402.3199999999997
55,3.9811082322553606,158.71817755307683,249.0,327.6693356011216,2051.0,1389.0,9.360389521023658,742.0,2760.3150698450554,0.0,384.2300000000009
56,35.0,1616.0,41.65663071528006,2060.0,742.4838214377005,1373.0,98.0,831.0,7211.0,0.0,279.9493617826771
57,34.0,460.34477364379364,132.7074084909602,1920.0,2078.0,1335.0,159.0,444.83543278464384,7250.0,0.0,70.41026889677235
58,35.0,1965.0,250.0,1942.0,918.7525433470677,1356.0,205.0,99.82033499747183,7146.0,0.0,530.0400000000001
59,35.0,1991.0,83.27284029915795,1920.0,510.90219013616024,1343.0,216.0,182.86920178074607,7143.0,0.0,236.34481119729583
60,35.0,720.0690726573408,245.0,1939.3953559711363,1905.0,1254.7349758916876,107.21774701329272,160.32959952549714,7027.0,0.0,193.4210297271375
61,16.654212006452656,1985.0,167.2883902602881,2168.0,358.07194970815357,791.9333538419164,21.798453023111797,167.98082265479076,6989.0,0.0,67.88273417287797
62,22.868556710080547,1985.0,241.0,2243.0,444.96585593521263,1381.0,10.35075138060306,192.0,6479.684927124391,0.0,420.46999999999986
63,35.0,2056.0,263.0,2349.0,1936.0,1377.0,1.0,258.0,7661.0,0.0,65.23928726482747
64,35.0,1836.454077967448,258.0,2248.0,2031.0,1369.0,0.0,330.0,593.1923886303382,0.0,41.60460484437198
65,35.0,2010.0,238.0,1995.0,2127.0,1383.0,0.0,336.0,7635.0,0.0,329.2100000000007
66,35.0,2001.0,232.0,1781.0,186.4602358743533,241.60301340338094,0.0,433.0,3674.4231568331984,0.0,362.57000000000045
67,36.0,1662.0,232.0,1973.0,2043.0,711.0515719752407,0.0,588.0,7084.0,0.0,28.583808601217452
68,36.0,1906.0,240.0,24.97553630506615,1820.0,1383.0,0.0,433.0,6519.0,0.0,154.8386506011941
69,35.0,1677.0,235.0,1593.0,2052.0,1386.0,0.0,399.0,2306.855573398148,0.0,353.11999999999944
70,7.0460842808234485,1096.1974879088857,107.24171762090079,1337.0,1719.3869334758122,1386.0,0.0,310.981400671549,5771.0,0.0,66.7381155852032
71,26.74753393464071,1393.0,131.11697896058297,1169.0,784.651493239851,1386.0,0.0,280.0,5534.0,0.0,273.75
72,33.0,1344.0,56.971012719499164,1186.0,1807.0,1386.0,0.0,244.0,5445.0,0.0,214.85000000000036
73,33.0,1338.0,236.0,1079.0,1613.0,56.23553923912862,0.0,298.0,3842.1816111710373,0.0,157.4300000000003
74,32.0,886.8900467580128,238.0,389.4106270720945,1619.9012953227323,1394.0,0.0,130.43600776677278,5494.0,0.0,48.24574600726433
75,33.0,1334.0,51.76555291786745,668.2247901801522,1273.920890635871,436.0749978150518,0.0,125.87447680588373,3341.8187603099373,0.0,155.0599999999996
76,34.0,1495.0,42.034397232928995,1348.0,961.2445571357439,1026.6453086598087,0.0,52.0,6028.0,0.0,205.5899999999998
77,34.0,209.42910086346154,87.42181091618995,1455.440711715613,2112.0,1393.0,0.0,24.0,6637.0,0.0,228.4799999999998
78,34.0,1791.0,200.40724291573005,1991.0,1194.6437851699363,816.0935003793264,4.8156228218567865,36.0,7136.0,0.0,368.1999999999996
79,34.0,28.52384891522581,202.9512958843946,1976.0,2169.0,1320.0,28.0,36.0,7359.0,0.0,170.19116974518073
80,2.5405347209929214,2001.0,235.0,2021.0,2187.0,76.18858306981105,66.0,6.761196823088385,7405.0,0.0,35.19735595387077
81,34.0,2002.0,177.81656274859367,1994.0,2191.0,1342.0,115.0,23.0,7388.0,0.0,91.98804644094787
82,32.99273362874155,2005.0,232.0,1956.0,2166.0,1322.0,151.0,100.0,7321.0,0.0,333.0700000000001
83,12.721217878383703,1555.0038681411993,232.0,1928.0,2129.0,1350.0,172.0,124.0642343986766,7324.0,0.0,300.6335387675265
84,34.0,1999.5,232.5,1916.0,1844.41235737708,1360.5,80.76904900966635,134.5,3904.9722279235034,0.0,8.71367990681464
85,34.0,2000.0,233.0,701.9487437630271,2097.0,1371.0,124.0,120.0,6092.0998800202315,0.0,210.30671382705918
86,34.0,2000.0,237.0,1917.0,1578.6299260216092,541.5453306932466,24.0,174.0,7267.0,0.0,376.2743274118833
87,34.0,2012.0,237.0,2077.0,1628.811084366116,83.92366667903359,0.0,226.0,7813.0,0.0,57.655756909612776
88,34.0,550.9078972097795,239.0,1746.9187198348868,2204.0,1385.0,0.0,240.0,7916.0,0.0,403.0799999999999
89,34.0,1495.4489330905774,235.0,975.9865401163712,2196.469965803618,1273.4810417291799,0.0,61.11992629880105,7809.0,0.0,418.7000000000007
90,3.2811482051422383,2021.0,234.0,2190.0,2221.0,470.50481375670364,0.0,98.8315991222924,712.8173703430119,0.0,431.5599999999995
91,10.044197771877894,1234.1953744499606,236.0,636.5837397308417,180.57933995081552,12.537494249583716,0.0,142.0,7192.0,0.0,440.3599999999999
92,34.0,1881.0,153.018277202376,1850.0,1874.954950436614,1394.0,0.0,241.0,6585.0,0.0,448.8099999999997
93,0.8194492811078435,1496.3494042049283,244.0,1526.0,570.2555289987173,1394.0,0.0,236.0,6142.0,0.0,371.90000000000043
94,34.13728886199075,1666.0,208.30694292513564,1171.1325571412551,2161.0,1393.0,0.0,49.32908393560099,5833.0,0.0,337.4626196290936
95,35.0,1231.0,237.0,872.3728116619941,2062.0,1394.0,0.0,42.617686833893146,975.2714495289523,0.0,210.5999999999999
96,35.0,1128.0,238.0,467.8580543071839,2028.0,717.6104785575877,0.0,92.0,5582.0,0.0,154.03999999999996
97,35.0,1125.0,170.3624443115987,1249.0,1450.6919212288742,1405.0,0.0,114.0,434.38478425168086,0.0,158.5
98,14.90890193107504,160.54742221989162,32.1326903678571,1235.0,2026.0,1405.0,0.0,25.518499063068017,5611.0,0.0,121.01000000000033
99,35.0,1128.0,89.6492361293931,1310.0,107.29748643577946,1405.0,0.0,76.0,1868.9578628536979,0.0,93.57000000000005
100,34.0,1227.0,186.46566530251948,655.6450760939397,1152.9980664074549,1404.0,0.0,79.05352157165716,6172.0,0.0,103.30346847981443
101,34.0,1381.0,186.4371845830908,1866.0,1486.4325856073792,1403.0,0.0,101.0,6767.0,0.0,199.45000000000016
102,2.220698047951297,1591.0,239.0,2013.0,2173.0,452.93661840228765,20.0,29.038980738729254,3288.402689666741,0.0,360.5100000000002
103,34.0,1759.0,244.45274395638285,1976.0,2206.0,1363.0,145.0,56.0,7400.0,0.0,191.9523416994533
104,34.0,1978.0,238.0,1372.9175488077847,2151.0,1373.0,92.45399289546967,44.0,7389.0,0.0,11.626795663159838
105,34.0,2009.0,182.54510939821245,1996.0,2119.0,1360.0,282.7540845587355,33.93326061386325,7341.0,0.0,444.8199999999997
106,34.0,2021.0,229.1345160500766,598.9417554148878,2189.0,1361.0,232.0,28.381601364576667,7325.0,0.0,501.3900000000004
107,36.0,2012.0,249.0,2270.0,1587.254707767316,1361.0,61.03420256097279,25.708992370224852,7351.0,0.0,532.95
108,18.205387058481417,2006.0,243.0,2322.0,1412.5242800084172,1365.0,129.0,86.0,7231.0,0.0,539.3699999999999
109,37.0,2003.0,44.86446976729745,2345.0,2083.0,1377.0,68.0,100.0,7175.0,0.0,577.48
110,37.0,2011.0,246.15325023801773,2403.0,2142.0,1388.0,12.0,68.68536946546405,7365.0,0.0,581.3600000000006
111,38.0,2043.0,26.705708821619723,2366.2802608369007,2262.0,1300.9020077074103,0.0,182.0,6036.951339695949,0.0,601.75
112,6.505719417835715,164.3133652161587,277.0,2776.0,1026.97611029828,1393.0,0.0,255.0,8004.0,0.0,675.05
113,38.0,2086.0,15.252481485144035,2751.0,2227.0,480.1814238083263,0.0,282.5514752106015,7874.0,0.0,364.389057084845
114,38.0,2083.0,273.0,1321.2994815353472,2228.0,1392.0,0.0,465.0,6683.200902404697,0.0,786.19
115,11.510298575954515,1787.103644128229,249.0,1281.026403654342,1989.545227676527,1392.0,0.0,516.0,5619.857253205604,0.0,783.37
116,38.0,387.8037606706435,248.0,2169.0,931.2524833438066,1393.0,0.0,224.82206288504722,6696.0,0.0,682.98
117,39.0,2027.0,247.0,1780.0,2034.0,783.7408117834727,0.0,120.5775509739784,6173.0,0.0,570.75
118,20.533024427933377,1825.0,252.0,1602.0,230.21126223783415,1397.0,0.0,581.0,5829.0,0.0,603.8800000000001
119,28.803520801168595,1558.0,151.53853032918659,1577.0,746.8251910736798,1401.0,0.0,629.0,5103.768417190553,0.0,150.40945117124716
120,38.0,1527.0,228.0,1482.0,2005.0,1401.0,0.0,702.2044181961877,4730.656487085849,0.0,602.76
121,1.3751450724269658,1526.0,2.8000713664786474,236.6038591507433,2004.0,35.84272856566737,0.0,641.0,3565.9842309291766,0.0,597.3499999999999
122,38.0,1490.2096592068128,40.01374215398267,1545.0,927.8170599020996,1044.0805953745696,0.0,485.0,784.4622294229024,0.0,575.48
123,11.602351891004126,1555.0,122.42102872976405,1576.0,2070.0,1401.0,0.0,356.0,5601.0,0.0,526.0699999999997
124,11.720176139761925,1315.6897184401284,234.0,1564.0,2061.0,1401.0,0.0,55.085942153517415,5755.0,0.0,438.2499999999998
125,35.0,1572.0,231.0,148.20003099308883,248.5185899399719,619.5899498735039,0.0,103.96599076241624,6000.0,0.0,412.53
