,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
0,0.0,454.48,5995.28,299.33,2585.63,248.12,3828.7,13654.0816,249.90008644704196,0.0
1,0.0,454.79,5860.32,289.95,2416.35,250.4,3982.8,13045.9184,158.7284000000002,0.0
2,0.0,454.31,5781.56,123.72957967357937,2329.71,250.82,4083.11,3518.9952640135198,147.6823999999981,0.0
3,0.0,454.77,3158.8835858103707,109.01101820767218,2356.53,253.93,4089.19,12546.9388,66.29879999999775,0.0
4,0.0,453.8,1725.2712818698262,290.11,2286.76,192.96302449161678,4218.48,2014.6071868096699,0.0,152.24489999999946
5,0.0,453.54,1070.5763991566766,290.11,588.3881442193779,254.73,4243.45,9514.444803835098,0.0,392.99429999999984
6,0.0,326.25295110908155,5782.75,289.73,2162.58,252.72,4236.39,12492.8571,0.0,368.93289999999956
7,0.0,179.5191158190603,5865.01,305.5173573729951,2185.57,253.28,718.187667220947,1337.7704239836225,0.0,693.4779999999992
8,0.0,453.49,6210.05,318.84378049006267,2633.8,254.19,4093.78,12942.8571,0.0,608.8529000000021
9,0.0,454.25,6139.834997833821,336.08,1172.0402148015546,254.72,1780.4125817388428,4477.73170450709,0.0,162.10886345268668
10,0.0,47.13111031629627,6104.82,445.84,2654.09,97.13324331047482,3994.2,4405.042518580953,202.88669999999956,0.0
11,0.0,326.5355115811724,6135.59,297.4832606876108,2878.98,135.64071594100926,603.0070307315935,14570.4082,310.4781999999989,0.0
12,0.0,143.59316853881933,6278.5,240.5452692659323,1002.3322878280721,255.42,3838.25,15060.2041,135.65967434706238,0.0
13,0.0,454.34,5968.863003626074,294.24805826631166,3558.48,256.47,3501.34,6526.387688942658,202.43380764878728,0.0
14,0.0,455.6,6541.16,541.23,3622.01,8.851374412327276,943.5242366895607,15280.6122,410.06219999999917,0.0
15,0.0,512.37,7191.31,609.08,1253.804419813326,128.06143592300754,2914.72,16510.2041,48.03163207204999,0.0
16,0.0,547.49,6915.48,583.24,3745.3,257.62,2963.29,16884.6939,145.96820667180455,0.0
17,0.0,549.43,6763.8,571.6,1798.7385848359224,223.49675236264235,2941.97,16896.9388,424.41880000000003,0.0
18,0.0,547.95,6894.3,116.44211084762865,3912.55,260.45,2802.28,7399.987837621807,515.7211999999995,0.0
19,0.0,548.39,6939.87,507.22,3960.5,263.31,1105.1126348782707,9684.69401404277,549.3724000000007,0.0
20,0.0,550.43,4260.499535695678,464.92,3588.1,122.89053644635855,2582.4,15779.5918,290.23262772383356,0.0
21,0.0,550.79,6373.19,329.87,727.5956507786345,272.49,1008.9231674519119,1868.39125156565,155.15319567578445,0.0
22,0.0,548.66,6451.82,316.53,1430.2744500712022,276.57,2370.95,14112.2449,398.59490000000073,0.0
23,0.0,548.89,6568.26,314.65,2912.05,279.92,2289.74,13292.8571,336.0670999999991,0.0
24,0.0,549.76,6748.25,129.19826440225208,2692.94,280.99,1987.18,12764.2857,154.5456999999999,0.0
25,0.0,551.02,6841.84,314.35,2810.95,280.34,1769.16,12613.2653,38.95025090318227,0.0
26,0.0,272.4888421064684,6259.3227781352325,314.4,2956.69,279.89,907.7792920547981,12663.2653,30.246031831090054,0.0
27,0.0,551.82,3522.282262722143,269.26016981327854,2460.3322315690384,253.97267437472436,1493.53,11716.894280457025,6.029334730057371,0.0
28,0.0,552.43,3098.038744651743,314.21,3638.81,81.04744442191597,1370.55,5993.681472946854,53.928064431115715,0.0
29,0.0,575.9,8522.53,312.663063637258,3077.078420221668,273.78,859.9748764716373,16605.102,767.1719999999973,0.0
30,0.0,638.31,9220.78,375.39,5309.99,65.06713293318201,1178.91,18481.6327,97.8041363293902,0.0
31,0.0,329.8196291619964,9288.98,422.82,1081.5441014004914,253.49,1290.26,17264.23690850187,766.713500000001,0.0
32,0.0,635.01,9390.32,480.33,5731.080206542004,97.25190322535018,1246.95,6688.066696566313,887.0414000000012,0.0
33,0.0,634.72,9577.29,573.303358272265,5966.5,256.75,1070.03,8333.39375857833,894.9349000000016,0.0
34,0.0,632.73,9907.28,4.233418247239999,5988.68,255.55,821.46,20629.5918,937.8117999999963,0.0
35,0.0,633.13,10248.73,518.6,2502.346789630259,260.94,709.99,20713.2653,944.5153000000009,0.0
36,0.0,580.2811975159992,10298.15,433.86062336351824,6009.73,5.690104256443496,693.14,21265.3061,1104.426100000001,0.0
37,0.0,672.03,10206.89,491.9157104398959,5995.53,272.24,745.1897054447072,20996.9388,141.07627510880005,0.0
38,0.0,677.95,10316.98,458.02,6054.73,262.04,232.83139352020413,21109.1837,946.5726240227995,0.0
39,0.0,676.76,322.0755570405388,698.61,1204.0114492017858,128.01007808683883,990.13,6331.183999932068,995.6126876197295,0.0
40,0.0,44.30726281643712,10799.16,637.02,5883.185689141926,115.68211543681828,41.82798306496342,10148.451445796683,1029.7026999999962,0.0
41,0.0,681.29,10582.18,347.04914634150094,6105.83,61.700729113349134,382.30193918902853,7165.414354264719,955.1062999999951,0.0
42,0.0,682.47,10493.78,218.95693197893556,6109.76,271.1,706.0401975184335,6230.235220989265,1008.6512000000017,0.0
43,0.0,683.12,3835.999674516478,87.3967835337114,5971.85,271.77,1043.44,20927.551,953.6810000000032,0.0
44,0.0,681.21,9026.84,377.8,5770.62,116.11113275195174,1048.75,19635.7143,837.1143000000005,0.0
45,0.0,172.95542074833813,6797.3825574416005,448.38,5169.86,273.82,1035.63,13409.928516137665,848.656500000001,0.0
46,0.0,646.53,8078.66,351.35,4071.8556887951945,272.3569331678216,904.2204721138731,16971.4286,729.2686000000009,0.0
47,0.0,123.11207785101327,7857.85,304.05,1426.2315948639778,272.72,22.321647180253272,15852.0408,684.3708000000031,0.0
48,0.0,286.2106950140856,7817.96,304.25,3568.85,271.31,1132.88,15320.4082,666.2782000000016,0.0
49,0.0,645.93,7743.91,304.13,3566.3,270.17,841.7649774501414,15020.4082,655.6354600013692,0.0
50,0.0,645.45,2642.3666010114716,304.15,3493.69,268.9,1073.0578758162364,14966.3265,556.4065000000003,0.0
51,0.0,117.84894758602233,7775.3,304.24,1878.0171736745976,267.31,1641.75,12400.87279587956,31.662505821743412,0.0
52,0.0,644.88,7879.7,303.64,1560.218289657108,266.97,353.46971279739273,16004.0816,538.2516000000004,0.0
53,0.0,244.21405393879837,8330.87,301.39,4189.592728523117,268.59,2463.61,9056.143472824459,396.5556384944339,0.0
54,0.0,700.83,3737.304964190975,373.4,5167.33,274.87,3177.33,7765.1125794169075,826.352199999999,0.0
55,0.0,639.5038327744517,8896.78,464.31,5023.46,93.72351189321562,2553.7422790836517,21387.7551,806.2150999999969,0.0
56,0.0,738.11,223.59164202810655,83.51901234813408,4799.38,41.94794322690628,4065.51,21717.3469,758.9768999999981,0.0
57,0.0,903.05,2083.1770240083524,593.13,3001.180124670535,285.705789076032,4299.13,21704.0816,689.6516000000032,0.0
58,0.0,1075.736710026931,8885.04,94.73300231436808,2619.434185261838,181.99527181824115,151.05274189864156,22122.449,703.6789999999995,0.0
59,0.0,1149.91,8827.11,693.3,1122.7000949310245,276.6452372170046,4407.80271539673,22258.1633,716.6833000000024,0.0
60,0.0,1144.48,8875.23,227.1987316120028,4938.23,85.34804890004862,2895.9964351981134,4228.394501360701,19.18418298806973,0.0
61,0.0,180.02659200241777,8803.73,503.75,5035.49,277.31,4144.76,22227.551,689.7610000000047,0.0
62,0.0,1298.78,8806.47,408.14,895.5355652155944,5.213898019950396,3941.73,22360.2041,449.44225469810976,0.0
63,0.0,1324.15,9075.27,82.99546122122365,5966.55,274.32,3891.91,23201.0204,878.5804000000006,0.0
64,0.0,1049.2930005930618,8904.82,636.5502527438771,1129.8101070124635,280.19,3850.1,23071.4286,108.91765603942042,0.0
65,0.0,392.97188478608894,8764.48,931.7,5625.48,283.63,3637.96,22834.6939,761.1739000000006,0.0
66,0.0,1330.62,8811.98,1167.75,1419.9803195521024,281.44,3493.69,22748.9796,794.6096000000044,0.0
67,0.0,1329.52,8725.97,25.2350140529078,4889.67,280.55,1060.334517692294,21989.7959,727.0259000000009,0.0
68,0.0,576.7893497579004,8424.77,624.03,652.1895045585986,281.07,1204.1302523556565,20412.2449,706.3749000000006,0.0
69,0.0,605.3364415040423,7852.96,443.5,431.76640573869145,282.57,3593.01,8716.86402433627,503.6714000000036,0.0
70,0.0,530.4829779830337,5025.482192827353,49.41813419817895,569.6322912797505,283.37,3671.62,5664.221419052927,659.7965000000021,0.0
71,0.0,889.68,6921.21,300.91,3780.2,284.6,3866.82,3645.1067178897356,264.3122302634076,0.0
72,0.0,861.65,6889.9,56.51178983469136,1544.8179585383039,141.02818581655612,3952.51,2222.530621097797,7.736126213449818,0.0
73,0.0,163.9263664128029,6943.9,295.8,3959.57,276.67,4021.75,13579.471134336982,0.0,515.9070999999981
74,0.0,184.6090022902339,7061.69,0.41562860549526237,3914.16,94.53099341150063,4084.69,15602.0408,0.0,535.0591999999976
75,0.0,858.56,1862.1153184829384,103.41839984169746,3797.93,276.68,4262.73,15751.0204,0.0,382.5874512408504
76,0.0,104.65239563252285,7238.28,11.775966724566477,4048.82,275.8,4344.29,9259.731904200291,0.0,290.7162999999978
77,0.0,914.89,6040.346349858798,257.6029560128935,4774.44,226.52386635872227,425.2177147365902,18912.2449,456.80490000000225,0.0
78,0.0,1023.44,8221.75,368.18,2006.0926677623202,273.55,4486.38,20812.2449,697.8849000000018,0.0
79,0.0,1037.21,8518.48,477.55,1962.4017375143612,7.308842827259707,4474.16,21535.7143,698.2243000000005,0.0
80,0.0,55.71891946937116,5254.957948577413,388.9248271993085,5204.43,264.5484714193205,4302.84,21761.2245,702.9844999999991,0.0
81,0.0,937.66,3421.9366760128664,577.5,5379.01,267.95,3035.3955421468536,21742.8571,682.2670999999991,0.0
82,0.0,1029.3,9027.07,569.07,4824.401488984111,266.73,4031.19,21926.5306,722.840599999998,0.0
83,0.0,1020.94,9147.26,604.47,1615.532838057002,207.61264443932814,3415.8134478463626,13816.656622660017,604.291551992852,0.0
84,0.0,1161.58,9184.06,667.53,131.56242267133777,200.62234568269855,3618.45,7795.505303978202,840.6849,0.0
85,0.0,364.91821399633403,9247.77,491.13,2776.841696910546,144.3377274624962,3213.23,21960.2041,723.5741000000005,0.0
86,0.0,1136.36,6832.728317567995,16.589716616233723,709.662902812569,262.97,2972.67,21994.898,780.0879999999994,0.0
87,0.0,1164.47,5645.7009655820875,677.4838950071072,6061.67,235.2640444693955,2807.64,23090.8163,115.46770291905872,0.0
88,0.0,1008.5664481486324,9634.86,376.27357720368127,5965.54,264.96,12.532374468072675,7952.575965961196,933.3971000000026,0.0
89,0.0,1130.86,6255.383929605737,1106.3,5912.31,264.4,1665.9307161769273,22653.0612,783.9244499844316,0.0
90,0.0,1204.27,7054.622416557901,1008.23,4802.98412943863,248.48585609995226,2625.9,2221.08271084558,876.9583999999929,0.0
91,0.0,120.21164153521785,9112.03,475.2038561016977,5749.96,263.68,2618.93,5167.921380987995,835.994099999996,0.0
92,0.0,1201.41,8933.92,575.2466684147814,4597.47,262.77,1142.893268890024,20596.9388,715.4603707347221,0.0
93,0.0,1126.62,4903.217391274387,483.4,2697.9040598327097,171.89442219707456,1940.3998822067665,19065.3061,688.6361000000011,0.0
94,0.0,1114.77,8082.04,394.83,3832.63,150.81670374728316,573.5075422249836,13981.780314736556,644.8842999999961,0.0
