,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,2153.2178323953194,1633.697483352204,1609.0,2414.0,6810.0,4754.0,868.0,85.64964344416143,0.0,2999.0,30106.0,44142.3469,2716.9968999999965,0.0
1,2855.7801075875136,2398.0,1683.0,383.4810718910079,6766.0,4591.0,822.0,146.0,0.0,505.1403756040927,17622.024400666814,42825.4286,1538.9885999999988,0.0
2,4771.0,2414.0,1679.0,909.9645577626752,6728.0,4889.0,813.0,7.549747411421846,0.0,3137.0,15503.867987408401,15483.025331035706,52.599962619712954,0.0
3,556.3371365109206,2411.0,1678.0,1660.0,6710.0,4696.0,478.1673223090535,53.427140013928216,0.0,3212.0,31529.0,42205.551,0.0,162.128999999999
4,4769.0,2306.6893700899077,1682.0,1327.3163991208614,987.4157359908089,4831.0,429.82475848052746,146.0,0.0,2172.5449224417175,32063.0,25620.119061428628,0.0,1464.771999999999
5,553.491551408893,2304.0,1689.0,1601.254360646832,2959.0492996532653,4763.0,861.0,93.65419859261317,0.0,287.4377142608188,10965.470220732737,3663.370916368193,0.0,1299.8271690387694
6,4794.0,1330.429645157426,1679.0,2039.0,4013.35045832499,4639.0,863.0,146.0,0.0,2131.016290165651,3152.5869231379997,41524.1429,0.0,1601.3871000000017
7,756.4537736543273,347.48871990668823,1508.0,2030.0,6507.0,2980.0318056448077,862.0,71.08874507275534,173.0,193.86656476325,19272.46068597351,42384.0612,0.0,1047.1588000000047
8,3272.331016930546,2415.0,1355.8774957056294,1364.170215436314,6537.0,127.633430032107,854.0,146.0,1272.6185102161473,3277.0,6523.582378506053,28155.898382662475,0.0,148.72555439246815
9,4866.0,2493.0,1544.0,2105.0,6570.0,799.4074495912528,854.0,146.0,4037.0,3196.0,6391.8402771862475,10119.969761942819,5.71312798589099,0.0
10,4863.0,2506.0,1564.0,2051.0,524.275512920704,1468.995708470383,858.0,6.03131887317308,5670.353913727916,3253.0,32300.0,50052.8163,1014.8462999999992,0.0
11,4850.0,2520.0,1595.0,2505.0,5931.182050168306,881.7152485707594,857.0,42.12246720885632,6409.0,1088.3918778615723,31596.0,51191.3367,2122.4766999999993,0.0
12,4851.0,2538.0,1631.0,1596.849842902246,6347.0,6298.0,862.0,146.0,5685.0,3286.0,29291.0,2868.618548340594,2448.562185333792,0.0
