,biomass,gas,hard_coal,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,47.0,0.5057294394406957,0.0,546.0,0.0,0.0,860.0,2809.0,9308.148432711396,5727.36,0.0
1,47.0,1442.0,0.0,546.0,0.0,0.0,348.9274411392165,724.1734062338597,10895.559501701631,13.25980170912428,0.0
2,34.930514954455795,285.15461990158923,0.0,545.0,0.0,0.0,855.0,2835.0,10647.0,5563.41,0.0
3,47.0,1395.0,0.0,545.0,0.0,0.0,854.0,732.0276727832982,10431.0,1514.6731279470646,0.0
4,45.0,774.2716357436396,0.0,164.139034988609,0.0,0.0,857.0,2505.74802103959,10431.0,5385.869999999999,0.0
5,12.779571612198389,1464.0,0.0,545.0,0.0,0.0,856.0,2734.0,10700.0,5387.21,0.0
6,45.0,837.364319790699,0.0,545.0,0.0,0.0,284.40835910711553,2571.0,2329.464015371556,5462.49,0.0
7,3.0411056353115433,226.01905444415496,0.0,545.0,0.0,0.0,768.0,2506.0,11254.0,4262.09889432997,0.0
8,44.16792467506143,297.7939390006888,0.0,427.82333614583337,0.0,57.0,676.0,2447.0,11573.0,2482.3357270505157,0.0
9,47.0,1339.0,0.0,203.32701561487633,0.0,238.0,763.3591737322726,1966.0316170466324,12011.0,5910.77,0.0
10,47.0,1447.0,0.0,43.80200947034487,0.0,427.0,464.9988230486288,552.4931525389943,11677.01070255289,6741.16,0.0
11,29.087195382163134,1442.0,0.0,546.0,0.0,473.0,81.59871465161042,2312.0,12609.0,6937.612855088122,0.0
12,48.0,1665.0,0.0,378.3092149307921,0.0,267.74206789397834,861.0,1951.0,12771.0,7492.55,0.0
13,47.0,1465.0,0.0,545.0,0.0,165.44581221324935,49.612105807329954,1470.0,3267.404447656599,7287.71,0.0
14,47.0,1280.6190151140413,0.0,545.0,0.0,126.0,485.13204808100255,798.0,12967.0,5823.564914132901,0.0
15,47.0,1456.0,0.0,290.0222280704849,0.0,40.0,641.0,519.0,13432.0,7325.37,0.0
16,47.0,1659.0,0.0,545.0,0.0,6.0,456.0,353.0,14296.0,544.4452176097985,0.0
17,47.0,428.5473706579096,0.0,545.0,0.0,0.0,276.0,184.40783057393503,14227.0,7853.2,0.0
18,34.96265638563353,1620.0,0.0,545.0,0.0,0.0,236.0,266.0,9781.269131725952,7414.610000000001,0.0
19,38.49999678699536,1506.0,0.0,382.63733024828855,0.0,0.0,240.33341433388932,427.0,13569.0,1069.5239485195696,0.0
20,30.07427315812588,1429.0,0.0,110.52495502288734,0.0,0.0,10.686996040674154,602.0,12634.556667744464,2427.9735273827314,0.0
21,48.0,53.652043981071685,0.0,545.0,0.0,0.0,254.0,395.83809175159433,11261.820326280897,5912.360000000001,0.0
22,48.0,1385.0,0.0,545.0,0.0,0.0,113.47068138930713,417.0036813919992,11660.0,5747.040000000001,0.0
23,47.0,1446.0,0.0,545.0,0.0,0.0,17.675091890585758,304.4093357491906,6075.743040089194,601.944364461251,0.0
24,42.0,1462.0,0.0,546.0,0.0,0.0,239.0,835.0,10813.0,1206.5537990600983,0.0
25,2.641774660892602,96.63198645515467,0.0,221.41448551463648,0.0,0.0,291.0,834.0,2273.008340423303,5354.1,0.0
26,46.0,1434.8736417443488,0.0,546.0,0.0,0.0,344.0,877.0,7965.335653423834,2155.7110072444148,0.0
27,3.473314433294477,706.4091146942033,0.0,121.28361285569164,0.0,0.0,57.156417602334955,221.72971950133524,1253.8747564735802,5204.11,0.0
28,37.66937463588495,1208.8587811317816,0.0,379.7348280104383,0.0,0.0,557.0,933.0,11068.0,502.8992209031231,0.0
29,42.0,1657.0,0.0,544.0,0.0,0.0,477.4539679979622,1060.0,6548.61909433723,4929.906322386147,0.0
30,44.0,2267.0,0.0,544.0,0.0,0.0,631.9443933912884,1216.0,13720.0,7136.39,0.0
31,21.561252655761656,261.1764069966767,0.0,438.7880227990309,0.0,0.0,597.0,1127.0,208.30890539851484,68.72458482365384,0.0
32,43.0,3040.3322614918193,0.0,544.0,0.0,40.0,337.20244942649964,190.31109602203563,10858.78926603676,7984.620000000001,0.0
33,27.57591447779053,116.85573012345296,0.0,549.0,0.0,179.0,253.71852428154565,1086.0,10826.678748692457,2516.6134225349833,0.0
34,45.0,3587.0,0.0,289.29301224592575,0.0,365.0,600.0,547.480135357184,16040.0,7876.66,0.0
35,46.0,3822.0,0.0,545.0,0.0,278.14534417631785,442.56442671478584,981.0,13395.968674647187,7931.299999999999,0.0
36,42.0,2139.310091776175,0.0,545.0,0.0,432.0,455.0,949.0,16116.0,2506.780379666922,0.0
37,28.646969041224107,3870.0,0.0,131.51422534543838,0.0,281.0,2.253145455830335,1136.0,6951.228812396332,2088.5329824601686,0.0
38,38.0,652.3837085212989,0.0,545.0,0.0,123.0,762.0,694.7864596513426,16226.0,7653.45,0.0
39,40.0,3999.0,0.0,175.60921878914414,0.0,34.0,769.0,1144.4252533752513,16651.0,7948.02,0.0
40,39.0,955.8327187077479,0.0,545.0,0.0,6.0,817.0,1344.0,17422.0,7659.427917767521,0.0
41,35.936668382394366,62.81144682079947,0.0,288.76338806332245,0.0,0.0,850.0,1902.0,16701.0,7609.5599999999995,0.0
42,41.0,3856.699174629516,0.0,545.0,0.0,0.0,845.0,2147.4225939746257,2310.2872775166948,6854.82,0.0
43,42.0,2747.077321813401,0.0,544.0,0.0,0.0,850.0,2478.0,15396.0,5582.091880759942,0.0
44,39.0,1447.195451501334,0.0,544.0,0.0,0.0,825.0,2538.0,11051.918837921183,6053.170000000001,0.0
45,35.0,2359.0,0.0,544.0,0.0,0.0,63.917866545290174,2497.0,13666.0,5586.66,0.0
46,38.0,2203.0,0.0,375.7695517094399,0.0,0.0,843.0,2369.320079204444,9083.739077740374,5502.380000000001,0.0
47,20.977687867980507,538.3715135329956,0.0,544.0,0.0,0.0,842.0,752.4843252280434,12158.0,4343.141419062417,0.0
48,41.0,1692.0,0.0,77.92481740934701,0.0,0.0,839.0,2661.0,11682.0,4847.37,0.0
49,42.0,1687.0,0.0,545.0,0.0,0.0,835.0,2770.0,11425.0,1193.3274449104129,0.0
50,41.0,1789.0,0.0,545.0,0.0,0.0,822.0,2640.0,11370.0,4937.2,0.0
51,41.0,2070.0,0.0,546.0,0.0,0.0,478.3309681796028,2695.0,11428.0,4916.04,0.0
52,41.0,36.436196803351095,0.0,545.0,0.0,0.0,627.6394044518744,2657.0,11837.0,4515.001410863055,0.0
53,30.84797602599613,2116.0,0.0,545.0,0.0,0.0,134.3437649243797,2721.0,7138.74734631836,5538.62,0.0
54,40.0,2475.274367174698,0.0,544.0,0.0,0.0,826.0,2679.0,14568.0,6030.240000000001,0.0
55,3.814641286674411,3236.332423175938,0.0,544.0,0.0,0.0,765.0,1568.5465770153592,14790.14499137977,805.1533466510576,0.0
56,43.0,5931.0,0.0,544.0,0.0,34.0,273.0712634420319,2746.0,16438.0,2147.7923787103346,0.0
57,43.0,4020.0800327266297,0.0,544.0,0.0,89.0,9.679795913021348,2393.0,8364.974136091569,5468.5599999999995,0.0
58,44.0,3228.9337479376613,0.0,228.23896135381,0.0,88.0,536.0,473.8050319148334,17054.0,5895.259999999998,0.0
59,41.0,2491.849002251291,0.0,545.0,0.0,107.0,536.0,1720.0,16962.0,6053.700000000001,0.0
60,41.0,6503.0,0.0,545.0,0.0,126.0,243.15090587416006,2007.0,16967.0,1835.345405518297,0.0
61,39.0,6271.0,0.0,545.0,0.0,23.34548301701194,494.5991832870331,2226.0,16855.0,5938.67,0.0
62,43.0,6020.0,0.0,545.0,0.0,27.128718870302155,558.0,2359.0,7094.4596119077205,6017.290000000001,0.0
63,43.0,5983.0,0.0,545.0,0.0,13.698188951242631,678.0,2453.0,17040.0,6254.110000000001,0.0
64,43.0,4060.5989134526667,0.0,545.0,0.0,10.0,452.5143039195347,2534.0,17664.0,4015.3282725262725,0.0
65,42.0,4792.0,0.0,545.0,0.0,0.0,808.0,2747.0,14710.453959356442,7685.07,0.0
66,41.0,3500.0,0.0,544.0,0.0,0.0,825.0,2786.0,16274.0,8105.030000000001,0.0
67,43.0,2161.071929980843,0.0,544.0,0.0,0.0,138.6719312643397,1246.0652466564966,6383.273194515229,6013.021739030879,0.0
68,29.97165685665743,1065.028460121401,0.0,545.0,0.0,0.0,720.5278175494482,2791.0,14712.0,7307.21,0.0
69,43.0,1814.0,0.0,209.9030194554373,0.0,0.0,823.0,2764.0,5641.9826823892145,7602.41,0.0
70,29.477712644124303,1903.0,0.0,545.0,0.0,0.0,823.0,2014.8209280856559,13034.0,7197.1,0.0
71,45.0,1775.0,0.0,545.0,0.0,0.0,823.0,2720.0,589.4304637177105,3354.379817261552,0.0
72,46.0,1737.0,0.0,443.9034969317075,0.0,0.0,205.45799710376585,2707.0,11816.0,6221.5199999999995,0.0
73,46.0,1763.0,0.0,546.0,0.0,0.0,818.0,2230.724139947937,3158.963116047155,5742.419999999999,0.0
74,39.975074823364274,1720.0,0.0,546.0,0.0,0.0,817.0,1830.3726023834338,3873.882884419201,5515.62,0.0
75,42.0,1253.181412551581,0.0,425.4148793301785,0.0,0.0,481.99003871608016,1387.1658131397357,11426.0,5167.639999999999,0.0
76,4.742740489879671,4.091281749608345,0.0,546.0,0.0,0.0,750.0,2182.0,11835.0,5402.9,0.0
77,41.0,2100.0,0.0,61.903647421804386,0.0,0.0,173.3123955735955,1826.0,13071.0,5612.3,0.0
78,41.0,3195.0,0.0,545.0,0.0,0.0,115.40960412903466,1456.0,8345.777903787346,6585.150000000001,0.0
79,41.0,1815.9331690869935,0.0,545.0,0.0,0.0,524.0,57.74787771288227,12854.468227070427,2702.72013484437,0.0
80,19.66108453176317,5460.0,0.0,440.28365293507153,0.0,20.0,402.0,1263.0,16526.0,6519.039999999999,0.0
81,25.840991671100305,6259.0,0.0,545.0,0.0,64.0,140.7551647533325,5.454354254337043,9734.505129112986,4309.46032807359,0.0
82,41.0,2858.6384142519955,0.0,465.93153175481666,0.0,77.90324281011674,102.86161082469287,965.0,3993.7502083968907,5575.41,0.0
83,43.0,6488.0,0.0,545.0,0.0,14.795465256867603,324.0,607.0,4749.766923100759,5773.43,0.0
84,42.0,321.6211752581868,0.0,119.28322339357864,0.0,63.0,247.0,276.36035318006594,12302.915073339605,3963.167441311057,0.0
85,42.0,3047.1319608762215,0.0,382.7550439637302,0.0,46.0,191.0,420.36792129525,16729.0,2084.1466988184193,0.0
86,41.0,6146.0,0.0,545.0,0.0,30.0,266.0,860.0,16683.0,6069.630000000001,0.0
87,42.0,2933.5392076211483,0.0,546.0,0.0,19.0,332.0,1213.0,16849.0,2897.25129659273,0.0
88,3.58196694204414,190.94897486329475,0.0,545.0,0.0,8.0,416.0,1918.0,17470.0,6411.68,0.0
89,13.13839333200349,742.031236643319,0.0,545.0,0.0,0.0,347.0,2433.0,2250.3492432514195,6674.349999999999,0.0
90,42.0,483.2355035210428,0.0,545.0,0.0,0.0,440.0,2622.0,14048.526986086243,2596.630990485308,0.0
91,40.0,3997.0,0.0,416.9640759549553,0.0,0.0,495.0,2011.871792348699,15499.0,6591.58,0.0
92,39.0,1825.0,0.0,545.0,0.0,0.0,429.8711062154427,2776.0,14689.0,7059.94,0.0
93,0.8084010994257687,1657.0,0.0,545.0,0.0,0.0,828.0,841.2579366041191,10144.35880275901,1504.7193582290474,0.0
94,42.0,723.418425702276,0.0,545.0,0.0,0.0,824.0,2780.0,8522.27704035846,5999.9400000000005,0.0
95,43.0,218.71406086606777,0.0,545.0,0.0,0.0,826.0,2842.0,12271.0,5450.55,0.0
96,42.0,1644.0,0.0,546.0,0.0,0.0,823.0,2738.0,11758.0,17.57787644903017,0.0
97,42.0,1653.0,0.0,546.0,0.0,0.0,825.0,1336.618897184484,11443.0,4956.23,0.0
98,42.0,1670.0,0.0,546.0,0.0,0.0,32.17665007582123,2420.0,11326.0,4994.98,0.0
99,41.0,474.0030125044806,0.0,546.0,0.0,0.0,419.9264761989095,84.55448343623902,11362.0,5342.08,0.0
100,43.0,1780.0,0.0,16.830962648401293,0.0,0.0,399.6677688568886,1616.0,11788.0,5239.511723975321,0.0
101,30.61912995730816,2332.0,0.0,545.0,0.0,0.0,101.37659495201655,1209.7104594161708,6065.883687136294,2777.119405129796,0.0
102,19.800394543434965,4324.0,0.0,410.31079977586467,0.0,0.0,246.0,1383.0,14368.0,6913.35,0.0
103,40.0,6201.0,0.0,544.0,0.0,0.0,120.37340835130667,876.1858297766925,2027.278449653938,6178.890000000001,0.0
104,39.0,6407.0,0.0,544.0,0.0,31.75363011435234,93.0,1057.0,16331.0,6328.97,0.0
105,38.605692918530664,5783.201833081593,0.0,544.0,0.0,164.0,21.006091995990115,965.0,10566.168805949757,6186.52,0.0
106,27.246237567164027,6541.0,0.0,187.65889279401134,0.0,276.0,201.83553021963985,433.75337737862964,16561.0,6114.060000000001,0.0
107,46.0,6588.0,0.0,545.0,0.0,328.0,154.26707238964644,71.81519697463615,16440.0,3743.293832927378,0.0
108,47.0,6458.0,0.0,545.0,0.0,306.0,241.15612911928193,661.0,16445.0,6204.53,0.0
109,44.0,6478.0,0.0,545.0,0.0,218.0,101.06600273845055,693.0,16386.0,2231.6409532421017,0.0
110,42.0,6507.0,0.0,545.0,0.0,110.0,219.0,353.4818781869726,16352.0,6461.81,0.0
111,17.42710066644133,6505.0,0.0,545.0,0.0,36.0,165.0,905.0,4832.2146712687045,6570.839999999998,0.0
112,39.91379156878073,6519.0,0.0,168.1334675931764,0.0,8.0,24.91487114912567,621.0,17209.0,7086.52,0.0
