,biomass,gas,hydro,lignite,other_fossil,demand,s_l,s_r
0,5.0,2.0,1246.0,2951.0,66.0,5142.0,365.97999999999956,0.0
1,5.0,1.9833050351992463,1119.0,2957.0,19.913331528716462,4908.0,310.9000000000002,0.0
2,1.6519542531868896,1.2418835148718468,934.7284823088713,2958.0,64.0,4564.0,78.60000000000043,0.0
3,4.349128628977432,2.0,763.7996153169823,2942.0,63.0,4297.0,0.0,17.96746981908186
4,3.8148020406446466,2.0,1083.0,2916.0,62.0,373.0513491475057,0.0,203.3599999999999
5,2.5759886481609415,2.0,724.9627742803642,1115.7357574563453,62.0,1799.9534751994431,0.0,192.70052483422748
6,5.0,2.0,622.7567899180522,2174.462564934692,62.0,3991.0,0.0,184.21000000000004
7,1.4126657690755062,0.383207572718975,969.6258869102874,2938.0,40.25108607182469,745.8407174763025,0.0,168.37000000000003
8,5.0,2.0,698.7570874743712,2928.0,61.0,247.94464848698763,0.0,73.03310320217486
9,4.394160071788752,2.0,377.4097450420544,2945.0,46.08071163300246,4691.0,0.0,115.82999999999993
10,5.0,2.0,1454.0,933.1492565224889,37.469215619957914,3582.734714477178,0.0,30.983710359936
11,3.132310775858802,2.0,1461.0,545.6615602147903,67.0,4836.0,0.0,230.77000000000044
12,0.8061052587014061,2.0,1412.0,2938.0,66.0,4774.0,0.0,200.9400000000005
13,5.0,2.0,1352.0,360.59849921980816,53.099451486968846,4697.0,0.0,214.1800000000003
14,5.0,2.0,1404.0,2941.0,65.0,1481.2755183369688,0.0,178.51000000000022
15,5.0,0.4921415783524228,1449.0,276.58744974941334,62.0,5061.0,96.38000000000011,0.0
16,5.0,1.9275811692330518,1418.9787652326668,545.2286487649011,62.0,5228.0,76.11999999999989,0.0
17,5.0,2.0,1551.0,2949.0,44.61087761711531,3255.5439636627675,34.216787096219214,0.0
18,2.217314120461873,1.188601350591892,163.1547432079557,2940.0,63.0,5186.0,19.855515419934694,0.0
19,2.6605630309375212,2.0,1526.0,418.76262445527874,44.06645624011193,5142.0,0.0,43.05000000000018
20,5.0,2.0,1411.0,2946.0,63.0,5053.0,0.0,18.31999999999971
21,5.0,2.0,1404.0,2937.0,65.0,3899.421078021689,8.899999999999636,0.0
22,2.7615942691283264,0.16871081601244997,346.09578903910227,2667.063102786695,66.0,68.51387091652941,0.0,36.460000000000036
23,5.0,2.0,1452.0,2946.0,43.365295391320224,1531.1287814584518,0.0,74.82999999999993
24,5.0,0.9772869161647055,1383.0,2945.0,18.30771451853135,4698.0,0.0,245.32999999999993
25,5.0,2.0,1238.0,2953.0,66.0,4357.0,0.0,239.9790487244134
26,5.0,0.23760751645518408,1060.0,2944.0,63.0,4124.0,0.0,434.41999999999996
27,5.0,1.9901147784158364,969.0,919.5532185619417,51.347450304604095,3999.0,0.0,92.55051040786
28,5.0,2.0,641.546197358475,2949.0,64.0,3964.0,0.0,471.8799999999997
29,5.0,2.0,1016.0,2905.0,62.0,4051.0,0.0,16.724961019180533
30,0.2373630639355756,2.0,727.1083635191605,2919.0,63.0,4247.0,0.0,269.05749311020634
31,5.0,0.844540158294335,1466.0,2909.0,40.73474944973307,4573.0,0.0,278.4100000000001
32,1.9042355031828557,2.0,1575.0,2937.0,62.0,1966.7524714518288,0.0,30.35999999999956
33,5.0,2.0,1658.0,2926.0,61.0,5112.0,38.01000000000033,0.0
34,3.5654953535601126,2.0,1754.0,332.31470636285536,61.0,498.8077551487076,39.35000000000008,0.0
35,2.935548330744719,2.0,1847.0,2931.0,61.0,233.65681258521082,0.5699999999995669,0.0
36,5.0,2.0,1613.0,912.5761836579163,60.0,5172.0,99.30525799146433,0.0
37,0.5963372720205395,1.7250408637227872,1584.0,1888.31938437037,61.0,5046.0,158.0000000000001,0.0
38,5.0,2.0,1330.2938650348626,2943.0,61.0,4910.607416805305,203.57000000000008,0.0
