,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,730.0,5526.0,1298.0,210.47487085212384,7266.0,89.0,0.0,3801.0,5475.0,33235.85,3910.7584640991445,0.0
1,756.0,3707.5386716597973,1597.0,455.0,530.2955342085646,88.0,0.0,3821.0,2498.5132879045636,5093.03833741522,5617.07,0.0
2,750.0,5175.0,1615.0,336.0,7258.0,76.69606554076542,0.0,3800.0,5212.0,8570.39645609667,522.2341345445391,0.0
3,428.284367694462,4562.0,1659.0,282.0,7254.0,89.0,0.0,2239.2099205739173,2368.227209519448,26529.39855561521,3222.7999999999993,0.0
4,756.0,3341.334145971114,1513.0,275.0,7262.0,14.954273340092122,0.0,3733.0,5046.0,27372.23,3220.2299999999996,0.0
5,520.3606206107463,955.8773002964687,1637.0,267.0,4121.660230927598,89.0,0.0,3675.0,4868.0,27408.88,3627.0600000000013,0.0
6,758.0,933.8600636589742,1764.0,209.61426829565113,5296.884270078626,89.0,0.5223939893462068,3625.0,3968.88071695772,28970.07,4258.489999999998,0.0
7,701.5386362151235,5100.713098227122,1729.0,445.0,7264.0,11.17191824641001,0.0,3629.0,4257.0,25418.40160627837,1608.426991207258,0.0
8,758.0,6644.0,1651.0,678.0,4316.7341206653045,88.0,6.0,3415.0,3770.0,31925.35,7057.529999999999,0.0
9,752.0,6348.505827383456,1660.0,938.0,3143.6584452661264,88.0,326.0,3088.0,3653.0,35127.54,3854.2017640183376,0.0
10,746.0,10144.0,1681.0,1110.0,7260.0,89.0,776.0,785.7706498440309,1981.314642162754,38021.59,417.3366386616699,0.0
11,756.0,12088.0,1767.0,1112.0,2400.0906575806225,57.20917483366363,1285.0,2917.0,3729.0,40392.8,4024.0214208749235,0.0
12,758.0,13856.0,1010.2568822131875,1033.0,5136.253668224578,89.0,1855.0,2717.0,2558.7802946400184,41652.27,5841.449999999997,0.0
13,755.0,718.5523183880592,1630.0,1296.0,6588.436855058299,80.3930133756566,1502.0,2070.0,3622.0,42188.82,1707.222073027759,0.0
14,139.151217445431,12398.023059041641,1163.0132465938686,583.715454682055,3410.963556830845,89.0,682.8740030097374,49.355468994666246,3780.0,18260.0366069489,5510.886163310142,0.0
15,742.0,14767.0,2195.0,1010.0,7251.0,88.0,98.60906137921856,1718.533036911616,2587.32568030849,43532.53,8226.739999999998,0.0
16,754.0,16216.0,1795.7638642487423,1462.5661854993202,7263.0,88.0,1.0,1031.7367885233425,4506.0,47501.41,3513.009133982542,0.0
17,720.0,7708.668867871159,152.9307967684094,1437.7273759948669,7258.0,89.0,0.0,3057.0,4691.0,3065.332063119196,3727.6908750856073,0.0
18,733.0,16729.0,2169.0,1180.0,7252.0,49.00097606771096,0.0,1138.5110023245522,4911.0,47686.23,5231.410722421258,0.0
19,743.0,15343.0,491.7271199246025,921.0,1877.6780000444369,89.0,0.0,1049.5712577535828,3965.0335189657017,45046.7,7546.93,0.0
20,747.0,3037.0127279576163,1370.0,910.0,3572.199094584431,88.0,0.0,3466.0,5210.0,42220.09,6851.279999999999,0.0
21,742.0,11312.0,1361.0,898.0,7259.0,37.912781267260165,0.0,3411.0,1399.8085265144034,39066.38,6257.889999999999,0.0
22,744.0,9308.0,1347.0,512.0,7264.0,86.12258505533941,0.0,727.204299402784,4719.0,35377.98,5590.490000000005,0.0
23,744.0,6155.718953385514,974.0,320.0,2763.0932462093842,89.0,0.0,3322.8380814899197,2994.127447971202,31778.14,1590.4128392393213,0.0
24,160.0576415275776,7421.0,1003.0,210.09727173418725,7264.0,89.0,0.0,3329.0,3366.5536712836774,22893.172474665138,4590.034606612841,0.0
25,713.0184675219278,982.2624164216829,823.6387591352021,314.0,7266.0,90.0,0.0,1492.7053028402488,3591.0,31598.1,3079.0243388930708,0.0
26,745.0,8120.0,318.4550748260273,279.0,7274.0,91.0,0.0,3199.0,3017.0,30904.93,4485.91,0.0
27,740.0,3857.782343339367,1359.0,261.0,7264.0,90.0,0.0,2871.0,2514.0,4515.75547109397,2644.772467471072,0.0
28,253.86381967625007,9074.0,1376.0,252.0,7262.0,90.0,0.0,2714.0,2129.7957589971174,15059.568149579827,1613.313053331708,0.0
29,314.84876832625383,9457.0,1441.0,201.75990969314915,7258.0,91.0,0.0,2489.0,1319.8750453104187,31887.01,4900.129999999997,0.0
30,702.0,7112.521283553338,1658.0,244.0,7262.0,91.0,0.0,1750.5785907997542,385.1441180747537,29149.067028146375,8072.019999999997,0.0
31,700.0,15198.0,1890.0,490.0,7266.0,22.80230217064195,0.0,2323.0,982.050065365769,42842.1,9191.89,0.0
32,690.2233623396122,8130.608872126193,2291.0,561.921301642125,7261.0,22.788397852787107,4.0,901.2027868843526,716.3432316807513,47107.46,1674.7683039802648,0.0
33,682.0,14142.176909013591,2467.0,1025.0,7262.0,26.776405342481464,46.0,2604.0,4273.0,50637.42,10429.32,0.0
34,680.0,6304.2754595155075,200.4758583695786,1171.0,7255.0,75.08405525603402,176.0,1135.4782881224583,2578.4612348439846,2578.2510124991077,9701.96,0.0
35,680.0,20875.0,2566.0,806.0,7265.0,91.0,337.0,1459.8300790496276,492.2853699940302,9808.107886348309,9305.380000000005,0.0
36,678.0,20365.0,700.9348685453891,99.53649290347292,7264.0,51.627150856053014,479.0,286.7686986263694,5711.0,53193.73,9231.910000000003,0.0
37,277.77909356762245,19847.0,2946.0,661.0,7263.0,91.0,433.0378018704324,3193.826387900798,5507.0,53028.38,9216.769999999997,0.0
38,679.0,18989.0,2228.0458895540846,230.43627759959534,7259.0,91.0,228.0,3525.0,5575.0,52616.65,9721.520000000004,0.0
39,680.0,8736.62753983716,1332.5299130239957,817.0,7257.0,91.0,28.0,3582.0,4124.326004057086,53234.95,10417.689999999995,0.0
40,112.5025234224863,21700.0,2584.8825067537596,1085.0,7260.0,91.0,10.0,3050.0,4452.0,56217.57,1700.118158512398,0.0
41,680.0,22799.0,733.1532609539108,1658.0966436215742,7258.0,57.47512945437983,4.0,3257.0,4375.0,57858.5,10728.720000000001,0.0
42,546.1100332712892,22407.0,4036.0,654.1656055591701,7270.0,69.96085625634726,0.0,3227.0,4123.0,56458.71,10069.549999999996,0.0
43,680.0,20510.0,2237.5244594827973,438.4204634590477,7262.0,91.0,0.0,3341.0,4142.0,53403.65,9695.660000000003,0.0
44,680.0,18156.0,278.83328444153545,958.0,1072.8611363033417,91.0,0.0,3498.0,4544.0,15404.906823672267,6903.9751903176275,0.0
45,682.0,14534.0,1972.0,811.0,7268.0,92.0,0.0,3534.0,5057.0,44447.76,7447.25,0.0
46,620.5596554787144,10821.0,530.4161639196287,133.75789646425932,7260.0,91.0,0.0,3240.0,3386.7161787597565,38910.14,1627.9374133869258,0.0
47,681.0,6817.5200085206325,1175.0,503.0,1854.6145032272843,92.0,0.0,3150.0,5461.0,34061.94,4908.460000000003,0.0
48,682.0,7420.0,1245.0,442.0,4913.709942163795,10.431707979379267,0.0,3142.0,5532.0,32831.85,4788.989999999998,0.0
49,681.0,7107.0,944.0,57.57407185775314,7260.0,92.0,0.0,651.6946845954159,1293.217416708667,32383.19,2132.1870526590815,0.0
50,681.0,6804.0,914.3496795190683,349.0,7260.0,90.51059172446901,0.0,3160.0,5904.0,31250.06,1284.1268027255414,0.0
51,73.13623695402345,6711.0,789.1044745197605,99.04883890489799,7256.0,92.0,0.0,3126.0,5841.0,793.8723927823794,1213.1448778831887,0.0
