,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
51,370.46,1649.75,19.02,4923.86,747.1,0.0,801.76,1124.77,8584.0,0.0,786.9700000000004
52,367.63,1673.51,16.95,4931.32,780.42,0.0,501.58,896.72,8931.0,0.0,429.59999999999854
53,364.3,1658.11,18.0,4934.42,800.89,0.0,700.57,914.59,9717.0,63.0399999999981,0.0
54,368.26,1674.08,81.4,4932.7,840.07,0.0,668.96,933.56,10484.0,430.8200000000015,0.0
55,363.76,1610.22,132.64,4933.45,852.94,0.02,626.6,982.41,11125.0,471.52999999999884,0.0
56,366.3,1612.45,319.08,4934.35,856.53,65.22,286.29,955.42,11304.0,438.3199999999997,0.0
57,365.08,1743.25,452.78,4941.01,857.61,221.27,259.42,1059.51,11336.0,232.07999999999993,0.0
58,367.16,1867.49,589.22,4934.93,877.3,202.19,266.29,1059.4,11602.0,311.8099999999977,0.0
59,364.86,1842.9,617.98,4936.36,908.89,217.26,427.73,1034.7,11571.0,327.0799999999999,0.0
60,362.44,1870.56,206.89,4934.69,914.5,157.24,722.3,1082.02,11589.0,332.97000000000116,0.0
61,362.15,1946.12,53.06,4935.24,915.44,100.03,762.18,1123.87,11532.0,270.0799999999999,0.0
62,368.37,1916.58,262.4533,4938.48,926.29,45.36,805.72,1164.54,11473.0,0.0,235.1332999999977
63,372.48,1797.93,468.7467,4939.2,914.27,3.5,803.48,1144.95,11546.0,0.0,288.8867000000009
64,369.84,1746.14,676.55,4937.76,890.09,0.0,804.84,1159.47,12033.0,349.40000000000146,0.0
65,370.53,1667.63,701.77,4938.06,861.17,0.0,803.17,1168.58,12026.0,333.8899999999994,0.0
66,351.88,1601.45,358.23,4937.28,833.92,0.0,805.11,1148.11,11510.0,295.9999999999982,0.0
67,268.75,1615.41,220.82,4938.6,821.4,0.0,804.95,1118.22,10943.0,314.5400000000009,0.0
68,254.81,1641.67,79.69,4940.04,815.56,0.0,806.0,1120.67,10462.0,310.52999999999884,0.0
69,250.13,1624.48,183.09,4940.93,749.68,0.0,804.79,995.25,10536.0,315.31999999999863,0.0
70,253.5,1614.4,124.33,4941.57,836.02,0.0,806.63,976.03,10462.0,283.8900000000003,0.0
71,251.91,1699.51,11.6,4939.45,918.83,0.0,805.25,966.93,9870.0,0.0,426.20999999999844
72,253.32,1715.91,11.67,4941.13,930.34,0.0,805.05,887.71,9320.0,0.0,960.79
73,254.08,1713.82,11.58,4941.2,932.69,0.0,799.14,810.17,8981.0,0.0,1061.3599999999985
74,283.58,1626.61,11.46,4941.72,942.12,0.0,787.45,657.81,8850.0,0.0,1016.5499999999996
75,288.78,1594.16,11.39,4943.27,919.57,0.0,766.05,588.58,8910.0,0.0,980.4799999999996
76,292.89,1547.22,11.41,4944.4,864.12,0.0,558.5,464.72,9115.0,0.0,1013.9099999999999
77,323.22,1686.76,16.69,4945.01,891.78,0.0,390.5,337.47,9957.0,19.690000000001305,0.0
78,370.67,1694.44,28.97,4944.85,977.19,0.0,371.17,218.63,10674.0,17.479999999999563,0.0
79,369.03,2026.31,50.63,4940.24,1025.42,0.0,301.61,187.83,11388.0,0.0,160.98000000000138
80,369.95,2242.67,72.61,4944.67,1059.68,8.59,56.75,228.78,11781.0,0.0,87.88000000000102
81,367.07,2230.6,121.16,4939.01,1041.69,46.22,148.85,267.81,11925.0,0.0,120.29999999999927
82,366.45,2275.75,277.14,4935.13,1032.0,73.54,204.41,339.85,12038.0,20.8799999999992,0.0
83,366.82,2327.44,160.11,4934.67,1039.23,91.6,555.73,643.35,11945.0,37.68999999999971,0.0
84,361.61,2297.97,267.73,4930.78,1034.59,124.4,786.65,923.82,11822.0,77.08000000000084,0.0
85,365.63,2373.24,394.47,4917.66,1052.02,127.93,818.4,1073.74,11576.0,118.89999999999964,0.0
86,364.9,2393.14,325.02,4920.68,1061.34,79.38,819.18,1161.02,11591.0,137.2200000000007,0.0
87,370.58,2320.05,469.92,4931.51,1064.52,12.18,818.8,1213.5,11543.0,173.13000000000102,0.0
88,371.66,2388.99,789.55,4931.36,991.28,0.0,817.03,1211.74,12064.0,211.589999999999,0.0
89,375.98,2054.37,658.89,4938.4,1022.89,0.0,815.98,1189.46,12090.0,211.9100000000028,0.0
90,376.05,1754.01,678.48,4939.91,1021.81,0.0,762.18,1140.84,11607.0,208.82999999999993,0.0
91,377.78,1729.75,204.45,4942.41,1002.45,0.0,817.39,1159.09,10964.0,184.86000000000058,0.0
92,375.93,1724.43,56.77,4945.45,967.97,0.0,818.87,1110.88,10569.0,132.0900000000003,0.0
93,379.02,1711.31,72.15,4946.85,961.39,0.0,818.27,994.59,10684.0,167.61999999999927,0.0
94,376.29,1650.55,42.94,4949.37,969.86,0.0,815.29,913.85,10547.0,128.2600000000001,0.0
95,307.17,1557.72,10.04,4948.34,917.87,0.0,777.95,849.32,9944.0,0.0,393.2299999999996
96,284.74,1589.02,9.73,4947.45,915.35,0.0,487.11,763.29,9323.0,0.0,893.9599999999991
97,298.76,1641.58,9.8,4946.01,914.1,0.0,200.73,813.96,9029.0,0.0,841.7699999999986
98,370.71,1646.04,9.75,4946.46,916.61,0.0,21.67,878.64,8830.0,0.0,894.1699999999983
99,369.85,1648.17,9.59,4944.26,920.95,0.0,188.84,1033.86,8903.0,0.0,1102.9899999999998
100,299.86,1497.07,9.36,4945.73,895.51,0.0,499.35,987.97,9271.0,0.0,1113.1000000000006
101,327.71,1701.96,77.67,4946.06,909.26,0.0,490.3,781.01,10082.0,73.46999999999917,0.0
102,369.43,1732.33,325.87,4945.88,1002.91,0.0,368.04,644.71,10809.0,84.67999999999847,0.0
103,369.56,1842.26,319.4,4943.01,1063.45,0.02,552.73,614.08,11478.0,0.0,2.6900000000005093
