,biomass,gas,hard_coal,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,47.0,1439.0,0.0,546.0,0.0,0.0,860.0,2809.0,11255.0,5727.36,0.0
1,47.0,1442.0,0.0,546.0,0.0,0.0,861.0,2841.0,10956.0,5706.92,0.0
2,47.0,1406.0,0.0,545.0,0.0,0.0,855.0,2835.0,10647.0,5563.41,0.0
3,47.0,1395.0,0.0,545.0,0.0,0.0,854.0,2869.0,10431.0,5502.22,0.0
4,45.0,1376.0,0.0,545.0,0.0,0.0,857.0,2828.0,10431.0,5385.869999999999,0.0
5,45.0,1464.0,0.0,545.0,0.0,0.0,856.0,2734.0,10700.0,5387.21,0.0
6,45.0,1570.0,0.0,545.0,0.0,0.0,853.0,2571.0,11002.0,5462.49,0.0
7,47.0,1326.0,0.0,545.0,0.0,0.0,768.0,2506.0,11254.0,5619.15,0.0
8,48.0,1167.0,0.0,545.0,0.0,57.0,676.0,2447.0,11573.0,5613.07,0.0
9,47.0,1339.0,0.0,545.0,0.0,238.0,852.0,2495.0,12011.0,5910.77,0.0
10,47.0,1447.0,0.0,545.0,0.0,427.0,856.0,2451.0,12324.0,6741.16,0.0
11,48.0,1442.0,0.0,546.0,0.0,473.0,856.0,2312.0,12609.0,7343.08,0.0
12,48.0,1665.0,0.0,546.0,0.0,382.0,861.0,1951.0,12771.0,7492.55,0.0
13,47.0,1465.0,0.0,545.0,0.0,247.0,842.0,1470.0,12869.0,7287.71,0.0
14,47.0,1427.0,0.0,545.0,0.0,126.0,780.0,798.0,12967.0,7182.28,0.0
15,47.0,1456.0,0.0,546.0,0.0,40.0,641.0,519.0,13432.0,7325.37,0.0
16,47.0,1659.0,0.0,545.0,0.0,6.0,456.0,353.0,14296.0,8094.610000000001,0.0
17,47.0,1503.0,0.0,545.0,0.0,0.0,276.0,318.0,14227.0,7853.2,0.0
18,47.0,1620.0,0.0,545.0,0.0,0.0,236.0,266.0,13982.0,7414.610000000001,0.0
19,47.0,1506.0,0.0,545.0,0.0,0.0,271.0,427.0,13569.0,6996.99,0.0
20,47.0,1429.0,0.0,545.0,0.0,0.0,305.0,602.0,13005.0,6267.3099999999995,0.0
21,48.0,1416.0,0.0,545.0,0.0,0.0,254.0,727.0,12370.0,5912.360000000001,0.0
22,48.0,1385.0,0.0,545.0,0.0,0.0,262.0,783.0,11660.0,5747.040000000001,0.0
23,47.0,1446.0,0.0,545.0,0.0,0.0,300.0,684.0,11135.0,5763.950000000001,0.0
24,42.0,1462.0,0.0,546.0,0.0,0.0,239.0,835.0,10813.0,5321.1,0.0
25,41.0,1546.0,0.0,546.0,0.0,0.0,291.0,834.0,10603.0,5354.1,0.0
26,46.0,1477.0,0.0,546.0,0.0,0.0,344.0,877.0,10500.0,5453.0,0.0
27,47.0,1588.0,0.0,545.0,0.0,0.0,466.0,899.0,10595.0,5204.11,0.0
28,42.0,1537.0,0.0,545.0,0.0,0.0,557.0,933.0,11068.0,5305.72,0.0
29,42.0,1657.0,0.0,544.0,0.0,0.0,608.0,1060.0,12289.0,5871.86,0.0
