,biomass,gas,hydro,lignite,other_fossil,demand,s_l,s_r
0,5.0,2.0,1246.0,2951.0,66.0,5142.0,365.97999999999956,0.0
1,5.0,2.0,1119.0,2957.0,65.0,4908.0,310.9000000000002,0.0
2,5.0,2.0,1085.0,2958.0,64.0,4564.0,78.60000000000043,0.0
3,5.0,2.0,1182.0,2942.0,63.0,4297.0,0.0,198.6599999999999
4,5.0,2.0,1083.0,2916.0,62.0,4134.0,0.0,203.3599999999999
5,5.0,2.0,992.0,2928.0,62.0,4045.0,0.0,203.89999999999998
6,5.0,2.0,914.0,2935.0,62.0,3991.0,0.0,184.21000000000004
7,5.0,2.0,1029.0,2938.0,63.0,4161.0,0.0,168.37000000000003
8,5.0,2.0,1204.0,2928.0,61.0,4428.0,0.0,102.44000000000007
9,5.0,2.0,1384.0,2945.0,66.0,4691.0,0.0,115.82999999999993
10,5.0,2.0,1454.0,2936.0,69.0,4805.0,0.0,196.55000000000018
11,5.0,2.0,1461.0,2945.0,67.0,4836.0,0.0,230.77000000000044
12,5.0,2.0,1412.0,2938.0,66.0,4774.0,0.0,200.9400000000005
13,5.0,2.0,1352.0,2945.0,65.0,4697.0,0.0,214.1800000000003
14,5.0,2.0,1404.0,2941.0,65.0,4740.0,0.0,178.51000000000022
15,5.0,2.0,1449.0,2928.0,62.0,5061.0,96.38000000000011,0.0
16,5.0,2.0,1544.0,2955.0,62.0,5228.0,76.11999999999989,0.0
17,5.0,2.0,1551.0,2949.0,62.0,5205.0,52.22000000000011,0.0
18,5.0,2.0,1554.0,2940.0,63.0,5186.0,21.13,0.0
19,5.0,2.0,1526.0,2950.0,61.0,5142.0,0.0,43.05000000000018
20,5.0,2.0,1411.0,2946.0,63.0,5053.0,0.0,18.31999999999971
21,5.0,2.0,1404.0,2937.0,65.0,5047.0,8.899999999999636,0.0
22,5.0,2.0,1416.0,2947.0,66.0,5028.0,0.0,36.460000000000036
23,5.0,2.0,1452.0,2946.0,67.0,5004.0,0.0,74.82999999999993
24,5.0,2.0,1383.0,2945.0,68.0,4698.0,0.0,245.32999999999993
25,5.0,2.0,1238.0,2953.0,66.0,4357.0,0.0,409.52
26,5.0,2.0,1060.0,2944.0,63.0,4124.0,0.0,434.41999999999996
27,5.0,2.0,969.0,2950.0,62.0,3999.0,0.0,479.4700000000003
28,5.0,2.0,919.0,2949.0,64.0,3964.0,0.0,471.8799999999997
29,5.0,2.0,1016.0,2905.0,62.0,4051.0,0.0,415.7800000000002
30,5.0,2.0,1107.0,2919.0,63.0,4247.0,0.0,322.2800000000003
31,5.0,2.0,1466.0,2909.0,61.0,4573.0,0.0,278.4100000000001
32,5.0,2.0,1575.0,2937.0,62.0,4922.0,0.0,30.35999999999956
33,5.0,2.0,1658.0,2926.0,61.0,5112.0,38.01000000000033,0.0
34,5.0,2.0,1754.0,2917.0,61.0,5219.0,39.35000000000008,0.0
35,5.0,2.0,1847.0,2931.0,61.0,5233.0,0.5699999999995669,0.0
36,5.0,2.0,1613.0,2938.0,60.0,5172.0,223.0400000000002,0.0
37,5.0,2.0,1584.0,2942.0,61.0,5046.0,158.0000000000001,0.0
38,5.0,2.0,1529.0,2943.0,61.0,5072.0,203.57000000000008,0.0
39,5.0,2.0,1598.0,2924.0,61.0,5326.0,326.93000000000006,0.0
40,5.0,2.0,1635.0,2927.0,60.0,5470.0,387.34000000000003,0.0
41,5.0,2.0,1644.0,2923.0,62.0,5445.0,325.10000000000025,0.0
42,5.0,2.0,1614.0,2925.0,65.0,5429.0,335.4699999999999,0.0
43,5.0,2.0,1660.0,2939.0,67.0,5383.0,292.05000000000035,0.0
44,5.0,2.0,1384.0,2840.0,67.0,5279.0,362.4399999999999,0.0
45,5.0,2.0,1650.0,2601.0,66.0,5331.0,420.9399999999996,0.0
46,5.0,2.0,1900.0,2451.0,66.0,5324.0,346.9300000000003,0.0
47,5.0,2.0,1832.0,2455.0,64.0,5184.0,400.71000000000004,0.0
48,5.0,2.0,1549.0,2435.0,64.0,4772.0,350.71000000000004,0.0
49,5.0,2.0,1248.0,2439.0,64.0,4410.0,361.0,0.0
50,5.0,2.0,1026.0,2446.0,63.0,4130.0,349.6100000000001,0.0
51,5.0,2.0,956.0,2432.0,62.0,4023.0,269.28999999999996,0.0
52,5.0,2.0,1035.0,2445.0,62.0,4134.0,262.80999999999995,0.0
53,5.0,2.0,1347.0,2438.0,62.0,4506.0,268.3199999999997,0.0
54,5.0,2.0,1414.0,2583.0,62.0,4829.0,242.71000000000004,0.0
55,5.0,2.0,1481.0,2677.0,61.0,5109.0,359.22000000000025,0.0
56,5.0,2.0,1635.0,2761.0,61.0,5337.0,346.28999999999996,0.0
57,5.0,2.0,1930.0,2674.0,61.0,5383.0,334.6800000000003,0.0
58,5.0,2.0,1954.0,2627.0,62.0,5322.0,238.26000000000025,0.0
59,5.0,2.0,2009.0,2655.0,61.0,5271.0,221.9900000000004,0.0
60,5.0,2.0,1847.0,2779.0,61.0,5197.0,175.86000000000035,0.0
61,5.0,2.0,1727.0,2800.0,62.0,5073.0,183.3900000000003,0.0
62,5.0,2.0,1689.0,2909.0,61.0,5195.0,279.69,0.0
63,5.0,2.0,1953.0,2909.0,61.0,5553.0,367.9800000000003,0.0
64,5.0,2.0,1892.0,2992.0,62.0,5813.0,464.7199999999997,0.0
65,5.0,2.0,1809.0,3034.0,61.0,5746.0,458.7099999999996,0.0
66,5.0,2.0,1708.0,3084.0,65.0,5690.0,431.6200000000001,0.0
67,5.0,2.0,1589.0,3140.0,67.0,5606.0,406.26999999999987,0.0
68,5.0,2.0,1277.0,3160.0,67.0,5519.0,346.89999999999964,0.0
69,5.0,2.0,1292.0,3139.0,66.0,5509.0,305.9899999999998,0.0
70,5.0,2.0,1350.0,3098.0,66.0,5450.0,305.97999999999956,0.0
71,5.0,2.0,1334.0,3079.0,67.0,5328.0,327.25,0.0
72,5.0,2.0,1135.0,2964.0,64.0,4891.0,295.10000000000036,0.0
73,5.0,2.0,1140.0,2934.0,64.0,4497.0,29.630000000000223,0.0
74,5.0,2.0,870.0,2962.0,63.0,4202.0,0.0,46.0800000000004
75,5.0,2.0,599.0,3186.0,62.0,4122.0,0.0,121.68
76,5.0,2.0,517.0,3365.0,62.0,4235.0,0.0,165.43999999999997
77,5.0,2.0,869.0,3255.0,62.0,4548.0,0.0,52.560000000000144
78,5.0,2.0,1452.0,3165.0,62.0,4884.0,137.79000000000042,0.0
79,5.0,2.0,1685.0,3140.0,61.0,5169.0,206.32999999999976,0.0
80,5.0,2.0,1725.0,3146.0,61.0,5356.0,262.8299999999997,0.0
81,5.0,2.0,1733.0,3157.0,62.0,5410.0,249.68,0.0
82,5.0,2.0,1702.0,3147.0,61.0,5373.0,197.8800000000002,0.0
83,5.0,2.0,1652.0,3158.0,62.0,5287.0,189.1199999999996,0.0
84,5.0,2.0,1669.0,3156.0,63.0,5201.0,129.71999999999974,0.0
85,5.0,2.0,1633.0,3140.0,61.0,5089.0,129.8900000000001,0.0
86,5.0,2.0,1670.0,3154.0,63.0,5164.0,171.29000000000022,0.0
87,5.0,2.0,2050.0,3152.0,62.0,5611.0,270.72999999999956,0.0
88,5.0,2.0,2083.0,3146.0,61.0,5841.0,332.75999999999993,0.0
89,5.0,2.0,2045.0,3131.0,61.0,5804.0,340.70000000000005,0.0
90,5.0,2.0,1878.0,3117.0,61.0,5771.0,355.20999999999964,0.0
91,5.0,2.0,1536.0,3117.0,62.0,5673.0,390.97999999999956,0.0
92,5.0,2.0,1680.0,3117.0,23.0,5575.0,133.40999999999985,0.0
93,5.0,2.0,1652.0,3127.0,16.0,5545.0,128.6900000000005,0.0
94,5.0,2.0,1663.0,3106.0,16.0,5452.0,52.57999999999993,0.0
95,5.0,2.0,1566.0,3168.0,16.0,5319.0,113.89999999999964,0.0
96,5.0,2.0,1268.0,3139.0,16.0,4867.0,61.20000000000026,0.0
97,5.0,2.0,1245.0,3108.0,16.0,4476.0,0.0,251.79
98,5.0,2.0,1039.0,3103.0,16.0,4225.0,0.0,306.99000000000046
99,5.0,2.0,947.0,3138.0,16.0,4136.0,0.0,339.88
100,5.0,2.0,1000.0,3155.0,16.0,4212.0,0.0,333.24
101,5.0,2.0,1068.0,3144.0,16.0,4514.0,118.63999999999993,0.0
102,5.0,2.0,1657.0,3245.0,16.0,4885.0,160.1799999999996,0.0
103,5.0,2.0,1779.0,3349.0,16.0,5199.0,144.80000000000018,0.0
104,5.0,2.0,1889.0,3357.0,16.0,5349.0,113.36000000000007,0.0
105,5.0,2.0,1942.0,3333.0,16.0,5395.0,97.18,0.0
106,5.0,2.0,2021.0,3270.0,16.0,5316.0,4.069999999999851,0.0
107,5.0,2.0,1815.0,3337.0,16.0,5242.0,33.08000000000001,0.0
108,5.0,2.0,1852.0,3336.0,16.0,5241.0,10.970000000000397,0.0
109,5.0,2.0,1789.0,3325.0,16.0,5114.0,18.30000000000001,0.0
110,5.0,2.0,1853.0,3358.0,16.0,5192.0,16.430000000000405,0.0
111,5.0,2.0,2219.0,3404.0,16.0,5616.0,41.510000000000105,0.0
112,5.0,2.0,2439.0,3381.0,16.0,5901.0,6.64999999999975,0.0
113,5.0,2.0,2509.0,3416.0,16.0,5920.0,0.0,65.16000000000025
114,5.0,2.0,2530.0,3339.0,16.0,5829.0,0.0,77.01000000000039
115,5.0,2.0,2133.0,3318.0,16.0,5717.0,81.14999999999992,0.0
116,5.0,2.0,1729.0,3247.0,16.0,5606.0,129.63999999999956,0.0
117,5.0,2.0,1523.0,3147.0,16.0,5535.0,125.60000000000036,0.0
118,5.0,2.0,1476.0,3134.0,16.0,5424.0,48.39000000000033,0.0
119,5.0,2.0,1230.0,3113.0,16.0,5166.0,93.27000000000044,0.0
120,5.0,2.0,1111.0,3127.0,16.0,4779.0,0.0,145.8800000000001
121,5.0,2.0,1026.0,3113.0,16.0,4383.0,0.0,449.7799999999998
122,5.0,2.0,925.0,3115.0,16.0,4104.0,0.0,644.9699999999999
123,5.0,2.0,820.0,3124.0,16.0,3992.0,0.0,654.9999999999998
124,5.0,2.0,861.0,3135.0,16.0,4039.0,0.0,602.8000000000002
125,5.0,2.0,1332.0,3140.0,16.0,4269.0,0.0,545.0000000000001
126,5.0,2.0,1640.0,3115.0,16.0,4507.0,0.0,312.72999999999996
127,5.0,2.0,1658.0,3129.0,16.0,4884.0,1.0799999999999699,0.0
128,5.0,2.0,1872.0,3133.0,16.0,5167.0,61.98000000000022,0.0
129,5.0,2.0,1920.0,3151.0,16.0,5280.0,59.41000000000014,0.0
130,5.0,2.0,1946.0,3166.0,16.0,5339.0,11.900000000000034,0.0
131,5.0,2.0,1906.0,3220.0,16.0,5313.0,0.0,32.91999999999956
132,5.0,2.0,1836.0,3256.0,16.0,5254.0,0.0,44.459999999999965
133,5.0,2.0,1731.0,3270.0,16.0,5116.0,0.0,46.479999999999905
134,5.0,2.0,1682.0,3295.0,16.0,5171.0,7.070000000000277,0.0
135,5.0,2.0,1855.0,3301.0,16.0,5553.0,115.4800000000003,0.0
136,5.0,2.0,1970.0,3305.0,16.0,5762.0,137.20000000000033,0.0
137,5.0,2.0,1858.0,3307.0,16.0,5592.0,144.34000000000037,0.0
138,5.0,2.0,1794.0,3327.0,16.0,5470.0,33.97999999999968,0.0
139,5.0,2.0,1808.0,3315.0,16.0,5373.0,0.0,26.05999999999966
140,5.0,2.0,1687.0,3256.0,16.0,5282.0,28.54000000000019,0.0
141,5.0,2.0,1573.0,3152.0,16.0,5241.0,45.809999999999924,0.0
142,5.0,2.0,1390.0,3134.0,16.0,5117.0,0.0,5.5200000000003975
143,5.0,2.0,1171.0,3147.0,16.0,4994.0,0.0,64.43
