,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
0,347.22,13168.56,50.34,731.07,16763.59,13.120000000002335,0.0
1,347.05,12260.08,49.91,707.73,16509.32,1.0300000000024738,0.0
2,346.74,10998.94,49.67,680.36,16109.38,0.0,24.840000000001965
3,346.94,11012.34,49.55,674.14,16152.19,0.0,0.41999999999825377
4,347.6,11119.82,49.37,641.33,16205.08,0.0,9.130000000001019
5,347.04,11601.18,49.3,631.08,16567.06,2.8800000000010186,0.0
6,346.87,12257.43,49.22,623.56,16867.07,9.459999999999582,0.0
7,348.42,11846.25,48.95,597.29,17174.59,0.0,2.040000000000873
8,347.68,12104.13,48.72,529.42,17420.86,2.150000000001455,0.0
9,350.45,13061.64,48.58,490.7,17805.06,6.840000000001879,0.0
10,349.39,13600.63,48.59,465.0,18102.72,0.0,0.6799999999965394
11,349.7,13862.28,48.62,433.91,18276.84,0.0,7.800000000001319
12,350.17,13849.02,48.69,416.42,18408.5,0.0,3.6000000000018417
13,349.12,14110.82,48.8,421.6,18453.96,0.0,4.530000000002929
14,348.35,15099.47,48.93,401.83,18638.7,0.0,11.919999999999618
15,348.08,15918.65,49.01,386.8,18820.84,0.0,12.949999999998795
16,350.21,16706.8,48.91,370.57,18723.54,0.0,20.74999999999875
17,350.17,16471.23,48.76,350.2,18550.57,0.0,16.109999999998763
18,349.78,15640.36,48.65,336.85,18317.51,0.0,18.97000000000355
19,349.3,14881.58,48.45,310.67,18121.33,0.0,16.0599999999979
20,350.14,14370.2,48.41,291.92,17774.47,0.0,13.77999999999895
21,350.44,13123.42,48.29,278.06,17197.57,12.48999999999927,0.0
22,349.43,11890.24,48.28,266.35,16690.5,0.0,6.9700000000014555
23,350.09,10906.08,49.84,340.86,16194.89,0.0,22.070000000001528
24,352.03,10319.65,49.88,299.32,15898.64,0.0,22.860000000000582
25,352.11,10635.78,49.76,285.24,15813.55,1.9799999999977445,0.0
26,352.55,10703.91,49.74,305.22,15908.76,0.0,11.339999999998327
27,352.19,11862.15,49.62,294.79,16108.94,0.0,17.01000000000022
28,351.24,13868.33,49.59,297.05,16493.46,0.0,38.290000000001314
29,353.1,16698.16,53.39,287.27,17890.43,62.53000000000145,0.0
30,352.67,21334.02,58.26,241.95,19450.94,9.510000000001128,0.0
31,352.83,22970.27,67.13,212.28,19978.17,0.0,133.38000000000375
32,347.03,23477.19,70.83,170.03,20046.1,0.0,109.78999999999905
33,352.43,24132.1,72.55,162.41,20385.31,0.0,103.24999999999636
34,354.04,24361.31,72.5,177.88,20416.54,0.0,122.26000000000204
35,355.86,24605.57,72.44,120.17,20479.19,0.0,100.34999999999854
36,373.54,24618.86,72.27,115.66,20463.04,0.0,123.64000000000124
37,372.52,24648.1,72.18,100.41,20147.24,0.0,144.46999999999753
