,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7820,4867.0,10734.0,16360.0,2281.0,15880.0,9355.0,1431.0,131.0,0.0,2045.0,4522.0,65808.4286,3647.7385999999997,0.0
7821,4844.0,9874.0,15857.0,1534.0,15854.0,9363.0,1437.0,131.0,0.0,1826.0,4299.0,62756.5102,2509.9601999999913,0.0
7822,4835.0,8777.0,15172.0,1358.0,15899.0,9354.0,1434.0,131.0,0.0,1758.0,4128.0,58637.3673,0.0,296.9227000000028
7823,4821.0,9092.0,15083.0,1395.0,15889.0,9345.0,1433.0,131.0,0.0,1634.0,3849.0,55835.3776,0.0,1001.7824
7824,4809.0,9012.0,14932.0,1420.0,15915.0,9352.0,1438.0,131.0,0.0,1541.0,3640.0,54018.9388,0.0,1650.511199999999
7825,4806.0,9074.0,14862.0,1424.0,15918.0,9353.0,1426.0,131.0,0.0,1372.0,3463.0,53198.551,0.0,1824.3990000000013
7826,4803.0,9069.0,14553.0,1425.0,15892.0,9349.0,1440.0,131.0,0.0,1359.0,3176.0,53395.9898,0.0,2066.320199999993
7827,4800.0,9148.0,15042.0,1427.0,15859.0,9341.0,1432.0,131.0,0.0,1349.0,2910.0,54805.7347,0.0,1242.7852999999968
7828,4802.0,9805.0,15733.0,1440.0,15797.0,9341.0,1447.0,131.0,0.0,1191.0,2815.0,58144.9286,368.8285999999989,0.0
7829,4809.0,11356.0,16416.0,1980.0,15857.0,9345.0,1453.0,131.0,0.0,1036.0,2808.0,65561.3776,2401.6576000000077,0.0
7830,4811.0,12691.0,16661.0,2865.0,16010.0,9354.0,1452.0,131.0,15.0,888.0,2924.0,71852.6224,3915.18239999999,0.0
7831,4838.0,12712.0,16834.0,4412.0,16080.0,9364.0,1455.0,131.0,654.0,814.0,3060.0,73801.5918,3874.5217999999877,0.0
7832,4843.0,12757.0,16870.0,4864.0,16129.0,9363.0,1455.0,131.0,2302.0,762.0,2988.0,73643.4286,3953.7485999999963,0.0
7833,4849.0,12958.0,16890.0,3525.0,16123.0,9367.0,1452.0,131.0,4395.0,739.0,2602.0,73671.1633,3906.7832999999946,0.0
7834,4852.0,12890.0,16868.0,3394.0,16125.0,9369.0,1455.0,131.0,6042.0,652.0,1998.0,73735.0816,3807.0816000000023,0.0
7835,4846.0,12826.0,16750.0,3170.0,16181.0,9355.0,1455.0,131.0,6598.0,586.0,1596.0,72881.7449,3597.1349000000037,0.0
7836,4846.0,12811.0,16747.0,3184.0,16248.0,9358.0,1453.0,131.0,5621.0,415.0,1502.0,71728.5204,3373.3103999999976,0.0
7837,4850.0,12642.0,16760.0,3223.0,16234.0,9359.0,1453.0,131.0,3388.0,321.0,1634.0,70321.3673,3360.887300000002,0.0
7838,4866.0,12564.0,16896.0,3474.0,16266.0,9362.0,1447.0,131.0,945.0,313.0,2089.0,69935.6939,3900.7638999999945,0.0
7839,4868.0,12506.0,16935.0,3957.0,16266.0,9360.0,1439.0,131.0,25.0,354.0,3120.0,71480.9592,4293.169199999992,0.0
7840,4868.0,12376.0,16967.0,5922.0,16255.0,9358.0,1432.0,131.0,0.0,411.0,4078.0,73484.5918,4056.1617999999908,0.0
7841,4886.0,12390.0,16945.0,4678.0,16248.0,9351.0,1429.0,131.0,0.0,403.0,4730.0,72299.8061,4158.426099999999,0.0
7842,4895.0,11887.0,16790.0,2976.0,16097.0,9357.0,1417.0,131.0,0.0,409.0,5182.0,70056.2347,4141.194699999994,0.0
7843,4890.0,11277.0,16505.0,1677.0,15817.0,9369.0,1413.0,131.0,0.0,347.0,5466.0,66368.2143,3940.614300000001,0.0
7844,4878.0,10638.0,15941.0,1505.0,15414.0,9374.0,1423.0,131.0,0.0,303.0,5373.0,63047.1531,3801.113099999996,0.0
7845,4845.0,9639.0,14837.0,1526.0,15372.0,9374.0,1428.0,131.0,0.0,209.0,5261.0,60681.8163,3200.9862999999987,0.0
