,hydro,nuclear,solar,wind_onshore,demand,s_l,s_r
86,1137.78,2793.4,1.28,3.14,7846.0,1108.8099999999995,0.0
87,1159.71,2793.6,0.11,3.41,8052.0,1202.0400000000009,0.0
88,1437.51,2794.6,0.01,3.08,8171.0,1488.5699999999997,0.0
89,1504.41,2795.1,0.02,2.64,8122.0,1711.2099999999991,0.0
90,1411.0,2794.7,0.02,3.55,7809.0,1521.2299999999996,0.0
91,717.71,2796.5,0.02,2.88,7392.0,999.0799999999999,0.0
92,689.15,2794.2,0.02,2.4,7228.0,967.9200000000001,0.0
93,587.58,2796.8,0.02,2.66,7494.0,1115.8899999999994,0.0
94,458.46,2798.1,0.02,2.71,7715.0,1136.4900000000016,0.0
95,614.1,2801.8,0.29,23.3,7274.0,1087.8999999999996,0.0
96,430.11,2805.9,0.29,20.84,7424.0,1112.7199999999993,0.0
97,454.0,2805.9,0.29,20.55,7283.0,1125.3899999999994,0.0
98,429.51,2806.0,0.28,20.48,7408.0,1189.4300000000003,0.0
99,446.33,2807.3,0.27,19.95,7311.0,1141.2099999999991,0.0
100,472.9,2805.8,0.22,20.2,7511.0,1048.630000000001,0.0
101,807.5,2805.8,0.24,23.21,6855.0,943.2900000000009,0.0
102,1240.28,2806.1,0.24,24.28,7158.0,1199.6499999999996,0.0
103,1484.49,2808.4,3.42,24.63,7550.0,1543.25,0.0
104,1167.21,2810.9,24.85,24.84,7652.0,1639.630000000001,0.0
105,1083.36,2811.4,50.02,23.67,7672.0,1498.3099999999995,0.0
106,1706.43,2806.8,53.85,24.75,7718.0,1820.7099999999991,0.0
107,1252.86,2805.8,44.1,23.55,7737.0,1543.8899999999994,0.0
108,1138.51,2802.7,25.24,25.8,7621.0,1339.08,0.0
109,1620.46,2800.3,18.56,24.82,7504.0,1526.58,0.0
110,1591.81,2801.8,11.48,23.22,7377.0,1409.5200000000004,0.0
111,1867.29,2804.0,2.54,23.06,7456.0,1545.1499999999996,0.0
112,2745.55,2808.3,0.28,20.43,7875.0,2167.9799999999996,0.0
113,3174.81,2809.6,0.28,16.38,7931.0,2380.41,0.0
114,2483.19,2812.5,0.28,11.89,7813.0,2253.879999999999,0.0
115,1126.98,2808.6,0.26,5.97,7417.0,1469.6900000000005,0.0
116,881.71,2811.5,0.27,5.14,7175.0,1209.4900000000016,0.0
117,805.31,2812.7,0.27,3.25,7121.0,1224.7200000000012,0.0
118,718.48,2812.9,0.27,3.0,7048.0,1341.4699999999993,0.0
119,604.0,2813.2,0.22,3.0,7364.0,1360.300000000001,0.0
120,544.13,2816.9,0.17,2.95,7288.0,1417.7199999999993,0.0
121,564.3,2816.1,0.17,2.28,7150.0,1332.1800000000003,0.0
122,572.78,2645.4,0.17,2.58,7031.0,1532.1799999999994,0.0
123,532.28,2711.0,0.17,2.66,6890.0,1457.1099999999997,0.0
124,563.98,2815.3,0.17,2.97,7015.0,1262.880000000001,0.0
125,608.31,2815.1,0.17,4.11,7040.0,1343.3099999999995,0.0
126,615.75,2815.1,0.17,5.32,7048.0,1269.4400000000005,0.0
127,623.73,2816.7,2.19,9.46,7020.0,1313.0200000000004,0.0
128,710.38,2815.8,15.43,10.55,6943.0,1533.1499999999996,0.0
129,666.41,2815.3,33.93,12.11,6886.0,1749.71,0.0
130,718.71,2814.3,47.71,9.28,6943.0,1814.98,0.0
131,726.96,2813.8,52.37,9.41,7020.0,1830.0800000000002,0.0
132,768.93,2813.9,47.93,7.88,6986.0,1825.1800000000003,0.0
133,724.11,2812.8,33.19,5.34,6860.0,1668.8599999999997,0.0
134,750.65,2812.6,14.27,4.04,6851.0,1555.6800000000003,0.0
135,708.51,2814.2,1.98,2.87,6974.0,1587.0100000000002,0.0
136,796.45,2813.8,0.28,3.17,7247.0,1379.1599999999999,0.0
137,1383.79,2812.8,0.29,4.71,7309.0,1808.3199999999997,0.0
138,772.88,2815.1,0.29,7.09,7110.0,1336.7600000000002,0.0
139,889.18,2814.6,0.29,7.48,6793.0,1244.6000000000004,0.0
140,721.91,2813.4,0.29,8.37,6581.0,1260.4900000000016,0.0
141,788.53,2814.4,0.28,9.23,6632.0,1218.0999999999985,0.0
142,625.96,2817.9,0.28,9.36,6832.0,1246.039999999999,0.0
143,595.46,2817.5,0.01,7.39,7063.0,1336.4300000000003,0.0
144,599.91,2815.4,0.02,6.21,7276.0,1364.6500000000005,0.0
145,556.34,2815.4,0.02,6.8,7230.0,1377.0600000000004,0.0
146,555.03,2816.0,0.02,10.23,7110.0,1481.62,0.0
147,548.13,2813.7,0.02,12.0,6986.0,1362.4400000000005,0.0
148,632.43,2815.5,0.01,13.62,6820.0,1204.880000000001,0.0
149,594.05,2815.9,0.02,14.99,6800.0,1035.4700000000012,0.0
150,566.41,2814.8,0.01,13.59,6774.0,1031.739999999998,0.0
151,612.61,2816.4,0.93,14.17,6793.0,1037.5499999999993,0.0
152,777.06,2817.1,7.29,16.86,7074.0,1171.8800000000006,0.0
153,611.34,2816.2,14.46,14.12,7429.0,1304.4899999999998,0.0
154,665.96,2816.5,20.58,13.34,7483.0,1345.12,0.0
155,625.63,2813.7,22.76,15.54,7452.0,1321.9900000000002,0.0
156,674.31,2812.9,18.18,14.65,7606.0,1310.32,0.0
157,608.58,2557.0,15.43,9.61,7499.0,1499.3300000000008,0.0
158,580.73,2813.9,9.07,7.01,7363.0,1158.5799999999997,0.0
159,612.15,2815.4,1.84,7.05,7365.0,1111.449999999999,0.0
160,783.19,2814.8,0.01,7.8,7312.0,1156.75,0.0
161,1134.8,2815.4,0.02,6.41,7270.0,1368.4300000000003,0.0
162,1148.58,2816.6,0.01,9.56,7127.0,1397.3899999999994,0.0
163,1054.5,2818.5,0.02,10.77,6794.0,1106.1399999999994,0.0
164,823.68,2819.4,0.01,7.11,6555.0,1092.8999999999996,0.0
165,837.48,2821.4,0.01,5.4,6500.0,953.7999999999993,0.0
166,685.83,2821.6,0.01,6.42,6806.0,1112.869999999999,0.0
167,554.88,2823.0,0.28,10.3,6880.0,1158.119999999999,0.0
168,616.31,2823.1,0.29,10.2,7001.0,1379.71,0.0
169,512.56,2822.4,0.27,10.58,7257.0,1411.9899999999998,0.0
170,449.38,2822.8,0.28,11.86,7141.0,1367.4499999999998,0.0
171,438.08,2821.1,0.28,8.66,7182.0,1149.3400000000001,0.0
172,575.66,2821.8,0.28,12.23,7149.0,1020.7099999999991,0.0
173,1360.38,2479.8,0.28,10.93,7473.0,1391.3199999999997,0.0
174,3143.83,2630.0,0.27,13.25,7960.0,1952.0200000000004,0.0
175,2980.81,2816.9,3.66,11.7,8388.0,2141.709999999999,0.0
176,2736.83,2817.6,17.45,8.25,8421.0,2324.91,0.0
177,2255.98,2815.0,37.36,12.99,8479.0,1970.8600000000006,0.0
178,2712.26,2815.5,51.79,13.1,8547.0,2023.7399999999998,0.0
179,2375.21,2813.5,65.54,11.21,8189.0,1868.3199999999997,0.0
180,2174.26,2810.9,63.47,11.27,8131.0,1864.9099999999999,0.0
181,1471.6,2812.0,41.12,10.7,8040.0,1397.9599999999991,0.0
