,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
6966,9.65,31.26,484.39,840.0,683.16,9.5,9.97,0.53,1967.0,62.460000000000036,0.0
6967,9.42,28.16,505.23,833.78,682.95,11.93,30.54,0.5,1912.0,15.830000000000268,0.0
6968,9.17,26.71,474.64,838.26,682.71,12.03,54.09,0.76,1834.0,0.0,192.38000000000022
6969,9.36,25.21,190.57,827.56,682.92,12.52,75.85,0.48,1850.0,0.0,91.7299999999999
6970,9.42,24.2,209.94,840.11,682.9,13.81,92.26,0.3,1853.0,0.0,55.379999999999995
6971,9.4,22.65,187.12,832.08,682.72,11.29,93.16,0.56,1855.0,172.0,0.0
6972,9.95,20.6,249.61,839.49,682.41,12.24,78.4,0.51,1859.0,179.49,0.0
6973,9.84,19.81,242.69,842.53,682.07,12.73,59.85,0.47,1812.0,95.38000000000011,0.0
6974,9.58,18.81,177.66,828.23,682.44,14.13,32.1,0.52,1788.0,206.1400000000001,0.0
6975,9.98,19.37,425.34,839.02,682.75,9.17,7.35,0.6,1760.0,0.0,122.19999999999982
6976,9.79,21.22,561.73,850.63,682.48,13.79,0.24,0.05,1875.0,0.0,207.08999999999958
6977,9.24,26.31,632.39,854.24,682.56,13.84,0.03,0.13,1971.0,0.0,165.91000000000008
6978,9.2,27.58,418.3,842.08,682.57,13.86,0.03,0.23,1841.0,117.73000000000025,0.0
6979,9.08,40.56,295.07,822.56,682.4,5.82,0.02,0.23,1727.0,90.11999999999989,0.0
6980,8.83,31.28,123.12,796.93,683.58,13.97,0.03,0.41,1580.0,259.71000000000004,0.0
6981,8.93,29.27,69.55,695.7,682.94,15.63,0.02,0.36,1505.0,529.9299999999998,0.0
6982,8.59,23.98,50.98,727.2,682.93,10.8,0.02,1.24,1402.0,537.8900000000001,0.0
6983,8.39,22.42,49.12,665.96,683.03,11.75,0.02,1.36,1319.0,628.1800000000001,0.0
6984,8.39,25.1,49.2,644.96,683.08,11.61,0.02,1.14,1298.0,603.73,0.0
6985,8.39,28.43,49.17,640.63,683.51,12.59,0.02,1.21,1310.0,473.68999999999994,0.0
6986,8.39,30.58,49.99,673.16,683.78,12.55,0.02,1.34,1336.0,105.43000000000012,0.0
6987,8.39,37.54,49.1,755.28,683.63,14.03,0.02,1.44,1430.0,0.0,99.35000000000014
6988,8.39,37.84,208.64,816.44,683.49,11.19,0.02,1.39,1717.0,107.33999999999969,0.0
6989,8.66,35.51,420.37,847.79,683.3,9.19,0.97,1.24,1951.0,122.3599999999999,0.0
6990,9.08,32.39,532.82,841.83,683.52,8.54,14.1,1.25,1957.0,41.2199999999998,0.0
6991,8.95,29.68,529.18,838.61,683.54,11.72,41.68,0.88,1910.0,0.0,127.00999999999999
6992,8.68,28.76,291.08,829.87,683.24,12.03,64.61,1.21,1829.0,65.84000000000003,0.0
6993,9.02,26.83,296.4,829.26,682.92,14.01,92.56,0.95,1835.0,0.0,341.8499999999998
6994,9.01,25.84,202.54,825.53,682.78,14.0,105.43,0.86,1825.0,0.0,258.1700000000002
6995,9.09,25.21,196.96,812.68,682.99,11.95,107.34,0.62,1838.0,0.0,77.57
6996,9.33,21.68,184.84,820.47,682.89,12.5,95.76,0.38,1767.0,0.0,16.320000000000277
6997,9.75,22.77,195.02,831.92,682.83,12.88,72.52,0.65,1732.0,46.91999999999973,0.0
6998,9.21,22.07,309.41,837.44,682.6,14.27,38.64,0.43,1706.0,0.0,7.650000000000318
6999,9.56,21.34,571.93,829.92,682.56,9.14,9.26,0.5,1723.0,0.0,377.8700000000001
7000,9.3,20.94,635.77,835.73,683.03,13.98,0.44,0.92,1860.0,0.0,318.43999999999994
7001,8.99,25.41,693.49,834.34,683.14,13.87,0.04,0.79,1909.0,0.0,358.5499999999997
7002,8.9,26.69,388.57,796.08,683.2,13.98,0.04,0.51,1820.0,161.22000000000003,0.0
7003,9.05,31.2,219.87,791.1,683.15,5.78,0.03,0.83,1680.0,241.65000000000032,0.0
7004,8.52,28.24,133.07,789.9,683.14,14.03,0.03,0.75,1547.0,396.5800000000004,0.0
7005,8.39,26.12,97.46,721.54,683.36,15.88,0.04,0.74,1439.0,293.28,0.0
7006,8.55,23.63,51.64,643.16,683.76,12.41,0.03,1.54,1323.0,351.05999999999995,0.0
7007,8.55,22.56,52.49,639.66,683.86,12.5,0.03,1.59,1265.0,467.7900000000002,0.0
7008,8.55,24.92,52.58,630.48,683.97,11.93,0.03,2.05,1244.0,401.96000000000004,0.0
7009,8.55,28.98,52.89,620.66,683.89,12.93,0.03,1.57,1252.0,342.58000000000015,0.0
7010,8.55,30.22,52.57,637.79,683.78,13.0,0.03,1.47,1280.0,265.0100000000001,0.0
7011,8.55,41.84,52.75,671.71,684.13,14.67,0.04,2.02,1320.0,231.16999999999985,0.0
7012,8.55,38.27,54.3,752.86,684.28,12.13,0.03,1.89,1452.0,247.02999999999986,0.0
7013,8.64,36.02,172.94,837.04,684.45,11.91,0.71,1.76,1594.0,0.0,10.38000000000011
7014,9.15,32.01,392.21,850.55,684.31,9.24,10.0,2.11,1707.0,0.0,217.22000000000003
7015,9.15,30.05,431.88,842.31,684.25,12.2,29.1,2.01,1684.0,0.0,540.8799999999997
7016,8.59,29.02,319.41,834.79,684.35,12.78,52.56,2.08,1704.0,0.0,356.82999999999964
7017,8.88,27.0,337.95,831.04,684.21,13.77,74.22,2.2,1701.0,0.0,380.5700000000001
7018,8.91,27.31,211.46,798.78,683.9,14.2,87.88,1.98,1659.0,0.0,181.26
7019,9.14,26.33,130.49,759.52,683.83,12.28,87.79,1.69,1598.0,0.0,73.80999999999983
7020,9.29,22.54,144.91,753.7,683.49,11.99,77.59,0.42,1542.0,0.0,11.45000000000016
7021,9.55,23.48,131.65,722.89,683.86,12.66,57.52,1.51,1481.0,0.0,77.92999999999972
7022,9.2,21.2,168.52,722.24,683.78,13.81,30.05,0.47,1474.0,0.0,97.3900000000001
7023,9.54,20.65,458.53,783.84,684.14,9.37,7.3,0.58,1477.0,0.0,439.0099999999995
7024,9.3,21.84,726.79,848.81,683.38,14.33,0.38,3.38,1624.0,0.0,533.5300000000002
7025,8.99,26.26,757.89,844.51,683.54,14.25,0.04,3.27,1688.0,0.0,349.5100000000001
7026,8.82,27.98,661.66,842.98,683.87,14.26,0.04,1.66,1619.0,0.0,150.16000000000008
7027,9.03,38.94,552.75,745.3,683.78,6.02,0.03,1.22,1515.0,0.0,56.98999999999978
7028,8.6,36.9,250.9,679.85,683.71,14.87,0.03,1.19,1432.0,361.66999999999985,0.0
7029,8.59,35.16,200.01,553.93,683.79,16.13,0.04,1.03,1282.0,134.9799999999998,0.0
7030,3.02,27.96,74.39,377.94,662.61,11.63,0.03,0.56,1243.0,479.1999999999998,0.0
