,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,demand,s_l,s_r
8312,827.79,946.58,1251.0,1804.5,2794.0,1229.84,43.8,587.89,12204.76,1039.090000000002,0.0
8313,817.42,945.84,1301.9,1602.0,2795.4,1208.93,43.8,624.96,12218.36,1484.7299999999996,0.0
8314,830.41,896.78,1311.0,1518.7,2796.1,1210.45,43.8,629.89,12211.41,1614.3900000000012,0.0
8315,827.21,934.77,1312.9,1705.1,2797.6,1207.31,43.55,632.85,12182.35,1051.340000000002,0.0
8316,839.06,960.68,1317.6,1603.1,2796.3,1213.16,31.53,646.16,12279.81,1048.3500000000004,0.0
8317,859.33,1001.3,1311.8,1661.4,2796.0,1206.3,44.1,653.36,12476.01,1016.5300000000007,0.0
8318,889.22,1037.8,1312.2,1799.3,2796.2,1191.72,41.39,640.53,12543.32,978.9399999999987,0.0
8319,878.65,1004.3,1322.0,1802.2,2796.5,1204.32,43.9,595.91,12473.63,999.25,0.0
8320,879.72,990.48,1315.2,1784.4,2795.7,1199.82,43.9,529.42,12384.03,1020.4800000000014,0.0
8321,892.9,924.4,1309.6,1640.8,2795.3,1198.24,42.06,515.43,12434.73,999.1100000000006,0.0
8322,893.31,938.8,1312.3,1488.3,2796.0,1164.71,42.48,503.17,12225.8,1416.5100000000002,0.0
8323,911.1,933.17,1279.1,1399.3,2796.5,1106.06,43.5,507.99,11737.58,1825.3700000000008,0.0
8324,904.84,925.09,1248.8,1284.1,2796.8,1096.11,43.5,540.68,11832.71,2056.619999999999,0.0
8325,891.4,922.96,1226.8,1162.0,2796.7,1084.11,43.5,521.55,11499.55,2018.0600000000013,0.0
8326,896.73,926.1,1206.5,978.22,2796.0,1077.42,43.5,460.88,11009.39,2165.2299999999996,0.0
8327,901.86,914.01,1163.2,911.39,2797.1,1033.16,43.5,435.71,10717.45,2044.050000000003,0.0
8328,858.2,918.18,1153.1,877.54,2796.7,1018.53,43.5,471.77,10558.89,1993.880000000001,0.0
8329,860.05,914.54,1121.5,784.48,2795.7,1014.37,43.5,495.36,10503.23,1979.6800000000003,0.0
8330,860.95,922.28,1121.7,862.87,2795.1,1016.65,43.5,551.86,10578.49,2055.51,0.0
8331,877.21,935.43,1148.2,925.31,2795.0,1027.18,43.5,568.85,11076.21,2091.999999999998,0.0
8332,915.46,950.12,1262.5,1209.5,2795.8,1094.11,42.64,504.93,11955.16,1639.380000000001,0.0
8333,920.21,1003.1,1309.8,1540.0,2796.2,1189.71,41.4,466.88,12540.29,1109.7300000000014,0.0
8334,929.04,996.66,1327.0,1884.5,2795.4,1208.27,41.4,420.84,12867.58,1076.6799999999985,0.0
8335,936.08,1008.3,1322.9,2013.4,2794.5,1230.14,41.4,465.47,12628.16,1077.4500000000007,0.0
8336,914.7,1007.6,1319.2,1933.3,2794.2,1239.76,41.96,471.33,12535.77,1302.8300000000017,0.0
8337,911.77,1003.2,1319.9,1774.1,2795.0,1241.63,42.3,460.69,12551.14,1662.9900000000016,0.0
8338,926.05,989.68,1322.9,1707.0,2795.2,1243.43,42.3,436.09,12536.96,1684.7199999999993,0.0
8339,912.78,861.77,1322.1,1696.3,2795.9,1256.3,42.3,375.68,12482.65,1443.6000000000004,0.0
8340,923.66,606.59,1318.9,1714.7,2796.0,1260.33,42.3,352.72,12523.19,1330.8300000000017,0.0
8341,927.11,729.79,1325.0,1695.9,2795.4,1276.03,42.3,382.97,12790.71,1224.3199999999997,0.0
8342,928.33,717.55,1327.7,1862.1,2796.0,1285.59,42.86,410.32,12867.84,1363.2799999999988,0.0
8343,921.96,727.25,1326.8,1930.1,2796.3,1284.22,44.6,348.45,12812.66,1360.8499999999985,0.0
8344,931.05,938.51,1330.9,1922.8,2795.8,1293.79,44.6,309.19,12759.12,1191.369999999999,0.0
8345,942.89,991.71,1332.0,1749.3,2796.3,1287.86,44.6,300.96,12713.55,967.75,0.0
8346,931.22,1009.5,1321.5,1625.7,2796.1,1264.41,44.38,266.26,12513.8,1293.4399999999987,0.0
8347,916.7,974.45,1314.7,1375.2,2796.2,1222.09,44.1,287.12,11998.0,1486.3999999999978,0.0
8348,913.94,950.85,1312.3,1321.0,2796.5,1158.26,44.1,306.62,12015.06,1675.1299999999974,0.0
8349,904.88,951.53,1281.3,1152.9,2795.1,1144.32,41.32,339.52,11751.32,1955.8399999999983,0.0
8350,908.4,950.76,1242.1,1014.0,2796.2,1118.38,44.7,355.53,11229.02,2019.6200000000008,0.0
8351,916.26,954.72,1177.6,787.81,2795.8,1037.99,42.78,353.23,10925.2,1924.5200000000004,0.0
8352,912.54,973.42,1080.3,782.04,2796.5,938.57,42.5,361.68,10748.75,2246.2999999999993,0.0
8353,923.24,989.82,953.41,807.09,2796.5,809.45,42.5,334.47,10647.41,2327.3999999999996,0.0
8354,913.98,963.08,951.81,793.86,2795.9,802.72,42.5,323.12,10648.08,2350.7199999999993,0.0
8355,915.37,933.03,955.52,894.22,2796.2,807.37,42.5,373.3,10801.03,2198.6499999999996,0.0
8356,907.63,918.69,959.1,1020.3,2796.6,809.48,42.5,353.43,11067.61,2203.670000000002,0.0
8357,902.38,940.57,971.09,1096.1,2795.9,818.01,42.5,357.04,11274.96,2099.379999999999,0.0
8358,903.81,954.05,974.54,1303.9,2797.2,830.38,42.5,360.65,11607.25,2094.2000000000007,0.0
8359,905.7,997.57,1003.8,1429.1,2796.5,844.71,42.5,332.03,11717.86,1605.710000000001,0.0
8360,901.22,989.65,1017.4,1542.0,2795.4,845.1,42.5,363.28,11844.75,1459.4599999999991,0.0
8361,901.84,1012.0,1014.7,1633.7,2795.6,838.93,42.5,345.83,11873.77,1451.6100000000006,0.0
8362,905.39,1004.6,1009.8,1613.1,2795.8,833.25,42.5,328.78,11873.57,1504.9099999999999,0.0
8363,905.28,985.74,1013.2,1619.7,2795.8,830.87,42.5,311.69,11873.39,1446.409999999998,0.0
8364,905.03,966.91,1014.5,1539.1,2795.7,825.67,42.5,325.88,11879.81,1432.630000000001,0.0
8365,896.25,965.11,1016.8,1466.6,2795.9,827.49,42.5,339.03,12250.26,1468.6599999999999,0.0
8366,895.25,985.41,1016.3,1573.3,2796.2,832.88,42.5,342.05,12502.68,1415.3199999999997,0.0
8367,892.92,977.65,1004.5,1539.1,2796.1,832.9,42.5,345.29,12633.93,1541.619999999999,0.0
8368,888.63,959.41,1002.4,1523.7,2796.2,835.9,42.5,346.87,12646.37,1584.1200000000008,0.0
8369,893.5,970.76,1005.2,1398.2,2795.2,835.95,42.5,331.62,12516.89,1653.0299999999988,0.0
8370,897.56,955.93,973.68,1351.1,2795.3,833.13,42.5,336.36,12183.87,1871.260000000002,0.0
8371,908.28,929.92,914.05,1212.4,2795.0,828.63,42.5,370.32,11690.16,1912.7600000000002,0.0
8372,898.51,928.07,875.34,1154.5,2795.3,827.42,42.5,377.46,11777.12,1995.3500000000004,0.0
8373,895.12,929.07,877.14,1119.6,2795.8,833.15,42.5,371.63,11563.21,2191.13,0.0
8374,887.64,940.25,870.62,1051.7,2795.2,817.59,42.5,338.96,11091.3,2152.51,0.0
8375,891.44,946.41,867.19,1042.6,2796.1,803.9,42.5,298.93,10767.36,2141.210000000002,0.0
8376,879.65,939.13,858.53,853.48,2796.0,796.23,42.5,275.15,10513.31,2163.47,0.0
8377,883.73,946.72,857.88,884.34,2795.9,786.59,42.5,283.33,10400.86,2263.650000000001,0.0
8378,883.57,951.92,857.19,870.79,2795.4,790.33,42.5,262.91,10409.41,2280.9899999999984,0.0
8379,872.82,944.61,859.19,892.3,2795.7,794.07,42.5,252.23,10496.54,2196.910000000001,0.0
8380,881.85,927.25,858.78,919.24,2796.1,802.85,42.5,246.17,10693.83,2294.0500000000006,0.0
8381,881.84,915.99,859.04,959.32,2796.2,806.32,42.5,247.03,10767.62,1983.0200000000011,0.0
8382,883.21,909.17,861.27,1067.6,2795.6,829.99,42.5,259.71,11065.06,1939.2199999999987,0.0
8383,883.35,915.14,865.81,1189.0,2795.5,836.64,42.5,292.26,11244.89,2051.2299999999977,0.0
8384,873.86,919.31,890.27,1375.7,2795.7,832.16,42.5,331.74,11393.4,2102.6400000000003,0.0
8385,858.38,925.14,886.61,1528.8,2795.9,827.65,42.5,372.18,11548.55,1990.0099999999986,0.0
8386,864.52,950.79,886.67,1381.0,2795.8,843.6,42.5,369.86,11653.95,1926.3200000000006,0.0
8387,865.82,939.17,883.38,1305.8,2795.8,858.14,42.5,377.21,11646.73,1822.0099999999984,0.0
8388,861.18,917.59,885.26,1221.9,2796.1,871.63,42.5,375.35,11716.08,1862.92,0.0
8389,883.58,910.32,885.03,1319.4,2796.3,879.25,42.5,363.83,12007.45,1822.4500000000007,0.0
8390,893.12,902.46,884.32,1320.0,2797.2,897.26,42.5,342.95,12199.82,1556.58,0.0
8391,838.07,915.07,883.53,1503.5,2797.1,910.38,42.5,357.83,12214.47,1384.7199999999975,0.0
8392,763.23,910.18,880.7,1596.7,2795.8,949.01,42.5,319.02,12253.52,1387.460000000001,0.0
8393,767.72,926.45,881.18,1575.9,2795.7,972.3,42.5,343.64,12223.67,1340.4100000000017,0.0
8394,774.53,941.5,882.13,1649.7,2796.0,978.26,42.5,372.12,12030.45,1500.7200000000012,0.0
8395,778.42,948.99,852.04,1570.0,2796.6,967.64,42.5,353.34,11601.01,1690.420000000002,0.0
8396,776.35,950.32,786.9,1409.1,2796.8,977.0,42.5,338.68,11828.35,1972.33,0.0
8397,783.98,930.53,775.9,1351.9,2796.1,943.75,42.5,381.14,11626.33,2094.33,0.0
8398,779.77,896.13,767.6,1158.5,2796.6,905.74,42.5,442.99,11187.4,2251.6399999999994,0.0
8399,790.08,889.54,767.51,995.72,2796.9,898.35,42.5,534.06,10872.78,2514.5200000000013,0.0
8400,783.06,899.59,766.0,904.43,2796.8,894.41,42.5,529.19,10696.95,2439.1700000000005,0.0
8401,789.1,928.15,769.63,847.19,2796.7,900.3,42.5,511.57,10682.38,2422.6399999999985,0.0
8402,787.54,918.73,771.36,824.52,2797.1,906.68,44.41,490.96,10766.43,2303.4899999999993,0.0
8403,778.13,917.21,858.6,933.3,2798.2,990.02,44.6,586.64,11236.26,2325.2700000000004,0.0
8404,771.53,945.91,997.67,1257.0,2798.2,1124.65,44.6,597.97,12131.77,1514.670000000002,0.0
8405,770.73,944.38,1068.7,1515.3,2797.0,1254.75,44.6,663.28,12596.26,867.4199999999983,0.0
8406,761.31,958.75,1095.4,1675.3,2797.3,1302.58,44.6,613.32,12804.4,1179.550000000001,0.0
8407,777.33,974.56,1105.8,1838.7,2801.3,1323.65,44.6,570.02,12659.8,1345.4599999999991,0.0
8408,780.38,964.99,1112.6,1835.0,2798.6,1318.12,43.78,581.09,12518.17,1228.710000000001,0.0
8409,778.35,939.98,1114.6,1761.6,2796.2,1289.69,42.38,543.22,12395.07,1416.7800000000007,0.0
8410,772.1,992.75,1109.4,1694.6,2796.5,1303.33,42.4,505.24,12374.86,1616.1500000000015,0.0
8411,773.37,1024.6,1105.1,1707.8,2796.8,1308.83,40.91,482.95,12374.98,960.8199999999997,0.0
8412,813.04,1024.5,1102.9,1645.6,2797.3,1297.42,42.33,503.76,12341.95,800.5100000000002,0.0
8413,838.8,1028.2,1110.2,1627.0,2797.4,1290.76,42.3,523.24,12606.44,1064.3600000000006,0.0
8414,831.91,997.21,1117.2,1695.5,2797.3,1290.47,42.3,509.93,12602.3,1145.4799999999996,0.0
8415,827.86,978.58,1120.2,1765.0,2797.3,1306.74,42.3,489.18,12560.04,1060.7900000000009,0.0
8416,843.04,970.21,1124.4,1576.1,2797.1,1279.7,42.3,447.19,12437.47,1254.3399999999983,0.0
8417,856.07,962.47,1117.3,1750.2,2797.3,1262.93,42.3,396.92,12396.78,1495.210000000001,0.0
8418,855.96,956.69,1117.8,1713.5,2798.0,1250.44,42.3,381.53,12192.45,1219.6800000000003,0.0
8419,863.39,951.56,1110.9,1435.8,2796.9,1197.77,42.3,371.94,11783.09,1356.710000000001,0.0
8420,859.53,930.37,1090.5,1186.8,2797.5,1098.08,42.3,344.27,11899.01,1655.5900000000001,0.0
8421,857.12,919.21,1066.6,1051.1,2798.2,1073.66,42.3,266.3,11589.21,1953.2299999999996,0.0
8422,862.89,916.41,1038.0,919.91,2798.6,1070.36,42.3,228.85,11096.15,1868.71,0.0
8423,872.73,917.38,1022.5,861.33,2797.4,1043.39,42.3,199.51,10732.77,1947.3299999999992,0.0
8424,865.98,911.25,1022.0,866.44,2797.1,1040.14,42.3,182.65,10504.91,2082.669999999999,0.0
8425,870.39,918.75,1040.9,858.64,2798.0,1038.98,42.3,166.97,10404.88,1974.689999999999,0.0
8426,865.46,946.7,1040.4,875.68,2799.0,1036.2,42.3,138.16,10499.79,1979.4500000000019,0.0
8427,864.86,933.13,1036.5,924.85,2797.8,1046.78,42.3,125.22,10907.49,1876.130000000001,0.0
8428,873.28,948.18,1071.6,1089.7,2798.0,1075.93,42.3,124.65,11795.16,1408.8000000000002,0.0
8429,865.64,963.27,1170.2,1460.5,2798.1,1203.34,42.3,110.92,12233.11,1041.3300000000024,0.0
8430,861.92,981.7,1225.2,1696.1,2796.9,1222.55,42.3,91.48,12509.67,1025.0400000000022,0.0
8431,851.79,1001.4,1250.8,1875.6,2797.0,1249.3,42.3,89.55,12441.53,1266.4700000000034,0.0
8432,856.25,988.91,1290.2,1854.9,2797.6,1237.56,42.54,105.15,12247.13,897.2899999999992,0.0
8433,874.38,1002.8,1321.0,1831.6,2797.4,1235.17,43.2,124.02,12188.92,1333.3999999999992,0.0
8434,874.04,1008.2,1319.3,1742.1,2797.9,1234.29,43.2,132.2,12172.28,1354.38,0.0
8435,870.77,995.75,1329.3,1723.1,2797.5,1233.63,43.2,141.29,12115.09,660.3000000000002,0.0
8436,855.05,977.67,1327.6,1744.7,2797.8,1235.66,43.2,150.41,12108.83,600.7600000000006,0.0
8437,855.63,976.44,1328.6,1703.1,2797.1,1241.58,43.74,157.76,12312.87,801.09,0.0
8438,858.09,997.32,1332.1,1842.8,2797.3,1244.71,43.9,186.81,12371.31,716.840000000001,0.0
8439,869.06,991.26,1330.7,1842.6,2797.2,1236.23,43.9,208.29,12392.51,675.4599999999994,0.0
8440,873.83,972.4,1336.6,1804.0,2797.7,1240.24,43.9,205.53,12310.39,597.7599999999987,0.0
8441,867.34,970.9,1334.8,1720.2,2797.8,1243.1,43.9,221.67,12344.5,617.3600000000005,0.0
8442,873.07,968.7,1271.0,1506.6,2798.0,1200.71,43.9,246.39,12144.9,897.15,0.0
8443,880.76,934.16,1163.2,1299.4,2797.6,1117.6,43.9,264.3,11641.22,1335.7600000000002,0.0
8444,839.71,924.14,1037.2,1160.2,2797.0,1071.41,43.9,248.87,11691.17,1693.4400000000005,0.0
8445,838.51,902.41,989.79,950.12,2797.0,1039.49,43.9,235.82,11357.36,1655.9400000000023,0.0
8446,841.15,891.64,963.18,795.91,2797.3,1029.66,43.9,250.53,10872.72,1771.4400000000005,0.0
8447,836.68,892.48,954.76,800.16,2797.7,1024.7,43.9,254.75,10522.26,1828.640000000002,0.0
8448,806.64,898.0,955.6,765.04,2797.6,1022.53,43.9,264.28,10382.1,1903.1700000000017,0.0
8449,825.94,888.88,951.19,712.9,2798.2,1018.31,43.9,270.21,10317.62,1878.8200000000015,0.0
8450,824.8,880.75,958.12,696.6,2797.5,1020.94,37.34,273.35,10432.87,1882.2100000000003,0.0
8451,825.01,882.78,1004.9,684.46,2797.2,1022.13,36.4,243.3,10797.86,1813.5499999999997,0.0
8452,863.57,915.43,1122.5,932.13,2797.1,1044.43,36.4,227.04,11670.93,1315.0700000000004,0.0
8453,869.3,945.22,1206.8,1371.3,2797.2,1127.21,36.17,223.52,12051.06,970.5599999999995,0.0
8454,878.13,912.65,1223.2,1766.9,2797.7,1153.59,34.18,192.89,12258.86,835.9900000000016,0.0
8455,885.38,903.6,1237.2,1772.3,2797.6,1147.18,35.1,218.56,12124.89,739.0999999999985,0.0
8456,879.95,892.77,1230.8,1684.7,2797.7,1141.73,36.2,250.4,12026.45,642.7000000000007,0.0
8457,890.63,877.91,1231.0,1574.5,2796.9,1105.45,36.2,240.08,12030.7,1028.3999999999978,0.0
8458,886.8,897.4,1221.3,1570.7,2796.5,1095.6,36.2,236.29,12060.26,1091.75,0.0
8459,882.85,898.71,1227.4,1653.1,2795.7,1098.71,36.2,241.49,12017.94,817.630000000001,0.0
8460,881.46,906.52,1233.4,1652.4,2797.7,1100.2,33.76,257.87,11982.31,831.7099999999973,0.0
8461,874.81,932.37,1231.7,1759.7,2797.8,1123.63,33.54,264.92,12204.13,883.8499999999985,0.0
8462,885.23,978.14,1230.1,1866.8,2796.9,1146.45,37.1,272.61,12370.06,753.529999999997,0.0
8463,886.17,984.36,1234.2,1845.6,2796.9,1153.57,37.1,287.76,12331.72,661.6800000000002,0.0
8464,874.51,987.09,1242.9,1847.8,2796.8,1151.43,37.1,294.79,12309.21,643.0799999999981,0.0
8465,881.87,952.89,1243.9,1686.7,2796.2,1151.32,37.1,289.46,12362.42,751.4400000000005,0.0
8466,885.62,953.46,1212.4,1548.0,2795.5,1122.07,37.1,287.93,12185.48,985.4699999999993,0.0
8467,885.37,949.87,1190.1,1376.6,2795.3,1056.82,37.1,276.53,11643.39,1413.1299999999974,0.0
8468,872.72,979.07,1178.9,1177.9,2795.8,1037.15,37.1,248.16,11727.47,1725.569999999998,0.0
8469,876.4,944.91,1139.0,1058.2,2795.5,1040.84,37.1,235.16,11438.15,1831.9099999999999,0.0
8470,878.39,915.14,1072.5,826.74,2795.0,1040.64,37.1,241.28,10969.9,1862.1000000000004,0.0
8471,910.83,929.21,1048.1,773.26,2794.8,1038.26,37.1,271.66,10614.43,1795.8600000000006,0.0
8472,891.84,933.15,1047.8,758.82,2795.8,1042.34,37.1,284.99,10372.74,1902.9699999999993,0.0
8473,894.86,911.92,1044.8,750.62,2795.7,1033.4,35.18,286.95,10327.15,1968.7600000000002,0.0
8474,883.16,904.59,1053.5,785.46,2795.9,1038.31,34.9,319.06,10446.86,1790.83,0.0
8475,867.47,928.25,1094.2,931.29,2796.2,1034.25,34.9,317.86,10813.41,1759.1900000000005,0.0
8476,875.74,956.27,1164.0,1022.2,2796.0,1073.69,34.9,291.88,11714.93,1358.5000000000018,0.0
8477,870.63,984.96,1225.7,1402.9,2796.4,1132.92,34.9,270.36,12232.35,966.7600000000002,0.0
8478,880.33,1031.7,1225.5,1702.4,2796.4,1146.45,34.9,293.47,12455.33,892.4899999999998,0.0
8479,876.44,1027.9,1114.5,1804.7,2796.1,1148.61,36.6,320.44,12278.22,622.3799999999992,0.0
8480,869.55,1011.9,1116.2,1771.1,2795.5,1158.78,37.17,331.47,12233.33,507.97999999999956,0.0
8481,855.67,1040.1,1134.7,1579.9,2795.7,1156.12,37.2,319.81,12169.05,739.2299999999996,0.0
8482,839.36,1050.7,1137.5,1514.7,2795.9,1126.2,37.2,294.49,12113.25,838.1899999999987,0.0
8483,835.12,1053.1,1165.8,1703.7,2795.4,1155.84,37.2,264.64,12105.53,525.1800000000021,0.0
8484,854.24,1052.0,1163.8,1703.8,2795.4,1153.54,36.78,220.23,12050.53,492.0000000000018,0.0
8485,868.81,1054.5,1174.2,1815.6,2795.5,1152.25,38.33,195.01,12212.52,476.71999999999935,0.0
8486,856.69,1031.6,1215.0,1879.6,2795.9,1148.64,38.45,191.72,12348.44,656.010000000002,0.0
8487,869.98,1033.3,1258.3,1800.1,2795.2,1149.54,40.87,207.43,12340.35,659.3999999999996,0.0
8488,880.82,1051.3,1272.3,1757.2,2795.1,1152.5,41.3,221.36,12242.2,583.5300000000025,0.0
8489,890.43,1046.5,1273.9,1673.4,2796.3,1157.93,41.6,223.88,12290.88,593.3400000000001,0.0
8490,892.25,1030.4,1275.8,1444.7,2795.5,1110.34,41.64,214.41,12130.48,717.880000000001,0.0
8491,892.13,990.58,1230.3,1236.5,2796.0,1051.6,41.7,244.28,11737.19,1415.8599999999988,0.0
8492,902.52,963.25,1179.0,1022.7,2796.3,1053.12,41.7,275.97,11847.43,1648.8300000000017,0.0
8493,916.11,885.15,1119.2,1029.9,2796.3,1055.42,41.7,298.01,11568.58,1680.6200000000008,0.0
8494,912.24,866.62,1120.6,835.66,2796.6,1028.75,41.7,308.41,11058.01,1921.7800000000002,0.0
8495,899.32,855.05,1118.8,771.82,2796.3,1000.11,41.7,287.18,10652.6,2016.539999999999,0.0
8496,882.08,868.44,1118.4,756.95,2796.3,995.93,41.7,251.75,10447.75,1955.3200000000006,0.0
8497,893.22,860.96,1116.3,718.87,2796.1,998.45,41.7,249.42,10426.96,1879.2499999999993,0.0
8498,882.92,852.85,1128.5,745.48,2797.0,1004.33,41.7,275.32,10414.54,1873.3500000000013,0.0
8499,889.25,846.34,1145.4,856.11,2797.2,1028.54,41.7,292.8,10807.34,1953.0100000000007,0.0
8500,905.54,906.87,1225.8,1061.0,2796.3,1069.41,41.7,294.07,11675.28,1324.2000000000003,0.0
8501,909.95,971.9,1300.7,1394.5,2795.9,1117.94,41.7,313.47,12139.87,944.3999999999996,0.0
