,hydro,lignite,wind_onshore,demand,s_l,s_r
114,209.24,206.75,0.0,502.0,150.64999999999998,0.0
115,0.0,207.02,0.0,488.0,285.32,0.0
116,0.0,206.64,0.0,476.0,290.06,0.0
117,0.0,207.02,0.0,456.0,313.94,0.0
118,0.0,205.59,0.0,446.0,303.76,0.0
119,0.0,181.06,0.0,410.0,254.79,0.0
120,0.0,178.42,0.0,372.0,209.23000000000002,0.0
121,0.0,178.09,0.0,337.0,212.73,0.0
122,0.0,178.26,0.0,317.0,212.10000000000002,0.0
123,0.0,178.31,0.0,307.0,209.67000000000002,0.0
124,0.0,179.14,0.0,319.0,222.18,0.0
125,0.0,205.65,0.0,341.0,240.5,0.0
126,0.0,207.57,0.0,367.0,216.72,0.0
127,0.0,207.41,0.0,406.0,252.32,0.0
128,0.0,206.69,0.0,435.0,257.09000000000003,0.0
129,0.0,206.86,0.0,452.0,253.92,0.0
130,0.0,207.3,0.0,452.0,260.32,0.0
131,0.0,205.81,0.0,451.0,263.53,0.0
132,0.0,206.64,0.0,446.0,244.02,0.0
133,0.0,207.19,0.0,447.0,240.69,0.0
134,0.0,206.97,0.0,450.0,245.55,0.0
135,0.0,206.2,0.0,472.0,308.88,0.0
136,0.0,206.25,0.0,479.0,299.85,0.0
137,0.0,206.31,0.0,472.0,316.46,0.0
138,0.0,207.3,0.0,470.0,237.73999999999998,0.0
139,0.0,206.8,0.0,466.0,222.87,0.0
140,0.0,207.13,0.0,456.0,229.23000000000002,0.0
141,0.0,206.8,0.0,436.0,234.95,0.0
142,0.0,206.36,0.0,426.0,239.54,0.0
143,0.0,178.97,0.0,399.0,209.46,0.0
144,0.0,177.54,0.0,356.0,171.67000000000002,0.0
145,0.0,177.38,0.0,323.0,146.6,0.0
146,0.0,178.59,0.0,305.0,123.1,0.0
147,0.0,178.64,0.0,298.0,118.91000000000003,0.0
148,0.0,176.66,0.0,311.0,176.45,0.0
149,0.0,203.78,0.0,333.0,196.82999999999998,0.0
150,0.0,206.03,0.0,358.0,249.73000000000002,0.0
151,0.0,205.65,0.0,388.0,322.12,0.0
152,0.0,204.16,0.0,407.0,347.3,0.0
153,0.0,207.19,0.0,412.0,385.52,0.0
154,0.0,202.57,0.0,406.0,386.65999999999997,0.0
155,0.0,204.55,0.0,392.0,347.23,0.0
156,0.0,206.03,0.0,378.0,276.56,0.0
