,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7841,1027.36,814.0,927.03,199.59,0.02,75.02,71.35,5004.1,85.93000000000075,0.0
7842,987.02,770.93,906.81,194.36,0.02,72.92,52.17,4692.6,60.620000000000346,0.0
7843,928.76,676.06,864.23,173.58,0.02,57.2,48.37,4343.1,21.500000000000455,0.0
7844,841.07,573.57,833.47,151.75,0.01,55.25,47.97,4087.4,0.0,9.810000000000173
7845,738.59,530.78,799.14,148.38,0.0,51.4,47.57,3809.4,0.0,39.49000000000024
7846,676.56,508.32,773.19,149.85,0.0,32.62,38.45,3552.9,0.0,9.639999999999645
7847,676.91,440.69,621.94,134.68,0.0,18.82,29.58,3334.1,1.129999999999427,0.0
7848,578.08,425.63,550.04,131.5,0.0,12.53,26.24,3182.6,19.440000000000055,0.0
7849,585.09,422.69,493.77,130.71,0.0,8.23,40.36,3107.0,23.60000000000082,0.0
7850,593.29,436.04,423.58,130.74,0.0,11.94,78.07,3078.8,26.180000000000064,0.0
7851,574.87,416.3,421.73,127.82,0.01,23.67,113.78,3091.8,14.2800000000002,0.0
7852,592.14,409.62,393.14,127.33,0.02,29.57,115.63,3173.5,0.0,1.569999999999709
7853,668.45,426.88,454.8,131.33,0.02,46.0,96.2,3370.9,0.0,23.539999999999964
7854,802.16,520.6,479.42,143.4,0.1,66.91,95.24,3689.8,0.0,3.910000000000423
7855,851.11,673.25,496.26,159.54,1.63,71.95,115.93,3988.8,15.339999999999918,0.0
7856,875.26,731.94,525.04,165.63,11.82,81.0,160.74,4202.8,0.0,15.449999999999818
7857,874.37,776.84,566.81,181.88,24.65,77.3,193.81,4328.9,0.0,23.600000000000705
7858,888.12,762.44,540.17,175.77,31.78,81.07,232.18,4349.3,0.0,16.900000000000432
7859,877.73,709.52,520.87,169.38,29.89,63.28,290.48,4305.6,3.590000000000032,0.0
7860,852.13,687.5,521.78,169.91,26.33,52.23,372.62,4269.6,6.510000000001355,0.0
7861,871.61,674.96,522.84,171.94,15.99,66.4,495.49,4247.0,0.4399999999995998,0.0
7862,877.79,705.24,526.21,161.73,3.91,118.59,608.34,4288.4,0.0,1.9600000000004911
7863,956.09,774.21,523.19,159.1,0.19,323.29,749.54,4553.3,0.0,26.690000000000282
7864,961.38,777.12,539.54,163.71,0.02,326.91,819.89,4828.5,0.0,50.779999999999745
7865,955.19,722.41,534.0,163.19,0.02,286.45,742.45,4664.6,0.0,69.14999999999952
7866,869.12,644.39,518.35,158.79,0.02,283.86,754.53,4355.2,0.0,70.9800000000007
7867,733.11,541.5,400.39,156.62,0.02,305.99,743.3,4087.3,0.0,66.17000000000007
7868,694.66,469.94,425.61,151.49,0.01,285.32,762.04,3859.7,0.0,41.8900000000001
7869,809.5,498.68,463.34,153.35,0.0,309.23,771.47,3653.2,0.0,60.08000000000038
7870,801.28,466.8,445.32,150.28,0.0,345.87,779.08,3438.4,0.0,90.02999999999929
7871,663.79,306.78,370.38,137.67,0.0,392.0,817.59,3247.7,0.0,51.15000000000077
7872,676.75,288.93,436.27,137.59,0.0,402.24,775.39,3087.5,0.0,64.25999999999999
7873,660.06,274.26,484.61,131.35,0.0,397.25,759.75,3011.3,0.0,84.36999999999898
7874,680.7,277.41,519.65,134.61,0.0,333.94,681.03,2984.8,0.0,82.89999999999986
7875,622.08,273.44,535.7,131.68,0.01,339.35,731.62,2993.6,0.0,84.10000000000014
7876,646.41,278.15,531.1,131.92,0.02,390.99,826.33,3058.1,0.0,60.16000000000031
7877,624.65,371.14,493.38,131.98,0.02,471.81,900.21,3244.4,0.0,47.69999999999982
7878,622.81,438.87,521.53,134.11,0.1,513.69,955.42,3538.5,0.0,47.490000000000464
7879,637.23,516.09,544.32,137.52,1.88,500.33,1000.86,3822.6,0.0,43.100000000000136
7880,719.63,601.9,376.85,144.53,20.85,408.1,1065.93,4033.6,0.0,59.94999999999959
7881,793.94,626.36,380.51,155.31,47.8,404.08,1075.15,4172.6,0.0,33.909999999999854
7882,787.54,611.84,373.12,150.16,62.22,412.61,1088.26,4210.0,0.0,42.529999999999745
7883,756.3,639.47,628.25,159.39,66.68,373.25,1058.37,4213.4,0.0,42.73999999999933
7884,744.36,625.62,683.25,159.05,56.94,329.55,1016.65,4189.7,0.0,44.94000000000074
7885,791.8,609.1,665.81,155.31,30.79,310.64,1011.8,4184.3,0.0,42.83999999999946
7886,780.55,614.76,655.92,163.2,6.52,380.21,1026.92,4220.5,0.0,73.95999999999981
7887,867.79,622.89,672.81,165.56,0.2,406.19,1076.4,4542.8,0.0,61.96999999999957
7888,860.84,658.2,675.24,166.58,0.02,459.91,1113.14,4909.9,0.0,51.42999999999938
7889,843.01,653.02,679.85,166.71,0.02,505.02,1144.48,4800.7,0.0,75.23000000000047
7890,826.55,631.44,673.72,162.55,0.02,544.65,1079.75,4513.6,0.0,75.67000000000007
7891,836.08,601.58,657.7,151.92,0.02,497.68,1074.34,4243.8,0.0,150.77999999999952
7892,733.35,506.95,612.05,141.66,0.01,511.0,1029.53,3993.4,0.0,73.37000000000057
7893,735.53,469.51,617.2,129.24,0.0,461.92,992.91,3719.3,0.0,109.7699999999993
7894,683.95,431.47,578.71,121.4,0.0,397.52,874.27,3478.4,0.0,71.86000000000013
7895,659.67,383.08,575.87,122.44,0.0,448.14,754.89,3333.4,0.0,74.70000000000027
7896,694.33,371.69,490.69,126.0,0.0,323.41,629.05,3229.6,0.0,21.830000000000382
7897,653.24,374.34,420.54,126.39,0.0,221.18,533.99,3185.3,0.0,65.48000000000027
7898,719.96,392.38,409.12,127.27,0.0,165.98,489.48,3245.8,0.0,62.97000000000014
7899,741.31,399.36,399.4,127.48,0.01,134.21,517.32,3348.0,0.0,43.84000000000003
7900,822.46,410.13,590.91,129.28,0.02,171.32,515.66,3630.8,0.0,47.96999999999946
7901,903.12,493.62,665.49,144.12,0.02,191.61,523.62,4336.1,0.0,3.9799999999998192
7902,954.3,656.77,678.94,170.55,0.17,213.19,528.53,5051.9,12.249999999998806,0.0
7903,953.01,660.36,674.64,194.89,8.5,182.54,484.85,5240.4,0.0,7.639999999999418
7904,948.35,663.39,662.74,197.28,79.1,187.96,404.5,5206.4,43.22999999999956,0.0
7905,946.14,680.95,689.31,202.53,181.18,145.95,240.78,5214.9,68.76999999999899,0.0
7906,946.88,651.96,685.81,197.78,247.84,89.7,127.34,5125.9,68.0599999999987,0.0
7907,945.24,692.32,723.79,195.53,261.41,65.81,99.09,5018.9,58.660000000000366,0.0
7908,944.05,724.14,740.49,197.97,203.04,55.26,84.77,5006.7,73.05999999999938,0.0
7909,949.79,715.94,733.44,198.98,93.44,96.03,104.13,4974.2,98.52999999999935,0.0
7910,950.17,766.23,762.91,191.8,13.99,121.59,176.75,4964.0,82.35999999999967,0.0
7911,960.16,787.36,821.06,165.64,0.22,131.79,228.1,5266.1,65.00000000000091,0.0
7912,972.02,808.9,845.27,170.36,0.02,162.62,238.29,5616.7,70.77999999999975,0.0
7913,988.33,769.63,859.52,168.45,0.02,183.52,192.27,5395.9,88.43000000000029,0.0
7914,964.91,654.08,883.14,164.13,0.02,165.15,134.58,5065.5,116.70000000000016,0.0
