,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
76,52.03,45.77,105.46,39.55,0.0,329.7,1348.0,324.59000000000003,0.0
77,52.17,45.75,105.47,39.48,0.0,360.71,1553.0,348.2600000000001,0.0
78,52.26,45.67,105.45,39.37,0.0,365.41,1691.0,425.5999999999998,0.0
79,52.25,45.43,105.48,38.67,1.24,351.67,1740.0,791.64,0.0
80,52.11,45.33,105.49,39.12,2.35,325.48,1751.0,669.4300000000001,0.0
81,51.99,45.28,105.47,40.45,2.79,295.56,1753.0,672.5600000000001,0.0
82,51.62,45.33,106.02,37.93,2.23,286.17,1734.0,829.3743137254903,0.0
83,51.83,45.53,303.41,37.63,2.21,288.43,1746.0,710.3929411764707,0.0
84,51.79,45.37,266.46,37.27,1.83,295.48,1740.0,791.6017647058823,0.0
85,51.65,45.35,234.17,38.17,0.0,300.99,1739.0,891.8856862745098,0.0
86,51.56,45.19,392.61,38.49,0.0,330.57,1775.0,965.1637254901962,0.0
87,51.59,45.22,541.05,39.39,0.0,332.56,1772.0,525.87,0.0
88,51.62,45.25,536.58,38.47,0.0,336.9,1744.0,587.3599999999999,0.0
89,51.47,45.33,352.96,39.03,0.0,316.96,1681.0,587.94,0.0
90,51.3,45.35,119.45,39.64,0.0,313.01,1613.0,565.49,0.0
91,51.16,45.34,105.43,39.47,0.0,304.12,1516.0,537.21,0.0
92,51.07,45.36,105.44,39.56,0.0,292.77,1371.0,353.03,0.0
93,50.57,45.39,105.41,39.13,0.0,304.97,1252.0,0.0,81.75
94,50.27,45.32,105.45,39.35,0.0,263.53,1159.0,0.0,70.96000000000015
95,49.88,45.3,76.36,39.55,0.0,239.61,1087.0,17.439999999999955,0.0
96,50.0,45.36,76.4,38.99,0.0,230.13,1062.0,65.55999999999989,0.0
97,50.14,45.38,76.4,38.97,0.0,260.3,1054.0,0.0,39.77000000000004
98,50.44,45.49,76.41,39.11,0.0,254.81,1072.0,0.0,1.920000000000016
99,51.03,45.67,76.24,39.02,0.0,277.94,1133.0,93.39999999999992,0.0
100,51.6,45.76,105.45,38.89,0.0,295.0,1352.0,304.16,0.0
101,51.77,45.76,105.42,39.77,0.0,319.05,1549.0,281.56000000000006,0.0
102,51.96,45.75,105.38,39.12,1.07,346.43,1678.0,414.40999999999997,0.0
103,51.8,45.76,105.41,38.61,1.62,334.76,1726.0,577.31,0.0
104,51.81,45.68,105.43,38.52,2.99,342.07,1736.0,629.07,0.0
105,51.8,45.6,105.39,38.58,3.32,356.58,1748.0,663.8,0.0
106,52.08,45.74,105.39,38.94,3.4,351.49,1737.0,686.22,0.0
107,51.98,45.71,105.4,37.92,2.06,294.24,1756.0,730.4200000000001,0.0
108,51.89,45.03,105.38,37.78,0.56,292.56,1741.0,738.01,0.0
109,52.11,45.22,105.39,37.97,0.01,362.41,1725.0,730.6200000000001,0.0
110,51.92,45.25,105.37,38.13,0.0,376.94,1758.0,710.03,0.0
111,51.9,45.29,105.38,38.54,0.0,388.95,1775.0,693.35,0.0
112,51.91,45.38,105.42,39.55,0.0,384.26,1722.0,617.45,0.0
113,51.76,44.89,105.4,39.18,0.0,384.28,1662.0,587.45,0.0
114,51.75,45.33,105.38,39.21,0.0,328.17,1586.0,533.5100000000001,0.0
115,51.45,45.38,105.43,39.43,0.0,275.16,1493.0,496.6299999999998,0.0
116,51.18,45.43,105.38,39.07,0.0,218.25,1369.0,392.01,0.0
117,50.78,45.37,105.41,39.37,0.0,163.2,1257.0,507.3100000000002,0.0
118,50.67,45.45,105.42,38.45,0.0,194.7,1172.0,504.63999999999993,0.0
119,50.63,45.58,36.0,39.29,0.0,175.56,1104.0,404.94000000000005,0.0
120,50.65,45.71,33.06,40.13,0.0,221.47,1069.0,315.18,0.0
121,50.57,45.47,33.03,39.85,0.0,247.41,1056.0,295.5100000000001,0.0
122,50.6,45.7,33.05,39.61,0.0,240.96,1053.0,255.21999999999994,0.0
123,51.29,45.81,33.02,39.63,0.0,295.15,1068.0,178.4899999999999,0.0
124,51.44,45.68,76.28,39.19,0.0,273.78,1141.0,169.9400000000001,0.0
125,51.75,45.63,96.54,39.23,0.0,187.7,1227.0,140.7000000000001,0.0
126,51.82,45.87,96.53,39.18,0.21,183.09,1303.0,169.49,0.0
127,52.16,45.94,96.57,39.21,1.33,139.54,1379.0,190.6400000000001,0.0
128,51.96,46.0,96.62,39.27,3.97,143.28,1451.0,283.97,0.0
129,51.97,45.94,96.61,39.84,5.56,114.68,1499.0,404.5399999999999,0.0
130,52.07,46.02,135.48,38.66,4.09,89.89,1520.0,456.54999999999995,0.0
131,52.12,46.24,114.89,38.09,4.25,106.22,1515.0,481.58000000000015,0.0
132,51.92,46.1,100.77,38.02,6.09,91.89,1496.0,476.04000000000013,0.0
133,51.7,46.08,96.59,38.08,0.09,108.96,1496.0,458.0799999999999,0.0
134,51.86,46.12,132.38,38.05,0.0,128.0,1566.0,381.0599999999999,0.0
135,51.94,46.11,156.33,38.29,0.0,113.06,1613.0,439.10999999999996,0.0
136,51.82,46.07,140.05,37.71,0.0,99.17,1583.0,477.88000000000005,0.0
137,51.85,46.06,100.92,37.12,0.0,90.51,1543.0,562.8299999999999,0.0
138,51.78,46.08,96.56,36.67,0.0,77.3,1490.0,604.78,0.0
139,51.79,46.23,162.7,37.14,0.0,64.68,1421.0,565.83,0.0
140,51.59,46.3,85.65,37.49,0.0,65.47,1318.0,534.3399999999999,0.0
141,51.41,46.26,53.52,37.64,0.0,84.95,1215.0,624.1700000000001,0.0
142,50.82,46.31,74.01,36.92,0.0,111.07,1139.0,551.64,0.0
143,50.72,46.4,58.13,37.6,0.0,135.01,1086.0,483.49,0.0
144,50.76,46.38,33.19,38.01,0.0,179.89,1052.0,404.29999999999995,0.0
145,50.89,46.47,33.03,37.66,0.0,151.87,1025.0,90.73000000000005,0.0
146,50.87,46.49,33.04,37.82,0.0,154.11,1023.0,85.76999999999995,0.0
147,51.2,46.52,33.06,38.47,0.0,148.99,1046.0,357.84999999999997,0.0
148,51.64,46.75,33.06,37.88,0.0,144.09,1106.0,379.49999999999994,0.0
149,51.87,47.15,33.04,37.27,0.0,139.48,1175.0,327.06000000000006,0.0
150,51.87,47.4,33.04,100017.53,0.0,139.48,1230.0,0.0,99552.93999999999
151,52.62,47.36,96.55,37.44,2.54,154.6,1307.0,351.6200000000001,0.0
152,52.72,47.32,96.51,37.09,5.79,147.41,1394.0,396.8499999999999,0.0
153,52.72,47.33,96.52,37.33,6.9,86.54,1442.0,434.46999999999997,0.0
154,52.61,47.29,96.54,37.58,6.52,48.68,1451.0,427.46999999999997,0.0
155,52.48,47.44,96.54,36.59,9.68,47.2,1443.0,439.49,0.0
156,52.51,47.83,96.54,36.38,6.48,58.55,1433.0,415.8100000000001,0.0
157,52.61,47.67,96.55,37.24,0.4,58.34,1427.0,430.97999999999996,0.0
158,52.67,47.36,96.54,37.39,0.0,70.68,1500.0,490.70000000000005,0.0
159,52.81,47.35,96.55,37.69,0.0,106.48,1610.0,509.06000000000006,0.0
160,53.14,47.35,96.51,38.08,0.0,152.5,1605.0,465.29000000000013,0.0
161,53.28,47.32,96.49,38.27,0.0,240.73,1581.0,497.0900000000001,0.0
162,53.23,47.36,96.52,38.64,0.0,326.03,1539.0,440.52000000000015,0.0
163,53.11,47.35,96.51,38.17,0.0,383.85,1459.0,441.77999999999986,0.0
164,52.99,47.34,55.22,38.05,0.0,417.47,1340.0,435.6,0.0
165,52.53,47.33,40.2,37.57,0.0,430.04,1219.0,480.8899999999999,0.0
166,52.46,47.34,35.65,38.01,0.0,435.21,1141.0,430.39999999999986,0.0
167,51.3,47.34,32.97,38.89,0.0,431.11,1089.0,253.82999999999987,0.0
