,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
8145,258.07,1216.81,12164.78,261.1,6076.37,277.58,1905.11,23333.6735,850.8734999999974,0.0
8146,256.32,1210.77,12321.46,196.59,6226.55,276.41,1779.37,23656.1224,964.9424000000037,0.0
8147,259.1,1210.48,12527.57,145.18,6211.02,276.46,1764.63,23658.1633,904.3633000000013,0.0
8148,257.51,1210.79,12609.27,165.85,6285.15,271.08,1712.7,23823.4694,955.8393999999994,0.0
8149,256.34,1177.54,12225.86,246.0,6279.94,271.58,1908.64,23640.8163,959.3362999999976,0.0
8150,257.39,1172.94,12461.71,164.04,6294.41,276.65,2038.79,23817.3469,844.8668999999996,0.0
8151,258.26,1170.95,12531.06,470.67,6202.46,278.42,2329.97,24548.9796,945.1195999999984,0.0
8152,259.37,1172.51,12165.69,549.1,6158.88,278.74,2330.88,24230.6122,851.9121999999983,0.0
8153,259.28,1189.26,11853.78,475.01,6111.2,278.47,2077.25,23686.7347,846.5647000000009,0.0
8154,261.09,1189.1,11574.89,463.14,5999.14,278.85,1976.99,23542.8571,899.8571000000002,0.0
8155,259.69,1186.09,10940.34,415.98,5880.27,278.66,2194.15,22869.3878,819.3077999999966,0.0
8156,257.08,1167.81,10293.18,236.93,5377.07,279.64,2282.91,21260.2041,629.3640999999993,0.0
8157,254.44,1163.01,9671.42,166.02,4862.21,280.79,2278.91,19769.3878,609.5477999999977,0.0
8158,251.83,1114.51,9614.14,96.23,4393.68,281.02,2369.12,18485.7143,541.3243000000011,0.0
8159,251.43,1111.44,9511.83,91.91,4483.8,273.59,2517.44,17526.5306,424.0005999999994,0.0
8160,250.14,1108.24,9473.18,91.36,4368.02,264.69,2597.64,16845.9184,0.0,82.0316000000048
8161,250.93,1086.29,9388.3,91.34,4262.4,265.79,2744.84,16497.9592,0.0,440.6907999999971
8162,250.69,1086.82,9376.85,91.3,4220.04,263.39,2808.97,16529.5918,0.0,458.198200000003
8163,252.44,1085.84,9380.53,91.36,4440.71,261.5,2878.29,16822.449,0.0,470.01100000000315
8164,252.93,1093.0,9466.0,91.19,4623.73,261.62,3018.32,17673.4694,0.0,274.68060000000037
8165,254.23,1163.1,10131.85,92.42,5126.33,260.74,3134.24,20160.2041,98.17409999999427,0.0
8166,255.62,1185.97,11053.41,180.04,5787.41,257.29,3171.14,22166.3265,402.17650000000003,0.0
8167,256.42,1185.57,11532.57,213.75,5746.3,256.34,3194.0,22846.9388,417.51879999999915,0.0
8168,258.04,1147.46,11545.55,83.7,5919.9,258.31,3089.67,23266.3265,504.98649999999566,0.0
8169,254.93,1140.42,11438.18,86.13,6094.32,264.6,2797.58,23237.7551,453.1551000000019,0.0
8170,255.44,1153.88,11635.24,313.92,6115.21,259.32,2442.42,23553.0612,597.0912000000011,0.0
8171,256.07,1172.43,11823.11,448.72,6284.69,263.88,2126.22,23650.0,673.2899999999984,0.0
