,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7675,90.0,415.0,11.0,90.0,8.0,914.0,734.0,0.0
7676,86.0,332.0,0.0,90.0,9.0,841.0,767.0,0.0
7677,84.0,332.0,0.0,90.0,8.0,765.0,773.0,0.0
7678,84.0,329.0,0.0,89.0,12.0,701.0,898.5,0.0
7679,83.0,327.0,0.0,89.0,9.0,660.0,751.5,0.0
7680,82.0,327.0,0.0,88.0,7.0,646.0,871.0,0.0
7681,83.0,327.0,0.0,88.0,3.0,627.0,629.5,0.0
7682,84.0,327.0,0.0,88.0,5.0,638.0,846.0,0.0
7683,84.0,327.0,0.0,88.0,9.0,659.0,835.0,0.0
7684,85.0,327.0,0.0,88.0,13.0,707.0,868.5,0.0
7685,85.0,329.0,0.0,88.0,14.0,762.0,835.0,0.0
7686,84.0,331.0,3.0,88.0,10.0,817.0,902.5,0.0
7687,84.0,431.0,123.0,88.0,7.0,878.0,819.5,0.0
7688,87.0,552.0,219.0,87.0,2.0,910.0,748.0,0.0
7689,90.0,555.0,235.0,87.0,3.0,919.0,751.5,0.0
7690,91.0,555.0,222.0,87.0,13.0,915.0,764.0,0.0
7691,91.0,555.0,195.0,87.0,12.0,912.0,777.0,0.0
7692,92.0,555.0,164.0,88.0,10.0,921.0,820.0,0.0
7693,91.0,554.0,94.0,87.0,10.0,915.0,810.0,0.0
7694,91.0,555.0,260.0,87.0,11.0,950.0,768.5,0.0
7695,92.0,555.0,468.0,88.0,9.0,979.0,786.0,0.0
7696,92.0,554.0,405.0,88.0,8.0,953.0,776.0,0.0
7697,91.0,554.0,262.0,88.0,8.0,915.0,831.0,0.0
7698,91.0,550.0,82.0,88.0,5.0,889.0,805.0,0.0
7699,87.0,434.0,50.0,88.0,4.0,852.0,842.5,0.0
7700,82.0,331.0,2.0,88.0,4.0,789.0,841.5,0.0
7701,81.0,325.0,0.0,88.0,6.0,726.0,803.0,0.0
7702,80.0,320.0,0.0,88.0,8.0,665.0,606.0,0.0
7703,79.0,323.0,0.0,87.0,10.0,628.0,704.5,0.0
7704,79.0,323.0,0.0,87.0,12.0,607.0,665.0,0.0
7705,79.0,321.0,0.0,87.0,15.0,594.0,617.0,0.0
7706,79.0,321.0,0.0,87.0,12.0,593.0,636.5,0.0
7707,79.0,321.0,0.0,87.0,16.0,615.0,687.5,0.0
