,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
7366,309.0,8563.0,5017.0,2354.0,500.0,6028.0,622.0,89.0,6.0,1575.0,26116.0,0.0,254.67000000000098
7367,307.0,6442.0,4852.0,2109.0,496.0,6028.0,623.0,86.0,6.0,1538.0,24180.0,236.0999999999982,0.0
7368,308.0,5672.0,4647.0,1872.0,508.0,6029.0,624.0,89.0,6.0,1748.0,22621.0,300.79999999999836,0.0
7369,305.0,4871.0,4451.0,1582.0,510.0,6028.0,611.0,90.0,6.0,1887.0,21438.0,338.37999999999806,0.0
7370,306.0,5064.0,4154.0,1375.0,511.0,6027.0,608.0,89.0,6.0,2219.0,20769.0,150.61000000000013,0.0
7371,308.0,4919.0,3945.0,1416.0,511.0,6027.0,612.0,91.0,6.0,2479.0,20458.0,0.0,258.9699999999998
7372,305.0,4859.0,3914.0,1407.0,511.0,6027.0,619.0,90.0,6.0,2747.0,20526.0,0.0,423.2300000000009
7373,305.0,4917.0,3968.0,1353.0,511.0,6026.0,615.0,90.0,6.0,3093.0,20924.0,0.0,410.6800000000003
7374,307.0,4809.0,4021.0,1303.0,508.0,6027.0,612.0,88.0,10.0,3616.0,21275.0,0.0,355.7399999999989
7375,305.0,5072.0,3859.0,1428.0,475.0,6026.0,616.0,88.0,524.0,3931.0,21962.0,0.0,321.7499999999993
7376,304.0,4457.0,4186.0,1930.0,436.0,6025.0,601.0,89.0,1521.0,3833.0,24049.0,0.0,21.920000000001437
7377,306.0,3952.0,4807.0,1957.0,494.0,6025.0,590.0,92.0,2177.0,3693.0,25595.0,394.7099999999998,0.0
7378,294.0,3782.0,5050.0,2109.0,509.0,6026.0,599.0,92.0,2457.0,3947.0,26294.0,359.55999999999835,0.0
7379,303.0,3649.0,5106.0,1924.0,509.0,6027.0,597.0,92.0,2622.0,4339.0,26285.0,301.2099999999989,0.0
7380,303.0,3795.0,5141.0,1811.0,508.0,6026.0,597.0,92.0,2565.0,4761.0,26655.0,301.9199999999996,0.0
7381,298.0,3759.0,4994.0,1603.0,507.0,6025.0,597.0,89.0,2445.0,5205.0,26518.0,266.13999999999896,0.0
7382,298.0,3676.0,4413.0,1722.0,510.0,6024.0,598.0,90.0,2056.0,5562.0,25302.0,0.0,354.6699999999986
7383,303.0,3830.0,4605.0,1726.0,510.0,6023.0,609.0,90.0,1322.0,5548.0,24681.0,0.0,308.130000000001
7384,305.0,4340.0,5143.0,2575.0,509.0,6023.0,613.0,89.0,367.0,5423.0,24967.0,0.0,116.56999999999903
7385,305.0,4666.0,5189.0,3715.0,494.0,6021.0,616.0,89.0,48.0,5558.0,27310.0,107.52000000000157,0.0
7386,321.0,4748.0,5248.0,4052.0,512.0,6020.0,614.0,88.0,7.0,6154.0,28956.0,0.0,94.15999999999985
7387,310.0,4622.0,5076.0,2568.0,511.0,6017.0,616.0,88.0,7.0,6852.0,29753.0,0.0,167.83000000000175
7388,310.0,4638.0,5134.0,2225.0,510.0,6017.0,620.0,85.0,7.0,6922.0,29473.0,0.0,198.86000000000058
7389,317.0,4579.0,4852.0,2170.0,511.0,6019.0,612.0,83.0,8.0,6772.0,28073.0,0.0,239.0300000000006
7390,304.0,4495.0,4000.0,1646.0,493.0,6019.0,616.0,84.0,7.0,7587.0,25787.0,0.0,809.400000000001
7391,315.0,3871.0,3545.0,1546.0,460.0,6016.0,622.0,85.0,5.0,7569.0,23720.0,0.0,1681.5899999999983
7392,317.0,3648.0,3205.0,1444.0,455.0,6015.0,629.0,84.0,6.0,7278.0,22169.0,0.0,2180.31
7393,323.0,3551.0,2960.0,1273.0,440.0,6017.0,625.0,81.0,6.0,7766.0,21255.0,0.0,2256.3400000000006
7394,326.0,3518.0,2897.0,1317.0,392.0,6016.0,633.0,80.0,6.0,8212.0,20898.0,0.0,2485.0999999999995
