,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,demand,s_l,s_r
50,31.0,1330.0,228.0,694.0,1421.0,1393.0,0.0,677.0,4956.0,0.0,303.73000000000025
51,31.0,1336.0,236.0,907.0,1553.0,1394.0,0.0,713.0,5149.0,0.0,347.0499999999996
52,31.0,1343.0,234.0,1123.0,1715.0,1394.0,0.0,757.0,5599.0,0.0,310.8299999999998
53,34.0,1363.0,240.0,1798.0,1969.0,1394.0,0.0,727.0,6282.0,0.0,377.76000000000045
54,35.0,1562.0,249.0,2051.0,2055.0,1392.0,3.0,756.0,6777.0,0.0,402.3199999999997
55,34.0,1592.0,249.0,2107.0,2051.0,1389.0,37.0,742.0,7094.0,0.0,384.2300000000009
56,35.0,1616.0,253.0,2060.0,2070.0,1373.0,98.0,831.0,7211.0,0.0,405.62000000000023
57,34.0,1623.0,244.0,1920.0,2078.0,1335.0,159.0,941.0,7250.0,0.0,437.7900000000002
58,35.0,1965.0,250.0,1942.0,2099.0,1356.0,205.0,613.0,7146.0,0.0,530.0400000000001
59,35.0,1991.0,248.0,1920.0,2112.0,1343.0,216.0,463.0,7143.0,0.0,515.8900000000007
60,35.0,1985.0,245.0,2155.0,1905.0,1356.0,154.0,316.0,7027.0,0.0,485.79999999999995
61,35.0,1985.0,252.0,2168.0,1931.0,1339.0,65.0,220.0,6989.0,0.0,465.7499999999999
62,35.0,1985.0,241.0,2243.0,1882.0,1381.0,11.0,192.0,7187.0,0.0,420.46999999999986
63,35.0,2056.0,263.0,2349.0,1936.0,1377.0,1.0,258.0,7661.0,0.0,416.35000000000036
64,35.0,2051.0,258.0,2248.0,2031.0,1369.0,0.0,330.0,7706.0,0.0,380.7299999999995
65,35.0,2010.0,238.0,1995.0,2127.0,1383.0,0.0,336.0,7635.0,0.0,329.2100000000007
66,35.0,2001.0,232.0,1781.0,2119.0,1384.0,0.0,433.0,7411.0,0.0,362.57000000000045
67,36.0,1662.0,232.0,1973.0,2043.0,1381.0,0.0,588.0,7084.0,0.0,369.9500000000004
68,36.0,1906.0,240.0,1943.0,1820.0,1383.0,0.0,433.0,6519.0,0.0,396.5600000000004
69,35.0,1677.0,235.0,1593.0,2052.0,1386.0,0.0,399.0,6062.0,0.0,353.11999999999944
70,33.0,1591.0,235.0,1337.0,2058.0,1386.0,0.0,414.0,5771.0,0.0,336.3900000000003
71,32.0,1393.0,232.0,1169.0,2017.0,1386.0,0.0,280.0,5534.0,0.0,273.75
72,33.0,1344.0,238.0,1186.0,1807.0,1386.0,0.0,244.0,5445.0,0.0,214.85000000000036
73,33.0,1338.0,236.0,1079.0,1613.0,1392.0,0.0,298.0,5443.0,0.0,157.4300000000003
74,32.0,1329.0,238.0,1118.0,1641.0,1394.0,0.0,214.0,5494.0,0.0,120.11999999999978
75,33.0,1334.0,241.0,1236.0,1818.0,1393.0,0.0,131.0,5653.0,0.0,155.0599999999996
76,34.0,1495.0,233.0,1348.0,2098.0,1394.0,0.0,52.0,6028.0,0.0,205.5899999999998
77,34.0,1627.0,232.0,1842.0,2112.0,1393.0,0.0,24.0,6637.0,0.0,228.4799999999998
78,34.0,1791.0,233.0,1991.0,2187.0,1387.0,5.0,36.0,7136.0,0.0,368.1999999999996
79,34.0,1998.0,233.0,1976.0,2169.0,1320.0,28.0,36.0,7359.0,0.0,379.72999999999956
80,34.0,2001.0,235.0,2021.0,2187.0,1337.0,66.0,20.0,7405.0,0.0,341.0100000000002
81,34.0,2002.0,237.0,1994.0,2191.0,1342.0,115.0,23.0,7388.0,0.0,336.6900000000002
82,34.0,2005.0,232.0,1956.0,2166.0,1322.0,151.0,100.0,7321.0,0.0,333.0700000000001
83,34.0,1999.0,232.0,1928.0,2129.0,1350.0,172.0,149.0,7324.0,0.0,373.1000000000004
84,34.0,1999.5,232.5,1916.0,2113.0,1360.5,148.0,134.5,7189.0,0.0,439.68000000000035
85,34.0,2000.0,233.0,1904.0,2097.0,1371.0,124.0,120.0,7123.0,0.0,467.21
86,34.0,2000.0,237.0,1917.0,2129.0,1362.0,24.0,174.0,7267.0,0.0,419.14999999999964
87,34.0,2012.0,237.0,2077.0,2181.0,1382.0,0.0,226.0,7813.0,0.0,404.0
88,34.0,2019.0,239.0,2218.0,2204.0,1385.0,0.0,240.0,7916.0,0.0,403.0799999999999
89,34.0,2019.0,235.0,2175.0,2204.0,1386.0,0.0,233.0,7809.0,0.0,418.7000000000007
90,34.0,2021.0,234.0,2190.0,2221.0,1394.0,0.0,194.0,7576.0,0.0,431.5599999999995
91,34.0,2023.0,236.0,2149.0,2235.0,1393.0,0.0,142.0,7192.0,0.0,440.3599999999999
92,34.0,1881.0,236.0,1850.0,2131.0,1394.0,0.0,241.0,6585.0,0.0,448.8099999999997
93,35.0,1692.0,244.0,1526.0,2223.0,1394.0,0.0,236.0,6142.0,0.0,371.90000000000043
94,35.0,1666.0,242.0,1423.0,2161.0,1393.0,0.0,141.0,5833.0,0.0,361.8700000000001
95,35.0,1231.0,237.0,1425.0,2062.0,1394.0,0.0,85.0,5715.0,0.0,210.5999999999999
96,35.0,1128.0,238.0,1334.0,2028.0,1404.0,0.0,92.0,5582.0,0.0,154.03999999999996
97,35.0,1125.0,238.0,1249.0,1997.0,1405.0,0.0,114.0,5512.0,0.0,158.5
98,35.0,1126.0,241.0,1235.0,2026.0,1405.0,0.0,89.0,5611.0,0.0,121.01000000000033
99,35.0,1128.0,241.0,1310.0,2051.0,1405.0,0.0,76.0,5792.0,0.0,93.57000000000005
