,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
51,255.84,246.48,499.25,114.28,2965.93,2294.3,321.73,266.92,0.0,110.38,7028.0,0.0,1053.2200000000005
52,257.61,258.21,504.24,114.19,3284.07,2414.41,350.84,267.06,0.0,113.78,7519.0,0.0,592.7500000000005
53,259.46,294.11,519.82,132.23,4331.27,2456.61,387.6,276.43,0.0,124.28,8576.0,11.159999999998945,0.0
54,269.16,298.19,529.19,650.52,4437.42,2453.54,388.51,279.85,1.64,151.89,9125.0,60.900000000000546,0.0
55,269.17,303.21,542.35,698.52,4674.06,2452.4,396.95,278.71,11.59,163.02,9262.0,55.63999999999851,0.0
56,265.77,297.68,542.25,722.15,4707.94,2452.21,388.42,274.66,28.85,143.51,9458.0,51.76999999999953,0.0
57,269.04,295.44,546.35,683.9,4623.09,2449.3,388.83,273.43,43.33,150.19,9520.0,47.3100000000004,0.0
58,268.14,290.32,544.32,613.48,4588.92,2451.06,385.93,273.52,67.14,167.99,9533.0,59.05000000000064,0.0
59,268.99,286.95,537.2,550.07,4524.49,2450.16,395.95,275.51,124.38,181.76,9582.0,55.279999999999745,0.0
60,268.98,285.08,538.66,565.38,4529.29,2447.0,402.87,275.92,107.56,190.33,9616.0,59.36999999999989,0.0
61,269.08,286.18,540.24,544.6,4525.33,2445.67,402.57,279.88,50.25,205.94,9511.0,61.210000000000036,0.0
62,269.1,285.57,539.33,605.37,4570.38,2441.4,408.86,280.91,25.33,212.68,9592.0,60.51999999999907,0.0
63,269.11,289.0,545.38,726.11,4486.12,2446.39,400.17,281.51,1.92,218.01,9615.0,58.01000000000113,0.0
64,269.12,329.51,539.84,775.19,4482.79,2444.67,397.0,284.28,0.0,223.48,9558.0,65.66999999999962,0.0
65,269.39,514.27,530.08,608.49,4472.41,2440.94,389.6,286.8,0.0,221.97,9298.0,65.14000000000169,0.0
66,269.93,557.53,527.43,567.14,4460.22,2440.36,388.63,285.85,0.0,218.15,9174.0,55.600000000000364,0.0
67,269.21,559.55,525.07,307.47,4412.08,2442.3,385.19,283.32,0.0,222.65,8887.0,59.82999999999902,0.0
68,259.3,389.91,513.37,131.48,4101.89,2441.01,379.19,280.2,0.0,221.86,8382.0,47.81999999999789,0.0
69,256.85,258.9,512.36,121.86,3475.94,2442.4,327.35,274.35,0.0,212.98,7900.0,52.41999999999962,0.0
70,256.16,241.24,500.3,121.45,3004.85,2443.89,317.48,272.21,0.0,210.76,7424.0,0.0,565.6199999999983
