country,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AL,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BE,BE,BE,BE,BE,BE,BE,BE,BE,BE,BE,BG,BG,BG,BG,BG,BG,BG,BG,BG,BG,BG,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CY,CY,CY,CY,CY,CY,CY,CY,CY,CY,CY,CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ,CZ,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,HR,HR,HR,HR,HR,HR,HR,HR,HR,HR,HR,HU,HU,HU,HU,HU,HU,HU,HU,HU,HU,HU,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IS,IS,IS,IS,IS,IS,IS,IS,IS,IS,IS,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LU,LU,LU,LU,LU,LU,LU,LU,LU,LU,LU,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,ME,ME,ME,ME,ME,ME,ME,ME,ME,ME,ME,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,NL,NL,NL,NL,NL,NL,NL,NL,NL,NL,NL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PL,PT,PT,PT,PT,PT,PT,PT,PT,PT,PT,PT,RO,RO,RO,RO,RO,RO,RO,RO,RO,RO,RO,RS,RS,RS,RS,RS,RS,RS,RS,RS,RS,RS,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SK,SK,SK,SK,SK,SK,SK,SK,SK,SK,SK,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR
source,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,oil,other_renewable,waste,other_fossil,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,0.0,0.0,0.0,8100000.000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800000.0,1800000.0,37700000.0,0.0,0.0,3300000.0000000000,3200000.0,0.0,0.0,5900000.0,0.0,0.0,0.0,6200000.000000000,10800000.0,0.0,0.0,0.0,0.0,0.0,100000.0,3500000.0,22100000.0,0.0,1300000.0,0.0,27000000.0,3400000.0000000000,1300000.0,3500000.0,3400000.0,3700000.0,300000.0,1700000.0,300000.0,5300000.0,16800000.0,15300000.0,0.0,0.0,1400000.0,0.0,1400000.0,700000.0,1000000.0,0.0,37400000.0,0.0,24400000.0,1400000.0,1300000.0,1200000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,4800000.0,0.0,0.0,0.0,200000.0,4400000.0,4400000.0,3200000.0,2700000.0,34200000.0,28300000.0,1700000.0000000000,0.0,2300000.0,0.0,600000.0,40100000.0,87300000.0,72900000.0,25100000.000000000,134800000.0,71900000.0,11000000.0,6100000.000000000,41200000.0,19000000.0,88200000.0,3600000.0,2200000.0,6900000.0,0.0,0.0,0.0,100000.0,1300000.0,1000000.0,4600000.0,9300000.0,700000.0,0.0,0.0,100000.0,0.0,0.0,8800000.0,0.0,0.0,0.0,0.0,0.0,600000.0,3600000.0000000000,53700000.0,11700000.0,36100000.0,25600000.0,53200000.0,14400000.0,900000.0,12200000.0,0.0,49600000.0,12500000.0,3900000.0,5800000.0,13100000.0,0.0,21900000.0,4100000.0000000000,0.0,200000.0,0.0,5900000.0,5200000.000000000,31400000.0,5800000.0,68300000.0,0.0,393200000.0,4300000.000000000,2400000.0,10200000.0,0.0,27800000.0,17900000.000000000,129900000.0,16800000.0,5900000.0,0.0,60700000.0,0.0,400000.0,11800000.0,16700000.0,25600000.0,300000.0,14100000.0,0.0,5700000.0,14900000.0,0.0,0.0,1100000.0,3500000.0,0.0,5600000.0,600000.0,1900000.0,1300000.0,6900000.000000000,0.0,0.0,0.0,0.0,100000.0,0.0,1300000.0,2000000.0,5400000.0,0.0,200000.0,4500000.0,14800000.0,100000.0,400000.0,300000.0,0.0,600000.0,0.0,14900000.0,2100000.0,900000.0000000000,0.0,0.0,2600000.0,500000.0,0.0,0.0,8400000.0,0.0,0.0,0.0,13700000.0,0.0,0.0,0.0,5600000.0,0.0,0.0,0.0,14900000.000000000,124000000.0,28800000.0,49500000.0,0.0,0.0,15100000.000000000,7800000.000000000,22900000.0,0.0,17300000.0,300000.00000000000,300000.0,0.0,900000.0,0.0,0.0,400000.0,100000.0,100000.0,0.0,1100000.0,100000.0,200000.0,0.0,1300000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,300000.0,900000.0,2600000.0,0.0,2400000.0,0.0,0.0,500000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,2000000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,200000.0,100000.0,700000.0,0.0,1600000.0000000000,2700000.0,0.0,0.0,0.0,0.0,0.0,100000.0,3500000.0,71400000.0,16700000.0,100000.0,0.0,2800000.0,0.0,0.0,3100000.0,3500000.0,7400000.0,0.0,3200000.0,0.0,138000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,5700000.0,12400000.0,75200000.0,2300000.0000000000,44800000.0,0.0,3800000.0,0.0,300000.0,0.0,12500000.0,2800000.0,14400000.0,11100000.0,13400000.000000000,0.0,0.0,300000.00000000000,0.0,800000.0,0.0,12400000.0,300000.0,5000000.0,1000000.0,17700000.0,13000000.0,10400000.0,5200000.0,0.0,1800000.0,0.0,6300000.0,0.0,200000.0,0.0,11200000.0,28100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,9800000.0,600000.0,500000.0,61000000.0,0.0,65800000.0,2600000.0,1300000.0,0.0,0.0,16600000.000000000,200000.0,0.0,0.0,4800000.0,4000000.0,5500000.0,300000.0,0.0,200000.0,0.0,0.0,1600000.0,1800000.0,1200000.0,3800000.0000000000,1300000.0,13800000.0,900000.0,0.0,600000.0,0.0,0.0,3200000.0,89400000.0,67800000.0,59800000.0,44800000.0,0.0,1400000.0,6900000.0,7200000.0,0.0,19900000.0
