,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
4058,371.0,4247.0,1437.0,3202.0,0.0,5046.0,629.0,100.0,349.0,7902.0,1840.2,0.0,23775.0,0.0,589.47,758.7300000000007
4059,356.0,4205.0,1405.0,3198.0,0.0,5048.0,634.0,102.0,313.0,7812.0,1767.69,600.28,24104.0,0.0,0.0,1336.9700000000012
4060,357.0,4376.0,1446.0,3578.0,0.0,5047.0,633.0,104.0,209.0,7646.0,2469.59,1830.31,25656.0,0.0,0.0,2039.9000000000015
4061,355.0,4484.0,1625.0,3939.0,0.0,5046.0,629.0,102.0,444.0,7488.0,2438.23,2400.88,28164.0,0.0,0.0,787.1100000000006
4062,365.0,5167.0,1752.0,4417.0,0.0,5047.0,625.0,103.0,1291.0,6756.0,2381.4,1414.1,30240.0,0.0,0.0,-921.5
4063,356.0,4956.0,2013.0,5467.0,0.0,5047.0,623.0,102.0,3175.0,6178.0,2364.87,1799.95,31899.0,0.0,0.0,182.8199999999997
4064,353.0,4983.0,2063.0,5522.0,0.0,5044.0,622.0,105.0,4509.0,5491.0,1769.67,1780.03,33035.0,0.0,0.0,-793.2999999999993
4065,341.0,5077.0,2225.0,6467.0,0.0,5042.0,615.0,105.0,5078.0,4981.0,2157.51,1766.5,33676.0,0.0,0.0,179.01000000000204
4066,334.0,5075.0,2274.0,7141.0,0.0,5040.0,615.0,103.0,5375.0,4481.0,2504.38,1780.88,34511.0,0.0,0.0,212.26000000000204
4067,343.0,5002.0,2236.0,7314.0,0.0,5038.0,620.0,104.0,5482.0,4051.0,2560.93,1391.3,34599.0,0.0,0.0,-456.7700000000041
4068,344.0,5079.0,2280.0,7220.0,0.0,5036.0,607.0,105.0,5413.0,3810.0,2488.88,1214.72,33938.0,0.0,0.0,-340.40000000000146
4069,349.0,5050.0,2309.0,7435.0,0.0,5034.0,618.0,99.0,5290.0,3625.0,2482.93,1260.05,33479.0,0.0,0.0,72.97999999999593
4070,352.0,5085.0,2384.0,7701.0,0.0,5030.0,632.0,100.0,5011.0,3439.0,2517.49,1271.25,33418.0,0.0,0.0,104.73999999999796
4071,350.0,5106.0,2376.0,7924.0,0.0,5029.0,642.0,103.0,4615.0,3484.0,2505.16,1439.63,33409.0,0.0,0.0,164.79000000000087
